B2 L R2 F U'
B2 L F R2 U'
B2 R2 L F U'
B2 L R' F R' U'
B2 L R2 D F U'
B2 L R2 D' F U'
B2 L R2 D2 F U'
B2 L R2 F U' D
B2 L R2 F U' D'
B2 L R2 F U' D2
B2 L R2 F D U'
B2 L R2 F D' U'
B2 L R2 F D2 U'
B2 L D F U' B2
B2 L F R2 U' D
B2 L F R2 U' D'
B2 L F R2 U' D2
B2 L F R2 D U'
B2 L F R2 D' U'
B2 L F R2 D2 U'
B2 L F U' D B2
B2 L F D U' B2
B2 L F' R2 F2 U'
B2 R' L F R' U'
R' U2 R' F' B2 U'
R' U2 R' B2 F' U'
B2 R2 L D F U'
B2 R2 L D' F U'
B2 R2 L D2 F U'
B2 R2 L F U' D
B2 R2 L F U' D'
B2 R2 L F U' D2
B2 R2 L F D U'
B2 R2 L F D' U'
B2 R2 L F D2 U'
B2 R2 D L F U'
B2 R2 D' L F U'
B2 R2 D2 L F U'
B2 R2 F L F U'
B2 R2 F' L F U'
B2 R2 F2 L F U'
B' R2 B' L F U'
B2 D L F U' B2
L F B2 L R2 U'
L F B2 R2 L U'
B2 F L R2 F U'
B2 F L F R2 U'
B2 F R2 L F U'
B2 F' L R2 F U'
B2 F' L F R2 U'
B2 F' R2 L F U'
L' B2 L R2 F' U'
F' B2 L R2 F U'
L' B2 R2 L F' U'
F' B2 L F R2 U'
L' B2 R2 F' L U'
B2 F2 L R2 F U'
F2 B2 L R2 F U'
B2 F2 L F R2 U'
F2 B2 L F R2 U'
F B2 L R2 F U'
F B2 L F R2 U'
L B2 R2 F L U'
F' B2 R2 L F U'
B2 F2 R2 L F U'
F2 B2 R2 L F U'
R2 B2 U2 R B U
F B2 R2 L F U'
L B2 F L R2 U'
L B2 F R2 L U'
D2 R' L' B' L' F2 U
D R' L' B' U B' L'
R2 U' F D L2 R F'
R2 U' F D R L2 F'
R2 U' F D R F' L2
L U' F B2 L R2 U'
L U' F B2 R2 L U'
D R' U L2 B' R' B'
D R' U B' R' B' L2
F' R' U2 R' F' B2 U'
F' R' U2 R' B2 F' U'
F2 R' U2 R' F' B2 U'
F2 R' U2 R' B2 F' U'
U2 R' U2 F' R' B2 U'
F R' U2 R' F' B2 U'
F R' U2 R' B2 F' U'
B2 R' D L R' F U'
B2 R' D L F R' U'
L' U' B2 L R2 F' U'
B2 R' D R' L F U'
L' U' B2 R2 L F' U'
L' U' B2 R2 F' L U'
B2 R' D' L R' F U'
B2 R' D' L F R' U'
B2 R' D' R' L F U'
L U' B2 R2 F L U'
L U' B2 F L R2 U'
L U' B2 F R2 L U'
B2 R' D2 L R' F U'
B2 R' D2 L F R' U'
B2 R' D2 R' L F U'
B2 R' F L R' F U'
B2 R' F L F R' U'
B2 R' F R' L F U'
B2 R' F' L R' F U'
B2 R' F' L F R' U'
B2 R' F' R' L F U'
D2 R' F2 L' B' L' U
B2 R' F2 L R' F U'
B2 R' F2 L F R' U'
R2 U2 R D B U L2
B2 R' F2 R' L F U'
R2 U2 R D2 F2 B U
R2 U2 R D2 B F2 U
R' U2 R' D F' U' L2
R2 U2 R B U2 B U'
R' U2 R' F' U' D L2
R' U2 R' F' D U' L2
R' U2 R' F' B2 U' D
R' U2 R' F' B2 U' D'
R' U2 R' F' B2 U' D2
R' U2 R' F' B2 D U'
R' U2 R' F' B2 D' U'
R' U2 R' F' B2 D2 U'
R' U2 R' B2 D F' U'
R' U2 R' B2 D' F' U'
R' U2 R' B2 D2 F' U'
R' U2 R' B2 F' U' D
R' U2 R' B2 F' U' D'
R' U2 R' B2 F' U' D2
R' U2 R' B2 F' D U'
R' U2 R' B2 F' D' U'
R' U2 R' B2 F' D2 U'
R' U2 R2 B2 R F' U'
R' U2 D R' F' U' L2
D R' B' U B' L2 R'
D R' B' U B' R' L2
R2 U2 D R B U L2
B2 R2 L D F U' D
B2 R2 L D F U' D'
B2 R2 L D F U' D2
B2 R2 L D F D U'
B2 R2 L D F D' U'
B2 R2 L D F D2 U'
B2 R2 L D' F U' D
B2 R2 L D' F U' D'
B2 R2 L D' F U' D2
B2 R2 L D' F D U'
B2 R2 L D' F D' U'
B2 R2 L D' F D2 U'
B2 R2 L D2 F U' D
B2 R2 L D2 F U' D'
B2 R2 L D2 F U' D2
B2 R2 L D2 F D U'
B2 R2 L D2 F D' U'
B2 R2 L D2 F D2 U'
B2 R2 L F' U' D R2
B2 R2 L F' D U' R2
B2 R2 L F2 D F' U'
B2 R2 L F2 D' F' U'
B2 R2 L F2 D2 F' U'
R2 U2 D2 R F2 B U
R2 U2 D2 R B F2 U
R' U2 F R' F' B2 U'
R' U2 F R' B2 F' U'
B2 R2 L' F L2 F U'
B2 R2 L' F' L2 F U'
B2 R2 L' F2 L2 F U'
R' U2 F' R' F' B2 U'
R' U2 F' R' B2 F' U'
L U2 F B2 L R2 U'
L U2 F B2 R2 L U'
R' U2 F2 R' F' B2 U'
R' U2 F2 R' B2 F' U'
B2 R2 D L D F U'
B2 R2 D L D' F U'
B2 R2 D L D2 F U'
B2 R2 D L F U' D
B2 R2 D L F U' D'
B2 R2 D L F U' D2
B2 R2 D L F D U'
B2 R2 D L F D' U'
B2 R2 D L F D2 U'
L' U2 B2 L R2 F' U'
B2 R2 D F L F U'
L' U2 B2 R2 L F' U'
B2 R2 D F' L F U'
L' U2 B2 R2 F' L U'
B2 R2 D F2 L F U'
B2 R2 D' L D F U'
B2 R2 D' L D' F U'
B2 R2 D' L D2 F U'
B2 R2 D' L F U' D
B2 R2 D' L F U' D'
B2 R2 D' L F U' D2
B2 R2 D' L F D U'
B2 R2 D' L F D' U'
B2 R2 D' L F D2 U'
B2 R2 D' F L F U'
B2 R2 D' F' L F U'
B2 R2 D' F2 L F U'
L U2 B2 R2 F L U'
B2 R2 D2 L D F U'
B2 R2 D2 L D' F U'
B2 R2 D2 L D2 F U'
B2 R2 D2 L F U' D
B2 R2 D2 L F U' D'
B2 R2 D2 L F U' D2
B2 R2 D2 L F D U'
B2 R2 D2 L F D' U'
B2 R2 D2 L F D2 U'
L U2 B2 F L R2 U'
L U2 B2 F R2 L U'
B2 R2 D2 F L F U'
B2 R2 D2 F' L F U'
B2 R2 D2 F2 L F U'
B2 R2 F L D F U'
B2 R2 F L D' F U'
B2 R2 F L D2 F U'
B2 R2 F L F U' D
B2 R2 F L F U' D'
B2 R2 F L F U' D2
B2 R2 F L F D U'
B2 R2 F L F D' U'
B2 R2 F L F D2 U'
B2 R2 F D L F U'
B' R2 F B' L F U'
B2 R2 F D' L F U'
B2 R2 F D2 L F U'
B2 R2 F' L D F U'
B2 R2 F' L D' F U'
B2 R2 F' L D2 F U'
B2 R2 F' L F U' D
B2 R2 F' L F U' D'
B2 R2 F' L F U' D2
B2 R2 F' L F D U'
B2 R2 F' L F D' U'
B2 R2 F' L F D2 U'
B2 R2 F' D L F U'
B' R2 F' B' L F U'
B2 R2 F' D' L F U'
B2 R2 F' D2 L F U'
B2 R2 F2 L D F U'
B2 R2 F2 L D' F U'
B2 R2 F2 L D2 F U'
B2 R2 F2 L F U' D
B2 R2 F2 L F U' D'
B2 R2 F2 L F U' D2
B2 R2 F2 L F D U'
B2 R2 F2 L F D' U'
B2 R2 F2 L F D2 U'
B2 R2 F2 D L F U'
B' R2 F2 B' L F U'
B2 R2 F2 D' L F U'
B2 R2 F2 D2 L F U'
L' D R' B' U B' L2
B' R2 B' L D F U'
B' R2 B' L D' F U'
B' R2 B' L D2 F U'
B' R2 B' L F U' D
B' R2 B' L F U' D'
B' R2 B' L F U' D2
B' R2 B' L F D U'
B' R2 B' L F D' U'
B' R2 B' L F D2 U'
B' R2 B' D L F U'
B' R2 B' D' L F U'
B' R2 B' D2 L F U'
B' R2 B' F L F U'
B' R2 B' F' L F U'
B' R2 B' F2 L F U'
F' R2 B2 U2 R B U
F2 R2 B2 U2 R B U
R' D U2 R' F' U' L2
F R2 B2 U2 R B U
R2 D U2 R B U L2
B' U R2 B' L U' R'
B' U B' L R2 U' R
B' U B' R2 L U' R
L2 D2 L2 R' F2 B U
L2 D2 L2 R' B F2 U
L2 D2 L2 F2 R' B U
L D2 L2 R' F2 B' U
L D2 L2 R' B' F2 U
L D2 L2 F2 R' B' U
L2 D2 R' L2 F2 B U
L2 D2 R' L2 B F2 U
L' D2 R' F2 B' L2 U
L' D2 R' B' L2 F2 U
L' D2 R' B' F2 L2 U
L2 D2 R' F2 L2 B U
L2 D2 R' F2 B L2 U
L2 D2 R' B L2 F2 U
L2 D2 R' B F2 L2 U
L D2 R' L2 F2 B' U
L D2 R' L2 B' F2 U
D2 U2 R' F2 L2 B' U
U2 D2 R' F2 L2 B' U
R2 D2 U2 R F2 B U
R2 D2 U2 R B F2 U
R' D2 F2 U2 R' F' U'
L' D2 F2 R' B' L2 U
L2 D2 F2 L2 R' B U
L2 D2 F2 R' L2 B U
L2 D2 F2 R' B L2 U
R2 F L F L' B2 U'
R2 F L F B2 L' U'
R2 F L B2 F L' U'
L F L B2 L R2 U'
L F L B2 R2 L U'
L F L' B2 L R2 U'
L F L' B2 R2 L U'
L F L2 B2 L R2 U'
L F L2 B2 R2 L U'
L F R2 B2 U2 R U
B2 D L R F U' B2
B2 D L R' F U' B2
B2 D L R2 F U' B2
R' F U2 R' F' B2 U'
R' F U2 R' B2 F' U'
B2 D L D' R2 F U'
B2 D L D' F R2 U'
B2 D L F R U' B2
B2 D L F R' U' B2
B2 D L F R2 U' B2
B2 D L F U' B2 D
B2 D L F U' B2 D'
B2 D L F U' B2 D2
B2 D L F D' R2 U'
B2 D R L F U' B2
B2 D R' L F U' B2
B2 D R2 L F U' B2
U' F B2 L R2 U' R'
U' F B2 R2 L U' R'
L' F B2 L R2 F' U'
L' F B2 R2 L F' U'
L' F B2 R2 F' L U'
R2 F B2 L F L' U'
L F B' R2 B' L U'
L F B2 L R2 U' D
L F B2 L R2 U' D'
L F B2 L R2 U' D2
L F B2 L R2 D U'
L F B2 L R2 D' U'
L F B2 L R2 D2 U'
L F B2 L U' D B2
L F B2 L D U' B2
L F B2 R2 L U' D
L F B2 R2 L U' D'
L F B2 R2 L U' D2
L F B2 R2 L D U'
L F B2 R2 L D' U'
L F B2 R2 L D2 U'
L F B2 R2 D L U'
L F B2 R2 D' L U'
L F B2 R2 D2 L U'
L F B2 D L U' B2
B2 D F L F U' B2
B2 D F' L F U' B2
B2 D F2 L F U' B2
B D B L F U' B
L F' R2 F2 L' B2 U'
L F' R2 F2 B2 L' U'
L F' R2 B2 F2 L' U'
R' F' U2 R' F' B2 U'
R' F' U2 R' B2 F' U'
B2 D' L D R2 F U'
B2 D' L D F R2 U'
B2 D' L D2 F U' B2
B2 D' L F U F U2
L' F' B2 L R2 F' U'
L' F' B2 R2 L F' U'
L' F' B2 R2 F' L U'
D2 F2 L' R' B' L' U
L F' B2 L R2 F2 U'
L F' B2 L F2 R2 U'
L F' B2 R2 L F2 U'
L F' B2 R2 F2 L U'
R2 F2 L F L2 B2 U'
R2 F2 L F B2 L2 U'
R2 F2 L B2 F L2 U'
D2 F2 L2 D2 R' B U
R2 F2 L' B2 U2 B U
D2 F2 R' L' B' L' U
R' F2 U2 R' F' B2 U'
R' F2 U2 R' B2 F' U'
B2 D2 L F U2 L U
L' F2 B2 L R2 F' U'
L' F2 B2 R2 L F' U'
L' F2 B2 R2 F' L U'
R2 F2 B2 L F L2 U'
R2 F2 B2 L' U2 B' U
L F2 B2 L F' R2 U'
B2 F L R' F R' U'
B2 F L R2 D F U'
B2 F L R2 D' F U'
B2 F L R2 D2 F U'
B2 F L R2 F U' D
B2 F L R2 F U' D'
B2 F L R2 F U' D2
B2 F L R2 F D U'
B2 F L R2 F D' U'
B2 F L R2 F D2 U'
B2 F L D F U' B2
B2 F L F R2 U' D
B2 F L F R2 U' D'
B2 F L F R2 U' D2
B2 F L F R2 D U'
B2 F L F R2 D' U'
B2 F L F R2 D2 U'
B2 F L F U' D B2
B2 F L F D U' B2
B2 F L F' R2 F2 U'
B2 F R' L F R' U'
B2 F R2 L D F U'
B2 F R2 L D' F U'
B2 F R2 L D2 F U'
B2 F R2 L F U' D
B2 F R2 L F U' D'
B2 F R2 L F U' D2
B2 F R2 L F D U'
B2 F R2 L F D' U'
B2 F R2 L F D2 U'
B' F R2 B' L F U'
B2 F R2 D L F U'
B2 F R2 D' L F U'
B2 F R2 D2 L F U'
B2 F R2 F L F U'
B2 F R2 F' L F U'
B2 F R2 F2 L F U'
B2 F D L F U' B2
B2 F' L R' F R' U'
B2 F' L R2 D F U'
B2 F' L R2 D' F U'
B2 F' L R2 D2 F U'
B2 F' L R2 F U' D
B2 F' L R2 F U' D'
B2 F' L R2 F U' D2
B2 F' L R2 F D U'
B2 F' L R2 F D' U'
B2 F' L R2 F D2 U'
B2 F' L D F U' B2
B2 F' L F R2 U' D
B2 F' L F R2 U' D'
B2 F' L F R2 U' D2
B2 F' L F R2 D U'
B2 F' L F R2 D' U'
B2 F' L F R2 D2 U'
B2 F' L F U' D B2
B2 F' L F D U' B2
B2 F' L F' R2 F2 U'
L B' R2 F B' L U'
U B' R2 B' L U' R
L B' R2 B' F L U'
L' B' U2 R2 B' L U'
L' B' U2 B' L R2 U'
L' B' U2 B' R2 L U'
B2 F' R' L F R' U'
B2 F' R2 L D F U'
B2 F' R2 L D' F U'
B2 F' R2 L D2 F U'
B2 F' R2 L F U' D
B2 F' R2 L F U' D'
B2 F' R2 L F U' D2
B2 F' R2 L F D U'
B2 F' R2 L F D' U'
B2 F' R2 L F D2 U'
B' F' R2 B' L F U'
B2 F' R2 D L F U'
B2 F' R2 D' L F U'
B2 F' R2 D2 L F U'
B2 F' R2 F L F U'
B2 F' R2 F' L F U'
F' B' R2 B' L F U'
B2 F' R2 F2 L F U'
F2 B' R2 B' L F U'
F B' R2 B' L F U'
U' B2 L R2 F U' R
B2 F' D L F U' B2
L B' F R2 B' L U'
U' B2 L F R2 U' R'
L' B2 L R2 D F' U'
L' B2 L R2 D' F' U'
L' B2 L R2 D2 F' U'
L' B2 L R2 F' U' D
L' B2 L R2 F' U' D'
L' B2 L R2 F' U' D2
L' B2 L R2 F' D U'
L' B2 L R2 F' D' U'
L' B2 L R2 F' D2 U'
L' B2 L F R2 F' U'
L' B2 L F' R2 F' U'
L' B2 L F2 R2 F' U'
L2 B2 L R2 U2 B' U
U2 B2 L R' F' R' U'
L' B2 L' R2 F' L2 U'
L2 B2 L' R2 F L2 U'
R2 B2 L F2 L' F' U'
L2 B2 L' F L2 R2 U'
L2 B2 L' F R2 L2 U'
R2 B2 L' U2 R B' U
R2 B2 L' U2 B' R U
F' B2 L R' F R' U'
F' B2 L R2 D F U'
F' B2 L R2 D' F U'
F' B2 L R2 D2 F U'
F' B2 L R2 F U' D
F' B2 L R2 F U' D'
F' B2 L R2 F U' D2
F' B2 L R2 F D U'
F' B2 L R2 F D' U'
F' B2 L R2 F D2 U'
B2 F2 L R' F R' U'
B2 F2 L R2 D F U'
B2 F2 L R2 D' F U'
B2 F2 L R2 D2 F U'
B2 F2 L R2 F U' D
B2 F2 L R2 F U' D'
B2 F2 L R2 F U' D2
B2 F2 L R2 F D U'
B2 F2 L R2 F D' U'
B2 F2 L R2 F D2 U'
F' B2 L D F U' B2
F2 B2 L R' F R' U'
F2 B2 L R2 D F U'
F2 B2 L R2 D' F U'
F2 B2 L R2 D2 F U'
F2 B2 L R2 F U' D
F2 B2 L R2 F U' D'
F2 B2 L R2 F U' D2
F2 B2 L R2 F D U'
F2 B2 L R2 F D' U'
F2 B2 L R2 F D2 U'
F' B2 L F R2 U' D
F' B2 L F R2 U' D'
F' B2 L F R2 U' D2
F' B2 L F R2 D U'
F' B2 L F R2 D' U'
F' B2 L F R2 D2 U'
F' B2 L F U' D B2
F' B2 L F D U' B2
B2 F2 L D F U' B2
F' B2 L F' R2 F2 U'
F2 B2 L D F U' B2
B2 F2 L F R2 U' D
B2 F2 L F R2 U' D'
B2 F2 L F R2 U' D2
B2 F2 L F R2 D U'
B2 F2 L F R2 D' U'
B2 F2 L F R2 D2 U'
B2 F2 L F U' D B2
B2 F2 L F D U' B2
B2 F2 L F' R2 F2 U'
F2 B2 L F R2 U' D
F2 B2 L F R2 U' D'
F2 B2 L F R2 U' D2
F2 B2 L F R2 D U'
F2 B2 L F R2 D' U'
F2 B2 L F R2 D2 U'
F2 B2 L F U' D B2
D B2 L2 U L' F U'
F2 B2 L F D U' B2
F2 B2 L F' R2 F2 U'
R2 B2 L2 F2 L' F U'
U' B2 R2 L F U' R
F B2 L R' F R' U'
F B2 L R2 D F U'
F B2 L R2 D' F U'
F B2 L R2 D2 F U'
F B2 L R2 F U' D
F B2 L R2 F U' D'
F B2 L R2 F U' D2
F B2 L R2 F D U'
F B2 L R2 F D' U'
F B2 L R2 F D2 U'
U2 B2 R' L F' R' U'
F B2 L D F U' B2
L' B2 R2 L D F' U'
L' B2 R2 L D' F' U'
U' B2 R2 F L U' R
L' B2 R2 L D2 F' U'
L' B2 R2 L F' U' D
L' B2 R2 L F' U' D'
L' B2 R2 L F' U' D2
L' B2 R2 L F' D U'
L' B2 R2 L F' D' U'
L' B2 R2 L F' D2 U'
F B2 L F R2 U' D
F B2 L F R2 U' D'
F B2 L F R2 U' D2
F B2 L F R2 D U'
F B2 L F R2 D' U'
F B2 L F R2 D2 U'
F B2 L F U' D B2
F B2 L F D U' B2
L' B2 R2 L' F' L2 U'
F B2 L F' R2 F2 U'
U2 B2 R' F' L R' U'
L' B2 R2 D L F' U'
U2 B2 R' F' R' L U'
L' B2 R2 D F' L U'
L' B2 R2 D' L F' U'
L' B2 R2 D' F' L U'
L' B2 R2 D2 L F' U'
L' B2 R2 D2 F' L U'
L' B2 R2 F L F2 U'
L' B2 R2 F' L U' D
L' B2 R2 F' L U' D'
L' B2 R2 F' L U' D2
L' B2 R2 F' L D U'
L' B2 R2 F' L D' U'
L' B2 R2 F' L D2 U'
L2 B2 R2 L U2 B' U
L' B2 R2 F' D L U'
L' B2 R2 F' D' L U'
L' B2 R2 F' D2 L U'
L2 B2 R2 L' F L2 U'
R B2 R U2 R B U
F' B2 R' L F R' U'
L B2 R' F L R' U'
L B2 R' F R' L U'
B2 F2 R' L F R' U'
F2 B2 R' L F R' U'
L B2 R2 D F L U'
L B2 R2 D' F L U'
F' B2 R2 L D F U'
F' B2 R2 L D' F U'
F' B2 R2 L D2 F U'
F' B2 R2 L F U' D
F' B2 R2 L F U' D'
F' B2 R2 L F U' D2
F' B2 R2 L F D U'
F' B2 R2 L F D' U'
F' B2 R2 L F D2 U'
L B2 R2 D2 F L U'
L B2 R2 F L U' D
L B2 R2 F L U' D'
L B2 R2 F L U' D2
L B2 R2 F L D U'
L B2 R2 F L D' U'
L B2 R2 F L D2 U'
L B2 R2 F D L U'
L B2 R2 F D' L U'
L B2 R2 F D2 L U'
L B2 R2 F' L F2 U'
B2 F2 R2 L D F U'
B2 F2 R2 L D' F U'
L B2 R2 F2 L F' U'
B2 F2 R2 L D2 F U'
B2 F2 R2 L F U' D
B2 F2 R2 L F U' D'
B2 F2 R2 L F U' D2
B2 F2 R2 L F D U'
B2 F2 R2 L F D' U'
B2 F2 R2 L F D2 U'
B' F2 R2 B' L F U'
F2 B2 R2 L D F U'
F' B2 R2 D L F U'
F2 B2 R2 L D' F U'
F2 B2 R2 L D2 F U'
F2 B2 R2 L F U' D
F2 B2 R2 L F U' D'
F2 B2 R2 L F U' D2
F2 B2 R2 L F D U'
F2 B2 R2 L F D' U'
F2 B2 R2 L F D2 U'
F' B2 R2 D' L F U'
F' B2 R2 D2 L F U'
F' B2 R2 F L F U'
B2 F2 R2 D L F U'
F' B2 R2 F' L F U'
B2 F2 R2 D' L F U'
B2 F2 R2 D2 L F U'
F' B2 R2 F2 L F U'
F2 B2 R2 D L F U'
B2 F2 R2 F L F U'
F2 B2 R2 D' L F U'
B2 F2 R2 F' L F U'
F B2 R' L F R' U'
F2 B2 R2 D2 L F U'
