D2 L2 F U R2 F2
D2 L2 F U F2 R2
B' R2 U L2 B U2
B' R2 U B L2 U2
B' R2 U' D2 R2 F'
B' R2 D2 U' R2 F'
B' D F2 U' F B2
B' D F2 U' B2 F
D F2 B' U' F B'
D F2 B' U' B' F
R2 B' U L2 B2 U2
R2 B' U B2 L2 U2
R2 B' U' D2 R2 F2
R2 B' U' D2 F2 R2
R2 B' D L2 F2 U'
R2 B' D F2 L2 U'
R2 B' D2 U' R2 F2
R2 B' D2 U' F2 R2
D B' F2 U' F B'
D B' F2 U' B' F
R2 B' U L2 B2 D' U2
R2 B' U L2 B2 D2 U2
D2 B' U' F' R2 D' B2
U B' R2 D2 U' R2 F'
B F' L' D L2 B2 R'
D2 B' U2 L2 U F' R2
F B' L' R2 U' F2 R
R2 B' U B L2 B U2
R2 B' U B' L2 U2 F
R2 B' U B2 L2 U2 D
R2 B' U B2 L2 U2 D'
R2 B' U B2 L2 U2 D2
R2 B' U B2 L2 D U2
R2 B' U B2 L2 D' U2
R2 B' U B2 L2 D2 U2
R2 B' U B2 U2 D2 R2
R2 B' U B2 D2 U2 R2
R2 B' U' R D2 R2 F2
R2 B' U' R D2 F2 R2
R2 B' U' R' D2 R2 F2
R2 B' U' R' D2 F2 R2
R2 B' U' R2 D2 R2 F2
R2 B' U' R2 D2 F2 R2
R2 B' U' D2 R' F2 R'
R2 B' U' D2 R2 F2 D
R2 B' U' D2 R2 F2 D'
R2 B' U' D2 R2 F2 D2
R2 B' U' D2 F R2 F
R2 B' U' D2 F2 R2 D
R2 B' U' D2 F2 R2 D'
R2 B' U' D2 F2 R2 D2
D B' U' D F' R2 B'
D B' U' D F' B' R2
R2 B' U' F D2 R2 F2
D B' U' D B' F' R2
R2 B' U' F D2 F2 R2
R2 B' U' F' D2 R2 F2
R2 B' U' F' D2 F2 R2
R2 B' U' F2 D2 R2 F2
R2 B' U' F2 D2 F2 R2
U' B' D F2 U' F B2
U' B' D F2 U' B2 F
D B' U' B' D F' R2
R2 B' U2 D' R2 B2 U
R2 B' U2 D' B2 R2 U
B' F' R2 D F2 U' F2
R2 B' D L F2 L U'
R2 B' D L2 U' D R2
R2 B' D L2 D U' R2
R2 B' D L2 F2 U' D
R2 B' D L2 F2 U' D'
R2 B' D L2 F2 U' D2
R2 B' D L2 F2 D U'
R2 B' D L2 F2 D' U'
R2 B' D L2 F2 D2 U'
U2 B' D F2 U' F B2
U2 B' D F2 U' B2 F
D2 B' D' F2 U' F B2
D2 B' D' F2 U' B2 F
F' B' R2 D F2 U' F2
F2 B' R2 U L2 B' U2
F2 B' R2 U' D2 R2 F
F2 B' R2 U' D2 F R2
F2 B' R2 U' F D2 R2
F2 B' R2 D F2 U' F'
R2 B' D F' L2 F' U'
D B' D U' F' R2 B'
D B' D U' F' B' R2
D B' D U' B' F' R2
R2 B' D F2 L2 U' D
R2 B' D F2 L2 U' D'
R2 B' D F2 L2 U' D2
R2 B' D F2 L2 D U'
R2 B' D F2 L2 D' U'
R2 B' D F2 L2 D2 U'
R2 B' D F2 U' D F2
R2 B' D F2 D U' F2
F2 B' R2 D2 U' R2 F
F2 B' R2 D2 U' F R2
R2 B' D' U2 R2 B2 U
R2 B' D' U2 B2 R2 U
U B' D F2 U' F B2
U B' D F2 U' B2 F
F B' R2 L' U' F2 R
F B' R2 U L2 U2 F2
F B' R2 U' F2 D2 R2
R2 B' D2 L U' R2 F2
R2 B' D2 L U' F2 R2
R2 B' D2 L' U' R2 F2
R2 B' D2 L' U' F2 R2
R2 B' D2 L2 U' R2 F2
R2 B' D2 L2 U' F2 R2
R2 B' D2 U' R' F2 R'
R2 B' D2 U' R2 F2 D
R2 B' D2 U' R2 F2 D'
R2 B' D2 U' R2 F2 D2
R2 B' D2 U' F R2 F
R2 B' D2 U' F2 R2 D
R2 B' D2 U' F2 R2 D'
R2 B' D2 U' F2 R2 D2
R2 B' D2 F U' R2 F
R2 B' D2 F U' F R2
R2 B' D2 F' U' F' R2
R2 B' F U L2 B2 U2
R2 B' F U B2 L2 U2
R2 B' F U' D2 R2 F2
R2 B' F U' D2 F2 R2
R2 B' F D L2 F2 U'
R2 B' F D F2 L2 U'
R2 B' F D2 U' R2 F2
R2 B' F D2 U' F2 R2
B' F' D F2 U' F2 B2
B' F' D F2 U' B2 F2
R2 B' F' U L2 B2 U2
R2 B' F' U B2 L2 U2
R2 B' F' U' D2 R2 F2
R2 B' F' U' D2 F2 R2
B' F' D B2 D L2 R2
B' F' D B2 D R2 L2
R2 B' F' D L2 F2 U'
R2 B' F' D F2 L2 U'
R2 B' F' D2 U' R2 F2
R2 B' F' D2 U' F2 R2
F' B' D F2 U' F2 B2
F' B' D F2 U' B2 F2
F' B' D B2 D L2 R2
F' B' D B2 D R2 L2
F2 B' D F2 U' F' B2
F2 B' D F2 U' B2 F'
D B' F2 R U' F B'
D B' F2 R U' B' F
R2 B' F2 U L2 B2 U2
D B' F2 R' U' F B'
D B' F2 R' U' B' F
R2 B' F2 U B2 L2 U2
D B' F2 R2 U' F B'
D B' F2 R2 U' B' F
R2 B' F2 U' D2 R2 F2
R2 B' F2 U' D2 F2 R2
B F' D L2 B2 D R2
R2 B' F2 D L2 F2 U'
D B' F2 U' D F B'
D B' F2 U' D B' F
D B' F2 U' D' F B'
R2 B' F2 D F2 L2 U'
D B' F2 U' D' B' F
D B' F2 U' D2 F B'
D B' F2 U' D2 B' F
D B' F2 U' F D B'
D B' F2 U' F D' B'
D B' F2 U' F D2 B'
D B' F2 U' F B' D
D B' F2 U' F B' D'
D B' F2 U' F B' D2
D B' F2 U' B' D F
D B' F2 U' B' D' F
D B' F2 U' B' D2 F
D B' F2 U' B' F D
D B' F2 U' B' F D'
D B' F2 U' B' F D2
R2 B' F2 D2 U' R2 F2
R2 B' F2 D2 U' F2 R2
D B' F2 D U' F B'
D B' F2 D U' B' F
D B' F2 D' U' F B'
D B' F2 D' U' B' F
D B' F2 D2 U' F B'
D B' F2 D2 U' B' F
B F' D B2 L2 D R2
B F' D2 R2 D' L2 B2
B F' D2 R2 D' B2 L2
B' F2 R2 U L2 B' U2
B' F2 R2 U' D2 R2 F
B' F2 R2 U' D2 F R2
B' F2 R2 U' F D2 R2
B' F2 R2 D F2 U' F'
B' F2 R2 D2 U' R2 F
B' F2 R2 D2 U' F R2
D B2 U F2 B U' F
D B2 U B F2 U' F
B' F2 D F2 U' F' B2
B' F2 D F2 U' B2 F'
D B2 F' U F' B U'
D B2 F' U B F' U'
