B R' B2 D F2 L'
B U' L2 U' R' B2
B U2 R' B2 D F2
B' D' L B2 U2 B2
B' D' B2 U2 R' B2
U2 B R' B2 D F2
D' B2 U2 D B R'
D' B2 D U2 B R'
U2 D2 B' F' D' R F2
B' U2 D F2 D2 B2 R'
B2 U2 D F B R F
B' U2 D' L B2 U2 L'
B2 U2 D F2 D2 B R'
B2 U2 D B F R F
D U2 B' F' D F' R
B U2 R2 B2 R D F2
B U2 R2 B2 D R F2
B U2 D R' F2 D' B2
B U2 D F2 R' D' B2
B U2 D F2 D' R' B2
D U2 B2 F2 D' B R'
B2 U2 F D B R F2
B2 U2 F B R D F2
B2 U2 F B D R F2
B U2 F R' B2 D F2
B2 U2 F' D F2 B R
B2 U2 F' D B F2 R
B2 U2 F' B D F2 R
B U2 F' R' B2 D F2
F' U2 B R' B2 D F2
B U2 F2 R' B2 D F2
F2 U2 B R' B2 D F2
B2 U2 B D F R F
B2 U2 B F R D F2
B2 U2 B F D R F2
B2 U2 B F' D F2 R
F U2 B R' B2 D F2
B' D L U2 F2 D2 B2
B' D L D2 B2 U2 B2
B' D L B U2 F2 B'
B' D L B U2 B' F2
B' D L B' U2 F2 B
B' D L B' U2 B F2
B' D L B2 U2 F2 B2
B' D L B2 U2 B2 F2
D2 F U2 D' F2 R B'
D2 F U2 D' F2 B' R
D2 F U2 D' B' F2 R
D2 F U2 B' D' F2 R
B' D L2 R' F2 L' R
B' D L2 R' F2 R L'
D2 F D B2 L' U2 B
D2 F D' U2 F2 R B'
D2 F D' U2 F2 B' R
D2 F D' U2 B' F2 R
B' D R' L2 F2 L' R
B' D R' L2 F2 R L'
B' D R' F2 L' D2 R2
U2 F B R' B2 D F2
B D R' F2 D' L' B2
B D R' F2 D' B2 L'
L2 F B' L U' L' U'
D' F B2 U2 D B R'
D' F B2 D U2 B R'
B D U L2 U R' F2
B D U L2 U F2 R'
B' D U2 L U2 L' F2
B' D U2 F2 D2 B2 R'
B2 D U2 F B R F
B2 D U2 F2 D2 B R'
B2 D U2 B F R F
B D U2 R' F2 D' B2
B2 D F U2 F B R
B2 D F U2 B F R
B D U2 F2 R' D' B2
B D U2 F2 D' R' B2
B' D F2 U2 L U2 L'
B2 D B' R' F2 L' B2
B2 D B' R' F2 B2 L'
B2 D B' R' B2 F2 L'
D2 F' U R2 U R' B'
B2 D B' U2 R' F2 B2
B2 D B' U2 R' B2 F2
B2 D B' U2 F2 R' B2
B' D B2 R' F2 L' B2
B' D B2 R' F2 B2 L'
B' D B2 R' B2 F2 L'
B' D B2 U2 R' F2 B2
B' D B2 U2 R' B2 F2
B' D B2 U2 F2 R' B2
B' D' L F B2 U2 B2
B' D' L F' B2 U2 B2
B' D' L F2 B2 U2 B2
B' D' L B2 U2 B2 D
B' D' L B2 U2 B2 D'
B' D' L B2 U2 B2 D2
B' D' L B2 D2 F2 U2
B' D' L B2 F U2 B2
B' D' L B2 F' U2 B2
B' D' L B2 F2 U2 B2
D2 F' U2 D' R F2 B'
D2 F' U2 D' R B' F2
D2 F' U2 D' B' R F2
D2 F' U2 B' D' R F2
B' D' L' B2 L2 U2 B2
D F' U2 D F' R B'
D F' U2 D F' B' R
D F' U2 D B' F' R
D2 F' D B2 U2 B R
D F' U2 B' D F' R
B' D' L2 B2 L' U2 B2
D2 F' D' U2 R F2 B'
D2 F' D' U2 R B' F2
D2 F' D' U2 B' R F2
D F' D U2 F' R B'
D F' D U2 F' B' R
D F' D U2 B' F' R
B' D' R2 D2 L2 F2 R
U2 F' B R' B2 D F2
D' F' B2 U2 D B R'
D' F' B2 D U2 B R'
B' D' U2 L B2 U2 L'
B' D' F L B2 U2 B2
B' D' F B2 U2 R' B2
B' D' F' L B2 U2 B2
B' D' F' B2 U2 R' B2
B' D' F2 L B2 U2 B2
B' D' F2 B2 U2 R' B2
B2 D' B L B U2 B'
D2 F2 U R2 U B' R'
B' D' B2 L U2 R' B2
B' D' B2 L' U2 R' B2
B' D' B2 L2 U2 R' B2
B' D' B2 U2 R B2 R2
B' D' B2 U2 R' B2 D
B' D' B2 U2 R' B2 D'
B' D' B2 U2 R' B2 D2
B' D' B2 U2 R2 B2 R
B' D' B2 D2 F2 U2 R'
B' D' B2 F U2 R' B2
F' D' B2 U2 D B R'
B' D' B2 F' U2 R' B2
F' D' B2 D U2 B R'
B' D' B2 F2 U2 R' B2
B2 D' B2 U2 B R' B2
F2 D' B2 U2 D B R'
F2 D' B2 D U2 B R'
B' D2 L D B2 U2 B2
B D' B2 L U' R2 U'
B D' B2 L U2 D B2
B D' B2 L D U2 B2
B D' B2 L D' F2 U2
B D' B2 U2 D B2 R'
D2 F2 U2 D' F2 B' R'
D2 F2 U2 D' B' R' F2
D2 F2 U2 D' B' F2 R'
B D' B2 D L U2 B2
B D' B2 D U2 B2 R'
B D' B2 D' L F2 U2
B D' B2 D' F2 L U2
D2 F2 U2 B' D' R' F2
D2 F2 U2 B' D' F2 R'
F D' B2 U2 D B R'
F D' B2 D U2 B R'
D2 F2 D' U2 F2 B' R'
D2 F2 D' U2 B' R' F2
D2 F2 D' U2 B' F2 R'
U2 F2 B R' B2 D F2
D' F2 B2 U2 D B R'
D' F2 B2 D U2 B R'
U2 B L2 U' L2 R' B2
U2 B L2 U' R' L2 B2
U2 B L2 U' R' B2 L2
R2 B L2 U' R' B2 L
U2 B R B2 R2 D F2
U2 B R' U L2 U' B2
U2 B R' D F2 D' B2
B D2 F2 U R2 U R
U2 B R' F B2 D F2
B D2 F2 U2 D' R' F2
B D2 F2 U2 D' F2 R'
U2 B R' F' B2 D F2
B D2 F2 D B2 L U2
U2 B R' F2 B2 D F2
B D2 F2 D' U2 R' F2
B D2 F2 D' U2 F2 R'
U2 B R' B D F2 B
U2 B R' B D B F2
U2 B R' B' D F2 B'
U2 B R' B' D B' F2
U2 B R' B2 U L2 U'
U2 B R' B2 D F2 D
U2 B R' B2 D F2 D'
U2 B R' B2 D F2 D2
U2 B R' B2 F D F2
U2 B R' B2 F' D F2
U2 B R' B2 F2 D F2
R2 B R' B2 D L F2
R2 B R' B2 D F2 L
U2 B R2 B2 R D F2
U2 B R2 B2 D R F2
U2 B U L2 U' R' B2
U B U R' B2 D F2
U2 B D R' F2 D' B2
U B U2 L2 U' R' B2
U2 B D F2 R' D' B2
U2 B D F2 D' R' B2
U B D L2 U R' F2
U B D L2 U F2 R'
F' B R' B2 D F2 L'
F2 B R' B2 D F2 L'
U2 B F R' B2 D F2
B F R' B2 D F2 L'
U2 B F' R' B2 D F2
F B R' B2 D F2 L'
U2 B F2 R' B2 D F2
F' B U' L2 U' R' B2
L' B' L U2 D F2 B'
L' B' L U2 D B' F2
L' B' L U2 B' D F2
L' B' L D U2 F2 B'
L' B' L D U2 B' F2
L' B' L D' B2 U2 B
F2 B U' L2 U' R' B2
B F U' L2 U' R' B2
F' B U2 R' B2 D F2
F2 B U2 R' B2 D F2
F B U' L2 U' R' B2
B F U2 R' B2 D F2
B' F D' L B2 U2 B2
F B U2 R' B2 D F2
B' F D' B2 U2 R' B2
U2 B' U L2 U L' U2
U2 B' U L2 F2 U' R
U2 B' U2 L U' L U'
R' B' D L2 F2 L' R
R' B' D L2 F2 R L'
U2 B' U2 D L U2 F2
U2 B' U2 D' L B2 U2
U2 B' U2 D' B2 U2 R'
R' B' D F2 L' D2 R2
D' B' D B' L U2 B
U2 B' D L2 F2 L2 R
U2 B' D L2 F2 R L2
U2 B' D U2 L U2 F2
U2 B' D F2 U2 L U2
U2 B' D F2 B2 R' B2
U2 B' D B2 R' F2 B2
U2 B' D B2 R' B2 F2
U2 B' D B2 F2 R' B2
U2 B' D' U2 L B2 U2
B F' R' B2 D F2 L'
U2 B' D' U2 B2 U2 R'
R2 B' D2 L2 D' F2 R
L2 B' F L U' L' U'
B F' U' L2 U' R' B2
B F' U2 R' B2 D F2
B' F' D' L B2 U2 B2
D' B2 L U2 D B R'
D' B2 L D U2 B R'
F' B' D' L B2 U2 B2
F2 B' D' L B2 U2 B2
B' F' D' B2 U2 R' B2
D' B2 L' U2 D B R'
D' B2 L' D U2 B R'
F' B' D' B2 U2 R' B2
F2 B' D' B2 U2 R' B2
D' B2 L2 U2 D B R'
D' B2 L2 D U2 B R'
F B' D' L B2 U2 B2
F B' D' B2 U2 R' B2
D' B2 U2 D B R' D
D' B2 U2 D B R' D'
D' B2 U2 D B R' D2
D' B2 U2 D B D R'
D' B2 U2 D B D' R'
D' B2 U2 D B D2 R'
B F2 R' B2 D F2 L'
D' B2 D L U2 B R'
D' B2 D L' U2 B R'
D' B2 D L2 U2 B R'
U' B2 D B L2 F2 R
D' B2 D U2 B R' D
D' B2 D U2 B R' D'
D' B2 D U2 B R' D2
D' B2 D U2 B D R'
D' B2 D U2 B D' R'
D' B2 D U2 B D2 R'
D' B2 D F U2 B R'
D' B2 D F' U2 B R'
D' B2 D F2 U2 B R'
D B2 U2 F2 D' B R'
U2 B2 D F2 B' R' B2
D' B2 D' F L' U2 B
U2 B2 D B' R' F2 B2
U2 B2 D B' R' B2 F2
D' B2 D' F' U2 B R
U2 B2 D B' F2 R' B2
B F2 U' L2 U' R' B2
B' F2 D' L B2 U2 B2
B F2 U2 R' B2 D F2
D' B2 F U2 D B R'
D' B2 F D U2 B R'
B' F2 D' B2 U2 R' B2
D' B2 F' U2 D B R'
D' B2 F' D U2 B R'
D' B2 F2 U2 D B R'
D' B2 F2 D U2 B R'
