U L2 B U2 L' B'
L2 B U L U L2
L2 B U2 L' D' B2
F' U L2 B U2 L' B'
D2 U R L B R F'
F2 U L2 B U2 L' B'
F U L2 B U2 L' B'
L2 D B U L U L2
L2 D B U2 L' D' B2
D2 U R2 D2 L F' B'
D2 U R2 D2 L B' F'
D2 U R2 D2 F' L B'
D2 U R2 F' D2 L B'
D2 U' L R2 F' D2 B2
D2 U' L F2 R2 F' B
D2 U' L F2 R2 B F'
D2 U' L' R2 F' B' L2
D2 U' L' R2 B' L2 F'
D2 U' L' R2 B' F' L2
D2 U' R2 L F' D2 B2
D2 U' R2 L' F' B' L2
D2 U' R2 L' B' L2 F'
D2 U' R2 L' B' F' L2
D2 U' R2 F' L' B' L2
L2 D' B U L U L2
L2 D' B U2 L' D' B2
U' D2 L R2 F' D2 B2
U' D2 L F2 R2 F' B
U' D2 L F2 R2 B F'
U' D2 L' R2 F' B' L2
U' D2 L' R2 B' L2 F'
U' D2 L' R2 B' F' L2
U D2 L R B R F'
U D2 R L B R F'
U' D2 R2 L F' D2 B2
U' D2 R2 L' F' B' L2
U' D2 R2 L' B' L2 F'
U' D2 R2 L' B' F' L2
U' D2 R2 F' L' B' L2
D2 U2 R2 F' L D' B2
U2 D2 R2 F' L D' B2
U D2 R2 D2 L F' B'
U D2 R2 D2 L B' F'
U D2 R2 D2 F' L B'
U D2 R2 F' D2 L B'
L2 D2 B U L U L2
L2 D2 B U2 L' D' B2
U F L2 B U2 L' B'
L2 F B U L F U
R2 F' L B2 D' R' B
U F' L2 B U2 L' B'
U F2 L2 B U2 L' B'
L2 F2 B R U L U
L' B L' U L2 U L
L' B L' U2 D' L' B2
L' B L' U2 D' B2 L'
L' B L' D F2 R U2
L' B L' D' U2 L' B2
L' B L' D' U2 B2 L'
U' B L2 U2 L B' L
U' B L2 U2 B' L B'
L2 B R U L U L2
L2 B R U2 L' D' B2
U B L2 U2 L' B' L
L2 B R' U L U L2
L2 B R' U2 L' D' B2
L2 B R2 U L U L2
L2 B R2 U2 L' D' B2
L2 B U L U L2 D
L2 B U L U L2 D'
L2 B U L U L2 D2
L2 B U L D F2 U
L2 B U L F U L2
L2 B U L F' U L2
L2 B U L F2 U L2
L2 B U D L U L2
L2 B U D' L U L2
L2 B U D2 L U L2
L2 B U' B' U' L' B'
L2 B U' B2 R' U' L'
L2 B U2 L' U' L2 U
L2 B U2 L' D' B2 D
L2 B U2 L' D' B2 D'
L2 B U2 L' D' B2 D2
L2 B U2 L' B D' B2
L2 B U2 L' B' D' B2
L2 B U2 L' B2 D' B2
L2 B U2 D L' D' B2
L2 B U2 D' L' D' B2
L2 B U2 D2 L' D' B2
L2 B D U L U L2
L2 B D U2 L' D' B2
L2 B D' U L U L2
L2 B D' U2 L' D' B2
L2 B D2 U L U L2
L2 B D2 U2 L' D' B2
L2 B F U L F U
L2 B F2 R U L U
U B2 L2 R' F' U2 F2
U B2 R' L2 F' U2 F2
U B2 R' F' L2 U2 F
U B2 R' F' B' L2 U2
U B2 R' B' L2 F' U2
U B2 R' B' F' L2 U2
L B2 D' R' B D2 F2
