F2 L' R2 B D' R2
U L' F2 L' B' R'
F2 L' B D' R2 B
U L2 F2 B' L' R'
U L2 F2 B' R' L'
U L2 B' F2 L' R'
U L2 B' F2 R' L'
U' R F U2 R F
U R F U2 F R
F2 R2 L' B D' R2
U' F U2 R F L'
U F U2 F L' R
U F U2 F R L'
U' F R' U2 F L' R2
U' F R' U2 F R2 L'
U' F R' F L' R2 B
U' F R' F R2 L' B
U' F R' F R2 B L'
R F L2 D' B' L U2
U F R U2 F L' R
U F R U2 F R L'
U' F R2 U2 R' F L'
U' F R2 U2 F L' R'
U' F R2 U2 F R' L'
U F R' U2 F L' R
U F R' U2 F R L'
U F R2 U2 F L' R
U F R2 U2 F R L'
U' F U2 R F L' D
U' F U2 R F L' D'
U' F U2 R F L' D2
U' F U2 R F D L'
U' F U2 R F D' L'
U' F U2 R F D2 L'
U' F U2 R' F L' R2
U' F U2 R' F R2 L'
U' F U2 R2 F L' R'
U' F U2 R2 F R' L'
R F U B' U R' F
R F U B' U F R'
F2 D L' R2 B D' R2
L F U' F L B' L2
R F U' F' U' F2 R
R F U' F2 U' F' R
F2 D L' B D' R2 B
U F U2 R F L' R
U F U2 R F R L'
U F U2 R' F L' R
U F U2 R' F R L'
U F U2 R2 F L' R
U F U2 R2 F R L'
R F U2 R' F D R2
U F U2 F L' R D
U F U2 F L' R D'
U F U2 F L' R D2
U F U2 F L' D R
U F U2 F L' D' R
U F U2 F L' D2 R
U F U2 F R L' D
U F U2 F R L' D'
U F U2 F R L' D2
U F U2 F R D L'
U F U2 F R D' L'
U F U2 F R D2 L'
U F U2 F D L' R
U F U2 F D R L'
U F U2 F D' L' R
U F U2 F D' R L'
U F U2 F D2 L' R
U F U2 F D2 R L'
U' F B U2 R F L'
F2 D R2 L' B D' R2
U' F B' U2 R F L'
U' F B2 U2 R F L'
U F B' U2 R' F L'
U F B' U2 F L' R'
U F B' U2 F R' L'
U' F' L' F2 U2 F L'
F2 D' L' R2 B D' R2
F2 D' L' B D' R2 B
L2 F' D F' R B' L'
L2 F' D F' B' L' R
L2 F' D F' B' R L'
L2 F' D B' F' L' R
L2 F' D B' F' R L'
F2 D' R2 L' B D' R2
L2 F' B' D F' L' R
L2 F' B' D F' R L'
U' F2 L' R2 D2 B R'
U' F2 L' U2 F' U2 R
U' F2 L' D2 R2 B R'
L' F2 L' D' B R' B2
U2 F2 L' R2 D B R'
L' F2 L' B2 D' B R'
U F2 L' R' B' R' B
U F2 L' R2 B' R' B2
U F2 L' U2 F' L' U2
U F2 L' B' R2 B R
U F2 L' B2 R2 B R'
U' F2 R2 L' D2 B R'
U' F2 R2 D2 L' B R'
U' F2 R2 D2 B L' R'
U' F2 R2 D2 B R' L'
U2 F2 R2 L' D B R'
U F2 R' L' B' R' B
U2 F2 R2 D L' B R'
U2 F2 R2 D B L' R'
U2 F2 R2 D B R' L'
U F2 R' B' L' R' B
U F2 R' B' R' L' B
U F2 R' B' R' B L'
U F2 R2 L' B' R' B2
U F2 R2 B L' D2 R2
U F2 R2 B' L' R' B2
U F2 R2 B' R' L' B2
U F2 R2 B' R' B2 L'
L' F2 U' B' U L' B'
F2 D2 L' R2 B D' R2
F2 D2 L' B D' R2 B
U' F2 D2 L' R2 B R'
U' F2 D2 R2 L' B R'
U' F2 D2 R2 B L' R'
U' F2 D2 R2 B R' L'
L2 F2 D' B L' R' B2
L2 F2 D' B R' L' B2
L2 F2 D' B R' B2 L'
L2 F2 D' B' L' D2 R2
L' F2 B L' D' R2 B'
L' F2 B L' D' B' R2
L' F2 B D' L' R2 B'
L' F2 B D' L' B' R2
L' F2 B D' R2 L' B'
F2 D2 R2 L' B D' R2
L2 F2 B' L' U F U'
L' F2 B2 L' B' D' R2
U F2 B L' D2 R2 B
U F2 B' L' R2 B R
L2 F2 B2 D' L' B R'
L2 F2 B2 D' B L' R'
L2 F2 B2 D' B R' L'
U F2 B' R2 L' B R
U F2 B' R2 B L' R
U F2 B' R2 B R L'
U F2 B2 L' R2 B R'
U F2 B2 R2 L' B R'
U F2 B2 R2 B L' R'
U F2 B2 R2 B R' L'
U' B R F U2 R F
U B L2 F2 R B' L'
U B L2 F2 B' L' R
U B L2 F2 B' R L'
U B L2 B' F2 L' R
U B L2 B' F2 R L'
F2 B L' R2 B D' R2
F2 B L' B D' R2 B
U' B F U2 R F L'
F2 B R2 L' B D' R2
L' B F2 L' D' R2 B'
L' B F2 L' D' B' R2
L' B F2 D' L' R2 B'
L' B F2 D' L' B' R2
L' B F2 D' R2 L' B'
L' B' L' U F2 B' L'
L' B' L' U B' F2 L'
U B F2 L' D2 R2 B
U' B' R F U2 R F
U B' L' F2 L' R' B'
U B' L' F2 R' L' B'
U B' L2 F2 R' B' L'
U B' R U2 F2 R2 B
U B' R F U2 R2 F
U B' R F U2 F R2
F2 B' L' R2 B D' R2
F2 B' L' B D' R2 B
F2 B' R2 L' B D' R2
U' B' F U2 R F L'
L2 B' F' D F' L' R
L2 B' F' D F' R L'
L2 B' F2 L' U F U'
U B' F U2 R' F L'
U B' F U2 F L' R'
U B' F U2 F R' L'
U B' F2 L' R2 B R
U B' F2 R2 L' B R
U B' F2 R2 B L' R
U B' F2 R2 B R L'
U' B2 R F U2 R F
B' F2 L' R2 B D' R2
B' F2 L' B D' R2 B
B2 F2 L' R2 B D' R2
F2 B2 L' R2 B D' R2
B2 F2 L' B D' R2 B
F2 B2 L' B D' R2 B
B F2 L' R2 B D' R2
B F2 L' B D' R2 B
B' F2 R2 L' B D' R2
B2 F2 R2 L' B D' R2
F2 B2 R2 L' B D' R2
B F2 R2 L' B D' R2
U' B2 F U2 R F L'
L' B2 F2 L' B' D' R2
L2 B2 F2 D' L' B R'
L2 B2 F2 D' B L' R'
L2 B2 F2 D' B R' L'
U B2 F2 L' R2 B R'
U B2 F2 R2 L' B R'
U B2 F2 R2 B L' R'
U B2 F2 R2 B R' L'
