U2 D F' L' R B2
U2 D F' L' B2 R
U2 D F' R L' B2
U2 D F' R B2 L'
U2 D F' B2 L' R
U2 D F' B2 R L'
U2 D B2 F' L' R
U2 D B2 F' R L'
D U2 F' L' R B2
D U2 F' L' B2 R
D U2 F' R L' B2
D U2 F' R B2 L'
D U2 F' B2 L' R
D U2 F' B2 R L'
D U2 B2 F' L' R
D U2 B2 F' R L'
B D L F' R B2
B D L F' B2 R
B D L B2 F' R
B' D F' B2 L R
B' D F' B2 R L
B D F' L R B2
B D F' L B2 R
B D F' R L B2
D F' R B L B
D' F' R2 B L R'
D' F' R2 B R' L
D' F' R2 B R' L
B' D B2 L F' R
B' D B2 F' L R
B' D B2 F' R L
D F' B L B R
D B L F' B R
D B L B F' R
D B F' L B R
U2 D B2 F' R L' D
U2 D B2 F' R L' D'
U2 D B2 F' R L' D2
U2 D B2 F' R D L'
U2 D B2 F' R D' L'
U2 D B2 F' R D2 L'
U2 D B2 F' D L' R
U2 D B2 F' D R L'
U2 D B2 F' D' L' R
U2 D B2 F' D' R L'
U2 D B2 F' D2 L' R
U2 D B2 F' D2 R L'
L' D' F' D R2 B L
U2 D' F' L' R2 B R'
U2 D' F' R2 L' B R'
U2 D' F' R2 B L' R'
U2 D' F' R2 B R' L'
B' U' D F' B2 L R
B' U' D F' B2 R L
B' U' D B2 L F' R
B' U' D B2 F' L R
B' U' D B2 F' R L
B U' D L F' R B2
B U' D L F' B2 R
B U' D L B2 F' R
B U' D F' L R B2
B U' D F' L B2 R
B U' D F' R L B2
D U2 L F' L' R B2
D U2 L F' L' B2 R
D U2 L F' R L' B2
D U2 L F' R B2 L'
D U2 L F' B2 L' R
D U2 L F' B2 R L'
D U2 L B2 F' L' R
D U2 L B2 F' R L'
D U2 L' F' L' R B2
D U2 L' F' L' B2 R
D U2 L' F' R L' B2
D U2 L' F' R B2 L'
D U2 L' F' B2 L' R
D U2 L' F' B2 R L'
D U2 L' B2 F' L' R
D U2 L' B2 F' R L'
D U2 L2 F' L' R B2
D U2 L2 F' L' B2 R
D U2 L2 F' R L' B2
D U2 L2 F' R B2 L'
D U2 L2 F' B2 L' R
D U2 L2 F' B2 R L'
D U2 L2 B2 F' L' R
D U2 L2 B2 F' R L'
D' U2 F' L' R2 B R'
D' U2 F' R2 L' B R'
D' U2 F' R2 B L' R'
D' U2 F' R2 B R' L'
D U2 F' L R B2 L2
D U2 F' L B2 L2 R
D U2 F' L B2 R L2
D U2 F' L' R B2 D
D U2 F' L' R B2 D'
D U2 F' L' R B2 D2
D U2 F' L' R' B2 R2
D U2 F' L' B' R B'
D U2 F' L' B2 R D
D U2 F' L' B2 R D'
D U2 F' L' B2 R D2
D U2 F' L' B2 D R
D U2 F' L' B2 D' R
D U2 F' L' B2 D2 R
D U2 F' R L B2 L2
D U2 F' R L' B2 D
D U2 F' R L' B2 D'
D U2 F' R L' B2 D2
D U2 F' R B L' B
D U2 F' R B2 L' D
D U2 F' R B2 L' D'
D U2 F' R B2 L' D2
D U2 F' R B2 D L'
D U2 F' R B2 D' L'
D U2 F' R B2 D2 L'
D U2 F' R' L' B2 R2
D U2 F' R' B2 L' R2
D U2 F' R' B2 R2 L'
D U2 F' B L' B R
D U2 F' B' R B' L'
D U2 F' B2 L' R D
D U2 F' B2 L' R D'
D U2 F' B2 L' R D2
D U2 F' B2 L' D R
D U2 F' B2 L' D' R
D U2 F' B2 L' D2 R
D U2 F' B2 R L' D
D U2 F' B2 R L' D'
D U2 F' B2 R L' D2
D U2 F' B2 R D L'
D U2 F' B2 R D' L'
D U2 F' B2 R D2 L'
D U2 F' B2 D L' R
D U2 F' B2 D R L'
D U2 F' B2 D' L' R
D U2 F' B2 D' R L'
D U2 F' B2 D2 L' R
D U2 F' B2 D2 R L'
D U2 B F' L' B R
B' U2 D F' B2 L R
B' U2 D F' B2 R L
B' U2 D B2 L F' R
B' U2 D B2 F' L R
B' U2 D B2 F' R L
D U2 B' F' R B' L'
D U2 B2 L F' L' R
D U2 B2 L F' R L'
B U2 D L F' R B2
B U2 D L F' B2 R
D U2 B2 L' F' L' R
D U2 B2 L' F' R L'
B U2 D L B2 F' R
D U2 B2 L2 F' L' R
D U2 B2 L2 F' R L'
B U2 D F' L R B2
B U2 D F' L B2 R
B U2 D F' R L B2
D U2 B2 F' L' R D
D U2 B2 F' L' R D'
D U2 B2 F' L' R D2
D U2 B2 F' L' D R
D U2 B2 F' L' D' R
D U2 B2 F' L' D2 R
D U2 B2 F' R L' D
D U2 B2 F' R L' D'
D U2 B2 F' R L' D2
D U2 B2 F' R D L'
D U2 B2 F' R D' L'
D U2 B2 F' R D2 L'
D U2 B2 F' D L' R
D U2 B2 F' D R L'
D U2 B2 F' D' L' R
D U2 B2 F' D' R L'
D U2 B2 F' D2 L' R
D U2 B2 F' D2 R L'
L' F R2 B U' L F2
L' F R2 B U' F2 L
B' D L F' B2 L R
B' D L F' B2 R L
B' D L B2 L F' R
B' D L B2 F' L R
B' D L B2 F' R L
B' D L' F' B2 L R
B' D L' F' B2 R L
B' D L' B2 L F' R
B D L F' R B2 D
B D L F' R B2 D'
B D L F' R B2 D2
B D L F' R' B2 R2
B' D L' B2 F' L R
B' D L' B2 F' R L
B D L F' B' R B'
B D L F' B2 R D
B D L F' B2 R D'
B D L F' B2 R D2
B D L F' B2 D R
B D L F' B2 D' R
B D L F' B2 D2 R
B D L B' F' R B'
B D L B2 F' R D
B D L B2 F' R D'
B D L B2 F' R D2
B D L B2 F' D R
B D L B2 F' D' R
B D L B2 F' D2 R
B' D L2 F' B2 L R
B' D L2 F' B2 R L
B' D L2 B2 L F' R
B D L' F' L2 R B2
B D L' F' L2 B2 R
B D L' F' R L2 B2
B D L' F' R B2 L2
B' D L2 B2 F' L R
B' D L2 B2 F' R L
B D L' F' B2 L2 R
B D L' F' B2 R L2
B D L' B2 L2 F' R
B D L' B2 F' L2 R
B D L' B2 F' R L2
B D L2 B2 L' F' R
L' F B R2 U' L F2
L' F B R2 U' F2 L
L' F B' R2 U' F2 L'
B' D U F' B2 L R
B' D U F' B2 R L
B' D U B2 L F' R
B' D U B2 F' L R
B' D U B2 F' R L
D' F' L R2 B L R'
D' F' L R2 B R' L
B' D U' F' B2 L R
B' D U' F' B2 R L
B D U L F' R B2
B D U L F' B2 R
B D U L B2 F' R
B' D U' B2 L F' R
B' D U' B2 F' L R
B' D U' B2 F' R L
B D U F' L R B2
B D U F' L B2 R
B D U F' R L B2
D' F' L' R2 B L R'
D' F' L' R2 B R' L
B' D U2 F' B2 L R
B' D U2 F' B2 R L
B D U' L F' R B2
B D U' L F' B2 R
B D U' L B2 F' R
B' D U2 B2 L F' R
D F' L R B L B
B' D U2 B2 F' L R
B' D U2 B2 F' R L
B D U' F' L R B2
B D U' F' L B2 R
B D U' F' R L B2
U2 F' L' U R2 F U'
U2 F' L' U F R2 U'
B D U2 L F' R B2
B D U2 L F' B2 R
B D U2 L B2 F' R
D' F' L2 R2 B L R'
D F' L B L B R
D' F' L2 R2 B R' L
D F' L' R B L B
B D U2 F' L R B2
B D U2 F' L B2 R
B D U2 F' R L B2
B' D F' L B2 L R
B' D F' L B2 R L
B' D F' L' B2 L R
B' D F' L' B2 R L
B' D F' L2 B2 L R
B' D F' L2 B2 R L
B' D F' R B2 D2 L2
D F' L' B L B R
B' D F' B' R B' L
B' D F' B2 L R D
B' D F' B2 L R D'
B' D F' B2 L R D2
B' D F' B2 L D R
B' D F' B2 L D' R
B' D F' B2 L D2 R
B' D F' B2 R L D
B' D F' B2 R L D'
B' D F' B2 R L D2
B' D F' B2 R D L
B' D F' B2 R D' L
B' D F' B2 R D2 L
D F' L2 R B L B
B' D F' B2 D L R
B' D F' B2 D R L
B' D F' B2 D' L R
B' D F' B2 D' R L
B' D F' B2 D2 L R
B' D F' B2 D2 R L
B D F' L R B2 D
B D F' L R B2 D'
B D F' L R B2 D2
B D F' L R' B2 R2
B D F' L B' R B'
B D F' L B2 R D
B D F' L B2 R D'
B D F' L B2 R D2
B D F' L B2 D R
B D F' L B2 D' R
B D F' L B2 D2 R
B D F' L' R B2 L2
B D F' L' B2 L2 R
B D F' L' B2 R L2
B D F' L2 R B2 L'
B D F' L2 B2 L' R
B D F' L2 B2 R L'
B D F' R L B2 D
B D F' R L B2 D'
B D F' R L B2 D2
B D F' R L' B2 L2
B D F' R L2 B2 L'
B D F' R' L B2 R2
D F' L2 B L B R
D F' R L B L B
D F' R L' B L B
D F' R L2 B L B
F' D B L D2 B R'
B D F' B2 R D2 L2
D' F' R' B L R' B
D' F' R' B R' L B
D' F' R2 L B L R'
D' F' R2 L B R' L
D' F' R2 L' B L R'
D' F' R2 L' B R' L
D' F' R2 L2 B L R'
D' F' R2 L2 B R' L
D F' R B L D B
D F' R B L D' B
D F' R B L D2 B
D F' R B L B D
D F' R B L B D'
D F' R B L B D2
D F' R B L' B L2
D F' R B L2 B L'
D F' R B D L B
D F' R B D' L B
D F' R B D2 L B
F' D B D2 L B R'
D' F' R2 B L R' D
D' F' R2 B L R' D'
D' F' R2 B L R' D2
D' F' R2 B L D R'
D' F' R2 B L D' R'
D' F' R2 B L D2 R'
D' F' R2 B R' L D
D' F' R2 B R' L D'
D' F' R2 B R' L D2
D' F' R2 B R' D L
D' F' R2 B R' D' L
D' F' R2 B R' D2 L
D' F' R2 B D L R'
D' F' R2 B D R' L
D' F' R2 B D' L R'
D' F' R2 B D' R' L
D' F' R2 B D2 L R'
D' F' R2 B D2 R' L
D F' R' B L B R2
B' D B' F' R B' L
B' D B2 L F' R D
B' D B2 L F' R D'
B' D B2 L F' R D2
B' D B2 L F' D R
B' D B2 L F' D' R
B' D B2 L F' D2 R
B' D B2 L' F' L2 R
B' D B2 L' F' R L2
B' D B2 F' L R D
B' D B2 F' L R D'
B' D B2 F' L R D2
B' D B2 F' L D R
B' D B2 F' L D' R
B' D B2 F' L D2 R
B' D B2 F' R L D
B' D B2 F' R L D'
B' D B2 F' R L D2
B' D B2 F' R D L
B' D B2 F' R D' L
B' D B2 F' R D2 L
B' D B2 F' D L R
B' D B2 F' D R L
B' D B2 F' D' L R
B' D B2 F' D' R L
B' D B2 F' D2 L R
B' D B2 F' D2 R L
B D B2 F' R D2 L2
B D' L D2 F' R B2
B D' L D2 F' B2 R
B D' L D2 B2 F' R
B D' L F' R2 B R'
L' F' D R2 B L B
L' F' D B L B R2
D' F' B L R2 B R
L' F' B L D R2 B2
L' F' B L D B2 R2
D' F' B R' D2 L B'
D' F' B R2 L B R
L' F' B D L R2 B2
L' F' B D L B2 R2
L' F' B D R2 L B2
D F' B L D B R
D F' B L D' B R
D F' B L D2 B R
D F' B L B R D
D F' B L B R D'
D F' B L B R D2
D F' B L B D R
D F' B L B D' R
D F' B L B D2 R
D F' B L B' R B2
D F' B L B2 R B'
D F' B L' B L2 R
D F' B L' B R L2
D F' B L2 B L' R
D F' B L2 B R L'
D F' B R D2 L B'
L' F' B' D B2 L R2
L' F' B' D B2 R2 L
D F' B D L B R
D F' B D' L B R
D F' B D2 L B R
D F' B' R D2 B' L2
D F' B' R B' D2 L2
L F' B D L B2 R'
D F' B2 R B' L B
D' F2 L2 B' L R' U2
D' F2 L2 B' R' L U2
B D' F' L R2 B R'
B D' F' R2 L B R'
F' D' B L R' D2 B2
F' D' B L D2 R' B2
F' D' B R' L D2 B2
F' D' B R' D2 L B2
F' D' B D2 L R' B2
F' D' B D2 R' L B2
F' D' B' D2 B2 L R'
F' D' B' D2 B2 R' L
D' F2 B U2 R' F L
D' F2 B U2 F L R'
D' F2 B U2 F R' L
D' B L D2 F' R' B2
L' B L D F' R B2
L' B L D F' B2 R
L' B L D B2 F' R
D' B L F' R2 B R
D F2 B2 D2 F L' R
D F2 B2 D2 F R L'
L2 B L F' D R2 B2
L2 B L F' D B2 R2
D B L D2 F' B R'
D B L D2 B F' R'
D B L F' D B R
D B L F' D' B R
D B L F' D2 B R
D B L F' B R D
D B L F' B R D'
D B L F' B R D2
D B L F' B D R
D B L F' B D' R
D B L F' B D2 R
D B L F' B' R B2
D B L F' B2 R B'
D B L B F' R D
D B L B F' R D'
D B L B F' R D2
D B L B F' D R
D B L B F' D' R
D B L B F' D2 R
D B L B' F' R B2
D B L B2 F' R B'
L B L D' F' R2 B
D B L' F' L2 B R
D B L' F' B L2 R
D B L' F' B R L2
D B L' B L2 F' R
D B L' B F' L2 R
D B L' B F' R L2
D B L2 B L' F' R
D B U L F' B R
D B U L B F' R
D B U F' L B R
D B U' L F' B R
D B U' L B F' R
D B U' F' L B R
D B U2 L F' B R
D B U2 L B F' R
D2 B D' L F' R B2
D2 B D' L F' B2 R
D2 B D' L B2 F' R
D B U2 F' L B R
U2 B D F' L' R B2
U2 B D F' L' B2 R
U2 B D F' R L' B2
U2 B D F' R B2 L'
U2 B D F' B2 L' R
U2 B D F' B2 R L'
D2 B D' F' L R B2
D2 B D' F' L B2 R
D2 B D' F' R L B2
U2 B D B2 F' L' R
U2 B D B2 F' R L'
D' B D2 L F' R' B2
L B D L F' B2 R'
L B D L B2 F' R'
D' B D2 F' L R' B2
D' B D2 F' R' L B2
L B D F' L B2 R'
L B D' L F' R2 B
D B D2 L F' B R'
L' B F R2 U' L F2
L' B F R2 U' F2 L
D B D2 L B F' R'
L B D' F' L R2 B
L B D' F' R2 L B
D' B F' L R2 B R
L' B F' L D R2 B2
L' B F' L D B2 R2
D B D2 F' L B R'
D' B F' R' D2 L B'
D' B F' R2 L B R
L' B F' D L R2 B2
L' B F' D L B2 R2
L' B F' D R2 L B2
D' B F2 U2 R' F L
D' B F2 U2 F L R'
D' B F2 U2 F R' L
D B F' L D B R
D B F' L D' B R
D B F' L D2 B R
D B F' L B R D
D B F' L B R D'
D B F' L B R D2
D B F' L B D R
D B F' L B D' R
D B F' L B D2 R
D B F' L B' R B2
D B F' L B2 R B'
D B F' L' B L2 R
D B F' L' B R L2
D B F' L2 B L' R
D B F' L2 B R L'
D B F' R D2 L B'
D B F' D L B R
D B F' D' L B R
D B F' D2 L B R
D' B' L F2 R' U2 F
L B F' D L B2 R'
L B' U D F' B2 L
L B' U D B2 L F'
L B' U D B2 F' L
L B' U F' D B2 L
U2 B' D F' L' R B2
U2 B' D F' L' B2 R
U2 B' D F' R L' B2
U2 B' D F' R B2 L'
U2 B' D F' B2 L' R
U2 B' D F' B2 R L'
D2 B' D' F' B2 L R
D2 B' D' F' B2 R L
D2 B' D' B2 L F' R
U2 B' D B2 F' L' R
U2 B' D B2 F' R L'
D2 B' D' B2 F' L R
D2 B' D' B2 F' R L
L B' D U F' B2 L
L B' D U B2 L F'
L B' D U B2 F' L
D' B' D2 F' B2 L R'
D' B' D2 F' B2 R' L
D' B' D2 B2 L F' R'
D' B' D2 B2 F' L R'
D' B' D2 B2 F' R' L
L' B' F R2 U' F2 L'
L' B' F' D B2 L R2
L' B' F' D B2 R2 L
D B' F' R D2 B' L2
D B' F' R B' D2 L2
U2 B2 D F' L' R B2
U2 B2 D F' L' B2 R
U2 B2 D F' R L' B2
U2 B2 D F' R B2 L'
U2 B2 D F' B2 L' R
U2 B2 D F' B2 R L'
U2 B2 D B2 F' L' R
U2 B2 D B2 F' R L'
D B2 F' R B' L B
D B2 F2 D2 F L' R
D B2 F2 D2 F R L'
