D L2 R2 F L'
D L2 F L' R2
D L2 F R2 L'
D R2 L2 F L'
D L' R2 F L' F
D L' F L' R2 F
D L' F L' F R2
D L' F R2 L' F
D L2 R' F L' R'
D L2 R' F R' L'
D L2 R2 F L' D
D L2 R2 F L' D'
D L2 R2 F L' D2
D L2 R2 F D L'
D L2 R2 F D' L'
D L2 R2 F D2 L'
D2 L2 D' R2 F L'
D2 L2 D' F L' R2
D2 L2 D' F R2 L'
D L2 F L' R2 D
D L2 F L' R2 D'
D L2 F L' R2 D2
D L2 F R2 L' D
D L2 F R2 L' D'
D L2 F R2 L' D2
D L2 F R2 D L'
D L2 F R2 D' L'
D L2 F R2 D2 L'
U L2 F2 U' F' L'
D R' L2 F L' R'
D R' L2 F R' L'
D R2 L' F L' F
D R2 L2 F L' D
D R2 L2 F L' D'
D R2 L2 F L' D2
D R2 L2 F D L'
D R2 L2 F D' L'
D R2 L2 F D2 L'
R' D L2 R2 F L'
R' D L2 F L' R2
R' D L2 F R2 L'
R2 D L2 R2 F L'
D R2 F L2 F L
R2 D L2 F L' R2
R2 D L2 F R2 L'
R D L2 R2 F L'
R D L2 F L' R2
R' D R2 L2 F L'
R D L2 F R2 L'
R2 D R2 L2 F L'
R D R2 L2 F L'
U2 D' B' L2 U2 L'
D' U2 B' L2 U2 L'
D F L2 R2 F L
D F L2 F L R2
D F L2 F R2 L
D F R2 L2 F L
D' B' L2 U2 L' B
D' B' L2 U2 B L'
U2 D' B L2 R' B2 U2
U2 D' B L2 B2 U2 L
U2 D' B R' L2 B2 U2
U2 D' B R' B2 L2 U2
U2 D' B' L2 R U2 L'
U2 D' B' L2 R' U2 L'
U2 D' B' L2 R2 U2 L'
U2 D' B' L2 U2 L' D
U2 D' B' L2 U2 L' D'
U2 D' B' L2 U2 L' D2
U2 D' B' L2 U2 D L'
U2 D' B' L2 U2 D' L'
U2 D' B' L2 U2 D2 L'
U2 D' B' L2 D U2 L'
U2 D' B' L2 D' U2 L'
U2 D' B' L2 D2 U2 L'
U2 D' B' R L2 U2 L'
U2 D' B' R' L2 U2 L'
U2 D' B' R2 L2 U2 L'
U2 D' B' U2 D2 L R2
U2 D' B' U2 D2 R2 L
D2 U' B2 R2 U F' L'
U2 D' B' D2 U2 L R2
U2 D' B' D2 U2 R2 L
R' D2 L2 D' R2 F L'
U2 D' B2 L2 B U2 L
R' D2 L2 D' F L' R2
R' D2 L2 D' F R2 L'
R2 D2 L2 D' R2 F L'
R2 D2 L2 D' F L' R2
R2 D2 L2 D' F R2 L'
L' D2 R F' D' L2 R2
L' D2 R F' D' R2 L2
R D2 L2 D' R2 F L'
R D2 L2 D' F L' R2
R D2 L2 D' F R2 L'
D' U2 L2 U2 D2 F L'
D' U2 L2 D2 U2 F L'
D' U2 L2 B R' U2 F
D' U2 L2 B' U2 F L
D U2 L2 U2 R2 F L'
D U2 L2 U2 F L' R2
D U2 L2 U2 F R2 L'
D' U2 R B' L2 U2 L'
D U2 L2 F L' R2 B
D U2 L2 F R2 L' B
D U2 L2 F R2 B L'
D' U2 R' B' L2 U2 L'
D' U2 R2 B' L2 U2 L'
B' U2 L B D L2 R2
B' U2 L B D R2 L2
D' U2 B L2 R' B2 U2
D' U2 B L2 B2 U2 L
D' U2 B R' L2 B2 U2
D' U2 B R' B2 L2 U2
D' U2 B' L2 R U2 L'
D' U2 B' L2 R' U2 L'
D' U2 B' L2 R2 U2 L'
D' U2 B' L2 U2 L' D
D' U2 B' L2 U2 L' D'
D' U2 B' L2 U2 L' D2
D' U2 B' L2 U2 D L'
D' U2 B' L2 U2 D' L'
D' U2 B' L2 U2 D2 L'
D' U2 B' L2 D U2 L'
D' U2 B' L2 D' U2 L'
D' U2 B' L2 D2 U2 L'
D' U2 B' R L2 U2 L'
D' U2 B' R' L2 U2 L'
D' U2 B' R2 L2 U2 L'
D' U2 B' U2 D2 L R2
D' U2 B' U2 D2 R2 L
D' U2 B' D2 U2 L R2
D' U2 B' D2 U2 R2 L
D' U2 B2 L2 B U2 L
U' D2 B2 R2 U F' L'
B' U2 D' B' L B2 R'
L2 F L' U B' U' R'
D F L' R D2 R F'
D2 F L2 D' R2 F L'
D2 F L2 D' F L' R2
D2 F L2 D' F R2 L'
D F L2 R' F L R'
D F L2 R' F R' L
D F L2 R2 D F L
D F L2 R2 D' F L
D F L2 R2 D2 F L
D F L2 R2 F L D
D F L2 R2 F L D'
D F L2 R2 F L D2
D F L2 R2 F D L
D F L2 R2 F D' L
D F L2 R2 F D2 L
D F L2 R2 F' L F2
D F L2 R2 F2 L F'
D F L2 F L R2 D
D F L2 F L R2 D'
D F L2 F L R2 D2
D F L2 F R2 L D
D F L2 F R2 L D'
D F L2 F R2 L D2
D F L2 F R2 D L
D F L2 F R2 D' L
D F L2 F R2 D2 L
D F L2 F' L R2 F2
D F L2 F' L F2 R2
D F L2 F' R2 L F2
D F L2 F' R2 F2 L
D F L2 F2 L F' R2
D F R L' D2 R F'
D F R' L2 F L R'
D F R' L2 F R' L
D F R2 L2 D F L
D F R2 L2 D' F L
D F R2 L2 D2 F L
D F R2 L2 F L D
D F R2 L2 F L D'
D F R2 L2 F L D2
D F R2 L2 F D L
D F R2 L2 F D' L
D F R2 L2 F D2 L
D F R2 L2 F' L F2
D F R2 L2 F2 L F'
D F R2 U2 B' U2 L'
D F R2 D L2 F L
D F R2 D' L2 F L
D F R2 D2 L2 F L
D F R2 F' L2 F L'
L2 F U F B U' L
L2 F U B F U' L
D' F U2 B' L2 U2 L'
D2 F D' L2 R2 F L'
D2 F D' L2 F L' R2
D2 F D' L2 F R2 L'
D F U2 B' U2 L' R2
D F U2 B' U2 R2 L'
F' D L2 F L' D R2
F' D L2 F D L' R2
F' D L2 F D R2 L'
D2 F D' R2 L2 F L'
D' F D2 L2 R2 F L'
D' F D2 L2 F L' R2
D' F D2 L2 F R2 L'
D' F D2 R2 L2 F L'
D' F B' L2 U2 L' B
D' F B' L2 U2 B L'
B' D R2 F' R U2 R'
D F B' U2 L' B R2
D F B' U2 B L' R2
D F B' U2 B R2 L'
D F B2 L' R2 F' B2
D F B2 L' R2 B2 F'
D F B2 R2 L' F' B2
D F B2 R2 L' B2 F'
D F B2 R2 B2 L' F'
B' D F U2 L' B R2
B' D F U2 B L' R2
B' D F U2 B R2 L'
D2 F' L2 D' R2 F L'
D2 F' L2 D' F L' R2
D2 F' L2 D' F R2 L'
D F' L' F2 L' R2 F
D F' L' F2 L' F R2
D F' L' F2 R2 L' F
B' D F2 U2 B L R2
B' D F2 U2 B R2 L
D F' L2 F2 L' F' R2
B' D B L2 R2 F L'
B' D B L2 F L' R2
B' D B L2 F R2 L'
B' D B R2 L2 F L'
D F' R B' U2 B R
D F' R' D2 L2 R' F
D F' R' D2 L2 F R'
D F' R' D2 R' L2 F
D F' R2 U2 R' B' U2
D' F' U2 B' L2 U2 L'
D F' U2 R B' U2 R
B' D' L2 U2 B' L B2
D2 F' D' L2 R2 F L'
D2 F' D' L2 F L' R2
D2 F' D' L2 F R2 L'
D F' U2 B' R U2 R
D2 F' D' R2 L2 F L'
D' F' D2 L2 R2 F L'
D' F' D2 L2 F L' R2
D' F' D2 L2 F R2 L'
D' F' D2 R2 L2 F L'
D' F' B' L2 U2 L' B
D' F' B' L2 U2 B L'
D F' B2 R2 F' B2 L
D F' B2 R2 B2 L F'
D F' B2 R2 B2 F' L
B' D' U2 B' L B2 R'
D2 F2 L2 D' R2 F L'
D2 F2 L2 D' F L' R2
D2 F2 L2 D' F R2 L'
D F2 L' R2 F' L' F
L2 F2 L' B' U' F' B
L2 F2 L' B' U' B F'
U F2 L B' L U' F
D F2 L' F' L' R2 F
D F2 L' F' L' F R2
D F2 L' F' R2 L' F
D F2 L2 R2 F' L' F2
D F2 L2 F' L' R2 F2
D F2 L2 F' L' F2 R2
D F2 L2 F' R2 L' F2
U F2 L2 U' F' L' F2
D F2 R2 L' F' L' F
D F2 R2 L2 F' L' F2
D F2 R2 U2 B' R' U2
D F2 R2 F' L2 F L
D F2 R2 F2 L2 F L'
U F2 U D' B' U2 L
D' F2 U2 B' L2 U2 L'
U F2 U' D L2 F L'
D2 F2 D' L2 R2 F L'
D2 F2 D' L2 F L' R2
D2 F2 D' L2 F R2 L'
D F2 U2 B' R' U2 R'
D2 F2 D' R2 L2 F L'
D' F2 D2 L2 R2 F L'
U F2 D L2 U' F L'
D' F2 D2 L2 F L' R2
D' F2 D2 L2 F R2 L'
D' F2 D2 R2 L2 F L'
U F2 D U' L2 F L'
U F2 D' U B' U2 L
D' F2 B' L2 U2 L' B
D' F2 B' L2 U2 B L'
L2 F2 B U' F' B' L'
L2 F2 B U' B' F' L'
L2 F2 B' U' F' L' B
L2 F2 B' U' F' B L'
L2 F2 B' U' B F' L'
D F2 B' U2 B L R2
D F2 B' U2 B R2 L
L F2 B' L U' F B
L F2 B' L U' B F
L2 F2 B2 U' F' L' B2
L2 F2 B2 U' F' B2 L'
L2 F2 B2 U' B2 F' L'
D F2 B2 R2 F' L' B2
D F2 B2 R2 F' B2 L'
D F2 B2 R2 B2 F' L'
D' B L2 R' F B2 U2
D' B L2 R' B2 F U2
D' B L2 F R' B2 U2
D' B L2 F B2 U2 L
D' B L2 B2 F U2 L
D' B R' L2 F B2 U2
D' B R' L2 B2 F U2
D' B R' B2 L2 U2 B
D B R2 D2 F2 B' L
D B R2 D2 B' L F2
D B R2 D2 B' F2 L
D B R2 B' L2 F L'
D' B D2 R2 F2 B' L'
D' B D2 R2 B' F2 L'
L2 B F2 U' F' B' L'
L2 B F2 U' B' F' L'
U2 B' L U' F2 B' U'
U2 B' L U' B' F2 U'
D' B' L2 R' U2 L' B'
D' B' L2 U2 L B L2
D' B' L2 U2 L' D B
D' B' L2 U2 L' D' B
D' B' L2 U2 L' D2 B
D' B' L2 U2 L' B D
D' B' L2 U2 L' B D'
D' B' L2 U2 L' B D2
D' B' L2 U2 D L' B
D' B' L2 U2 D B L'
D' B' L2 U2 D' L' B
D' B' L2 U2 D' B L'
D' B' L2 U2 D2 L' B
D' B' L2 U2 D2 B L'
D' B' L2 U2 B L' D
D' B' L2 U2 B L' D'
D' B' L2 U2 B L' D2
D' B' L2 U2 B D L'
D' B' L2 U2 B D' L'
D' B' L2 U2 B D2 L'
D' B' L2 U2 B' L' B2
D' B' L2 D U2 L' B
D' B' L2 D U2 B L'
D' B' L2 D' U2 L' B
D' B' L2 D' U2 B L'
D' B' L2 D2 U2 L' B
D' B' L2 D2 U2 B L'
D' B' L2 F U2 B L
L B' L F2 U' F' B
L B' L F2 U' B F'
D' B' R' L2 U2 L' B'
D' B' R2 F' L2 U2 L'
D B' R2 F' R U2 R'
D' B' U2 L B2 R' B'
D' B' U2 D2 L B R2
D' B' D2 U2 L B R2
D' B' F L2 U2 L' B
D' B' F L2 U2 B L'
D' B' F' L2 U2 L' B
D' B' F' L2 U2 B L'
D' B' F2 L2 U2 L' B
D' B' F2 L2 U2 B L'
D B' F U2 L' B R2
D B' F U2 B L' R2
D B' F U2 B R2 L'
L2 B' F2 U' F' L' B
L2 B' F2 U' F' B L'
L2 B' F2 U' B F' L'
D B' F2 U2 B L R2
D B' F2 U2 B R2 L
L B' F2 L U' F B
L B' F2 L U' B F
D' B2 L2 B U2 L B
D2 B2 R2 U F' L' B2
D2 B2 R2 U F' B2 L'
D2 B2 R2 U B2 F' L'
D B2 R2 F L' F2 B2
D B2 R2 F L' B2 F2
D B2 R2 F B2 L' F2
D B2 R2 B2 F L' F2
U2 B2 D' L2 B R' U2
U2 B2 D' B L2 R' U2
U2 B2 D' B R' L2 U2
D B2 F L' R2 F' B2
D B2 F L' R2 B2 F'
D B2 F R2 L' F' B2
D B2 F R2 L' B2 F'
D B2 F R2 B2 L' F'
D B2 F' R2 F' B2 L
D B2 F' R2 B2 L F'
D B2 F' R2 B2 F' L
L2 B2 F2 U' F' L' B2
L2 B2 F2 U' F' B2 L'
L2 B2 F2 U' B2 F' L'
D B2 F2 R2 F' L' B2
D B2 F2 R2 F' B2 L'
D B2 F2 R2 B2 F' L'
