U L' D R2 F
U L' D F R2
U2 L F2 U' L2 F
U L' R D R2 F
U L' R D F R2
U L' R' D R2 F
U L' R' D F R2
U L' R2 D R2 F
U L' R2 D R2 F
U L' R2 D F R2
U L' U F2 U' F'
U' L' D F R2 B
U L' D R' F R'
U L' D R2 D F
U L' D R2 D' F
U L' D R2 D2 F
U L' D R2 F D
U L' D R2 F D'
U L' D R2 F D2
U L' D F R2 D
U L' D F R2 D'
U L' D F R2 D2
U L' D F' R2 F2
U L' D' F D2 R2
U L' D2 F D' R2
U L' F U F U'
U L2 D L R2 F
U L2 D L F R2
U L2 D R2 L F
R' U L' D R2 F
R' U L' D F R2
R2 U L' D R2 F
R2 U L' D F R2
R U L' D R2 F
R U L' D F R2
U R L' D R2 F
U R L' D F R2
D2 R B2 U L' F'
U R' L' D R2 F
U R' L' D F R2
U R2 L' D R2 F
U R2 L' D F R2
B' U L' D R2 F
B' U L' D F R2
B2 U L' D R2 F
B2 U L' D F R2
B U L' D R2 F
B U L' D F R2
U D R2 D' L' F
D U R2 D' L' F
L2 D' L F B2 R'
L2 D' L B2 R' F
L2 D' L B2 F R'
L F2 R U' L2 F
U2 F2 U' F2 L' F
D2 B2 R U L' F'
D2 B2 U D2 L' F
D2 B2 D2 U L' F
R U L' D R2 D2 F
R U L' D R2 F D
R U L' D R2 F D'
R U L' D R2 F D2
R U L' D F R2 D
R U L' D F R2 D'
R U L' D F R2 D2
R U L' D F' R2 F2
R U L' D' F D2 R2
R U L' D2 F D' R2
R' U L2 D L R2 F
R' U L2 D L F R2
R U L' F U F U'
R' U L2 D R2 L F
R2 U L2 D L R2 F
R2 U L2 D L F R2
R2 U L2 D R2 L F
R' U R L' D R2 F
R' U R L' D F R2
R U L2 D L R2 F
R U L2 D L F R2
R U L2 D R2 L F
U L2 F' L F D R2
R2 U R L' D R2 F
R2 U R L' D F R2
R U R L' D R2 F
R U R L' D F R2
U2 L2 F2 L' U' L2 F
U2 L2 F2 L2 U' L' F
R' U R' L' D R2 F
R' U R' L' D F R2
R2 U R' L' D R2 F
R2 U R' L' D F R2
R U R' L' D R2 F
R U R' L' D F R2
R' U R2 L' D R2 F
R' U R2 L' D F R2
R2 U R2 L' D R2 F
R2 U R2 L' D F R2
R U R2 L' D R2 F
R U R2 L' D F R2
R' U D R2 D' L' F
R2 U D R2 D' L' F
R U D R2 D' L' F
U' R L' D F R2 B
U R L' U F2 U' F'
U R L' D R' F R'
U R L' D R2 D F
U R L' D R2 D' F
U R L' D R2 D2 F
U R L' D R2 F D
U R L' D R2 F D'
U R L' D R2 F D2
U R L' D F R2 D
U R L' D F R2 D'
U R L' D F R2 D2
U R L' D F' R2 F2
U R L' D' F D2 R2
U R L' D2 F D' R2
U R L' F U F U'
D2 R U L' D' F' R2
D2 R U L' F' D' R2
B' R U L' D R2 F
B' R U L' D F R2
F' R U L' F L' R
F' R U L' F R L'
U R L2 D L R2 F
U R L2 D L F R2
U R L2 D R2 L F
B2 R U L' D R2 F
B2 R U L' D F R2
D2 R U D' L' F' R2
D R U L' D R F'
B R U L' D R2 F
B R U L' D F R2
F' R U F L' R F
F' R U F R L' F
D R U R D' L' F
D R U D L' R F'
D R U D R L' F'
D R U D' L' R F
D R U D' R L' F
L' U F2 U2 L U F'
L U F2 R U' L2 F
U' R U2 L' D R2 F
U' R U2 L' D F R2
D R D U L' R F'
D R D U R L' F'
U R D R2 D' L' F
D2 R D' U L' F' R2
D R D' U L' R F
D R D' U R L' F
R' U' L' D F R2 B
R2 U' L' D F R2 B
F' R F U L' F R
R U' L' D F R2 B
D2 R B2 U L F' L2
D2 R B2 U L' D F'
D2 R B2 U L' D' F'
D2 R B2 U L' D2 F'
D2 R B2 U L' F' D
D2 R B2 U L' F' D'
D2 R B2 U L' F' D2
D2 R B2 U L2 F' L
D2 R B2 U D L' F'
D2 R B2 U D' L' F'
D2 R B2 U D2 L' F'
D2 R B2 D U L' F'
D2 R B2 D' U L' F'
D2 R B2 D2 U L' F'
U' R' L' D F R2 B
U R' L' U F2 U' F'
U R' L' D R' F R'
U R' L' D R2 D F
U R' L' D R2 D' F
U R' L' D R2 D2 F
U R' L' D R2 F D
U R' L' D R2 F D'
U R' L' D R2 F D2
U R' L' D F R2 D
U R' L' D F R2 D'
U R' L' D F R2 D2
U R' L' D F' R2 F2
U R' L' D' F D2 R2
U R' L' D2 F D' R2
U R' L' F U F U'
D2 R' U L' D' R2 F'
B' R' U L' D R2 F
B' R' U L' D F R2
U R' L2 D L R2 F
U R' L2 D L F R2
B2 R' U L' D R2 F
B2 R' U L' D F R2
U R' L2 D R2 L F
D2 R' U D' L' R2 F'
D2 R' U D' R2 L' F'
B R' U L' D R2 F
B R' U L' D F R2
D R' U R' D' L' F
D R' U D' L' R' F
D R' U D' L' F R'
D R' U D' R' L' F
L U' F2 R U' L2 F
U' R' U2 L' D R2 F
U' R' U2 L' D F R2
U R' D R2 D' L' F
D2 R' D' U L' R2 F'
D2 R' D' U R2 L' F'
D R' D' U L' R' F
D R' D' U L' F R'
D R' D' U R' L' F
R' U2 L F2 U' L2 F
R2 U2 L F2 U' L2 F
R U2 L F2 U' L2 F
D2 R' B2 U L2 F L
D2 R' B2 U' B' U2 L'
L2 U2 D' L B2 R' F'
U' R2 L' D F R2 B
U2 R2 L' D R2 F B2
U2 R2 L' D R2 B2 F
U2 R2 L' D F R2 B2
U2 R2 L' D F B2 R2
U2 R2 L' D B2 R2 F
U2 R2 L' D B2 F R2
U R2 L' U F2 U' F'
U R2 L' D R' F R'
U R2 L' D R2 D F
U R2 L' D R2 D' F
U R2 L' D R2 D2 F
U R2 L' D R2 F D
U R2 L' D R2 F D'
U R2 L' D R2 F D2
U R2 L' D F R2 D
U R2 L' D F R2 D'
U R2 L' D F R2 D2
U R2 L' D F' R2 F2
U R2 L' D' F D2 R2
U R2 L' D2 F D' R2
U R2 L' F U F U'
B' R2 U L' D R2 F
B' R2 U L' D F R2
B2 R2 U L' D R2 F
B2 R2 U L' D F R2
U R2 L2 D L R2 F
U R2 L2 D L F R2
U R2 L2 D R2 L F
B R2 U L' D R2 F
B R2 U L' D F R2
R' U2 F2 U' F2 L' F
R2 U2 F2 U' F2 L' F
L U2 F2 R U' L2 F
U' R2 U2 L' D R2 F
U' R2 U2 L' D F R2
R U2 F2 U' F2 L' F
U R2 D R2 D' L' F
L' D L U L' R2 F
L' D L U L' F R2
L' D L U R2 L' F
L2 D L R2 D2 F B2
L2 D L R2 D2 B2 F
L2 D L F' R2 F2 B
L2 D L F' R2 B F2
F' R2 F B U L' F
F' R2 B U L' F L'
F' R2 B U F L' F
F' R2 B F U L' F
L2 D R2 L D2 F B2
L2 D R2 L D2 B2 F
L' D R2 F U' L U
L2 D R2 D2 L F B2
L2 D R2 D2 L B2 F
R' D U R2 D' L' F
D2 R2 B2 R' U L' F'
R2 D U R2 D' L' F
R D U R2 D' L' F
D2 U L' R D' F' R2
D2 U L' R F' D' R2
D2 U L' R' D' R2 F'
B' U L' R D R2 F
B' U L' R D F R2
B' U L' R' D R2 F
B' U L' R' D F R2
B' U L' R2 D R2 F
B' U L' R2 D F R2
B' U L' U F2 U' F'
B2 U L' R D R2 F
B2 U L' R D F R2
B2 U L' R' D R2 F
B2 U L' R' D F R2
B2 U L' R2 D R2 F
B2 U L' R2 D F R2
D' U L' D' F2 R F'
B' U L' D R' F R'
B' U L' D R2 D F
B' U L' D R2 D' F
B' U L' D R2 D2 F
B' U L' D R2 F D
B' U L' D R2 F D'
B' U L' D R2 F D2
L' D F R2 U' L U
B' U L' D F R2 D
B' U L' D F R2 D'
B' U L' D F R2 D2
B' U L' D F' R2 F2
B2 U L' U F2 U' F'
B' U L' D' F D2 R2
L' D F U' L U R2
B' U L' D2 F D' R2
F' U L' F L' D R2
B' U L' F U F U'
B2 U L' D R' F R'
F' U L' F D L' R2
F' U L' F D R2 L'
B2 U L' D R2 D F
B2 U L' D R2 D' F
B2 U L' D R2 D2 F
B2 U L' D R2 F D
B2 U L' D R2 F D'
B2 U L' D R2 F D2
B2 U L' D F R2 D
B2 U L' D F R2 D'
B2 U L' D F R2 D2
B2 U L' D F' R2 F2
D' U L' F2 D' R F'
B2 U L' D' F D2 R2
B2 U L' D2 F D' R2
B U L' R D R2 F
B U L' R D F R2
D U L' R D R F'
B2 U L' F U F U'
B U L' R' D R2 F
B U L' R' D F R2
B U L' R2 D R2 F
B U L' R2 D F R2
B U L' U F2 U' F'
B U L' D R' F R'
B U L' D R2 D F
B U L' D R2 D' F
B U L' D R2 D2 F
B U L' D R2 F D
B U L' D R2 F D'
B U L' D R2 F D2
B U L' D F R2 D
B U L' D F R2 D'
B U L' D F R2 D2
B U L' D F' R2 F2
U D L' R D R F'
B U L' D' F D2 R2
B' U L2 D L R2 F
B' U L2 D L F R2
B U L' D2 F D' R2
B' U L2 D R2 L F
B U L' F U F U'
L2 D F' L R2 F B
L2 D F' L R2 B F
B2 U L2 D L R2 F
B2 U L2 D L F R2
B2 U L2 D R2 L F
L2 D F' R2 L F B
L2 D F' R2 L B F
D2 U R L' D' F' R2
D2 U R L' F' D' R2
B' U R L' D R2 F
B' U R L' D F R2
B U L2 D L R2 F
B U L2 D L F R2
B U L2 D R2 L F
B2 U R L' D R2 F
B2 U R L' D F R2
D2 U R D' L' F' R2
L2 D F2 L F R2 B
B U R L' D R2 F
B U R L' D F R2
D U R L' D R F'
D2 U R' L' D' R2 F'
B' U R' L' D R2 F
B' U R' L' D F R2
D U R D L' R F'
D U R D R L' F'
D U R D' L' R F
D U R D' R L' F
B2 U R' L' D R2 F
B2 U R' L' D F R2
U D R L' D R F'
D2 U R' D' L' R2 F'
D2 U R' D' R2 L' F'
U D R D L' R F'
U D R D R L' F'
U D R D' L' R F
U D R D' R L' F
B U R' L' D R2 F
B U R' L' D F R2
B' U R2 L' D R2 F
B' U R2 L' D F R2
D U R' D' L' R' F
D U R' D' L' F R'
B2 U R2 L' D R2 F
B2 U R2 L' D F R2
D U R' D' R' L' F
U D R' D' L' R' F
U D R' D' L' F R'
U D R' D' R' L' F
B U R2 L' D R2 F
B U R2 L' D F R2
D U R2 D' L' D F
D U R2 D' L' D' F
D U R2 D' L' D2 F
D U R2 D' L' F D
D U R2 D' L' F D'
D U R2 D' L' F D2
B' U D R2 D' L' F
B2 U D R2 D' L' F
U D R2 D' L' D F
U D R2 D' L' D' F
U D R2 D' L' D2 F
U D R2 D' L' F D
U D R2 D' L' F D'
U D R2 D' L' F D2
B U D R2 D' L' F
L2 D' L R F B2 R'
L2 D' L R B2 R' F
L2 D' L R B2 F R'
L2 D' L R' F B2 R'
L2 D' L R' B2 R' F
L2 D' L R' B2 F R'
L2 D' L R2 F B2 R'
L2 D' L R2 B2 R' F
L2 D' L R2 B2 F R'
L2 D' L F R B2 R'
L2 D' L F R' B2 R'
L2 D' L F R2 B2 R'
L2 D' L F B2 R' D
L2 D' L F B2 R' D'
L2 D' L F B2 R' D2
L2 D' L F B2 D R'
L2 D' L F B2 D' R'
L2 D' L F B2 D2 R'
L2 D' L F' B2 R' F2
L2 D' L B2 R F R2
L2 D' L B2 R' D F
L2 D' L B2 R' D' F
L2 D' L B2 R' D2 F
L2 D' L B2 R' F D
L2 D' L B2 R' F D'
L2 D' L B2 R' F D2
L2 D' L B2 D R' F
L2 D' L B2 D F R'
L2 D' L B2 D' R' F
L2 D' L B2 D' F R'
F' U F L' D R2 F
F' U F L' D F R2
L2 D' L B2 D2 R' F
L2 D' L B2 D2 F R'
L2 D' L B2 F R' D
L2 D' L B2 F R' D'
L2 D' L B2 F R' D2
L2 D' L B2 F D R'
L2 D' L B2 F D' R'
L2 D' L B2 F D2 R'
L2 D' L B2 F' R' F2
L2 D' L2 U2 L' F B2
L2 D' L2 U2 L' B2 F
L2 D' L2 U2 B2 L' F
L2 D' R L F B2 R'
L2 D' R L B2 R' F
L2 D' R L B2 F R'
L2 D' R' L F B2 R'
L2 D' R' L B2 R' F
L2 D' R' L B2 F R'
L2 D' R2 L F B2 R'
L2 D' R2 L B2 R' F
L2 D' R2 L B2 F R'
U D' L' D' F2 R F'
U D' L' F2 D' R F'
L2 D' U2 L B2 R' F'
F2 U' L B' R U2 R'
F2 U' L' R U2 R' F
F2 U' L' R U2 F R'
B' U' L' D F R2 B
L2 D' F L F B2 R'
L2 D' F L B2 R' F
L2 D' F L B2 F R'
B2 U' L' D F R2 B
F2 U' L2 R U2 R' F'
B U' L' D F R2 B
L2 D' F' L F B2 R'
L2 D' F' L B2 R' F
L2 D' F' L B2 F R'
F2 U' R L' U2 R' F
F2 U' R L' U2 F R'
F2 U' R L2 U2 R' F'
L2 D' F2 L F B2 R'
L2 D' F2 L B2 R' F
L2 D' F2 L B2 F R'
F2 U' R B2 L B' U2
L' D2 L B2 U L' F
F2 U' D2 R U2 F' R'
R' D2 R B2 U L' F'
F2 U' F2 L' D2 F B2
F2 U' F2 L' D2 B2 F
R2 D2 R B2 U L' F'
U D2 L' R D' F' R2
U D2 L' R F' D' R2
U D2 L' R' D' R2 F'
R D2 R B2 U L' F'
U D2 R L' D' F' R2
U D2 R L' F' D' R2
U D2 R D' L' F' R2
U D2 R' L' D' R2 F'
B' U2 L F2 U' L2 F
U D2 R' D' L' R2 F'
U D2 R' D' R2 L' F'
B2 U2 L F2 U' L2 F
L' D2 F U' L B2 U
F' U2 L' F' U' F2 L'
B U2 L F2 U' L2 F
R' D2 B2 R U L' F'
R' D2 B2 U D2 L' F
R' D2 B2 D2 U L' F
R2 D2 B2 R U L' F'
R2 D2 B2 U D2 L' F
R2 D2 B2 D2 U L' F
R D2 B2 R U L' F'
R D2 B2 U D2 L' F
R D2 B2 D2 U L' F
F' U2 F' U' F2 L' F
L2 F L2 B' U L' F
B' U2 F2 U' F2 L' F
B2 U2 F2 U' F2 L' F
B U2 F2 U' F2 L' F
L' F U F U2 L U
L' F U' L2 B' L' U
F' D R F' R B U
B' D U R2 D' L' F
B2 D U R2 D' L' F
L' F B2 U R' F U'
L' F B2 U F R' U'
B D U R2 D' L' F
U2 F' L' F' U' F2 L'
U F' L' F L' D R2
U F' L' F D L' R2
U F' L' F D R2 L'
D F' D R F' B2 U
D F' D R B2 F' U
D F' D B2 R F' U
U2 F2 L U R B' U2
U2 F2 L U B' R U2
U2 F2 L' U R U2 F
U2 F2 L' U' F2 L' F'
L F2 L' R U' L' F
L F2 R L' U' L' F
L F2 R U B' U2 L2
L F2 R U' L2 D F
L F2 R U' L2 D' F
L F2 R U' L2 D2 F
L F2 R U' L2 F D
L F2 R U' L2 F D'
L F2 R U' L2 F D2
L F2 R U' F L2 F
L F2 R U' F' L2 F
L F2 R U' F2 L2 F
U' F2 U F2 U2 L' F
U2 F2 U D2 R U2 F'
U2 F2 U' L' F2 L' F'
U2 F2 U' F L' F L'
U2 F2 U' F2 L' D F
U2 F2 U' F2 L' D' F
U2 F2 U' F2 L' D2 F
U2 F2 U' F2 L' F D
U2 F2 U' F2 L' F D'
U2 F2 U' F2 L' F D2
D F2 U' R B U2 R
U2 F2 U2 F2 U L' F
B' D2 R B2 U L' F'
B2 D2 R B2 U L' F'
U2 F2 D2 U R U2 F'
B D2 R B2 U L' F'
U2 F2 B U' F2 L' F
D2 F2 B2 U' R U2 F'
U2 F2 B' U' F2 L' F
U2 F2 B2 U' F2 L' F
F2 D2 U' R U2 F' R'
U' B L' D F R2 B
U2 B L F2 U' L2 F
D' B R' U D2 L' R2
D' B R' U D2 R2 L'
D' B R' U' L2 U2 L
D' B R' D' B2 U L'
D' B R' D2 U L' R2
D' B R' D2 U R2 L'
R' B U L' D R2 F
R' B U L' D F R2
B' D2 B2 R U L' F'
B' D2 B2 U D2 L' F
B' D2 B2 D2 U L' F
B2 D2 B2 R U L' F'
B2 D2 B2 U D2 L' F
R2 B U L' D R2 F
R2 B U L' D F R2
B2 D2 B2 D2 U L' F
U' B U2 L' D R2 F
U' B U2 L' D F R2
D B U R2 D' L' F
U2 B U' L' D R2 F
U2 B U' L' D F R2
B D2 B2 R U L' F'
B D2 B2 U D2 L' F
R B U L' D R2 F
R B U L' D F R2
B D2 B2 D2 U L' F
D2 B D B R' U L'
D' B D' R' B2 U L'
D' B D2 R' U L' R'
D' B D2 R' U R' L'
D2 B D2 B U L' F
U2 B F2 U' F2 L' F
U' B' L' D F R2 B
U2 B' L F2 U' L2 F
U B' L' D F B R2
U B' L' D B R2 F
U B' L' D B F R2
D2 B' R B' U L' F'
U B' L' B D R2 F
U B' L' B D F R2
R' B' U L' D R2 F
R' B' U L' D F R2
D' B' U L' D F2 R
R2 B' U L' D R2 F
R2 B' U L' D F R2
U' B' U2 L' D R2 F
U' B' U2 L' D F R2
D B' U R2 D' L' F
U2 B' U' L' D R2 F
U2 B' U' L' D F R2
R B' U L' D R2 F
R B' U L' D F R2
L B' U' F2 R U' L2
D' B' D' B2 R' U L'
