F' L' F2 U R
F' L' F2 U R D
F' L' F2 U R D'
F' L' F2 U R D2
F' L' F2 U D R
F' L' F2 U D' R
F' L' F2 U D2 R
F' L' F2 D U R
F' L' F2 D' U R
F' L' F2 D2 U R
F' L' F2 B U R
F' L' F2 B' U R
F' L' F2 B2 U R
F' L' B F2 U R
F' L' B' F2 U R
F' L' B2 F2 U R
U' L2 U' B' R' U'
F L2 U2 R U' R'
L2 U2 B' R' U' R
F U' L2 U' R U'
F U2 R U L2 U2
F U2 R U' D2 R2
F U2 R D F2 U'
F U2 R D2 U' R2
F U2 D R F2 U'
F U2 D2 R U' R
D2 F U2 R U' R
D F U2 R F U'
D' F B2 U2 R U'
D2 F' L' F2 U R2
D' F' L' F2 B2 U
D' F' L' B2 F2 U
F D U2 R F2 U'
F' D' L' B2 U L'
D' F' B2 L' F2 U
F' D' B2 L' U L'
F D' B2 U2 R U'
F D2 U2 R U' R
F' B L' F2 U R
F' B' L' F2 U R
B' F' L' F2 U R
B2 F' L' F2 U R
B F' L' F2 U R
F' B2 L' F2 U R
D' B2 F U2 R U'
D' B2 F' L' F2 U
F R' D2 R L2 U R
U' R' F' L2 U F2 U
U' R' F' L2 U2 D' L2
U' R' F' L2 D R2 U2
U' R' F' L2 D' U2 L2
L2 U2 R' B' R' U' R2
L2 U2 R2 B' R' U' R'
L2 U2 D B' R' U' R
L2 U2 D' B' R' U' R
L2 U2 D2 B' R' U' R
F' R2 L' F2 R2 U R'
L2 U2 F B' R' U' R
L2 U2 F' B' R' U' R
L2 U2 F2 B' R' U' R
L2 U2 B' R' U' R D
L2 U2 B' R' U' R D'
L2 U2 B' R' U' R D2
L2 U2 B' R' U' D R
L2 U2 B' R' U' D' R
L2 U2 B' R' U' D2 R
L2 U2 B' R' D U' R
L2 U2 B' R' D' U' R
L2 U2 B' R' D2 U' R
L2 U2 B' D R' U' R
L2 U2 B' D' R' U' R
L2 U2 B' D2 R' U' R
L2 U2 B' F R' U' R
L2 U2 B' F' R' U' R
L2 U2 B' F2 R' U' R
F R2 D' B2 L U F2
D' R2 F R2 B2 L U
F' U L D' B2 L2 R'
F' U L D' B2 R' L2
L2 D U2 B' R' U' R
F' U L' F2 U R F2
F U R D2 R2 D B2
F U R' D B2 D R2
F U R' D2 R2 D' B2
F U D R' D R2 B2
F U D R' D B2 R2
U2 D F2 U2 F' L' U
F U D2 R' D R' B2
F U D2 R2 U R' U'
L2 D' U2 B' R' U' R
F' U' L2 U L F2 U
B' U' L2 U' B' R' U'
F' U' L2 U F2 L U
B2 U' L2 U' B' R' U'
B U' L2 U' B' R' U'
F U' L2 U' R U' D
F U' L2 U' R U' D'
F U' L2 U' R U' D2
F U' L2 U' R D U'
F U' L2 U' R D' U'
F U' L2 U' R D2 U'
F U' L2 U' D R U'
F U' L2 U' D' R U'
F U' L2 U' D2 R U'
F U' L2 D U' R U'
F U' L2 D' U' R U'
F U' L2 D2 U' R U'
F U' L2 F2 U L' U
F U' F2 L2 U L U
L2 D2 U2 B' R' U' R
F U2 R U L2 U2 D
F U2 R U L2 U2 D'
F U2 R U L2 U2 D2
F U2 R U L2 D U2
F U2 R U L2 D' U2
F U2 R U L2 D2 U2
D U2 F2 U2 F' L' U
F U2 R U' R D2 R2
F U2 R U' R' D2 R2
F U2 R U' R2 D2 R2
F U2 R U' D2 R2 D
F U2 R U' D2 R2 D'
F U2 R U' D2 R2 D2
F U2 R U2 D' B2 U
F U2 R D F2 U' D
F U2 R D F2 U' D'
F U2 R D F2 U' D2
F U2 R D F2 D U'
F U2 R D F2 D' U'
F U2 R D F2 D2 U'
F U2 R D' U2 B2 U
F U2 R D2 U' R2 D
F U2 R D2 U' R2 D'
F U2 R D2 U' R2 D2
F U2 R D2 F U' R2
F U2 R D2 F' U' R2
F U2 R D2 F2 U' R2
F U2 R F U L2 U2
F U2 R F U' D2 R2
F U2 R F D F2 U'
F U2 R F D2 U' R2
F U2 R F' U L2 U2
F U2 R F' U' D2 R2
F U2 R F' D F2 U'
F U2 R F' D2 U' R2
F U2 R F2 U L2 U2
F U2 R F2 U' D2 R2
F U2 R F2 D F2 U'
F U2 R F2 D2 U' R2
F U2 R' D F2 U' B2
F U2 R2 D R' F2 U'
F U2 R2 D F2 R' U'
F U2 R2 D2 R' U' R'
D2 F L U2 R U' R
F U2 D R U' D R2
F U2 D R D U' R2
F U2 D R F2 U' D
F U2 D R F2 U' D'
F U2 D R F2 U' D2
D' F L B2 U2 R U'
F U2 D R F2 D U'
F U2 D R F2 D' U'
F U2 D R F2 D2 U'
F U2 D R' F2 R2 U'
F U2 D R2 F2 R' U'
F U2 D F2 U2 L' U
D2 F L' U2 R U' R
F U2 D' R U' D' R2
F U2 D' R U2 B2 U
F U2 D' R D' U' R2
F U2 D' R D2 F2 U'
D' F L' B2 U2 R U'
D2 F L2 U2 R U' R
F U2 D2 R U' R D
F U2 D2 R U' R D'
F U2 D2 R U' R D2
F U2 D2 R U' D R
F U2 D2 R U' D' R
F U2 D2 R U' D2 R
F U2 D2 R D U' R
F U2 D2 R D' U' R
F U2 D2 R D2 U' R
D' F L2 B2 U2 R U'
D F L2 B' U2 R U'
F U2 F2 D F2 R U'
D' F R2 B2 L R2 U
D' F R2 B2 R2 L U
D2 F U R' D R' B2
D2 F U R2 U R' U'
R F R' D2 L2 U R2
R2 F R2 D' B2 L U
D' F U2 R U' D' R2
D' F U2 R U2 B2 U
D' F U2 R D' U' R2
D' F U2 R D2 F2 U'
D2 F U2 R U' R D
D2 F U2 R U' R D'
D2 F U2 R U' R D2
D2 F U2 R U' D R
D2 F U2 R U' D' R
D2 F U2 R U' D2 R
D2 F U2 R D U' R
D2 F U2 R D' U' R
D2 F U2 R D2 U' R
D' F U2 D' R U' R
D' F U2 D2 R F2 U'
D2 F U2 D' R F2 U'
F' D L' D2 B2 U L2
F D L U2 R F2 U'
D F U2 R D F U'
D F U2 R D' F U'
D F U2 R D2 F U'
D F U2 R F U' D
D F U2 R F U' D'
D F U2 R F U' D2
D F U2 R F D U'
D F U2 R F D' U'
D F U2 R F D2 U'
L2 F U2 B' R U' R'
D F U2 R' F R2 U'
D F U2 R2 F R' U'
D F U2 D R F U'
D F U2 D' R F U'
D F U2 D2 R F U'
D2 F D B2 U2 R U'
D' F D' U2 R U' R
F D L' U2 R F2 U'
D2 F D' U2 R F2 U'
D F D U2 R F U'
D' F D2 U2 R F2 U'
F D L2 U2 R F2 U'
D F D' U2 R F U'
D2 F B U2 R U' R
D F D2 U2 R F U'
D2 F B' U2 R U' R
D' F B2 L U2 R U'
D' F B2 L' U2 R U'
D' F B2 L2 U2 R U'
D F B U2 R F U'
D' F B2 U2 R U' D
D' F B2 U2 R U' D'
D' F B2 U2 R U' D2
D' F B2 U2 R D U'
D' F B2 U2 R D' U'
D' F B2 U2 R D2 U'
D2 F B2 U2 R U' R
D' F B2 U2 D R U'
D' F B2 U2 D' R U'
D' F B2 U2 D2 R U'
D' F B2 D U2 R U'
D' F B2 D' U2 R U'
D' F B2 D2 U2 R U'
D F B' U2 R F U'
D2 F' L F2 L2 U R2
D' F' L F2 L2 B2 U
D' F' L F2 B2 L2 U
D' F' L B2 L2 F2 U
D' F' L B2 F2 L2 U
F D U R' D R2 B2
F D U R' D B2 R2
D F B2 U2 R F U'
D' F' L' U D' L2 R2
D' F' L' U D' R2 L2
D2 F' L' U R2 D' L2
D' F' L' D' U L2 R2
D' F' L' D' U R2 L2
D' F' L' F2 U D' R2
D2 F' L' F2 U R2 D
D2 F' L' F2 U R2 D'
D2 F' L' F2 U R2 D2
D' F' L' F2 D' U R2
D2 F' L' F2 D B2 U
D2 F' L' F2 B U R2
D2 F' L' F2 B' U R2
D' F' L' F2 B2 U D
D' F' L' F2 B2 U D'
D' F' L' F2 B2 U D2
D' F' L' F2 B2 D U
D' F' L' F2 B2 D' U
D' F' L' F2 B2 D2 U
D2 F' L' F2 B2 U R2
D2 F' L' B F2 U R2
D2 F' L' B' F2 U R2
D' F' L' B2 U D' L2
D' F' L' B2 D' U L2
D' F' L' B2 F2 U D
D' F' L' B2 F2 U D'
D' F' L' B2 F2 U D2
D2 F' L' B2 F2 U R2
D' F' L' B2 F2 D U
D' F' L' B2 F2 D' U
D' F' L' B2 F2 D2 U
B' D F U2 R F U'
D F' L F2 L2 B' U
R2 F' L' R2 F2 U R
B2 D F U2 R F U'
F D U2 R U' D R2
F D U2 R D U' R2
F D U2 R F2 U' D
F D U2 R F2 U' D'
F D U2 R F2 U' D2
F D U2 R F2 D U'
F D U2 R F2 D' U'
F D U2 R F2 D2 U'
F D U2 R' F2 R2 U'
D2 F' L2 F2 L U R2
D' F' L2 F2 L B2 U
F D U2 R2 F2 R' U'
R2 F' L' F2 R2 U R'
F D U2 F2 U2 L' U
D F' L' F2 U2 F U'
R F' L' R' F2 U R
B D F U2 R F U'
L F' L' D' F B2 U
L F' L' D' B2 F U
L F' L' D2 F U R2
L F' L' F U D2 R2
L F' L' F U' L2 U2
L F' L' F D' B2 U
L F' L' F D2 U R2
R F' L' F2 R' U R2
R2 F' R2 L' F2 U R
R F' R' L' F2 U R
F D B U2 R F2 U'
F D B' U2 R F2 U'
F2 D' L F' B2 U B
F D B2 U2 R F2 U'
F' D' L' U L' D' R2
F' D' L' U D' L' R2
F' D' L' U D' R2 L'
F2 D' L B2 F' U B
F' D' L' D' U L' R2
F' D' L' D' U R2 L'
F' D' L' B2 U L' D
F' D' L' B2 U L' D'
F' D' L' B2 U L' D2
F' D' L' B2 U D L'
F' D' L' B2 U D' L'
F' D' L' B2 U D2 L'
F' D' L' B2 D U L'
F' D' L' B2 D' U L'
F' D' L' B2 D2 U L'
D' F' D' L' U L' R2
D' F' D' L' U R2 L'
F D' L B2 U2 R U'
F D' L' B2 U2 R U'
D2 F' B L' F2 U R2
D' F' B L' F2 B U
D' F' B L' B F2 U
F D' L2 B2 U2 R U'
D2 F' B' L' F2 U R2
D' F' B2 L F2 L2 U
D2 F' B2 L' F2 U R2
D' F' B2 L' U D' L2
D' F' B2 L' D' U L2
D' F' B2 L' F2 U D
D' F' B2 L' F2 U D'
D' F' B2 L' F2 U D2
D' F' B2 L' F2 D U
D' F' B2 L' F2 D' U
D' F' B2 L' F2 D2 U
D' F' B2 L2 F2 L U
D' F' B2 D' L' U L'
F D' R2 B2 L R2 U
F D' R2 B2 R2 L U
L F' B2 L' F U R'
U' F2 L2 U F' L' U
B' D' F B2 U2 R U'
B' D' F' L' F2 B2 U
B' D' F' L' B2 F2 U
F D' U2 R U' D' R2
F D' U2 R U2 B2 U
F D' U2 R D' U' R2
F D' U2 R D2 F2 U'
B2 D' F B2 U2 R U'
B2 D' F' L' F2 B2 U
B2 D' F' L' B2 F2 U
F2 D' F' L B2 U B
B' D' F' B2 L' F2 U
B D' F B2 U2 R U'
B2 D' F' B2 L' F2 U
F2 D' F' B2 L U B'
B D' F' L' F2 B2 U
B D' F' L' B2 F2 U
F' D' B L' B U L'
B D' F' B2 L' F2 U
F D' F2 L' F2 B2 U
F D' F2 L' B2 F2 U
F D' F2 B2 L' F2 U
F' D' B2 L' U L' D
F' D' B2 L' U L' D'
F' D' B2 L' U L' D2
F' D' B2 L' U D L'
F' D' B2 L' U D' L'
F' D' B2 L' U D2 L'
F' D' B2 L' D U L'
F' D' B2 L' D' U L'
F' D' B2 L' D2 U L'
F2 D' B2 L F' U B'
B' D' B2 F U2 R U'
B' D' B2 F' L' F2 U
F' D' B2 D L' F2 U
B2 D' B2 F U2 R U'
B2 D' B2 F' L' F2 U
F2 D' B2 F' L U B'
F D' B2 L U2 R U'
F D' B2 L' U2 R U'
F D' B2 L2 U2 R U'
B D' B2 F U2 R U'
B D' B2 F' L' F2 U
F D' B2 U2 R U' D
F D' B2 U2 R U' D'
F D' B2 U2 R U' D2
F D' B2 U2 R D U'
F D' B2 U2 R D' U'
F D' B2 U2 R D2 U'
F' D2 L' U R2 D L2
F D' B2 U2 D R U'
F D' B2 U2 D' R U'
F D' B2 U2 D2 R U'
F D' B2 D U2 R U'
F D' B2 D' U2 R U'
F' D2 L' U2 B2 U' R2
F D' B2 D2 U2 R U'
F' D2 L' D B2 U L2
F D' B2 F2 L' F2 U
F D2 L U2 R U' R
F D2 L' U2 R U' R
F D2 L2 U2 R U' R
F D2 U R' D R' B2
F D2 U R2 U R' U'
B' D2 F U2 R U' R
B2 D2 F U2 R U' R
B' D2 F' L' F2 U R2
F D2 U2 R U' R D
F D2 U2 R U' R D'
F D2 U2 R U' R D2
F D2 U2 R U' D R
F D2 U2 R U' D' R
F D2 U2 R U' D2 R
F D2 U2 R D U' R
F D2 U2 R D' U' R
F D2 U2 R D2 U' R
B2 D2 F' L' F2 U R2
B D2 F U2 R U' R
F2 D2 F' B' L U R2
B D2 F' L' F2 U R2
F D2 F2 L' F2 U R2
F2 D2 B' L F' U R2
F2 D2 B' F' L U R2
F D2 B U2 R U' R
F D2 B' U2 R U' R
F D2 B2 U2 R U' R
F' B L' F2 U R D
F' B L' F2 U R D'
F' B L' F2 U R D2
F' B L' F2 U D R
F' B L' F2 U D' R
F' B L' F2 U D2 R
F' B L' F2 D U R
F' B L' F2 D' U R
F' B L' F2 D2 U R
F' B L' F2 B U R
F' B L' F2 B' U R
F' B L' F2 B2 U R
F' B L' B F2 U R
F' B L' B' F2 U R
B' F L2 U2 R U' R'
F' B L' B2 F2 U R
B2 F L2 U2 R U' R'
B F L2 U2 R U' R'
F B L2 U2 R U' R'
D2 B F U2 R U' R
D2 B F' L' F2 U R2
D' B F' L' F2 B U
D' B F' L' B F2 U
D B F U2 R F U'
B' F U' L2 U' R U'
B2 F U' L2 U' R U'
B' F U2 R U L2 U2
B' F U2 R U' D2 R2
B' F U2 R D F2 U'
B' F U2 R D2 U' R2
B' F U2 D R F2 U'
B' F U2 D2 R U' R
B F U' L2 U' R U'
B2 F U2 R U L2 U2
B2 F U2 R U' D2 R2
B2 F U2 R D F2 U'
B2 F U2 R D2 U' R2
B2 F U2 D R F2 U'
B2 F U2 D2 R U' R
F B U' L2 U' R U'
B' F D U2 R F2 U'
B F U2 R U L2 U2
B F U2 R U' D2 R2
B F U2 R D F2 U'
B F U2 R D2 U' R2
B F U2 D R F2 U'
B F U2 D2 R U' R
B2 F D U2 R F2 U'
F B U2 R U L2 U2
F B U2 R U' D2 R2
F B U2 R D F2 U'
F B U2 R D2 U' R2
F B U2 D R F2 U'
F' B D' L' B2 U L'
F B U2 D2 R U' R
B' F D' B2 U2 R U'
B F D U2 R F2 U'
F' B D' B2 L' U L'
B' F D2 U2 R U' R
B2 F D' B2 U2 R U'
F B D U2 R F2 U'
B2 F D2 U2 R U' R
B F D' B2 U2 R U'
F B D' B2 U2 R U'
B F D2 U2 R U' R
F B D2 U2 R U' R
B' F' L' F2 U R D
B' F' L' F2 U R D'
B' F' L' F2 U R D2
B' F' L' F2 U D R
B' F' L' F2 U D' R
B' F' L' F2 U D2 R
B' F' L' F2 D U R
B' F' L' F2 D' U R
B' F' L' F2 D2 U R
B' F' L' F2 B U R
B' F' L' F2 B' U R
B' F' L' F2 B2 U R
B' F' L' B F2 U R
B' F' L' B' F2 U R
B' F' L' B2 F2 U R
F' B' L' F2 U R D
F' B' L' F2 U R D'
F' B' L' F2 U R D2
F' B' L' F2 U D R
F' B' L' F2 U D' R
F' B' L' F2 U D2 R
F' B' L' F2 D U R
F' B' L' F2 D' U R
F' B' L' F2 D2 U R
F' B' L' F2 B U R
F' B' L' F2 B' U R
F' B' L' F2 B2 U R
F' B' L' B F2 U R
F' B' L' B' F2 U R
B2 F' L' F2 U R D
B2 F' L' F2 U R D'
B2 F' L' F2 U R D2
B2 F' L' F2 U D R
B2 F' L' F2 U D' R
B2 F' L' F2 U D2 R
B2 F' L' F2 D U R
B2 F' L' F2 D' U R
B2 F' L' F2 D2 U R
B2 F' L' F2 B U R
B2 F' L' F2 B' U R
B2 F' L' F2 B2 U R
F' B' L' B2 F2 U R
B2 F' L' B F2 U R
B2 F' L' B' F2 U R
B2 F' L' B2 F2 U R
B F' L' F2 U R D
B F' L' F2 U R D'
B F' L' F2 U R D2
B F' L' F2 U D R
B F' L' F2 U D' R
B F' L' F2 U D2 R
B F' L' F2 D U R
B F' L' F2 D' U R
B F' L' F2 D2 U R
B F' L' F2 B U R
B F' L' F2 B' U R
B F' L' F2 B2 U R
B F' L' B F2 U R
B F' L' B' F2 U R
B F' L' B2 F2 U R
F B' L2 U2 R U' R'
D2 B' F U2 R U' R
D2 B' F' L' F2 U R2
D B' F U2 R F U'
F B' U' L2 U' R U'
B' F' D' L' B2 U L'
D' B2 L F' L' F U
F B' U2 R U L2 U2
F B' U2 R U' D2 R2
F B' U2 R D F2 U'
F B' U2 R D2 U' R2
F' B' D' L' B2 U L'
F B' U2 D R F2 U'
F B' U2 D2 R U' R
B2 F' D' L' B2 U L'
B' F' D' B2 L' U L'
F' B' D' B2 L' U L'
B2 F' D' B2 L' U L'
F B' D U2 R F2 U'
B F' D' L' B2 U L'
D' B2 L2 U2 B' R' U'
B F' D' B2 L' U L'
F B' D' B2 U2 R U'
F B' D2 U2 R U' R
F' B2 L' F2 U R D
F' B2 L' F2 U R D'
F' B2 L' F2 U R D2
F' B2 L' F2 U D R
F' B2 L' F2 U D' R
F' B2 L' F2 U D2 R
F' B2 L' F2 D U R
F' B2 L' F2 D' U R
F' B2 L' F2 D2 U R
F' B2 L' F2 B U R
F' B2 L' F2 B' U R
F' B2 L' F2 B2 U R
F' B2 L' B F2 U R
F' B2 L' B' F2 U R
F' B2 L' B2 F2 U R
F B2 L2 U2 R U' R'
D' B2 D F U2 R U'
D' B2 D F' L' F2 U
D' B2 D' F U2 R U'
D' B2 D' F' L' F2 U
D' B2 D2 F U2 R U'
D' B2 D2 F' L' F2 U
F B2 U' L2 U' R U'
D' B2 F L U2 R U'
D' B2 F L' U2 R U'
D' B2 F L2 U2 R U'
D2 B2 F U2 R U' R
D' B2 F U2 R U' D
D' B2 F U2 R U' D'
D' B2 F U2 R U' D2
D' B2 F U2 R D U'
D' B2 F U2 R D' U'
D' B2 F U2 R D2 U'
D' B2 F U2 D R U'
D' B2 F U2 D' R U'
D' B2 F U2 D2 R U'
D' B2 F D U2 R U'
D' B2 F D' U2 R U'
D2 B2 F' L' F2 U R2
F B2 U2 R U L2 U2
F B2 U2 R U' D2 R2
D' B2 F D2 U2 R U'
F B2 U2 R D F2 U'
F B2 U2 R D2 U' R2
F' B2 D' L' B2 U L'
D' B2 F' L F2 L2 U
D' B2 F' L' U D' L2
D' B2 F' L' D' U L2
D' B2 F' L' F2 U D
D' B2 F' L' F2 U D'
D' B2 F' L' F2 U D2
D' B2 F' L' F2 D U
D' B2 F' L' F2 D' U
D' B2 F' L' F2 D2 U
F B2 U2 D R F2 U'
D' B2 F' L2 F2 L U
F B2 U2 D2 R U' R
D' B2 F' D' L' U L'
F' B2 D' B2 L' U L'
F B2 D U2 R F2 U'
D B2 F U2 R F U'
L B2 F' L' F U R'
F B2 D' B2 U2 R U'
F B2 D2 U2 R U' R
