D' L2 D F R B2
D' L2 D F B2 R
D' L2 D B2 F R
D' L2 F D R B2
D' L2 F D B2 R
B' U F2 U B' R'
F2 U B2 R2 F' R
B' U2 D' B' L2 R'
B' U2 D' B' R' L2
B' U2 B' R' D' L2
B' U2 B' D' L2 R'
B' U2 B' D' R' L2
B' D R2 U2 B' R'
B' D' U2 B' L2 R'
B' D' U2 B' R' L2
L2 F2 U F' R B2
L2 F2 U F' B2 R
L2 F2 U B2 F' R
L2 B2 D' F L2 R
L2 B2 D' F R L2
F2 R U B2 R2 F' R
B' R U2 D' B' L2 R'
B' R U2 D' B' R' L2
B' R U2 B' R' D' L2
B' R U2 B' D' L2 R'
B' R U2 B' D' R' L2
B' R D R2 U2 B' R'
B' R D' U2 B' L2 R'
B' R D' U2 B' R' L2
B2 R F R F' D' L2
D' R' L2 F R D B2
B' R' U F2 U B' R'
F2 R' U B2 R2 F' R
B' R' U2 D' B' L2 R'
B' R' U2 D' B' R' L2
B' R' U2 B' R' D' L2
B' R' U2 B' D' L2 R'
B' R' U2 B' D' R' L2
B' R' D R2 U2 B' R'
B' R' D' U2 B' L2 R'
B' R' D' U2 B' R' L2
F R' F U B2 R2 F'
F R' B2 R2 F' D' L2
B' R2 U F2 U B' R'
F2 R2 U B2 R2 F' R
B2 R2 U' F2 U F R
B' R2 U2 D' B' L2 R'
B' R2 U2 D' B' R' L2
B' R2 U2 B' R' D' L2
B' R2 U2 B' D' L2 R'
B' R2 U2 B' D' R' L2
B' R2 D R2 U2 B' R'
B2 R2 D F R F2 L'
B2 R2 D' L2 F R F2
B' R2 D' U2 B' L2 R'
B' R2 D' U2 B' R' L2
B2 R2 D' F L2 R F2
B2 R2 D' F R L2 F2
B2 R2 D' F R F2 L2
D R2 D' B' U2 B' R'
D' R2 F U' L2 R F
D' R2 F U' R L2 F
F2 U L2 F L2 B2 R'
F2 U R B2 R2 F' R
D' U R2 U' L2 F R
F2 U R' B2 R2 F' R
F2 U R2 B2 R2 F' R
R' D' L2 D F R B2
R' D' L2 D F B2 R
R' D' L2 D B2 F R
R' D' L2 F D R B2
R' D' L2 F D B2 R
R2 D' L2 D F R B2
R2 D' L2 D F B2 R
F2 U F' R' B2 R2 F'
R2 D' L2 D B2 F R
R2 D' L2 F D R B2
R2 D' L2 F D B2 R
F2 U F' B2 R2 F' R'
B' U F2 U R B' R'
B' U F2 U R' B' R'
B' U F2 U R2 B' R'
B' U F2 U D B' R'
B' U F2 U D' B' R'
B' U F2 U D2 B' R'
B' U F2 U B' R' D
B' U F2 U B' R' D'
B' U F2 U B' R' D2
B' U F2 U B' D R'
B' U F2 U B' D' R'
B' U F2 U B' D2 R'
R D' L2 D F R B2
R D' L2 D F B2 R
R D' L2 D B2 F R
B' U F2 D U B' R'
R D' L2 F D R B2
R D' L2 F D B2 R
B' U F2 D' U B' R'
B' U F2 D2 U B' R'
F2 U B D2 F2 B R'
F2 U B D2 B R' F2
F2 U B D2 B F2 R'
F2 U B2 R F' R F'
F2 U B2 R2 F' R D
F2 U B2 R2 F' R D'
F2 U B2 R2 F' R D2
F2 U B2 R2 F' D R
F2 U B2 R2 F' D' R
F2 U B2 R2 F' D2 R
F2 U B2 F' R2 F' R'
L2 D' F L2 D R B2
L2 D' F L2 D B2 R
U D' R2 U' L2 F R
F2 U' D2 F2 B' L U2
F2 U' D2 B' L F2 U2
F2 U' D2 B' F2 L U2
F2 U' F' B' U2 R B'
F2 U' F' B' U2 B' R
B2 U' F2 U' B L U2
F2 U' F2 B' U2 B' R'
F2 U' B' L2 F L' U2
F2 U' B' F' U2 R B'
F2 U' B' F' U2 B' R
F2 U' B' F2 U2 B' R'
L2 D2 F R D L2 B'
L2 D2 F D L2 R B'
L2 D2 F D L2 B' R
L2 D2 F D R L2 B'
B' U2 L2 D' L2 B' R'
B' U2 R D' B' L2 R'
B' U2 R D' B' R' L2
B' U2 R B' R' D' L2
B' U2 R B' D' L2 R'
B' U2 R B' D' R' L2
B' U2 R' D' B' L2 R'
B' U2 R' D' B' R' L2
B' U2 R' B' R' D' L2
B' U2 R' B' D' L2 R'
B' U2 R' B' D' R' L2
B' U2 R2 D' B' L2 R'
B' U2 R2 D' B' R' L2
B' U2 R2 B' R' D' L2
B' U2 R2 B' D' L2 R'
B' U2 R2 B' D' R' L2
B' U2 D B' D2 L2 R'
B' U2 D B' D2 R' L2
B2 U2 D B L R2 U2
B2 U2 D B R2 L U2
B' U2 D' R B' L2 R'
B' U2 D' R B' R' L2
B' U2 D' R' B' L2 R'
B' U2 D' R' B' R' L2
B' U2 D' R2 B' L2 R'
B' U2 D' R2 B' R' L2
B' U2 D' B' L2 R' D
B' U2 D' B' L2 R' D'
B' U2 D' B' L2 R' D2
B' U2 D' B' L2 D R'
B' U2 D' B' L2 D' R'
B' U2 D' B' L2 D2 R'
B' U2 D' B' R' L2 D
B' U2 D' B' R' L2 D'
B' U2 D' B' R' L2 D2
B' U2 D' B2 L2 B R'
B2 U2 D' B L U2 L
D' F L2 D R F B2
D' F L2 D R B2 F
D' F L2 D B2 R F
D2 F R D L2 F B'
D2 F R D L2 B' F
L2 F R U' F U B2
L2 F R B2 U' F U
B2 U2 B L U F2 U
B2 U2 B L U2 D' L2
B2 U2 B L D R2 U2
B2 U2 B L D' U2 L2
D' F R2 U' L2 R' F
D' F R2 U' L2 F R'
D' F R2 U' R' L2 F
B2 U2 B D L R2 U2
B2 U2 B D R2 L U2
B' U2 B' L R' D' L2
B2 U2 B D' L U2 L
B' U2 B' L D' L2 R'
B' U2 B' L D' R' L2
B' U2 B' L' R' D' L2
B' U2 B' L' D' L2 R'
B' U2 B' L' D' R' L2
B' U2 B' L2 R' D' L2
B' U2 B' L2 D' L2 R'
B' U2 B' L2 D' R' L2
B' U2 B' R' L D' L2
B' U2 B' R' L' D' L2
B' U2 B' R' L2 D' L2
B' U2 B' R' U' F2 U
B' U2 B' R' D' L2 D
B' U2 B' R' D' L2 D'
B' U2 B' R' D' L2 D2
B' U2 B' R2 D' L2 R
B' U2 B' R2 D' R L2
B' U2 B' U' F2 U R'
B' U2 B' D' L2 R' D
B' U2 B' D' L2 R' D'
B' U2 B' D' L2 R' D2
B' U2 B' D' L2 D R'
B' U2 B' D' L2 D' R'
B' U2 B' D' L2 D2 R'
B' U2 B' D' R' L2 D
B' U2 B' D' R' L2 D'
B' U2 B' D' R' L2 D2
B' U2 B' D2 R' D L2
D2 F D L2 R F B'
D2 F D L2 R B' F
D2 F D L2 B' R F
D2 F D R L2 F B'
D2 F D R L2 B' F
B' D L2 R2 F U2 R
F2 D L2 R' B U F
B' D L2 F R2 U2 R'
F2 D L2 R2 U F R
F2 D R' L2 B U F
B' D R2 L2 F U2 R
B' D R2 U2 R B' R'
B' D R2 U2 R' B' R'
B' D R2 U2 R2 B' R'
B' D R2 U2 D B' R'
B' D R2 U2 D' B' R'
B' D R2 U2 D2 B' R'
B' D R2 U2 B' R' D
B' D R2 U2 B' R' D'
B' D R2 U2 B' R' D2
B' D R2 U2 B' D R'
B' D R2 U2 B' D' R'
B' D R2 U2 B' D2 R'
B' D R2 D U2 B' R'
B' D R2 D' U2 B' R'
B' D R2 D2 U2 B' R'
B' D R2 F U2 R B'
B' D R2 F U2 B' R
F2 D R2 L2 U F R
L2 F B2 R U' F U
B' D U2 B' D2 L2 R'
B' D U2 B' D2 R' L2
B2 D U2 B L R2 U2
B2 D U2 B R2 L U2
B' D F R2 U2 R' B'
D' F' L2 D F B2 R'
D' F' L2 D B2 R' F
D' F' L2 D B2 F R'
D' F' L2 F D B2 R'
B2 D B R2 U2 B' R'
B2 D' L2 R F R F'
B2 D' L2 R2 F R F2
B2 D' L2 U2 B L U2
B2 D' L2 F R2 F' R'
B2 D' L2 F2 R2 F' R
B' D' R U2 B' L2 R'
B' D' R U2 B' R' L2
B2 D' R L2 F R F'
B2 D' R F L2 R F'
B2 D' R F R L2 F'
B2 D' R F R F' L2
B' D' R' U2 B' L2 R'
B' D' R' U2 B' R' L2
B' D' R2 U2 B' L2 R'
B' D' R2 U2 B' R' L2
B2 D' R2 L2 F R F2
B2 D' R2 F L2 R F2
B2 D' R2 F R L2 F2
B2 D' R2 F R F2 L2
B' D' U2 R B' L2 R'
B' D' U2 R B' R' L2
B' D' U2 R' B' L2 R'
B' D' U2 R' B' R' L2
L2 F2 L U F' R B2
L2 F2 L U F' B2 R
L2 F2 L U B2 F' R
B' D' U2 R2 B' L2 R'
B' D' U2 R2 B' R' L2
B' D' U2 B' L2 R' D
B' D' U2 B' L2 R' D'
B' D' U2 B' L2 R' D2
B' D' U2 B' L2 D R'
B' D' U2 B' L2 D' R'
B' D' U2 B' L2 D2 R'
B' D' U2 B' R' L2 D
B' D' U2 B' R' L2 D'
B' D' U2 B' R' L2 D2
B' D' U2 B2 L2 B R'
B2 D' U2 B L U2 L
U' F2 L2 U F R B2
U' F2 L2 U F B2 R
U' F2 L2 U B2 F R
L2 F2 L' U F' R B2
L2 F2 L' U F' B2 R
L2 F2 L' U B2 F' R
B' D' F U2 R B' L2
B' D' F U2 B' L2 R
B' D' F U2 B' R L2
B2 D' F L2 R2 F' R'
B2 D' F R2 L2 F' R'
B2 D' F R2 F' L2 R'
B2 D' F R2 F' R' L2
L2 F2 L2 U F' R B2
L2 F2 L2 U F' B2 R
L2 F2 L2 U B2 F' R
B2 D' F2 L2 R2 F' R
B2 D' F2 R2 L2 F' R
B2 D' F2 R2 F' L2 R
B2 D' F2 R2 F' R L2
B' D' B L2 F R B2
B' D' B L2 F B2 R
B' D' B L2 B2 F R
B2 D' B U2 B' L2 R'
B2 D' B U2 B' R' L2
R' F2 U B2 R2 F' R
B2 D' B2 L2 F R B2
B2 D' B2 L2 F B2 R
B2 D' B2 L2 B2 F R
L2 F2 U F' R B2 D
L2 F2 U F' R B2 D'
L2 F2 U F' R B2 D2
L2 F2 U F' R' B2 R2
L2 F2 U F' B' R B'
L2 F2 U F' B2 R D
L2 F2 U F' B2 R D'
L2 F2 U F' B2 R D2
L2 F2 U F' B2 D R
L2 F2 U F' B2 D' R
L2 F2 U F' B2 D2 R
U' F2 U' B' U2 R' B'
L2 F2 U B' F' R B'
L2 F2 U B2 F' R D
L2 F2 U B2 F' R D'
L2 F2 U B2 F' R D2
L2 F2 U B2 F' D R
L2 F2 U B2 F' D' R
L2 F2 U B2 F' D2 R
R2 F2 U B2 R2 F' R
L2 F2 U' F' R B2 L
U' F2 D L2 U F R
R F2 U B2 R2 F' R
U F2 U' B' U2 B' R'
L2 F2 B U F' B R
L2 F2 B U B F' R
L2 F2 B' U F' R B'
L2 F2 B' U F' B' R
L2 F2 B' U B' F' R
F2 D2 U' F2 B' L U2
F2 D2 U' B' L F2 U2
F2 D2 U' B' F2 L U2
L2 B D' F L2 B R
L2 B D' F B L2 R
L2 B D' F B R L2
L2 B D' B F L2 R
L2 B D' B F R L2
B2 F R2 F' R' D' L2
B2 F R2 F' D' L2 R'
B2 F R2 F' D' R' L2
F2 B U D2 F2 B R'
F2 B U D2 B R' F2
F2 B U D2 B F2 R'
F2 B U B R2 F' R
L2 B F2 U F' B R
L2 B F2 U B F' R
F2 B D2 U F2 B R'
F2 B D2 U B R' F2
F2 B D2 U B F2 R'
R' B' U F2 U B' R'
U2 B' U F2 U R' B'
R2 B' U F2 U B' R'
R' B' U2 D' B' L2 R'
R' B' U2 D' B' R' L2
R' B' U2 B' R' D' L2
R' B' U2 B' D' L2 R'
R' B' U2 B' D' R' L2
U2 B' U2 R' D' B' L2
U2 B' U2 R' B' D' L2
R' B' D R2 U2 B' R'
U2 B' U2 D' R' B' L2
R B' U F2 U B' R'
R2 B' U2 D' B' L2 R'
R2 B' U2 D' B' R' L2
U2 B' D R2 U2 R B'
U2 B' D R2 U2 B' R
R2 B' U2 B' R' D' L2
R2 B' U2 B' D' L2 R'
R2 B' U2 B' D' R' L2
R' B' D' U2 B' L2 R'
R' B' D' U2 B' R' L2
R2 B' D R2 U2 B' R'
R B' U2 D' B' L2 R'
R B' U2 D' B' R' L2
U2 B' D' U2 R' B' L2
L2 B' D' F R B' L2
L2 B' D' F B' L2 R
L2 B' D' F B' R L2
R B' U2 B' R' D' L2
R B' U2 B' D' L2 R'
R B' U2 B' D' R' L2
L2 B' D' B' F L2 R
L2 B' D' B' F R L2
R2 B' D' U2 B' L2 R'
R2 B' D' U2 B' R' L2
R B' D R2 U2 B' R'
R B' D' U2 B' L2 R'
R B' D' U2 B' R' L2
L2 B' F2 U F' R B'
L2 B' F2 U F' B' R
L2 B' F2 U B' F' R
L' B2 L D' L2 F R
L' B2 L' D' F L2 R
L' B2 L' D' F R L2
L B2 L D' F L2 R
L B2 L D' F R L2
L2 B2 L2 D' L2 F R
L B2 L' D' L2 F R
L2 B2 R D' F L2 R
L2 B2 R D' F R L2
U' B2 R2 D' L2 F' R
U' B2 R2 D' F' L2 R
U' B2 R2 D' F' R L2
L2 B2 R' D' F L2 R
L2 B2 R' D' F R L2
L2 B2 R2 D' F L2 R
L2 B2 R2 D' F R L2
F B2 R2 F' R' D' L2
F B2 R2 F' D' L2 R'
F B2 R2 F' D' R' L2
L2 B2 D F D2 L2 R
L2 B2 D F D2 R L2
B F2 U D2 F2 B R'
B F2 U D2 B R' F2
B F2 U D2 B F2 R'
B F2 U B R2 F' R
L2 B2 D' R F L2 R
L2 B2 D' R F R L2
L2 B2 D' R' F L2 R
L2 B2 D' R' F R L2
L2 B2 D' R2 F L2 R
L2 B2 D' R2 F R L2
L2 B2 D' F L2 R D
L2 B2 D' F L2 R D'
L2 B2 D' F L2 R D2
L2 B2 D' F L2 D R
L2 B2 D' F L2 D' R
L2 B2 D' F L2 D2 R
L2 B2 D' F R L2 D
L2 B2 D' F R L2 D'
L2 B2 D' F R L2 D2
L2 B2 D' F2 L2 F' R
L B2 D' L F L R
L B2 D' L F R L
L2 B2 D2 F R D L2
L2 B2 D2 F D L2 R
L2 B2 D2 F D R L2
L2 B2 F R U' F U
B F2 D2 U F2 B R'
B F2 D2 U B R' F2
B F2 D2 U B F2 R'
