L2 R' U' F L2 R
L2 R' U' F R L2
R' L2 U' F L2 R
R' L2 U' F R L2
U L2 R' U' F R
U R' L2 U' F R
R D B2 R2 F' R
U R' L2 U' D' F R
U R' L2 U' D2 F R
U R' L2 U' F R D
U R' L2 U' F R D'
U R' L2 U' F R D2
U R' L2 U' F D R
U R' L2 U' F D' R
U R' L2 U' F D2 R
U R' L2 D U' F R
U R' L2 D' U' F R
U R' L2 D2 U' F R
B2 R' U' L B' R' U
U R' U D' B' L U2
U R' D' U B' L U2
U R' F L2 U' F R
U R' F' L2 U' F R
U R' F2 L2 U' F R
L2 U2 R' F' U' L2 F2
L2 U2 R' F' U' F2 L2
B2 R2 L B' U L' F'
R U2 D' F2 B' L U2
R U2 D' B' L F2 U2
R U2 D' B' F2 L U2
B2 R2 U' L B' U F'
B2 R2 F' U' L B' U
R D L2 F L2 B2 R'
L' D R' F L' U' L2
R D R B2 R2 F' R
R D R' B2 R2 F' R
R D R2 B2 R2 F' R
L' D F L' R' U' L2
L' D F R' L' U' L2
F' U L2 R' U' F R
F2 U L2 R' U' F R
F U L2 R' U' F R
R D F' R' B2 R2 F'
D' U R' U B' L U2
F' U R' L2 U' F R
R D F' B2 R2 F' R'
F2 U R' L2 U' F R
F U R' L2 U' F R
R D B D2 F2 B R'
R D B D2 B R' F2
R D B D2 B F2 R'
R D B2 R F' R F'
R D B2 R2 F' R D
R D B2 R2 F' R D'
R D B2 R2 F' R D2
R D B2 R2 F' D R
R D B2 R2 F' D' R
R D B2 R2 F' D2 R
R D B2 F' R2 F' R'
L2 D' R' B2 U' F R
B2 U' L R2 B' U F'
B2 U' L B' U D2 F2
B2 U' L B' U' B2 U2
B2 U' L B' D' R2 U
B2 U' L B' D2 U F2
R D' U2 F2 B' L U2
R D' U2 B' L F2 U2
R D' U2 B' F2 L U2
U D' R' U B' L U2
B2 U' R2 L B' U F'
R D' F2 B' L U2 L'
R D' B R' D2 F2 B2
R D' B R' D2 B2 F2
R D' B D2 R' F2 B2
R D' B D2 R' B2 F2
R D' B D2 F2 R' B2
R D' B' L F2 R U2
R D' B' F2 L U2 L'
U2 D' B' D L U2 B'
D' U2 B' D L U2 B'
L' F L' R' U' F L2
R' F L2 U' F L2 R
R' F L2 U' F R L2
U F L2 R' U' F R
L' F R' L' U' F L2
L' F R' U' L' F L2
U F R' L2 U' F R
B' D L' F L' U2 L2
R F D B2 R2 F' R
B' D F L' F U2 L
R' F' L2 U' F L2 R
R' F' L2 U' F R L2
U F' L2 R' U' F R
U F' R' L2 U' F R
R F' D B2 R2 F' R
R' F2 L2 U' F L2 R
R' F2 L2 U' F R L2
U F2 L2 R' U' F R
B' D' B R' B D2 F2
U F2 R' L2 U' F R
R F2 D B2 R2 F' R
U2 B' L U B' L U
U2 B' U L B' L U
U2 B' U B' L B' U
D' B' D L U2 B' L'
U2 B' U2 D' R' B R'
U2 B' U2 D' B R' B
U2 B' D L' F L' U2
U2 B' D F L' F U2
U2 B' D' U2 R' B R'
U2 B' D' U2 B R' B
U' B2 L R2 B' U F'
U' B2 L B' U D2 F2
U' B2 L B' U' B2 U2
U' B2 L B' D' R2 U
U' B2 L B' D2 U F2
L B2 L B U F L2
U' B2 R2 L B' U F'
R' B2 R2 D F' R B2
R' B2 R2 D F' B2 R
R' B2 R2 D B2 F' R
R B2 D R2 F' R B2
R B2 D R2 F' B2 R
R B2 D R2 B2 F' R
