B L U B2 U2 B
B L U' D2 F2 B'
B L U' D2 B' F2
B L D2 U' F2 B'
B L D2 U' B' F2
B L D2 U' B' F2
B L' U F B2 U2
B L' U B2 F U2
B L' D L2 U' B'
D' L2 B R' U' F
B D2 R' U' F2 B
B D2 R' U' B F2
L B L U' F B2
L B L U' B2 F
D' B R' U B2 U2
D' B R' U' D2 F2
D' B R' D L2 U'
D' B R' D2 U' F2
D' B D L2 R' U'
D' B D R' L2 U'
D' B D2 R' U' F2
D' B R' D L2 U' D'
D' B R' D L2 U' D2
D' B R' D L2 D U'
D' B R' D L2 D' U'
D' B R' D L2 D2 U'
D2 B R' D2 U' F2 B
D2 B R' D2 U' B F2
D' B R' D' U2 R2 U
D' B R' D2 L U' F2
D' B R' D2 L' U' F2
D' B R' D2 L2 U' F2
D' B R' D2 U' F2 D
D' B R' D2 U' F2 D'
D' B R' D2 U' F2 D2
L B R L U' F B2
L B R L U' B2 F
D' B R2 D L2 R U'
D' B R2 D R L2 U'
D' B R2 D2 R U' F2
L B R' L U' F B2
L B R' L U' B2 F
D' B U B2 U L U
L B R2 L U' F B2
L B R2 L U' B2 F
L2 B U' F U R U'
L2 B U2 R U F B
L2 B U2 R U B F
D' B D L2 R' U' D
D' B D L2 R' U' D'
D' B D L2 R' U' D2
D' B D L2 R' D U'
D' B D L2 R' D' U'
D' B D L2 R' D2 U'
D' B D L2 D R' U'
D' B D L2 D' R' U'
D' B D L2 D2 R' U'
D' B D R' L2 U' D
D' B D R' L2 U' D'
D' B D R' L2 U' D2
D' B D R' L2 D U'
D' B D R' L2 D' U'
D' B D R' L2 D2 U'
D' B D R' U' D F2
D' B D R' D U' F2
D' B D' R' U2 R' U
L B U2 R' U F' B2
L B U2 R' U B2 F'
D B D L2 R' U' B
D B D R' L2 U' B
D2 B D2 L U' F2 B'
D2 B D2 L U' B' F2
D' B D2 L R' U' F2
D' B D2 L' R' U' F2
D' B D2 L2 R' U' F2
D' B D2 R' L U' F2
D' B D2 R' L' U' F2
D' B D2 R' L2 U' F2
D' B D2 R' U' F2 D
D' B D2 R' U' F2 D'
D' B D2 R' U' F2 D2
D' B D2 R' D' L2 U'
L B D' L R2 U' F
L B D' R2 L U' F
L B' L B2 U' F B2
L B' L B2 U' B2 F
B F D L2 F' R U'
B F D F' L2 R U'
B F D F' R L2 U'
F B D L2 F' R U'
F B D F' L2 R U'
F B D F' R L2 U'
D' B' U' B2 R' U' R
U B' U2 L D B' L2
U B' U2 L' D L2 B'
D' B2 R' B' R' U' F'
