F L U' L' U2 L'
F' L U' L' R U2
F' L U' R L' U2
F L D F2 U R
U L F U L' F'
F' L F2 U L' R
F' L F2 U R L'
F L F2 U L2 R
F L F2 U R L2
F' R U L R' U
F' R U R' L U
F2 U L F U F'
L2 D' L' F B2 U
L2 D' L' B2 F U
L2 D' B2 L' F U
U F L U L2 F'
U F L U F' L2
F' R U R' L U D
F' R U R' L U D'
F' R U R' L U D2
F' R U R' L D U
F' R U R' L D' U
F' R U R' L D2 U
F2 R U L F R' U
F' R U R' D L U
F' R U R' D' L U
F' R U R' D2 L U
F' R U D L R' U
F' R U D R' L U
D R U L F' R' U
F' R U D' L R' U
F' R U D' R' L U
F2 R U R' L F U
F' R U D2 L R' U
F' R U D2 R' L U
F R U L R' U L2
F R U R' L U L2
D R U F' L R' U
D R U F' R' L U
L U F2 R F' L' F'
F' R D U L R' U
F' R D U R' L U
F' R D' U L R' U
F' R D' U R' L U
F' R D2 U L R' U
F' R D2 U R' L U
L U' L' U F U L'
F' R F U L R' U
F' R F U R' L U
L U' L' U2 F L' F'
U R F L U L2 F'
U R F L U F' L2
L U' L' F' R F U2
F' R F' U L R' U
F' R F' U R' L U
F' R F2 U L R' U
F' R F2 U R' L U
F' R B2 U' L R' U'
F' R B2 U' R' L U'
L U' D' L' U F U
U R' L F U L' F'
F2 R' U L R F U
L U' F' R F L' U2
F2 R' U R L F U
F R' U L R U L2
F R' U R L U L2
U R' F L U L2 F'
U R' F L U F' L2
U R2 L F U L' F'
R2 U2 F L' D' F2 B2
R2 U2 F L' D' B2 F2
F R2 L' D' F2 B2 R'
F R2 L' D' B2 R' F2
F R2 L' D' B2 F2 R'
F2 R2 U L R2 F U
F2 R2 U L F R2 U
F2 R2 U R2 L F U
F R2 U L R2 U L2
F R2 U R2 L U L2
F R2 U2 L' D' F2 B2
F R2 U2 L' D' B2 F2
U R2 F L U L2 F'
U R2 F L U F' L2
R' D U L R F' U
R' D U R L F' U
R' D U R F' L U
F2 U L R F U F'
F2 U L R' F U F'
F2 U L R2 F U F'
F2 U L D F U F'
F' U L F2 U L' F2
F2 U L D' F U F'
D U L R F' U F
F2 U L D2 F U F'
F2 U L F U D F'
F2 U L F U D' F'
F2 U L F U D2 F'
F2 U L F U F' D
F2 U L F U F' D'
F2 U L F U F' D2
F2 U L F D U F'
F2 U L F D' U F'
F2 U L F D2 U F'
U D L R F' U F
F U L U L2 D F2
D' U L' F L2 U F'
F U L D F2 U F2
F U L F U L2 F'
F U L F U F' L2
F U L F' U F L2
F U L F2 U L2 F2
F U L F2 U F2 L2
F U L' D' B2 D' R2
F U L' B2 D' R2 B2
F U L' B2 D' B2 R2
F2 U R L F U F'
D U R L F' U F
U D R L F' U F
F2 U R' L F U F'
F2 U R2 L F U F'
F2 U D L F U F'
F2 U D' L F U F'
R2 D B2 U' R' B U'
F2 U D2 L F U F'
F2 U F L F U F2
L2 D' L' D' F U R2
L2 D' L' F U D' R2
L2 D' L' F D' U R2
L2 D' L' F B2 U D
L2 D' L' F B2 U D'
L2 D' L' F B2 U D2
L2 D' L' F B2 D U
L2 D' L' F B2 D' U
L2 D' L' F B2 D2 U
L2 D' L' B2 D F U
L2 D' L' B2 D' F U
L2 D' L' B2 D2 F U
L2 D' L' B2 F U D
L2 D' L' B2 F U D'
L2 D' L' B2 F U D2
L2 D' L' B2 F D U
L2 D' L' B2 F D' U
L2 D' L' B2 F D2 U
F' U F2 L U L2 F2
F' U F2 L U F2 L2
F2 U F2 L F U F
F U F2 L U F2 L'
U2 D B2 R' B U' R
U D' L' F L2 U F'
L D' U' L' U F U
L2 D' B L' F B U
L2 D' B L' B F U
L2 D' B2 L' D F U
L2 D' B2 L' D' F U
L2 D' B2 L' D2 F U
L2 D' B2 L' F U D
L2 D' B2 L' F U D'
L2 D' B2 L' F U D2
L2 D' B2 L' F D U
L2 D' B2 L' F D' U
L2 D' B2 L' F D2 U
L2 D2 L' B' U L R2
L2 D2 L' B' U R2 L
L D2 F2 B' U L R
L D2 F2 B' U R L
L2 D2 B' L' U L2 R2
L2 D2 B' L' U R2 L2
L D2 B U' L' R' U2
L D2 B U' R' L' U2
B2 U2 D R' B U' R
L D2 B' U L D2 R2
L D2 B' U' L' U2 L2
D U2 B2 R' B U' R
L D2 B' F2 U L R
L D2 B' F2 U R L
B' U2 F R U' L' R'
B' U2 F R U' R' L'
U F L U L F' L
U F L U L2 D F'
U F L U L2 D' F'
U F L U L2 D2 F'
U F L U L2 F' D
U F L U L2 F' D'
U F L U L2 F' D2
U F L U F L2 F2
U F L U F' L2 D
U F L U F' L2 D'
U F L U F' L2 D2
U F L D F2 U F
B2 U2 F R' U' L' R
B2 U2 F R' U' R L'
U F L F U L2 F2
U F L F U F2 L2
L' F L2 U L D2 R2
L' F L2 U' L' U2 L2
U F L F2 U F L2
R2 F L' D' F2 B2 R'
R2 F L' D' B2 R' F2
R2 F L' D' B2 F2 R'
L' F L2 F2 U L R
L' F L2 F2 U R L
L' F U D' B2 L' R'
L' F U D' B2 R' L'
R2 F U L R2 U L2
L2 F U D2 L' R2 B'
L2 F U D2 L' B' R2
L2 F U D2 R2 L' B'
R2 F U R2 L U L2
U F U L' D' F' B2
U F U L' D' B2 F'
U F U L' F' D' B2
L F U L' U' B' U
F' D L U' L' R U2
F' D L U' R L' U2
R F U L R' U L2
R F U R' L U L2
F U2 B2 R' U' L' R
F U2 B2 R' U' R L'
F' D L F2 U L' R
F' D L F2 U R L'
R2 F U2 L' D' F2 B2
R2 F U2 L' D' B2 F2
F D L U' L' U2 L'
F D L D F2 U R
F D L F2 U L2 R
F D L F2 U R L2
L' F D' U B2 L' R'
L' F D' U B2 R' L'
L F U2 B' U' L' R'
L F U2 B' U' R' L'
U F D L U L2 F'
U F D L U F' L2
F' D R U L R' U
F' D R U R' L U
L2 F D' B2 U L' B'
U F D' L U L2 F'
U F D' L U F' L2
L2 F D2 U L' R2 B'
L2 F D2 U L' B' R2
L2 F D2 U R2 L' B'
U F D2 L U L2 F'
U F D2 L U F' L2
L' F B2 L2 U L R'
L' F B2 L2 U R' L
F2 D U L F U F'
U2 F B2 R' U' L' R
U2 F B2 R' U' R L'
B2 D U2 R' B U' R
U F' L U F2 L' F
L' F' L2 U' L' R U2
L' F' L2 U' R L' U2
U F' L F2 U L' F
L' F' L2 F2 U L' R
L' F' L2 F2 U R L'
R' F' R U L U F
R2 F' R U L R U
R2 F' R U R L U
R F' R U L R2 U
R F' R U R2 L U
F' D' L U' L' R U2
F' D' L U' R L' U2
F' D' L F2 U L' R
F' D' L F2 U R L'
F D' L U' L' U2 L'
F D' L D F2 U R
F D' L F2 U L2 R
F D' L F2 U R L2
F' D' R U L R' U
F' D' R U R' L U
F2 D' U L F U F'
U F2 L F' U L' F'
R2 F2 U L R2 F U
R2 F2 U L F R2 U
R2 F2 U R2 L F U
F' D2 L U' L' R U2
F' D2 L U' R L' U2
R F2 U L R' F U
R F2 U L F R' U
F' D2 L F2 U L' R
F' D2 L F2 U R L'
R F2 U R' L F U
F D2 L U' L' U2 L'
F D2 L D F2 U R
F D2 L F2 U L2 R
F D2 L F2 U R L2
L F2 U2 B U' L R
L F2 U2 B U' R L
F' D2 R U L R' U
F' D2 R U R' L U
F2 D2 U L F U F'
L2 B D' L' F B2 U
L2 B D' L' B2 F U
L2 B D' B2 L' F U
B2 F U2 R' U' L' R
B2 F U2 R' U' R L'
L2 B' D' L' F B2 U
L2 B' D' L' B2 F U
L2 B' D' B2 L' F U
L' B2 L2 F U L' R'
L' B2 L2 F U R' L'
U' B2 D L2 R' B U'
U' B2 D R' L2 B U'
U' B2 D R' B L2 U'
D B2 U2 R' B U' R
U2 B2 D R' B U' R
L2 B2 D' L' F B2 U
L2 B2 D' L' B2 F U
L2 B2 D' B2 L' F U
L' B2 F L2 U L R'
L' B2 F L2 U R' L
F B2 U2 R' U' L' R
F B2 U2 R' U' R L'
U2 B2 F R' U' L' R
U2 B2 F R' U' R L'
