L B2 U L F2
L B2 U F2 L
R2 L B2 U F2 L'
F' L B2 U L F'
F' L B2 U F' L
U' L B2 U L F2
U' L B2 U F2 L
U L B2 U L F2
U L B2 U F2 L
U2 L B2 U L F2
U2 L B2 U F2 L
F2 L' D' B2 L R2
F2 L' D' B2 R2 L
L R2 B2 U F2 L'
R' U L B2 U F2
B2 R' U' L F2 R
F2 U' L B2 U L
B2 U2 R' U' L F2
B2 U2 R' U' F2 L
L F B2 U F L
L F' B2 U L F'
L F' B2 U F' L
R2 F2 L' D' R2 B2
R2 F2 L' D' B2 R2
L' F2 D' B2 L R2
L' F2 D' B2 R2 L
L' B2 L2 U L' F2
L2 B2 L' U L2 F2
L2 B2 L' U F2 L2
L B2 R U L F2
L B2 R U F2 L
L B2 R' U L F2
L B2 R' U F2 L
L B2 R2 U L F2
L B2 R2 U F2 L
L B2 U L F2 D
L B2 U L F2 D'
L B2 U L F2 D2
L B2 U L' F2 L2
L B2 U F' L F'
L B2 U F2 L D
L B2 U F2 L D'
L B2 U F2 L D2
L B2 U F2 D L
L B2 U F2 D' L
L B2 U F2 D2 L
L B2 D R2 U L
L B2 F U F L
L B2 F' U L F'
L B2 F' U F' L
U' L B2 U F2 L D
U' L B2 U F2 L D'
U' L B2 U F2 L D2
U L B2 R U F2 L
U' L B2 U F2 D L
U' L B2 U F2 D' L
U' L B2 U F2 D2 L
U2 L B2 U F' L F'
U2 L B2 U F2 L D
U2 L B2 U F2 L D'
U2 L B2 U F2 L D2
U2 L B2 U F2 D L
U2 L B2 U F2 D' L
U2 L B2 U F2 D2 L
U L B2 R' U L F2
F L B2 U L' F L2
U L B2 R' U F2 L
F' L B2 D U L F'
F' L B2 D U F' L
U L B2 R2 U L F2
U L B2 R2 U F2 L
F' L B2 D' U L F'
F' L B2 D' U F' L
U' L B2 D R2 U L
U L B2 U L F2 D
U L B2 U L F2 D'
U L B2 U L F2 D2
U L B2 U L' F2 L2
F' L B2 D2 U L F'
U2 L B2 D R2 U L
F' L B2 D2 U F' L
U L B2 U F' L F'
U L B2 U F2 L D
U L B2 U F2 L D'
U L B2 U F2 L D2
U L B2 U F2 D L
U L B2 U F2 D' L
U L B2 U F2 D2 L
F' L B2 F U L F2
F' L B2 F U F2 L
F2 L B2 F U L F'
U' L B2 F U F L
F2 L B2 F U F' L
F' L B2 F2 U F L
U L B2 D R2 U L
U2 L B2 F U F L
U' L B2 F' U L F'
U' L B2 F' U F' L
F2 L B2 F' U F L
U2 L B2 F' U L F'
U2 L B2 F' U F' L
F2 L B2 F2 U L F2
F2 L B2 F2 U F2 L
R' L' U2 F2 D' R2 B2
L' R' U2 F2 D' R2 B2
R' L' U2 F2 D' B2 R2
L' R' U2 F2 D' B2 R2
U L B2 F U F L
U L B2 F' U L F'
U L B2 F' U F' L
F2 L' R2 D' R2 B2 L
F2 L' U' L2 B2 U L
F2 L' U' B2 L2 U L'
B2 L' U2 R' U' L2 F2
B2 L' U2 R' U' F2 L2
B2 L' D R2 F2 L' U
R2 L' F2 D' L' R2 B2
R2 L' F2 D' L' B2 R2
R2 L' F2 D' R2 L' B2
R2 L' F2 D' R2 B2 L'
R2 L' F2 D' B2 L' R2
R2 L' F2 D' B2 R2 L'
F2 L' D' L B2 L R2
F2 L' D' L B2 R2 L
F2 L' D' L' B2 L R2
F2 L' D' L' B2 R2 L
F2 L' D' L2 B2 L R2
F2 L' D' L2 B2 R2 L
F' L' D' F' B2 L R2
F' L' D' F' B2 R2 L
F' L' D' B2 L F' R2
F' L' D' B2 F' L R2
F' L' D' B2 F' R2 L
F2 L' D' B' R2 B' L
F2 L' D' B2 L R2 D
F2 L' D' B2 L R2 D'
F2 L' D' B2 L R2 D2
D L' D' F2 B2 L R
D L' D' F2 B2 R L
F2 L' D' B2 R2 L D
F2 L' D' B2 R2 L D'
F2 L' D' B2 R2 L D2
F2 L' D' B2 R2 D L
F2 L' D' B2 R2 D' L
F2 L' D' B2 R2 D2 L
D L' D' B2 F2 L R
D L' D' B2 F2 R L
F L' D' B2 L R2 F
F L' D' B2 L F R2
F L' D' B2 R2 L F
R2 L' B2 L2 U F2 L'
L R' B2 R' U F2 L'
L R' B2 U F2 D' L2
R' L2 U L' B2 U F2
F' L' F' D' B2 L R2
F' L' F' D' B2 R2 L
R' L2 U B2 L' U F2
L R2 U F2 L' D' R2
L R2 U F2 D' L' R2
L R2 U F2 D' R2 L'
U' L' F2 D' B2 L R2
U' L' F2 D' B2 R2 L
U2 L' F2 D' B2 L R2
U2 L' F2 D' B2 R2 L
U L' F2 D' B2 L R2
U L' F2 D' B2 R2 L
F' L' B2 L2 U L' F'
U' L' B2 L2 U L' F2
U2 L' B2 L2 U L' F2
F L' B2 L2 U L' F
U L' B2 L2 U L' F2
D L2 R' U L' R' U
D L2 R' U R' L' U
L R2 F B2 U F L'
L' R2 F2 D' L' R2 B2
L' R2 F2 D' L' B2 R2
L' R2 F2 D' R2 L' B2
L' R2 F2 D' R2 B2 L'
L' R2 F2 D' B2 L' R2
L' R2 F2 D' B2 R2 L'
F2 L2 U' L' B2 U L
F2 L2 U' B2 L' U L2
B2 L2 U2 R' U' L' F2
L' R2 B2 L2 U F2 L'
L2 R2 B2 L' U F2 L'
R2 L2 B2 L' U F2 L'
L R2 B2 U L F2 L'
L R2 B2 U L' F2 L'
L R2 B2 U L2 F2 L'
L R2 B2 U F2 L' D
L R2 B2 U F2 L' D'
L R2 B2 U F2 L' D2
L R2 B2 U F2 D L'
L R2 B2 U F2 D' L'
L R2 B2 U F2 D2 L'
R' U L R B2 U F2
L R2 B2 U' R U2 F2
R' U L R' B2 U F2
R' U L R2 B2 U F2
R' U L U F2 D' R2
L R2 B2 F U F L'
R' U L B2 R U F2
R' U L B2 R' U F2
R' U L B2 R2 U F2
R' U L B2 U F2 D
R' U L B2 U F2 D'
R' U L B2 U F2 D2
R' U L B2 D R2 U
R2 U L B2 U F2 L'
R' U L' B2 L2 U F2
L2 U L' B2 U L F2
L2 U L' B2 U F2 L
R' U L2 B2 L' U F2
L' U L2 B2 U L F2
L' U L2 B2 U F2 L
R' U R L B2 U F2
R' U R' L B2 U F2
R' U R2 L B2 U F2
L U R2 F2 L' D' R2
L U R2 F2 D' L' R2
L U R2 F2 D' R2 L'
F' L2 B2 L' U L2 F'
F' L2 B2 L' U F' L2
U' L2 B2 L' U L2 F2
U' L2 B2 L' U F2 L2
U2 L2 B2 L' U L2 F2
U2 L2 B2 L' U F2 L2
U L2 B2 L' U L2 F2
U L2 B2 L' U F2 L2
L U D' R2 D F2 L'
B2 R U L F2 D B2
B2 R U F2 L D B2
B2 R U F2 D L B2
R2 U F2 L' D' R2 B2
R2 U F2 L' D' B2 R2
L' U F2 D' B2 L R2
L' U F2 D' B2 R2 L
L U F2 U' B2 U L
B2 R U2 R2 U' L F2
B2 R U2 R2 U' F2 L
B2 R D R2 U L B2
L' U B2 L2 U L' F2
L2 U B2 L' U L2 F2
L2 U B2 L' U F2 L2
R' U B2 U2 R' U' F2
L U B2 U L F2 B2
L U B2 U L B2 F2
L U B2 U F2 L B2
R2 U' L B2 U F2 L'
L2 U' L' B2 U L F2
L2 U' L' B2 U F2 L
L' U' L2 B2 U L F2
L' U' L2 B2 U F2 L
L U' R' U B2 U F2
L U' R' U2 F2 D' R2
D R' L2 U L' R' U
D R' L2 U R' L' U
U' R' U L B2 U F2
B2 R' U L F2 D2 B2
U2 R' U L B2 U F2
B2 R' U F2 L D2 B2
U R' U L B2 U F2
B2 R' U F2 D2 L B2
R2 U' F2 L' D' R2 B2
R2 U' F2 L' D' B2 R2
L' U' F2 D' B2 L R2
L' U' F2 D' B2 R2 L
B2 R' U' L R F2 R
B2 R' U' L R' F2 R
B2 R' U' L R2 F2 R
B2 R' U' L F2 R D
B2 R' U' L F2 R D'
B2 R' U' L F2 R D2
B2 R' U' L F2 D R
B2 R' U' L F2 D' R
B2 R' U' L F2 D2 R
B2 R' U' R L F2 R
B2 R' U' R' L F2 R
B2 R' U' R2 L F2 R
L' U' B2 L2 U L' F2
L2 U' B2 L' U L2 F2
L2 U' B2 L' U F2 L2
R' U2 L B2 U L' F2
R2 U2 L B2 U F2 L'
L2 U2 L' B2 U L F2
L2 U2 L' B2 U F2 L
L' U2 L2 B2 U L F2
L' U2 L2 B2 U F2 L
D2 R' B2 U' R' F2 U'
D2 R' B2 U' F2 R' U'
D R2 L U' L R U2
D R2 L U' R L U2
U' R2 L B2 U F2 L'
U2 R2 L B2 U F2 L'
F2 R2 L' D' R2 B2 L
U R2 L B2 U F2 L'
R' U2 F2 U' L B2 U
B2 R2 U F2 L D' B2
R2 U2 F2 L' D' R2 B2
R2 U2 F2 L' D' B2 R2
L' U2 F2 D' B2 L R2
L' U2 F2 D' B2 R2 L
B2 R2 U2 R U' L F2
B2 R2 U2 R U' F2 L
L' U2 B2 L2 U L' F2
D' R2 D F2 L' D' B2
L2 U2 B2 L' U L2 F2
L2 U2 B2 L' U F2 L2
L U2 B2 U' L F2 R
R' D L2 U L' R2 U
R' D L2 U R2 L' U
U' R2 F2 L' D' R2 B2
U' R2 F2 L' D' B2 R2
U2 R2 F2 L' D' R2 B2
U2 R2 F2 L' D' B2 R2
U R2 F2 L' D' R2 B2
U R2 F2 L' D' B2 R2
L D R2 U' L2 R U2
L D R2 U' R L2 U2
B2 U L U R' U' F2
F' U L B2 U L F'
F' U L B2 U F' L
B2 U L F2 U R' U'
B2 U R' U' L R F2
B2 U R' U' R L F2
B2 U R' U' R F2 L
L' D' L2 U' B2 L R2
L' D' L2 U' B2 R2 L
B2 U F2 L U R' U'
B2 U F2 U R' U' L
L' D' R2 B2 D F2 L'
L D' U R2 D F2 L'
B2 U' L F2 R D B2
F2 U' L F B2 U L
F' U' L B2 U L F'
F' U' L B2 U F' L
F2 U' L F' B2 U L
F2 U' L F2 B2 U L
F2 U' L B2 U L D
F2 U' L B2 U L D'
F2 U' L B2 U L D2
F2 U' L B2 U D L
F2 U' L B2 U D' L
F2 U' L B2 U D2 L
F2 U' L B2 D U L
F2 U' L B2 D' U L
F2 U' L B2 D2 U L
F2 U' L B2 F U L
F2 U' L B2 F' U L
F2 U' L B2 F2 U L
F2 U' L' B2 L2 U L'
F2 U' L2 B2 L' U L2
L' D' B2 R2 D L F2
L' D' B2 R2 D F2 L
F2 U' F L B2 U L
F2 U' F' L B2 U L
F2 U' F2 L B2 U L
F2 U' B2 U2 R' U' L
F' U2 L B2 U L F'
F' U2 L B2 U F' L
B2 U2 L' R' U' L2 F2
B2 U2 L' R' U' F2 L2
B2 U2 L2 R' U' L' F2
B2 U2 R' L' U' L2 F2
B2 U2 R' L' U' F2 L2
B2 U2 R' L2 U' L' F2
B2 U2 R' U' L F2 D
B2 U2 R' U' L F2 D'
B2 U2 R' U' L F2 D2
B2 U2 R' U' L' F2 L2
B2 U2 R' U' F' L F'
B2 U2 R' U' F2 L D
B2 U2 R' U' F2 L D'
B2 U2 R' U' F2 L D2
B2 U2 R' U' F2 D L
B2 U2 R' U' F2 D' L
B2 U2 R' U' F2 D2 L
F2 U2 R' U L B2 U
B2 U2 R' D' L2 U' L'
R' D2 B2 U' R' F2 U'
R' D2 B2 U' F2 R' U'
B2 U2 D' L2 R' U' L'
B2 U2 D' R' L2 U' L'
L' F D' F B2 L R2
L' F D' F B2 R2 L
L' F D' B2 R2 F L
L' F D' B2 F L R2
L' F D' B2 F R2 L
B2 D R2 U2 R U' L
B2 D R2 F2 L' U L2
U' F' L B2 U L F'
U' F' L B2 U F' L
L F B2 R U F L
L F B2 R' U F L
L F B2 R2 U F L
L F B2 U D F L
L F B2 U D' F L
L F B2 U D2 F L
L F B2 U F L D
L F B2 U F L D'
L F B2 U F L D2
L F B2 U F D L
L F B2 U F D' L
L F B2 U F D2 L
L F B2 U F' L F2
L F B2 U F2 L F'
U2 F' L B2 U L F'
U2 F' L B2 U F' L
L F B2 D U F L
L F B2 D' U F L
L F B2 D2 U F L
U F' L B2 U L F'
U F' L B2 U F' L
L' F' L2 B2 U L F'
L' F' L2 B2 U F' L
R' F' U L B2 U F'
B D B R2 U L B'
L' F' D' F' B2 L R2
L' F' D' F' B2 R2 L
L' F' D' B2 L F' R2
L' F' D' B2 F' L R2
L' F' D' B2 F' R2 L
L' F' B2 L2 U L' F'
U' F2 L' D' B2 L R2
U' F2 L' D' B2 R2 L
B2 D' U2 L2 R' U' L'
B2 D' U2 R' L2 U' L'
L F' B2 U L D F'
L F' B2 U L D' F'
L F' B2 U L D2 F'
L F' B2 U L F' D
L F' B2 U L F' D'
L F' B2 U L F' D2
L F' B2 U L' F' L2
L F' B2 U D L F'
L F' B2 U D F' L
L F' B2 U D' L F'
L F' B2 U D' F' L
L F' B2 U D2 L F'
L F' B2 U D2 F' L
L F' B2 U F L F2
L F' B2 U F' L D
L F' B2 U F' L D'
L F' B2 U F' L D2
L F' B2 U F' D L
L F' B2 U F' D' L
L F' B2 U F' D2 L
L F' B2 D U L F'
L F' B2 D U F' L
L F' B2 D' U L F'
L F' B2 D' U F' L
L F' B2 D2 U L F'
L F' B2 D2 U F' L
R2 F2 L' R D' R2 B2
R2 F2 L' R D' B2 R2
R2 F2 L' R' D' R2 B2
R2 F2 L' R' D' B2 R2
U2 F2 L' D' B2 L R2
U2 F2 L' D' B2 R2 L
R2 F2 L' R2 D' R2 B2
R2 F2 L' R2 D' B2 R2
R2 F2 L' U' L2 B2 U
R2 F2 L' U' B2 L2 U
R2 F2 L' D' R B2 R
R2 F2 L' D' R2 B2 D
R2 F2 L' D' R2 B2 D'
R2 F2 L' D' R2 B2 D2
R2 F2 L' D' B' R2 B'
R2 F2 L' D' B2 R2 D
R2 F2 L' D' B2 R2 D'
R2 F2 L' D' B2 R2 D2
U F2 L' D' B2 L R2
U F2 L' D' B2 R2 L
R2 F2 R L' D' R2 B2
R2 F2 R L' D' B2 R2
L F2 L2 D' B2 L R2
L F2 L2 D' B2 R2 L
R2 F2 R' L' D' R2 B2
R2 F2 R' L' D' B2 R2
L' F2 R2 D' R2 B2 L
R2 F2 R2 L' D' R2 B2
R2 F2 R2 L' D' B2 R2
U' F2 U' L B2 U L
L' F2 U' L2 B2 U L
U2 F2 U' L B2 U L
L' F2 U' B2 L2 U L'
R2 F2 U' L B2 U L2
U F2 U' L B2 U L
L' F2 D' L B2 L R2
L' F2 D' L B2 R2 L
L' F2 D' L' B2 L R2
L' F2 D' L' B2 R2 L
L' F2 D' L2 B2 L R2
L' F2 D' L2 B2 R2 L
L' F2 D' B' R2 B' L
L' F2 D' B2 L R2 D
L' F2 D' B2 L R2 D'
L' F2 D' B2 L R2 D2
L' F2 D' B2 R2 L D
L' F2 D' B2 R2 L D'
L' F2 D' B2 R2 L D2
L' F2 D' B2 R2 D L
L' F2 D' B2 R2 D' L
L' F2 D' B2 R2 D2 L
R2 F2 D' L' R2 D' B2
R2 F2 D' R2 L' D' B2
L2 B L' B U L F2
L2 B L' B U F2 L
L' B L2 B U L F2
L' B L2 B U F2 L
L B D B R2 U L
B2 F U2 R' U' F L
L B' R B' U L F2
L B' R B' U F2 L
L B' R' B' U L F2
L B' R' B' U F2 L
L B' R2 B' U L F2
L B' R2 B' U F2 L
L2 B2 L' R U L2 F2
L2 B2 L' R U F2 L2
L2 B2 L' R' U L2 F2
L2 B2 L' R' U F2 L2
L2 B2 L' R2 U L2 F2
L2 B2 L' R2 U F2 L2
L2 B2 L' U L F2 L
L2 B2 L' U L2 F2 D
L2 B2 L' U L2 F2 D'
L2 B2 L' U L2 F2 D2
L2 B2 L' U F' L2 F'
L2 B2 L' U F2 L2 D
L2 B2 L' U F2 L2 D'
L2 B2 L' U F2 L2 D2
D' B2 L2 R' U' L' R'
D' B2 L2 R' U' R' L'
L' B2 L2 R U L' F2
L2 B2 L' D R2 F2 U
L' B2 L2 R' U L' F2
L2 B2 L' D F2 R2 U
L' B2 L2 R2 U L' F2
L' B2 L2 U L F2 L2
L' B2 L2 U L' F2 D
L' B2 L2 U L' F2 D'
L' B2 L2 U L' F2 D2
L' B2 L2 U L2 F2 L
L2 B2 L' F U F L2
L2 B2 L' F' U L2 F'
L2 B2 L' F' U F' L2
L' B2 L2 D R2 U L'
B2 F2 L U R' U' R
L' B2 R L2 U L' F2
F2 B2 L U R' U' R
U' B2 R' U' L F2 R
L2 B2 R L' U L2 F2
L2 B2 R L' U F2 L2
D' B2 R' L2 U' L' R'
D' B2 R' L2 U' R' L'
L' B2 R' L2 U L' F2
L2 B2 R' L' U L2 F2
L2 B2 R' L' U F2 L2
U2 B2 R' U' L F2 R
L' B2 R2 L2 U L' F2
L B2 R U L F2 D
L B2 R U L F2 D'
L B2 R U L F2 D2
L B2 R U L' F2 L2
L B2 R U F' L F'
L B2 R U F2 L D
L B2 R U F2 L D'
L B2 R U F2 L D2
L B2 R U F2 D L
L B2 R U F2 D' L
L B2 R U F2 D2 L
L B2 R D R2 U L
L2 B2 R2 L' U L2 F2
L2 B2 R2 L' U F2 L2
L B2 R F U F L
L B2 R F' U L F'
L B2 R F' U F' L
L B2 R' U L F2 D
L B2 R' U L F2 D'
L B2 R' U L F2 D2
L B2 R' U L' F2 L2
L B2 R' U F' L F'
L B2 R' U F2 L D
L B2 R' U F2 L D'
L B2 R' U F2 L D2
L B2 R' U F2 D L
L B2 R' U F2 D' L
L B2 R' U F2 D2 L
U B2 R' U' L F2 R
L B2 R' D R2 U L
L2 B2 U L F2 D' B2
L B2 R' F U F L
L' B2 U F2 D' L B2
L B2 R' F' U L F'
L B2 R' F' U F' L
D2 B2 U' R' F2 U' L
L B2 R2 U L F2 D
L B2 R2 U L F2 D'
L B2 R2 U L F2 D2
L B2 R2 U L' F2 L2
L B2 R2 U F' L F'
L B2 R2 U F2 L D
L B2 R2 U F2 L D'
L B2 R2 U F2 L D2
L B2 R2 U F2 D L
L B2 R2 U F2 D' L
L B2 R2 U F2 D2 L
D2 B2 U' F2 R' U' L
L B2 R2 D R2 U L
U' B2 U2 R' U' L F2
U' B2 U2 R' U' F2 L
L B2 R2 F U F L
L B2 R2 F' U L F'
L B2 R2 F' U F' L
L B2 U L R F2 R'
L B2 U L R2 F2 R2
L B2 U L F D F
L B2 U L F D' F
L B2 U L F D2 F
L B2 U L F' D F'
L B2 U L F' D' F'
L B2 U L F' D2 F'
L B2 U L' F' L2 F'
L B2 U L' F2 L2 D
L B2 U L' F2 L2 D'
L B2 U L' F2 L2 D2
L B2 U R L F2 R'
L B2 U R F2 L R'
L B2 U R F2 R' L
L B2 U R2 L F2 R2
L B2 U R2 F2 L R2
L B2 U R2 F2 R2 L
L B2 U D L D' F2
L B2 U D2 L D2 F2
L B2 U F D F L
L B2 U F D' F L
L B2 U F D2 F L
L B2 U F' L D F'
L B2 U F' L D' F'
L B2 U F' L D2 F'
L B2 U F' L F' D
L B2 U F' L F' D'
L B2 U F' L F' D2
L B2 U F' L' F' L2
L B2 U F' D L F'
L B2 U F' D F' L
L B2 U F' D' L F'
L B2 U F' D' F' L
L B2 U F' D2 L F'
L B2 U F' D2 F' L
L B2 U F2 L2 D L'
L B2 U F2 L2 D' L'
L B2 U F2 L2 D2 L'
L B2 U F2 D L D
L B2 U F2 D L D'
L B2 U F2 D L D2
L B2 U F2 D' L D
L B2 U F2 D' L D'
L B2 U F2 D' L D2
L B2 U F2 D2 L D
L B2 U F2 D2 L D'
L B2 U F2 D2 L D2
U2 B2 U2 R' U' L F2
U2 B2 U2 R' U' F2 L
B2 F2 U R' U' L R
B2 F2 U R' U' R L
F2 B2 U R' U' L R
F2 B2 U R' U' R L
L B2 U' R U2 L F2
L B2 U' R U2 F2 L
L B2 U' R' U2 L F2
L B2 U' R' U2 F2 L
L B2 U' R2 U2 L F2
L B2 U' R2 U2 F2 L
L B2 U' D2 B2 R' U2
L2 B2 D L' R2 U L2
L2 B2 D R2 L' U L2
L B2 U' B2 R' U2 F2
L B2 U2 L' U' L2 F2
L B2 U2 L' U' F2 L2
L B2 U2 L2 U' L' F2
U B2 U2 R' U' L F2
U B2 U2 R' U' F2 L
L B2 U2 D' L2 U' L'
L B2 D R2 U L D
L B2 D R2 U L D'
L B2 D R2 U L D2
L B2 D R2 U D L
L B2 D R2 U D' L
L B2 D R2 U D2 L
L B2 D R2 D U L
L B2 D R2 D' U L
L B2 D R2 D2 U L
L B2 D R2 F U L
L B2 D R2 F' U L
L B2 D R2 F2 U L
L B2 D U L D' F2
L B2 D F R2 U L
L B2 D F' R2 U L
L B2 D F2 R2 U L
L B2 D' U2 L2 U' L'
F B2 U2 R' U' F L
L' B2 F' L2 U L' F'
L B2 D2 U L D2 F2
L B2 D2 U' B2 R' U2
L B2 F R U F L
L B2 F R' U F L
L B2 F R2 U F L
L B2 F U D F L
L B2 F U D' F L
L B2 F U D2 F L
L B2 F U F L D
L B2 F U F L D'
L B2 F U F L D2
L B2 F U F D L
L B2 F U F D' L
L B2 F U F D2 L
L B2 F U F' L F2
L B2 F U F2 L F'
L B2 F D U F L
L B2 F D' U F L
L B2 F D2 U F L
L B2 F' U L D F'
L B2 F' U L D' F'
L B2 F' U L D2 F'
L B2 F' U L F' D
L B2 F' U L F' D'
L B2 F' U L F' D2
L B2 F' U L' F' L2
L B2 F' U D L F'
L B2 F' U D F' L
L B2 F' U D' L F'
L B2 F' U D' F' L
L B2 F' U D2 L F'
L B2 F' U D2 F' L
L B2 F' U F L F2
L B2 F' U F' L D
L B2 F' U F' L D'
L B2 F' U F' L D2
L B2 F' U F' D L
L B2 F' U F' D' L
L B2 F' U F' D2 L
L B2 F' D U L F'
L B2 F' D U F' L
L B2 F' D' U L F'
L B2 F' D' U F' L
L B2 F' D2 U L F'
L B2 F' D2 U F' L
