U' L U2 F' U' L
L2 R2 U' L' B U
R2 L2 U' L' B U
L2 R2 U' B L' U
R2 L2 U' B L' U
B2 L2 U F' R' U'
L2 U F2 R F U'
L2 U' L' U2 F' U'
D' U F' B2 R' U'
B2 U F' R' U' L2
D' U B2 F' R' U'
U D' F' B2 R' U'
U D' B2 F' R' U'
U F' U2 L U L
U F' D' B2 R' U'
D' F' B2 R' U' F
U F' B2 R' U' L2
F' D' B2 R' U' F
B2 F' R' U' F L2
F' B2 R' U' F L2
D' B2 F' R' U' F
U B2 F' R' U' L2
U F' R' U2 L U L
U F' R' D' B2 R' U'
U F' R' B2 R' U' L2
U F' R2 U2 L U L
U F' R2 D' B2 R' U'
L' F' U' F D' L' B2
L' F' U' F D' B2 L'
U F' R2 B2 R' U' L2
L F' U F' L F2 R
U F' U' L' D' L' B2
U F' U' L' D' B2 L'
U F' U' L2 U' L' U
U F' U2 L U L D
U F' U2 L U L D'
U F' U2 L U L D2
U F' U2 L U D L
U F' U2 L U D' L
U F' U2 L U D2 L
U F' U2 L D U L
U F' U2 L D' U L
U F' U2 L D2 U L
D2 F' D B2 R' U' F
U F' U2 L F U L
U F' U2 L F' U L
U F' U2 L F2 U L
D F' U2 F' L U F2
U F' U2 D L F2 U
U F' U2 D F2 L U
U F' U2 F L U L
U F' U2 F' L U L
U F' U2 F2 L U L
U F' D U2 L F2 U
U F' D U2 F2 L U
F' D' R B2 R' U' F
U F' D' R B2 R' U'
U F' D' R' B2 R' U'
U F' D' R2 B2 R' U'
F' D' R' B2 R' U' F
U F' D' B2 R' U' D
U F' D' B2 R' U' D'
U F' D' B2 R' U' D2
U F' D' B2 R' D U'
U F' D' B2 R' D' U'
U F' D' B2 R' D2 U'
U F' D' B2 D R' U'
U F' D' B2 D' R' U'
U F' D' B2 D2 R' U'
B D' R' D L2 B R'
B D' R' D B L2 R'
B D' R' D B R' L2
F' D' R2 B2 R' U' F
D' F' B2 R' U' D F
D' F' B2 R' U' D' F
D' F' B2 R' U' D2 F
D' F' B2 R' U' F D
D' F' B2 R' U' F D'
D' F' B2 R' U' F D2
D' F' B2 R' D U' F
D' F' B2 R' D' U' F
D' F' B2 R' D2 U' F
D' F' B2 D R' U' F
D' F' B2 D' R' U' F
D' F' B2 D2 R' U' F
B2 D' U F' R' B2 U'
U F' B' U' L' B' L'
U F' B2 R' U' L2 D
U F' B2 R' U' L2 D'
U F' B2 R' U' L2 D2
U F' B2 R' D' B2 U'
U F' B2 R' B U' L2
U F' B2 R' B' U' L2
U F' B2 R' B2 U' L2
U F' B2 D' R' B2 U'
U' F2 L2 B' L' U L
F2 D' F B2 L2 R' U'
L' F2 L2 B' U F2 L'
F2 D' F B2 R' L2 U'
B2 D' F' R' B2 U' F
D F2 L2 B' L' U F2
F' D' B2 R' U' D F
F' D' B2 R' U' D' F
F' D' B2 R' U' D2 F
F' D' B2 R' U' F D
F' D' B2 R' U' F D'
F' D' B2 R' U' F D2
F' D' B2 R' D U' F
F' D' B2 R' D' U' F
F' D' B2 R' D2 U' F
L2 F2 U R F U' F
F' D' B2 D R' U' F
F2 D' B2 R' F L2 U'
F' D' B2 D' R' U' F
F' D' B2 D2 R' U' F
F2 D' B2 F L2 R' U'
F2 D' B2 F R' L2 U'
L F2 U2 F U' F L
U F2 D' F B2 R' U'
U F2 D' B2 R' F U'
U F2 D' B2 F R' U'
D' F2 B2 R' F U' F
U F2 B2 R' F U' L2
L2 B R2 U' L' B U
L2 B R2 U' B L' U
D' B U F' B R' U'
D' B U B F' R' U'
L2 B U F2 R F U'
L2 B U' L' U2 F' U'
L2 B' R2 U' L' B U
L2 B' R2 U' B L' U
L2 B' U F2 R F U'
L2 B' U' L' U2 F' U'
B2 F' R' U' F L2 D
B2 F' R' U' F L2 D'
B2 F' R' U' F L2 D2
B2 F' R' U' F' L2 F2
B2 F' R' U' F2 L2 F'
B2 F' R' D' B2 U' F
B2 F' R' B U' F L2
B2 F' R' B' U' F L2
B2 F' R' B2 U' F L2
B' F' U' F L' B' L'
F' B' U' F L' B' L'
D' B2 L F' R' U' F
U B' F' U' L' B' L'
B2 F' D' R' B2 U' F
D' B2 L' F' R' U' F
D' B2 L2 F' R' U' F
R2 B2 L2 U R' F U'
R2 B2 L2 U F R' U'
L2 B2 R2 U' L' B U
L2 B2 R2 U' B L' U
F' B2 R' U' F L2 D
F' B2 R' U' F L2 D'
F' B2 R' U' F L2 D2
F' B2 R' U' F' L2 F2
F' B2 R' U' F2 L2 F'
F' B2 R' D' B2 U' F
R B2 R' F' U' F L2
L2 B2 U F2 R F U'
F' B2 R' B U' F L2
B2 F2 R' F U' F L2
F' B2 R' B' U' F L2
F' B2 R' B2 U' F L2
F2 B2 R' F U' F L2
L2 B2 U' L' U2 F' U'
U' B2 U2 F' R' U' L2
D' B2 D F' R' U' F
D' B2 D' F' R' U' F
D' B2 D2 F' R' U' F
U B2 D' F' R' B2 U'
F' B2 D' R' B2 U' F
D' B2 F' R' U' D F
D' B2 F' R' U' D' F
D' B2 F' R' U' D2 F
D' B2 F' R' U' F D
D' B2 F' R' U' F D'
D' B2 F' R' U' F D2
D' B2 F' R' D U' F
D' B2 F' R' D' U' F
D' B2 F' R' D2 U' F
D' B2 F' D R' U' F
D' B2 F' D' R' U' F
D' B2 F' D2 R' U' F
D' B2 F2 R' F U' F
U B2 F R' F2 U' L2
U B2 F' R' U' L2 D
U B2 F' R' U' L2 D'
U B2 F' R' U' L2 D2
U B2 F' R' D' B2 U'
U B2 F' R' B U' L2
U B2 F' R' B' U' L2
U B2 F' R' B2 U' L2
U B2 F' D' R' B2 U'
U B2 F2 R' F U' L2
