B2 L B' U' B'
B2 L R B' U' B'
B2 L R' B' U' B'
B2 L R2 B' U' B'
B2 L D' R2 B' U'
B2 L D' B' R2 U'
B' L B' L U' B2
B2 L B' R U' B'
B2 L B' R' U' B'
B2 L B' R2 U' B'
B2 L B' U' D B'
B2 L B' U' D' B'
B2 L B' U' D2 B'
B2 L B' U' B' D
B2 L B' U' B' D'
B2 L B' U' B' D2
B2 L B' D U' B'
B2 L B' D' U' B'
B2 L B' D2 U' B'
B2 R L B' U' B'
L' U' F R' U R
B2 R' L B' U' B'
B2 R2 L B' U' B'
B U' D' B' L F
B D' U' B' L F
L B2 L B U' B
L2 U' F' R' U L' R
L2 U' F' R' U R L'
B R' U' D' B' L F
U' R' D' B' U L R
U' R' D' B' U R L
B R' D' U' B' L F
R U2 L' F R2 U B
L' U2 R F R2 U B
L' U2 R' F U' F' U2
L2 U2 R' F' L2 U B'
L2 U2 R' F' U' F U2
B R' B L B' U' B'
L U2 R' U2 B' U' B
B2 R2 L D' R2 B' U'
B2 R2 L D' B' R2 U'
B2 R2 L B' R U' B'
B2 R2 L B' R' U' B'
B2 R2 L B' R2 U' B'
B2 R2 L B' U' D B'
B2 R2 L B' U' D' B'
B2 R2 L B' U' D2 B'
B2 R2 L B' U' B' D
B2 R2 L B' U' B' D'
B2 R2 L B' U' B' D2
B2 R2 L B' D U' B'
B2 R2 L B' D' U' B'
B2 R2 L B' D2 U' B'
B R2 U' D' B' L F
B R2 D' U' B' L F
B R2 B L B' U' B'
L' D U' F R' U R
U' D F R' U L' R
U' D F R' U R L'
L D B2 L B U' B
F' U F B2 L B' U'
F U F' B2 L B' U'
F2 U F2 B2 L B' U'
F2 U B2 L F2 B' U'
F2 U B2 L B' F2 U'
L' D' U' F R' U R
F' U B2 F L B' U'
F2 U B2 F2 L B' U'
F U B2 L F' B' U'
F U B2 L B' F' U'
D2 U' R F' R2 U R
F U B2 F' L B' U'
D2 U' R' U2 B U' R
U' D' R' B' U L R
U' D' R' B' U R L
D' U' R' B' U L R
D' U' R' B' U R L
D U' F R' U L' R
D U' F R' U R L'
B' U' D L' F L' B
B' U' D L' F B L'
B' U' D L' B F L'
B' U' D F L' F B
B' U' D F L' B F
B' U' D F B L' F
B' U' D B L' F L'
B' U' D B F L' F
R D' B' U' L F2 B
R D' B' U' L B F2
B U' D L F L' B'
R D' B' U' F2 L B
L D' B2 L B U' B
B U' D B' L F L'
B U' D' F B' L F
B U' D' F' B' L F
B U' D' F2 B' L F
B U' D' B' L D F
B U' D' B' L D' F
B U' D' B' L D2 F
B U' D' B' L F D
B U' D' B' L F D'
B U' D' B' L F D2
B U' D' B' D L F
B U' D' B' D' L F
B U' D' B' D2 L F
B U' D' B' F L F
B U' D' B' F' L F
B U' D' B' F2 L F
B U' F D' B' L F
R D2 L2 R' B U' B'
B U' F' D' B' L F
B U' F2 D' B' L F
U' D2 R F' R2 U R
R D2 R' L2 B U' B'
U' D2 R' U2 B U' R
D2 U2 R' U2 B U' B'
B U' B' D L F L'
L' D2 U' F R' U R
U2 D2 R' U2 B U' B'
R2 D2 U' R F' U R'
L D2 B2 L B U' B
L' F R2 B R U B'
B' D L' U' F L' B
B' D L' U' F B L'
B' D L' U' B F L'
F2 D R2 F D' L' F
B' D U' L' F L' B
B' D U' L' F B L'
B' D U' L' B F L'
B' D U' F L' F B
B' D U' F L' B F
B' D U' F B L' F
B' D U' B L' F L'
B' D U' B F L' F
B D U' L F L' B'
B D U' B' L F L'
R' F' L2 B' U B L
B2 D' L R2 B' U' L
B2 D' L B' R2 U' L
B D' R U' B' L F
B2 D' R2 L B' U' L
B D' R' U' B' L F
B2 D' R2 D L B' U'
B2 D' R2 B' U' L F
B D' R2 U' B' L F
B D' U' F B' L F
B D' U' F' B' L F
B D' U' F2 B' L F
B D' U' B' L D F
B D' U' B' L D' F
B D' U' B' L D2 F
B D' U' B' L F D
B D' U' B' L F D'
B D' U' B' L F D2
B D' U' B' D L F
B D' U' B' D' L F
B D' U' B' D2 L F
B D' U' B' F L F
B D' U' B' F' L F
B D' U' B' F2 L F
B D' B L U' B2 L
B2 D' B' R2 U' L F
B D2 R' B L U' B2
D2 B R' B L U' B2
D' B U R' U2 F' B'
D' B U R' U2 B' F'
D2 B U' D B' L F
D' B U' B2 L F B
D' B U' B2 L B F
D B U' L F L' B'
B2 F L F' B' U' B'
L' B U2 F R U B'
B2 F L B' F' U' B'
D B U' D2 B' L F
D B U' B' L F L'
D2 B D U' B' L F
R B U' D' F2 B' L
R B U' D' B' L F2
R B U' D' B' F2 L
D B D2 U' B' L F
R B D' U' F2 B' L
R B D' U' B' L F2
R B D' U' B' F2 L
L2 B' L' B' L U' B2
L' B' L2 B' L U' B2
L B' U' B U' R' U
L B' D L' U' F B
L B' D L' U' B F
D2 B2 L R' B U' B
D' B2 L B U' L B
L2 B2 L U2 F U B2
L B2 L D' B R2 U'
L B2 L B U' D B
U B2 L F2 B' U' R
L B2 L B U' D' B
L B2 L B U' D2 B
L B2 L B U' B D
L B2 L B U' B D'
L B2 L B U' B D2
L B2 L B D U' B
L B2 L B D' U' B
L B2 L B D2 U' B
U B2 L B' U L' U2
U B2 L B' F2 U' R
B2 F2 L F2 B' U' B'
B2 F2 L B' F2 U' B'
F2 B2 L F2 B' U' B'
D2 B2 R' L B U' B
L B2 L' B L2 U' B
F2 B2 L B' F2 U' B'
L B2 L2 B L' U' B
F B2 L F' B' U' B'
F B2 L B' F' U' B'
U' B2 U L B' U' B
U B2 U' L B' U' B
D B2 D' L R2 B' U'
D B2 D' L B' R2 U'
D B2 D' R2 L B' U'
L B2 D' L B R2 U'
