L' R B' U L2 R'
L' R B' U R' L2
U' L' R B' U L2
U L' R B U L2
R L' B' U L2 R'
R L' B' U R' L2
U' L' B' R U L2
U' R L' B' U L2
U R L' B U L2
L' B' R U L2 R2
L' B' R U R2 L2
L B' R' D' F2 B2
L B' R' D' B2 F2
D2 U' L' R B' U L2
U' D' L' B' R U L2
D' U' L' B' R U L2
D2 U' L' B' R U L2
D U' L' R B' U L2
U D' L' R B U L2
D U' L' B' R U L2
U' D' R L' B' U L2
D' U' R L' B' U L2
D2 U' R L' B' U L2
D U' R L' B' U L2
U D' R L' B U L2
L D' B' R' D' F2 B'
L D' B' R' D' B' F2
L D' B' R' B' D' F2
U' D2 L' R B' U L2
R D2 L' B' U L2 R'
R D2 L' B' U R' L2
U' D2 L' B' R U L2
U D2 L' R B U L2
U' D2 R L' B' U L2
U D2 R L' B U L2
R' F' D' L F2 B' R'
R' F' D' L B' R' F2
R' F' D' L B' F2 R'
R' F' D' F2 L B' R'
U' B L' R B' U L
U' B L' B' R U L
U' B R L' B' U L
L' B R U' L U2 L
L' B R B2 U L2 R'
L' B R B2 U R' L2
L B R' D' F2 B2 R'
L B R' D' B2 R' F2
L B R' D' B2 F2 R'
L B D' B2 R' D' F2
L' B' L2 R' D' F2 B2
L' B' L2 R' D' B2 F2
U B' L' R B U L
L' B' R U L2 R2 D
L' B' R U L2 R2 D'
L' B' R U L2 R2 D2
L' B' R U R2 L2 D
L' B' R U R2 L2 D'
L' B' R U R2 L2 D2
L' B' R D F2 B2 U
L' B' R D B2 F2 U
L' B' R F U L2 R2
L' B' R F U R2 L2
L' B' R F' U L2 R2
L' B' R F' U R2 L2
L' B' R F2 U L2 R2
L' B' R F2 U R2 L2
L' B' R B U L2 R2
L' B' R B U R2 L2
L' B' R B' U L2 R2
L' B' R B' U R2 L2
L' B' R B2 U L2 R2
L' B' R B2 U R2 L2
L B' L2 R U L2 R2
L B' L2 R U R2 L2
L' B' R' L2 D' F2 B2
L' B' R' L2 D' B2 F2
U B' R L' B U L
L B' R L2 U L2 R2
L B' R L2 U R2 L2
U B' R B L' U L2
L' B' U L2 R' D' F2
L B' R' U' L2 R2 U
L B' R' U' R2 L2 U
L' B' U R' L2 D' F2
L B' R' D' F2 B2 D
L B' R' D' F2 B2 D'
L B' R' D' F2 B2 D2
L B' R' D' B2 F2 D
L B' R' D' B2 F2 D'
L B' R' D' B2 F2 D2
L B' R' F D' F2 B2
L B' R' F D' B2 F2
L B' R' F' D' F2 B2
L B' R' F' D' B2 F2
L B' R' F2 D' F2 B2
L B' R' F2 D' B2 F2
L B' R' B D' F2 B2
L B' R' B D' B2 F2
L B' R' B' D' F2 B2
L B' R' B' D' B2 F2
L B' R' B2 D' F2 B2
L B' R' B2 D' B2 F2
L B' U' L2 R U R2
L B' U' R L2 U R2
L' B' D R F2 U R2
L B' D' R' B2 D' F2
L' B2 R B U L2 R'
L' B2 R B U R' L2
