B' U' R' U' L
B' R U' R2 U' L
B' R U2 L D B2
B' R U2 D L B2
B' R D U2 L B2
B' R D' F2 U2 L
B R' B2 U' R' U'
B' R2 U' R U' L
B' U' R' U' L D
B' U' R' U' L D'
B' U' R' U' L D2
B' U' R' U' D L
B' U' R' U' D' L
B' U' R' U' D2 L
B' U' R' D U' L
B' U' R' D' U' L
B' U' R' D2 U' L
B' U' D R' U' L
B' U' D' R' U' L
B' U' D2 R' U' L
B' U2 L U R' U'
B' D U' R' U' L
B2 D B U2 L B'
B' D' U' R' U' L
B' D2 U' R' U' L
B' F U' R' U' L
R' B' U' R' U' L
R2 B' U' R' U' L
D' B' U' R' B U'
R B' U' R' U' L
F' B' U' R' U' L
B' F' U' R' U' L
F2 B' U' R' U' L
F B' U' R' U' L
B' F2 U' R' U' L
B' R2 F U2 D' L B'
B' R2 F D' U2 L B'
B' R2 F2 U L' U L2
B' R2 F2 U2 L D' B2
F' R2 B' U' R' U' L
F2 R2 B' U' R' U' L
F R2 B' U' R' U' L
B R2 B2 R U' R2 U'
B R2 B2 R U2 D B2
B R2 B2 R D U2 B2
B R2 B2 R D' F2 U2
B U L U' R' B2 U2
B U L U' B2 U2 L
B' U L' U2 R' U' L2
B' U L2 U2 R' U' L'
B' U F U2 R' U' L
B' U F' U2 R' U' L
B' U F2 U2 R' U' L
B' U B2 L B2 U L
B' U' R U' L D B2
B' U' R U' D L B2
B' U' R D U' L B2
B' U' R' U R U2 L
B' U' R' U R' U2 L
B' U' R' U R2 U2 L
B' U' R' U' L2 D L'
B' U' R' U' L2 D' L'
B' U' R' U' L2 D2 L'
B' U' R' U' D L D
B' U' R' U' D L D'
B' U' R' U' D L D2
B' U' R' U' D' L D
B' U' R' U' D' L D'
B' U' R' U' D' L D2
B' U' R' U' D2 L D
B' U' R' U' D2 L D'
B' U' R' U' D2 L D2
B' U' R' U' F L F'
B' U' R' U' F2 L F2
B' U' R' U2 F U L
B' U' R' U2 F' U L
B' U' R' U2 F2 U L
B' U' R' D U' L D
B' U' R' D U' L D'
B' U' R' D U' L D2
B' U' R' D' U' L D
B' U' R' D' U' L D'
B' U' R' D' U' L D2
B' U' R' D2 U' L D
B' U' R' D2 U' L D'
B' U' R' D2 U' L D2
B' U' R' B2 U R' U2
R' D' B' U' R' B U'
B' U' R2 D R U' L
B' U' R2 D' R U' L
B' U' R2 D2 R U' L
B' U' D R' U' L D
B' U' D R' U' L D'
B' U' D R' U' L D2
B' U' D R' U' D L
B' U' D R' U' D' L
B' U' D R' U' D2 L
B' U' D R' D U' L
B' U' D R' D' U' L
R2 D' B' U' R' B U'
B' U' D R' D2 U' L
B' U' D' R' U' L D
B' U' D' R' U' L D'
B' U' D' R' U' L D2
B' U' D' R' U' D L
B' U' D' R' U' D' L
B' U' D' R' U' D2 L
B' U' D' R' D U' L
B' U' D' R' D' U' L
B' U' D' R' D2 U' L
R D' B' U' R' B U'
B' U' D2 R' U' L D
B' U' D2 R' U' L D'
B' U' D2 R' U' L D2
B' U' D2 R' U' D L
B' U' D2 R' U' D' L
B' U' D2 R' U' D2 L
B' U' D2 R' D U' L
B' U' D2 R' D' U' L
B' U' D2 R' D2 U' L
B' U' F' R' F U' L
B' U' F2 R' F2 U' L
B' U' B U' L' B' L
B' U2 L R D R' B2
B' U2 L U R' U' D
B' U2 L U R' U' D'
B' U2 L U R' U' D2
B' U2 L U R' D U'
B' U2 L U R' D' U'
B' U2 L U R' D2 U'
B' U2 L U D R' U'
B' U2 L U D' R' U'
B' U2 L U D2 R' U'
L2 D2 U' R2 F L' B'
L2 D2 U' F L' R2 B'
L2 D2 U' F L' B' R2
L2 D2 U' F R2 L' B'
B' U2 L D U R' U'
B' U2 L D' U R' U'
B' U2 L D2 U R' U'
B' U2 L B2 U' L U
B' U2 L' U R' U' L2
B' U2 L2 U R' U' L'
B' U2 L2 B2 L' D' B2
B' U2 R L D R' B2
B' U2 R D L R' B2
B' U2 R D R' L B2
B' U2 D L U R' U'
B' U2 D' L U R' U'
B' U2 D2 L U R' U'
B' U2 B' D B L B'
B' U2 B2 L' D' B2 L
B' D R U' R2 U' L
B' D R U2 L D B2
B' D R U2 D L B2
B' D R D U2 L B2
B' D R D' F2 U2 L
B' D R2 U' R U' L
R' F B' U' R' U' L
D' F B' U' R' B U'
D2 F B' U' R' U' L'
R2 F B' U' R' U' L
B' D U' R' U' L D
B' D U' R' U' L D'
B' D U' R' U' L D2
B' D U' R' U' D L
B' D U' R' U' D' L
B' D U' R' U' D2 L
B' D U' R' D U' L
B' D U' R' D' U' L
B' D U' R' D2 U' L
B' D U2 L U R' U'
R F B' U' R' U' L
B' D F U' R' U' L
B2 D F B U2 L B'
B' D F' U' R' U' L
B2 D F' B U2 L B'
D2 F' R B' U' R' U'
B' D F2 U' R' U' L
B2 D F2 B U2 L B'
B2 D B R U2 L B'
B2 D B R' U2 L B'
B2 D B R2 U2 L B'
B2 D B U2 L D B'
B2 D B U2 L D' B'
B2 D B U2 L D2 B'
B2 D B U2 L B' D
B2 D B U2 L B' D'
B2 D B U2 L B' D2
B2 D B F U2 L B'
B2 D B F' U2 L B'
B2 D B F2 U2 L B'
B' D' R U' R2 U' L
B' D' R U2 L D B2
B' D' R U2 D L B2
B' D' R D U2 L B2
B' D' R D' F2 U2 L
B' D' R2 U' R U' L
D2 F' B' R U' R2 U'
D2 F' B' R U2 D B2
D2 F' B' R D U2 B2
D2 F' B' R D' F2 U2
B D' R' U L R' U
B D' R' U R' L U
R' F' B' U' R' U' L
B2 D' R2 U2 F' L' B'
D' F' B' U' R' B U'
R2 F' B' U' R' U' L
B' D' U' R' U' L D
B' D' U' R' U' L D'
B' D' U' R' U' L D2
B' D' U' R' U' D L
B' D' U' R' U' D' L
B' D' U' R' U' D2 L
B' D' U' R' D U' L
B' D' U' R' D' U' L
B' D' U' R' D2 U' L
B' D' U2 L U R' U'
R F' B' U' R' U' L
B' D' F U' R' U' L
B' D' F' U' R' U' L
B' D' F2 U' R' U' L
B2 D' B R F' U2 L
B2 D' B R' U2 L B
B2 D' B U2 D2 L B'
B2 D' B D2 U2 L B'
F' D' B' U' R' B U'
B2 D' B' R' B2 U2 B'
F2 D' B' U' R' B U'
F D' B' U' R' B U'
B' D2 R U' R2 U' L
B' D2 R U2 L D B2
B' D2 R U2 D L B2
B' D2 R D U2 L B2
B' D2 R D' F2 U2 L
B' D2 R2 U' R U' L
B D2 R' U L U F2
R' F2 B' U' R' U' L
D' F2 B' U' R' B U'
B' D2 U' R' U' L D
B' D2 U' R' U' L D'
B' D2 U' R' U' L D2
B' D2 U' R' U' D L
B' D2 U' R' U' D' L
B' D2 U' R' U' D2 L
B' D2 U' R' D U' L
B' D2 U' R' D' U' L
B' D2 U' R' D2 U' L
R2 F2 B' U' R' U' L
B' D2 U2 L U R' U'
R F2 B' U' R' U' L
B' D2 F U' R' U' L
B' D2 F' U' R' U' L
B' D2 F2 U' R' U' L
R' B R' B2 U' R' U'
B2 D2 B U2 D' L B'
B2 D2 B D' U2 L B'
R2 B R' B2 U' R' U'
R B R' B2 U' R' U'
B' F R U' R2 U' L
B' F R U2 L D B2
B' F R U2 D L B2
B' F R D U2 L B2
B' F R D' F2 U2 L
B' F R2 U' R U' L
F' B R' B2 U' R' U'
F2 B R' B2 U' R' U'
B F R' B2 U' R' U'
F B R' B2 U' R' U'
B' F U' R' U' L D
B' F U' R' U' L D'
B' F U' R' U' L D2
B' F U' R' U' D L
B' F U' R' U' D' L
B' F U' R' U' D2 L
B' F U' R' D U' L
B' F U' R' D' U' L
B' F U' R' D2 U' L
B' F U' D R' U' L
B' F U' D' R' U' L
B' F U' D2 R' U' L
B' F U2 L U R' U'
B' F D U' R' U' L
R' B' R U' R2 U' L
R' B' R U2 L D B2
R' B' R U2 D L B2
B2 F D B U2 L B'
D' B' R U' R2 B U'
R' B' R D U2 L B2
B' F D' U' R' U' L
R' B' R D' F2 U2 L
D' B' R' U' B U' B'
B' F D2 U' R' U' L
R2 B' R U' R2 U' L
R2 B' R U2 L D B2
R2 B' R U2 D L B2
R2 B' R D U2 L B2
R2 B' R D' F2 U2 L
R' B' R2 U' R U' L
R B' R U' R2 U' L
R B' R U2 L D B2
R B' R U2 D L B2
R B' R D U2 L B2
R B' R D' F2 U2 L
R2 B' R2 U' R U' L
R' B' U' R' U' L D
R' B' U' R' U' L D'
R' B' U' R' U' L D2
R' B' U' R' U' D L
R' B' U' R' U' D' L
R' B' U' R' U' D2 L
R' B' U' R' D U' L
R' B' U' R' D' U' L
R' B' U' R' D2 U' L
R' B' U' D R' U' L
D2 B' U' D R' B U'
D' B' U' R' D B U'
D' B' U' R' D' B U'
D' B' U' R' D2 B U'
R' B' U' D' R' U' L
D' B' U' R' B U' D
D' B' U' R' B U' D'
D' B' U' R' B U' D2
D' B' U' R' B D U'
D' B' U' R' B D' U'
D' B' U' R' B D2 U'
R' B' U' D2 R' U' L
R' B' U2 L U R' U'
R B' R2 U' R U' L
B' F' R U' R2 U' L
B' F' R U2 L D B2
B' F' R U2 D L B2
B' F' R D U2 L B2
B' F' R D' F2 U2 L
F' B' R U' R2 U' L
F' B' R U2 L D B2
F' B' R U2 D L B2
R2 B' U' R' U' L D
R2 B' U' R' U' L D'
R2 B' U' R' U' L D2
R2 B' U' R' U' D L
R2 B' U' R' U' D' L
R2 B' U' R' U' D2 L
R2 B' U' R' D U' L
R2 B' U' R' D' U' L
R2 B' U' R' D2 U' L
F' B' R D U2 L B2
F' B' R D' F2 U2 L
R2 B' U' D R' U' L
R2 B' U' D' R' U' L
F2 B' R U' R2 U' L
F2 B' R U2 L D B2
R2 B' U' D2 R' U' L
F2 B' R U2 D L B2
F2 B' R D U2 L B2
D B' U' D2 R' B U'
F2 B' R D' F2 U2 L
R2 B' U2 L U R' U'
R' B' D U' R' U' L
D2 B' D U' R' B U'
R B' U' R' U' L D
R B' U' R' U' L D'
R B' U' R' U' L D2
R B' U' R' U' D L
R B' U' R' U' D' L
R B' U' R' U' D2 L
R B' U' R' D U' L
R B' U' R' D' U' L
R B' U' R' D2 U' L
B' F' R2 U' R U' L
R B' U' D R' U' L
R B' U' D' R' U' L
F B' R U' R2 U' L
R B' U' D2 R' U' L
F B' R U2 L D B2
F B' R U2 D L B2
R' B' D' U' R' U' L
F B' R D U2 L B2
F B' R D' F2 U2 L
F' B' R2 U' R U' L
R B' U2 L U R' U'
F2 B' R2 U' R U' L
R2 B' D U' R' U' L
R' B' D2 U' R' U' L
B F' R' B2 U' R' U'
R2 B' D' U' R' U' L
B' F' U' R' U' L D
B' F' U' R' U' L D'
B' F' U' R' U' L D2
B' F' U' R' U' D L
B' F' U' R' U' D' L
B' F' U' R' U' D2 L
B' F' U' R' D U' L
B' F' U' R' D' U' L
B' F' U' R' D2 U' L
R B' D U' R' U' L
B' F' U' D R' U' L
F B' R2 U' R U' L
B' F' U' D' R' U' L
B' F' U' D2 R' U' L
D2 B' F U' R' U' L'
R' B' F U' R' U' L
F' B' U' R' U' L D
F' B' U' R' U' L D'
F' B' U' R' U' L D2
F' B' U' R' U' D L
F' B' U' R' U' D' L
F' B' U' R' U' D2 L
F' B' U' R' D U' L
D' B' F U' R' B U'
F' B' U' R' D' U' L
F' B' U' R' D2 U' L
F' B' U' D R' U' L
F' B' U' D' R' U' L
F' B' U' D2 R' U' L
B' F' U2 L U R' U'
R2 B' D2 U' R' U' L
F2 B' U' R' U' L D
F2 B' U' R' U' L D'
F2 B' U' R' U' L D2
F2 B' U' R' U' D L
F2 B' U' R' U' D' L
F2 B' U' R' U' D2 L
F2 B' U' R' D U' L
F2 B' U' R' D' U' L
F2 B' U' R' D2 U' L
D2 B' F' R U' R2 U'
D2 B' F' R U2 D B2
D2 B' F' R D U2 B2
D2 B' F' R D' F2 U2
F2 B' U' D R' U' L
D B' D2 U' R' B U'
F2 B' U' D' R' U' L
F2 B' U' D2 R' U' L
R' B' F' U' R' U' L
R B' D' U' R' U' L
F' B' U2 L U R' U'
D' B' F' U' R' B U'
F2 B' U2 L U R' U'
R2 B' F U' R' U' L
R' B' F2 U' R' U' L
D' B' F2 U' R' B U'
R B' D2 U' R' U' L
B' F' D U' R' U' L
F B' U' R' U' L D
F B' U' R' U' L D'
F B' U' R' U' L D2
F B' U' R' U' D L
F B' U' R' U' D' L
F B' U' R' U' D2 L
F B' U' R' D U' L
F B' U' R' D' U' L
F B' U' R' D2 U' L
F B' U' D R' U' L
F B' U' D' R' U' L
F B' U' D2 R' U' L
R2 B' F' U' R' U' L
F' B' D U' R' U' L
F B' U2 L U R' U'
F2 B' D U' R' U' L
R B' F U' R' U' L
B' F' D' U' R' U' L
B2 F' D B U2 L B'
R2 B' F2 U' R' U' L
F' B' D' U' R' U' L
R B' F' U' R' U' L
F2 B' D' U' R' U' L
B' F' D2 U' R' U' L
F B' D U' R' U' L
F' B' D2 U' R' U' L
R B' F2 U' R' U' L
F2 B' D2 U' R' U' L
F B' D' U' R' U' L
F B' D2 U' R' U' L
B' F2 R U' R2 U' L
B' F2 R U2 L D B2
B' F2 R U2 D L B2
B' F2 R D U2 L B2
B' F2 R D' F2 U2 L
B' F2 R2 U' R U' L
B F2 R' B2 U' R' U'
B' F2 U' R' U' L D
B' F2 U' R' U' L D'
B' F2 U' R' U' L D2
B' F2 U' R' U' D L
B' F2 U' R' U' D' L
B' F2 U' R' U' D2 L
B' F2 U' R' D U' L
B' F2 U' R' D' U' L
B' F2 U' R' D2 U' L
B' F2 U' D R' U' L
R' B2 D B U2 L B'
B' F2 U' D' R' U' L
B' F2 U' D2 R' U' L
B' F2 U2 L U R' U'
R2 B2 D B U2 L B'
B' F2 D U' R' U' L
D B2 D' B R' U2 B
F' B2 D B U2 L B'
R B2 D B U2 L B'
B' F2 D' U' R' U' L
B2 F2 D B U2 L B'
F2 B2 D B U2 L B'
B' F2 D2 U' R' U' L
F B2 D B U2 L B'
