L F' D' L2 R2
L F' D' R2 L2
F' L U' F B2 U
F' L U' B2 F U
B2 L F U F2 B2
B2 L F U B2 F2
D' L F' R2 D' L2
L U' F B2 U F2
L U' B2 F U F2
L2 D F L' F2 R
B2 U F' B L B
B2 U B L F' B
B2 U B L B F'
B2 U B F' L B
L D' F' R2 D' L2
B2 U' F' L' B2 R'
F' U' F' B2 U L'
F' U' B2 F' U L'
U' F B2 U F2 L'
L F B2 U F2 B2
L F B2 U B2 F2
L F' L D' L2 R2
L F' L D' R2 L2
L F' L' D' L2 R2
L F' L' D' R2 L2
L F' L2 D' L2 R2
L F' L2 D' R2 L2
L F' R D' L2 R2
L F' R D' R2 L2
L F' R' D' L2 R2
L F' R' D' R2 L2
L F' R2 D' L2 R2
L F' R2 D' R2 L2
L F' U' F2 B2 U
L F' U' B2 F2 U
L F' D' L2 R2 D
L F' D' L2 R2 D'
L F' D' L2 R2 D2
L F' D' R2 L2 D
L F' D' R2 L2 D'
L F' D' R2 L2 D2
U' F2 B2 U F L'
U' B2 F U F2 L'
L B2 F U F2 B2
L B2 F U B2 F2
U' B2 F2 U F L'
F' U' F' B2 U L' D
F' U' F' B2 U L' D'
F' U' F' B2 U L' D2
F' U' F' B2 U D L'
F' U' F' B2 U D' L'
F' U' F' B2 U D2 L'
F' U' F' B2 D U L'
F' U' F' B2 D' U L'
F' U' F' B2 D2 U L'
F2 U' F' B2 U L' F2
B2 U' F2 U2 F L' B2
B2 U' F2 U2 F B2 L'
B2 U' F2 U2 B2 F L'
B U' F' B' L' D' R2
B U' F' B' D' L' R2
B U' F' B' D' R2 L'
F U' F' B2 U L' F'
B' U' B D' F' L' R2
B' U' B D' F' R2 L'
B2 U' B U2 F' B L
B2 U' B U2 B L F'
B2 U' B U2 B F' L
B' U' B F' L' D' R2
B' U' B F' D' L' R2
B' U' B F' D' R2 L'
L' D2 U F2 B' U' F
L' D2 U B' F2 U' F
F' U' B2 U2 B U' L
F' U' B2 D F' U L'
F' U' B2 D' F' U L'
B U' B' D' F' L' R2
B U' B' D' F' R2 L'
F' U' B2 D2 F' U L'
F' U' B2 F U' R U2
F' U' B2 F' U L' D
F' U' B2 F' U L' D'
F' U' B2 F' U L' D2
F' U' B2 F' U D L'
F' U' B2 F' U D' L'
F' U' B2 F' U D2 L'
B U' B' F' L' D' R2
F' U' B2 F' D U L'
F' U' B2 F' D' U L'
F' U' B2 F' D2 U L'
B U' B' F' D' L' R2
B U' B' F' D' R2 L'
F2 U' B2 F' U L' F2
F U' B2 F' U L' F'
L' D2 F' U F' B' U'
L' D2 F' U B' F' U'
L' D2 F2 B' U' F B
L' D2 F2 B' U' B F
F' U2 R' U F' B2 U
F' U2 R' U B2 F' U
U D2 F2 B U' F L
L' D2 B' F2 U' F B
L' D2 B' F2 U' B F
U D2 B F2 U' F L
L F L F2 D' L2 R2
L F L F2 D' R2 L2
L F L B2 U F2 B2
L F L B2 U B2 F2
L F L' F2 D' L2 R2
L F L' F2 D' R2 L2
L F L' B2 U F2 B2
L F L' B2 U B2 F2
L F L2 F2 D' L2 R2
L F L2 F2 D' R2 L2
L F L2 B2 U F2 B2
L F L2 B2 U B2 F2
B2 U2 B U' F' B L
B2 U2 B U' B L F'
B2 U2 B U' B F' L
L F R F2 D' L2 R2
L F R F2 D' R2 L2
L F R B2 U F2 B2
U' F R2 B2 U L F2
L F R B2 U B2 F2
U' F R2 B2 U F2 L
B' U2 B' U F' L' B2
B' U2 B' U F' B2 L'
B' U2 B' U B2 F' L'
B U2 B U F' L' B2
B U2 B U F' B2 L'
B U2 B U B2 F' L'
U' F U F2 L' D' R2
U' F U F2 D' L' R2
U' F U F2 D' R2 L'
L F R' F2 D' L2 R2
L F R' F2 D' R2 L2
L F R' B2 U F2 B2
L F R' B2 U B2 F2
L F R2 F2 D' L2 R2
L F R2 F2 D' R2 L2
L F R2 B2 U F2 B2
L F R2 B2 U B2 F2
B2 D L F L U F2
U' F B2 U L F2 L'
U' F B2 U L' F2 L'
U' F B2 U L2 F2 L'
U' F B2 U F2 L' D
U' F B2 U F2 L' D'
U' F B2 U F2 L' D2
U' F B2 U F2 D L'
U' F B2 U F2 D' L'
U' F B2 U F2 D2 L'
U' F B2 U' R U2 F2
D' F' L R2 U' F U
D' F' L U' F U R2
U' F' L' U' L B2 U
L F B2 L U F2 B2
L F B2 L U B2 F2
D' F' L' R2 U B' U'
L F B2 L' U F2 B2
L F B2 L' U B2 F2
D2 F' L' U F' B' U'
D' F' L' U B' U' R2
L F B2 L2 U F2 B2
D2 F' L' U B' F' U'
L F B2 L2 U B2 F2
L F B2 R U F2 B2
L F B2 R U B2 F2
L F B2 R' U F2 B2
L F B2 R' U B2 F2
L F B2 R2 U F2 B2
L F B2 R2 U B2 F2
L F B2 U F2 B2 D
L F B2 U F2 B2 D'
L F B2 U F2 B2 D2
L F B2 U B2 F2 D
L F B2 U B2 F2 D'
L F B2 U B2 F2 D2
L F B2 D L2 R2 U
L F B2 D R2 L2 U
L F' L R D' L2 R2
L F' L R D' R2 L2
L F' L R' D' L2 R2
L F' L R' D' R2 L2
L2 F' L' U' F B2 U
L F' L R2 D' L2 R2
L F' L R2 D' R2 L2
L2 F' L' U' B2 F U
U' F' L2 D' L R2 B2
U' F' L2 D' L B2 R2
L F' L U' F2 B2 U
L F' L U' B2 F2 U
U' F' L2 D' R2 L B2
L F' L D' L2 R2 D
L F' L D' L2 R2 D'
L F' L D' L2 R2 D2
L F' L D' R2 L2 D
L F' L D' R2 L2 D'
L F' L D' R2 L2 D2
L' F' L2 U' F B2 U
L' F' L2 U' B2 F U
L F' L' R D' L2 R2
L F' L' R D' R2 L2
L F' L' R' D' L2 R2
L F' L' R' D' R2 L2
L F' L' R2 D' L2 R2
L F' L' R2 D' R2 L2
L F' L' U' F2 B2 U
L F' L' U' B2 F2 U
L F' L' D' L2 R2 D
L F' L' D' L2 R2 D'
L F' L' D' L2 R2 D2
L F' L' D' R2 L2 D
L F' L' D' R2 L2 D'
L F' L' D' R2 L2 D2
L F' L2 R D' L2 R2
L F' L2 R D' R2 L2
L F' L2 R' D' L2 R2
L F' L2 R' D' R2 L2
L F' L2 R2 D' L2 R2
L F' L2 R2 D' R2 L2
L F' L2 U' F2 B2 U
L F' L2 U' B2 F2 U
L F' L2 D' L2 R2 D
L F' L2 D' L2 R2 D'
L F' L2 D' L2 R2 D2
L F' L2 D' R2 L2 D
L F' L2 D' R2 L2 D'
L F' L2 D' R2 L2 D2
L F' R L D' L2 R2
L F' R L D' R2 L2
D' F' R2 L U' F U
L F' R L' D' L2 R2
L F' R L' D' R2 L2
D' F' R2 L' U B' U'
L F' R L2 D' L2 R2
L F' R L2 D' R2 L2
D' F' R2 U B U' L
L F' R U' F2 B2 U
L F' R U' B2 F2 U
D' F' R2 U' F' U L'
L F' R D' L2 R2 D
L F' R D' L2 R2 D'
L F' R D' L2 R2 D2
L F' R D' R2 L2 D
L F' R D' R2 L2 D'
L F' R D' R2 L2 D2
L F' R' L D' L2 R2
L F' R' L D' R2 L2
L F' R' L' D' L2 R2
L F' R' L' D' R2 L2
L F' R' L2 D' L2 R2
L F' R' L2 D' R2 L2
L F' R' U' F2 B2 U
L F' R' U' B2 F2 U
L F' R' D' L2 R2 D
L F' R' D' L2 R2 D'
L F' R' D' L2 R2 D2
L F' R' D' R2 L2 D
L F' R' D' R2 L2 D'
L F' R' D' R2 L2 D2
L' F' U D' B' U' R2
D2 F' U F' B U' L
L' F' U D2 F2 B' U'
L' F' U D2 B' F2 U'
D' F' U B U' L R2
D' F' U B U' R2 L
D2 F' U B F' U' L
L F' R2 L D' L2 R2
L F' R2 L D' R2 L2
L F' R2 L' D' L2 R2
L F' R2 L' D' R2 L2
L F' R2 L2 D' L2 R2
L F' R2 L2 D' R2 L2
L' F' U B' U2 B' U
L F' R2 U' F2 B2 U
L F' R2 U' B2 F2 U
L F' R2 D' L2 R2 D
L F' R2 D' L2 R2 D'
L F' R2 D' L2 R2 D2
L F' R2 D' R2 L2 D
L F' R2 D' R2 L2 D'
L F' R2 D' R2 L2 D2
D' F' U' F' U L' R2
D' F' U' F' U R2 L'
F' D' L R2 U' F U
F' D' L U' F U R2
L' F' U' B2 U2 B U'
L F' U D2 F2 B2 U'
L F' U D2 B2 F2 U'
F' D' L' R2 U B' U'
F' D' L' U B' U' R2
L F' U' F2 U D' R2
L F' U' F2 D' U R2
L F' U' F2 B2 U D
L F' U' F2 B2 U D'
L F' U' F2 B2 U D2
L F' U' F2 B2 D U
L F' U' F2 B2 D' U
L F' U' F2 B2 D2 U
L F' U' B2 U D' L2
L F' U' B2 D' U L2
L F' U' B2 F2 U D
L F' U' B2 F2 U D'
L F' U' B2 F2 U D2
L F' U' B2 F2 D U
L F' U' B2 F2 D' U
L F' U' B2 F2 D2 U
L F' U2 D L2 R2 U2
L F' U2 D R2 L2 U2
L' F' D' R2 U B' U'
L' F' D' U B' U' R2
L2 F' D' R2 B' L B
L F' D U2 L2 R2 U2
L F' D U2 R2 L2 U2
L' F' D2 U F2 B' U'
L2 F' D' B' L B R2
L' F' D2 U B' F2 U'
L F' D' L R2 D L
L F' D' L R2 D' L
L F' D' L R2 D2 L
L F' D' L' R2 D L'
L F' D' L' R2 D' L'
L F' D' L' R2 D2 L'
L F' D' L2 R D R
L F' D' L2 R D' R
L F' D' L2 R D2 R
L F' D' L2 R' D R'
L F' D' L2 R' D' R'
L F' D' L2 R' D2 R'
L F' D' L2 F' R2 F
L F' D' L2 F2 R2 F2
L F' D' L2 B R2 B'
L F' D' L2 B2 R2 B2
L F' D' R L2 D R
L F' D' R L2 D' R
L F' D' R L2 D2 R
L F' D' R' L2 D R'
L F' D' R' L2 D' R'
L F' D' R' L2 D2 R'
L F' D' R2 L D L
L F' D' R2 L D' L
L F' D' R2 L D2 L
L F' D' R2 L' D L'
L F' D' R2 L' D' L'
L F' D' R2 L' D2 L'
L F' D' R2 F L2 F'
L F' D' R2 F2 L2 F2
L F' D' R2 B' L2 B
L F' D' R2 B2 L2 B2
L F' D' F L2 F' R2
L F' D' F' R2 F L2
L F' D' F2 L2 R2 F2
L F' D' F2 L2 F2 R2
L F' D' F2 R2 L2 F2
L F' D' F2 R2 F2 L2
F' D' R2 L U' F U
F' D' R2 L' U B' U'
L F' D' B R2 B' L2
L F' D' B' L2 B R2
L F' D' B2 L2 R2 B2
L F' D' B2 L2 B2 R2
L F' D' B2 R2 L2 B2
L F' D' B2 R2 B2 L2
F' D' R2 U B U' L
L F' D2 L D L2 R2
L F' D2 L D R2 L2
F' D' R2 U' F' U L'
L F' D2 L' D L2 R2
L F' D2 L' D R2 L2
L F' D2 L2 D L2 R2
L F' D2 L2 D R2 L2
L F' D2 R D L2 R2
L F' D2 R D R2 L2
L F' D2 R' D L2 R2
L F' D2 R' D R2 L2
L F' D2 R2 D L2 R2
L F' D2 R2 D R2 L2
L F' D2 U F2 B2 U'
L F' D2 U B2 F2 U'
F' D' U B U' L R2
F' D' U B U' R2 L
F' D' U' F' U L' R2
F' D' U' F' U R2 L'
U' F2 R B2 U F L'
U' F2 R' B2 U F L'
U' F2 R2 B2 U F L'
U' F2 U F L' D' R2
U' F2 U F D' L' R2
U' F2 U F D' R2 L'
L F2 R' D' R2 F L'
L F2 R' D' F L' R2
L F2 R' D' F R2 L'
F' D2 L' U F2 B' U'
F' D2 L' U B' F2 U'
L F2 U' F' B2 U F2
L F2 U' B2 F' U F2
L2 F2 D F D2 L' R2
L2 F2 D F D2 R2 L'
L2 F2 D' R2 D2 F L'
L F2 D' F R2 D' L2
U' F2 B2 R U F L'
U' F2 B2 R' U F L'
U' F2 B2 R2 U F L'
U' F2 B2 U F L' D
U' F2 B2 U F L' D'
U' F2 B2 U F L' D2
U' F2 B2 U F D L'
U' F2 B2 U F D' L'
U' F2 B2 U F D2 L'
F' D2 U F2 B U' L
F' D2 U B F2 U' L
B2 D2 U' F2 U2 F L'
D' B U' F' R2 B' L'
D' B U' F' B' L' R2
D' B U' F' B' R2 L'
D' B U' B' F' L' R2
D' B U' B' F' R2 L'
R2 B U B U L B2
B2 F L F U F B2
B2 F L F U B2 F
B2 F U F2 B L B
B2 F U B L F2 B
B2 F U B L B F2
B2 F U B F2 L B
L' B' L2 F U' F2 B
L' B' L2 F U' B F2
B2 F' L F U F' B2
B2 F' L F U B2 F'
D' B' U F' B L R2
D' B' U F' B R2 L
D' B' U B L F' R2
D' B' U B F' L R2
D' B' U B F' R2 L
D' B' U' F' L' B R2
D' B' U' F' B L' R2
D' B' U' F' B R2 L'
L' B' U' F' B D' R2
D' B' U' B F' L' R2
D' B' U' B F' R2 L'
L' B' U' B D' F' R2
L' B' U' B F' D' R2
L' B' U2 B' U F' B2
L' B' U2 B' U B2 F'
L2 B2 L' F U F2 B2
L2 B2 L' F U B2 F2
F' B2 L F U F' B2
F' B2 L F U B2 F'
F B2 L F U F B2
F B2 L F U B2 F
U' B2 U L F' D' L2
D' B2 U' F' L' R2 B2
D' B2 U' F' L' B2 R2
D' B2 U' F' R2 L' B2
D' B2 U' F' R2 B2 L'
D' B2 U' F' B2 L' R2
D' B2 U' F' B2 R2 L'
D' B2 U' B2 F' L' R2
D' B2 U' B2 F' R2 L'
U' B2 U2 B U' L F'
U' B2 U2 B U' F' L
L' B2 U2 B U' F' B
L' B2 U2 B U' B F'
L B2 U F' B2 D' L2
U B2 U F' L2 B' L
U' B2 D F U F2 L'
L B2 U B2 F' D' L2
U' B2 D F2 U F L'
B2 F2 U F B L B
F2 B2 U F B L B
B2 F2 U B F L B
B2 F2 U B2 D2 F L'
F2 B2 U B F L B
F2 B2 U B2 D2 F L'
U' B2 D' F U F2 L'
U' B2 D' F2 U F L'
U' B2 D2 F U F2 L'
U' B2 D2 F2 U F L'
F B2 U F2 B L B
F B2 U B L F2 B
F B2 U B L B F2
F B2 U B F2 L B
L B2 D F L2 U F2
U' B2 F U L F2 L'
U' B2 F U L' F2 L'
U' B2 F U L2 F2 L'
U' B2 F U F2 L' D
U' B2 F U F2 L' D'
U' B2 F U F2 L' D2
U' B2 F U F2 D L'
U' B2 F U F2 D' L'
U' B2 F U F2 D2 L'
U' B2 F U' R U2 F2
U' B2 F2 R U F L'
U' B2 F2 R' U F L'
U' B2 F2 R2 U F L'
U' B2 F2 U F L' D
U' B2 F2 U F L' D'
U' B2 F2 U F L' D2
U' B2 F2 U F D L'
U' B2 F2 U F D' L'
U' B2 F2 U F D2 L'
L B2 F L U F2 B2
L B2 F L U B2 F2
L B2 F L' U F2 B2
L B2 F L' U B2 F2
L B2 F L2 U F2 B2
L B2 F L2 U B2 F2
L B2 F R U F2 B2
L B2 F R U B2 F2
L B2 F R' U F2 B2
L B2 F R' U B2 F2
L B2 F R2 U F2 B2
L B2 F R2 U B2 F2
L B2 F U F2 B2 D
L B2 F U F2 B2 D'
L B2 F U F2 B2 D2
L B2 F U B2 F2 D
L B2 F U B2 F2 D'
L B2 F U B2 F2 D2
L B2 F D L2 R2 U
L B2 F D R2 L2 U
