F2 U B U F
F2 L2 B' U B2 U
F2 L2 B' U2 D' R2
F2 L2 B' D L2 U2
F2 L2 B' D' U2 R2
D' U L2 B U F'
F2 U R' U F R
F2 U D B U F
F2 U D' B U F
F2 U D2 B U F
D' U B L2 U F'
D2 U B U F' B
D2 U B U B F'
F2 U B R U F
F2 U B R' U F
F2 U B R2 U F
F2 U B U D F
F2 U B U D' F
F2 U B U D2 F
F2 U B U F D
F2 U B U F D'
F2 U B U F D2
F2 U B D U F
F2 U B D' U F
F2 U B D2 U F
U D' L2 B U F'
U D' B L2 U F'
U D2 B U F' B
U D2 B U B F'
F2 U2 R2 F D R2
F2 U2 F U' B U
B' U2 F' D' R2 B
F2 D U B U F
U2 F' B' D' R2 B
F2 D' U B U F
L' F2 U B U F
L2 F2 U B U F
L F2 U B U F
F2 D2 U B U F
U B U D2 F' B2
U B U D2 B2 F'
U B U' F2 U2 F
U B D' L2 U F'
U B D2 U F' B2
U B D2 U B2 F'
F2 B' U B2 U F
U2 B' F' D' R2 B
F2 B' U2 D' R2 F
F2 B' U2 D' F R2
F2 B' U2 F D' R2
F2 B' D L2 B' U2
F2 B' D' U2 R2 F
F2 B' D' U2 F R2
B' F2 U B2 U F
B2 F2 U B' U F
F2 B2 U B' U F
B' F2 U2 D' R2 F
B' F2 U2 D' F R2
B' F2 U2 F D' R2
B' F2 D L2 B' U2
B' F2 D' U2 R2 F
B' F2 D' U2 F R2
F2 U B D R2 U F
F2 U B D U F D
F2 U B D U F D'
F2 U B D U F D2
F2 U B D' R U F
F2 U B D' R' U F
F2 U B D' R2 U F
F2 U B D' U F D
F2 U B D' U F D'
F2 U B D' U F D2
F2 U B D2 R U F
F2 U B D2 R' U F
F2 U B D2 R2 U F
F2 U B D2 U F D
F2 U B D2 U F D'
F2 U B D2 U F D2
F U B L2 U F2 B'
F U B L2 U B' F2
F2 U B' R B2 U F
L' D' U L2 B U F'
B2 U B' U D2 F' B2
B2 U B' U D2 B2 F'
F2 U B' R' B2 U F
F2 U B' R2 B2 U F
B2 U B' U' F2 U2 F
F2 U B' U D' R2 F
F2 U B' U D' F R2
F2 U B' U F D' R2
F U B U' F U2 F
B2 U B' D' L2 U F'
B2 U B' D2 U F' B2
B2 U B' D2 U B2 F'
F2 U B' D' U R2 F
F2 U B' D' U F R2
L' D' U B L2 U F'
L2 D' U L2 B U F'
B' U B2 U D2 F' B2
B' U B2 U D2 B2 F'
B' U B2 U' F2 U2 F
F2 U B2 R B' U F
B' U B2 D' L2 U F'
L2 D' U B L2 U F'
F2 U B2 R' B' U F
B' U B2 D2 U F' B2
B' U B2 D2 U B2 F'
F2 U B2 R2 B' U F
F2 U B2 D B' U F
L D' U L2 B U F'
F2 U B2 D' B' U F
F2 U B2 D2 B' U F
L D' U B L2 U F'
U D' L' B L' U F'
U2 D' L2 B U L2 F'
U2 D' L2 B U F' L2
U D' L2 D B U F'
U D' L2 D' B U F'
U D' L2 D2 B U F'
U D' L2 B U D F'
U D' L2 B U D' F'
U D' L2 B U D2 F'
U D' L2 B U F' D
U D' L2 B U F' D'
U D' L2 B U F' D2
U D' L2 B D U F'
U D' L2 B D' U F'
U D' L2 B D2 U F'
D U' R2 F' U B U2
D U' F R2 F' U' F'
U2 D' F' U' L2 B U
U2 D' F' U' B L2 U
D U' F' R2 F' U' F
U2 D' F' B' D' R2 B2
U2 D' F' B' D' B2 R2
F2 U' R2 F' R2 U' F2
U' D' B L2 F U F2
D' U' B L2 F U F2
D U' F2 R2 F' U' F2
U2 D' B L2 U L2 F'
U2 D' B L2 U F' L2
U D' B L2 U D F'
U D' B L2 U D' F'
U D' B L2 U D2 F'
U D' B L2 U F' D
U D' B L2 U F' D'
U D' B L2 U F' D2
U D' B L2 D U F'
U D' B L2 D' U F'
U D' B L2 D2 U F'
B' U' D2 F2 U' F B2
B' U' D2 F2 U' B2 F
U D' B U D' F' B2
U D' B U D' B2 F'
U D' B U F' D' B2
U D' B D' U F' B2
U D' B D' U B2 F'
U2 D' B' D' F' R2 B2
U2 D' B' D' F' B2 R2
U2 D' B' D' B2 F' R2
U2 D' B' F' D' R2 B2
U2 D' B' F' D' B2 R2
U D' B' L2 B2 U F'
F2 U' F' U2 B U F2
F2 U' F2 U2 B U F'
U D2 L B U F' B
U D2 L B U B F'
D' U2 L2 B U L2 F'
D' U2 L2 B U F' L2
U D2 L' B U F' B
U D2 L' B U B F'
L' D2 U B U F' B
L' D2 U B U B F'
U D2 L2 B U F' B
U D2 L2 B U B F'
L2 D2 U B U F' B
L2 D2 U B U B F'
L D2 U B U F' B
L D2 U B U B F'
D' U2 F' U' L2 B U
D' U2 F' U' B L2 U
D2 U2 F' U' B U B
D' U2 F' B' D' R2 B2
D' U2 F' B' D' B2 R2
D2 U2 F' B' D' R2 B'
D2 U2 F' B' D' B' R2
D2 U2 F' B2 U' B' U
U2 D2 F' U' B U B
R2 D2 F' U' B2 L2 F
U2 D2 F' B' D' R2 B'
U2 D2 F' B' D' B' R2
U2 D2 F' B2 U' B' U
D U2 F' U R2 F' U'
F2 U2 R D' F' R F2
D' U2 B L2 U L2 F'
D' U2 B L2 U F' L2
F2 U2 R F2 D' F' R
D' U2 B' D' F' R2 B2
D' U2 B' D' F' B2 R2
U D2 B L U F' B
U D2 B L U B F'
D' U2 B' D' B2 F' R2
U D2 B L' U F' B
U D2 B L' U B F'
F2 U2 R2 U F' U' F2
D2 U2 B' D' F' R2 B'
D2 U2 B' D' F' B' R2
D2 U2 B' D' B' F' R2
U D2 B L2 U F' B
U D2 B L2 U B F'
D' U2 B' F' D' R2 B2
D' U2 B' F' D' B2 R2
F2 U2 R2 D F D R2
D2 U2 B' F' D' R2 B'
D2 U2 B' F' D' B' R2
F2 U2 R2 D' F D R2
F2 U2 R2 D2 F D R2
U D2 B U D F' B
U D2 B U D B F'
U D2 B U D' F' B
U D2 B U D' B F'
U D2 B U D2 F' B
U D2 B U D2 B F'
U D2 B U F' D B
U D2 B U F' D' B
U D2 B U F' D2 B
U D2 B U F' B D
U D2 B U F' B D'
U D2 B U F' B D2
F2 U2 R2 F R D R2
U D2 B U B D F'
U D2 B U B D' F'
U D2 B U B D2 F'
F2 U2 R2 F R' D R2
U D2 B U B F' D
U D2 B U B F' D'
U D2 B U B F' D2
F2 U2 R2 F R2 D R2
F2 U2 R2 F U F2 U'
F2 U2 R2 F D R2 D
F2 U2 R2 F D R2 D'
F2 U2 R2 F D R2 D2
U D2 B D U F' B
U D2 B D U B F'
U D2 B D' U F' B
U D2 B D' U B F'
U2 D2 B' D' F' R2 B'
U2 D2 B' D' F' B' R2
U2 D2 B' D' B' F' R2
U D2 B D2 U F' B
U D2 B D2 U B F'
D2 U2 B2 U' B' U F'
U2 D2 B' F' D' R2 B'
U2 D2 B' F' D' B' R2
F2 U2 D R2 F D R2
D2 U2 B2 F' U' B' U
F2 U2 D F U' B U
D U2 B' D' F' R2 B
R2 D2 B2 L2 F D R2
U2 D2 B2 U' B' U F'
B' U2 D' F' R2 D' B2
U2 D2 B2 F' U' B' U
F2 U2 D' R2 F D R2
F2 U2 D' F U' B U
B' U2 D2 B2 D F' R2
F2 U2 D2 R2 F D R2
F2 U2 D2 F U' B U
F2 U2 F R2 U F' U'
F2 U2 F U' D B U
F2 U2 F U' D' B U
F2 U2 F U' D2 B U
F2 U2 F U' B U D
F2 U2 F U' B U D'
F2 U2 F U' B U D2
F2 U2 F U' B D U
F2 U2 F U' B D' U
F2 U2 F U' B D2 U
F2 U2 F D U' B U
F2 U2 F D' U' B U
F2 U2 F D2 U' B U
B' U2 F' R2 D' B R2
F2 U2 F B' D' B R2
B2 U2 F' R2 B D' R2
B' U2 F' D' R2 D B
B' U2 F' D' R2 D' B
B' U2 F' D' R2 D2 B
B' U2 F' D' R2 B D
B' U2 F' D' R2 B D'
B' U2 F' D' R2 B D2
B' U2 F' D' B R2 B
B' U2 F' D' B' R2 B
B' U2 F' D' B2 R2 B
F2 U2 F' U' B U F2
B2 U2 F' B D' R2 B
B' U2 F2 D' F R2 B
F2 U2 F2 U' B U F'
B U2 F2 D F R2 B
B2 U2 B F' D' R2 B
F U2 F2 B' D' R2 B
D' F U L2 B U F2
F' U2 B' D' R2 F' B
F' U2 B' D' R2 B F'
F2 U2 B' D' F B R2
F2 U2 B' D' B R2 F
F2 U2 B' D' B F R2
D' F U B L2 U F2
D2 F U B U F2 B
D2 F U B U B F2
F2 U2 B' F D' B R2
F U2 B' F2 D' R2 B
D F U' R2 F' U' F'
B' D L2 U2 D F' B2
B' D L2 U2 D B2 F'
B' D L2 U2 F' D B2
B' D L2 D U2 F' B2
B' D L2 D U2 B2 F'
B' D L2 D' F2 U2 F
F2 D L2 B' U B2 U
F2 D L2 B' U2 D' R2
F2 D L2 B' D L2 U2
F2 D L2 B' D' U2 R2
F2 D U R' U F R
F2 D U B R U F
F2 D U B R' U F
F2 D U B R2 U F
F2 D U B U D F
F2 D U B U D' F
F2 D U B U D2 F
F2 D U B U F D
F2 D U B U F D'
F2 D U B U F D2
F2 D U B D U F
F2 D U B D' U F
F2 D U B D2 U F
F2 D U2 R2 F D R2
F2 D U2 F U' B U
F' D F' U B U F
F D F U B R2 U
U2 F' R D R B R'
U' F' R2 F' U' F B
U' F' R2 F' U' B F
U2 F' R2 U F' U' B
F2 D B' U B2 U F
U2 F' R2 B U F' U'
F2 D B' U2 D' R2 F
F2 D B' U2 D' F R2
F2 D B' U2 F D' R2
F2 D B' D L2 B' U2
F2 D B' D' U2 R2 F
F2 D B' D' U2 F R2
U2 F' U R2 F' U' B
R2 F' U R2 U2 F' B
R2 F' U R2 U2 B F'
F2 D B2 U B' U F
R2 F' U F' R2 U2 F'
D' F' U' B L2 F U
R2 F' U F' B R2 U2
R2 F' U B R2 U2 B
R2 F' U B F' R2 U2
U2 F' U' B U' F' U2
U2 F' U2 F' U B U
U2 F' D B' D' R2 B
F2 D' L2 B' U B2 U
F2 D' L2 B' U2 D' R2
F2 D' L2 B' D L2 U2
F2 D' L2 B' D' U2 R2
U2 F' D' B' D' R2 B
U2 F' D2 B' D' R2 B
B' D' U L2 U F' R2
U2 F' B' R2 D' B R2
U2 F' B' D' R2 D B
U2 F' B' D' R2 D' B
U2 F' B' D' R2 D2 B
U2 F' B' D' R2 B D
U2 F' B' D' R2 B D'
U2 F' B' D' R2 B D2
U2 F' B' D' B R2 B
U2 F' B' D' B' R2 B
U2 F' B' D' B2 R2 B
F2 D' U R' U F R
B2 D' U B' L2 U F'
F2 D' U B R U F
F2 D' U B R' U F
F2 D' U B R2 U F
F2 D' U B U D F
F2 D' U B U D' F
F2 D' U B U D2 F
F2 D' U B U F D
F2 D' U B U F D'
F2 D' U B U F D2
F2 D' U B D U F
F2 D' U B D' U F
F2 D' U B D2 U F
U2 F' B2 R2 B D' R2
B' D' U2 F' R2 D' B2
F2 D' U2 R2 F D R2
F2 D' U2 F U' B U
L' F2 L2 B' U B2 U
L' F2 L2 B' U2 D' R2
L' F2 L2 B' D L2 U2
L' F2 L2 B' D' U2 R2
F' D' F' U B U F
L2 F2 L2 B' U B2 U
L2 F2 L2 B' U2 D' R2
L2 F2 L2 B' D L2 U2
L2 F2 L2 B' D' U2 R2
L F2 L2 B' U B2 U
L F2 L2 B' U2 D' R2
L F2 L2 B' D L2 U2
L F2 L2 B' D' U2 R2
U2 F2 R2 F D R2 B
L' F2 U R' U F R
R2 F2 R2 U' F U' F2
F2 D' B' U B2 U F
R2 F2 R2 U2 F' D R2
R F2 R' U B U F'
L' F2 U D B U F
F2 D' B' U2 D' R2 F
F2 D' B' U2 D' F R2
F2 D' B' U2 F D' R2
L' F2 U D' B U F
F2 D' B' D L2 B' U2
L' F2 U D2 B U F
F2 D' B' D' U2 R2 F
F2 D' B' D' U2 F R2
D2 F2 U B U F B
D2 F2 U B U B F
L' F2 U B R U F
L' F2 U B R' U F
L' F2 U B R2 U F
L' F2 U B U D F
L' F2 U B U D' F
L' F2 U B U D2 F
L' F2 U B U F D
L' F2 U B U F D'
L' F2 U B U F D2
L' F2 U B D U F
L' F2 U B D' U F
L' F2 U B D2 U F
L2 F2 U R' U F R
L2 F2 U D B U F
L2 F2 U D' B U F
L2 F2 U D2 B U F
F2 D' B2 U B' U F
L2 F2 U B R U F
L2 F2 U B R' U F
L2 F2 U B R2 U F
L2 F2 U B U D F
L2 F2 U B U D' F
L2 F2 U B U D2 F
L2 F2 U B U F D
L2 F2 U B U F D'
L2 F2 U B U F D2
L2 F2 U B D U F
L2 F2 U B D' U F
L2 F2 U B D2 U F
L F2 U R' U F R
L F2 U D B U F
U' F2 U2 B U F B'
U' F2 U2 B U B' F
L F2 U D' B U F
L' F2 U2 R2 F D R2
L F2 U D2 B U F
L' F2 U2 F U' B U
U F2 U F2 B U F'
L F2 U B R U F
L F2 U B R' U F
D F2 U' R2 F' U' F2
L F2 U B R2 U F
L F2 U B U D F
L F2 U B U D' F
L F2 U B U D2 F
L F2 U B U F D
L F2 U B U F D'
L F2 U B U F D2
L F2 U B D U F
U F2 U B F2 U F'
L F2 U B D' U F
L F2 U B D2 U F
L2 F2 U2 R2 F D R2
L2 F2 U2 F U' B U
L' F2 D U B U F
L2 F2 D U B U F
L F2 U2 R2 F D R2
L' F2 D' U B U F
L F2 U2 F U' B U
F2 D2 L2 B' U B2 U
F2 D2 L2 B' U2 D' R2
F2 D2 L2 B' D L2 U2
F2 D2 L2 B' D' U2 R2
L2 F2 D' U B U F
L F2 D U B U F
L' F2 D2 U B U F
L2 F2 D2 U B U F
L F2 D' U B U F
R F2 D' R' U2 F' R
L' F2 B' U B2 U F
L F2 D2 U B U F
L' F2 B' U2 D' R2 F
L' F2 B' U2 D' F R2
L' F2 B' U2 F D' R2
R2 F2 B R2 U' F U'
L' F2 B' D L2 B' U2
L' F2 B' D' U2 R2 F
L' F2 B' D' U2 F R2
L2 F2 B' U B2 U F
L2 F2 B' U2 D' R2 F
L2 F2 B' U2 D' F R2
L2 F2 B' U2 F D' R2
L2 F2 B' D L2 B' U2
L' F2 B2 U B' U F
U2 F2 B' D' F R2 B
L2 F2 B' D' U2 R2 F
L2 F2 B' D' U2 F R2
F2 D2 U R' U F R
B2 D2 U B' U F' B'
B2 D2 U B' U B' F'
F2 D2 U B R U F
F2 D2 U B R' U F
F2 D2 U B R2 U F
F2 D2 U B U D F
F2 D2 U B U D' F
F2 D2 U B U D2 F
F2 D2 U B U F D
F2 D2 U B U F D'
F2 D2 U B U F D2
F2 D2 U B D U F
F2 D2 U B D' U F
F2 D2 U B D2 U F
B' D2 U' F2 U' F B2
B' D2 U' F2 U' B2 F
L2 F2 B2 U B' U F
L F2 B' U B2 U F
L F2 B' U2 D' R2 F
L F2 B' U2 D' F R2
L F2 B' U2 F D' R2
L F2 B' D L2 B' U2
L F2 B' D' U2 R2 F
L F2 B' D' U2 F R2
B' D2 U2 B2 D F' R2
F2 D2 U2 R2 F D R2
L F2 B2 U B' U F
F2 D2 U2 F U' B U
U B L U D2 F' B2
U B L U D2 B2 F'
U B L U' F2 U2 F
U B L D' L2 U F'
U B L D2 U F' B2
U B L D2 U B2 F'
F' D2 F' U B U F
U B L' U D2 F' B2
U B L' U D2 B2 F'
U B L' U' F2 U2 F
U B L' D' L2 U F'
U B L' D2 U F' B2
U B L' D2 U B2 F'
U B L2 U D2 F' B2
U B L2 U D2 B2 F'
F D2 F B2 U B' U
U B L2 U' F2 U2 F
U B L2 D' L2 U F'
U B L2 D2 U F' B2
U B L2 D2 U B2 F'
F2 D2 B' U B2 U F
F2 D2 B' U2 D' R2 F
F2 D2 B' U2 D' F R2
F2 D2 B' U2 F D' R2
F2 D2 B' D L2 B' U2
F2 D2 B' D' U2 R2 F
F2 D2 B' D' U2 F R2
R2 B R2 F2 U B U
U B R2 U' F2 B U2
U B R2 U' B F2 U2
F2 D2 B2 U B' U F
U B U D F' D B2
U B U D' F' D' B2
U B U D2 F' B2 D
U B U D2 F' B2 D'
U B U D2 F' B2 D2
U B U D2 B2 D F'
