U2 B' L U F2
B' L R2 F' U F'
B' L U2 B U' F2
B' L D R2 F' U
D' L2 R' F U' B
D' L2 F R' U' B
U2 R B' L U F2
D' R' L2 F U' B
U2 R' B' L U F2
B' R2 L F' U F'
R' U2 B' L U F2
R2 U2 B' L U F2
R U2 B' L U F2
B' R2 F' L U F'
U2 R2 B' L U F2
F2 U' B' L U L'
F' U2 B' L U F'
B' D L R2 F' U
B' D R2 L F' U
B' D R2 F' L U
U' F2 U' B' L U
U' B' L U L' F2
U2 B' L R U F2
U2 B' L R' U F2
U2 B' L R2 U F2
U2 B' L U F2 D
U2 B' L U F2 D'
U2 B' L U F2 D2
U2 B' L D R2 U
U2 B' R L U F2
U2 B' R' L U F2
U2 B' R2 L U F2
U2 B' D L R2 U
U2 B' D R2 L U
R' U2 B' L U F2 D
R' U2 B' L U F2 D'
R' U2 B' L U F2 D2
R' U2 B' L D R2 U
R' U2 B' R L U F2
R' U2 B' R' L U F2
R' U2 B' R2 L U F2
L' U2 B' L B' U F2
R' U2 B' D L R2 U
R' U2 B' D R2 L U
B' R2 D L F' R2 U
R2 U2 B' L R U F2
R2 U2 B' L R' U F2
R2 U2 B' L R2 U F2
R2 U2 B' L U F2 D
R2 U2 B' L U F2 D'
R2 U2 B' L U F2 D2
R2 U2 B' L D R2 U
R2 U2 B' R L U F2
R2 U2 B' R' L U F2
R2 U2 B' R2 L U F2
R U2 B' L R U F2
R U2 B' L R' U F2
R U2 B' L R2 U F2
R U2 B' L U F2 D
R U2 B' L U F2 D'
R U2 B' L U F2 D2
R U2 B' L D R2 U
B' R2 D F' L R2 U
B' R2 D F' R2 L U
R2 U2 B' D L R2 U
R2 U2 B' D R2 L U
R U2 B' R L U F2
R U2 B' R' L U F2
R U2 B' R2 L U F2
R U2 B' D L R2 U
R U2 B' D R2 L U
B' R2 F' L U D F'
B' R2 F' L U D' F'
B' R2 F' L U D2 F'
B' R2 F' L U F' D
B' R2 F' L U F' D'
B' R2 F' L U F' D2
B' R2 F' L D U F'
B' R2 F' L D' U F'
B' R2 F' L D2 U F'
B' R2 F' D L U F'
B' R2 F' D' L U F'
B' R2 F' D2 L U F'
U' R2 F2 U' B' L U
U' R2 B' L U L' F2
U2 R2 B' L R U F2
U2 R2 B' L R' U F2
U2 R2 B' L R2 U F2
U2 R2 B' L U F2 D
U2 R2 B' L U F2 D'
U2 R2 B' L U F2 D2
U2 R2 B' L D R2 U
U2 R2 B' R L U F2
U2 R2 B' R' L U F2
U2 R2 B' R2 L U F2
U2 R2 B' D L R2 U
U2 R2 B' D R2 L U
U2 D L R2 U B' R'
U2 D R2 L U B' R'
U2 D R2 D' B' L U
U2 D R2 B' L U B'
R' D' L2 R' F U' B
L' D' L2 R' U' B R'
L' D' L2 U' R' B R'
L' D' L2 U' B R' B
R' D' L2 F R' U' B
R2 D' L2 R' F U' B
R2 D' L2 F R' U' B
U2 D B' L R2 U B'
R D' L2 R' F U' B
U2 D B' R2 L U B'
R' D' R' L2 F U' B
L' D' R' L2 U' B R'
R D' L2 F R' U' B
R2 D' R' L2 F U' B
L2 D' R' F L2 U' B
R D' R' L2 F U' B
L2 D' F L2 R' U' B
L2 D' F R' L2 U' B
F2 U' F B' L U L'
F' U' F' U' B' L U
F U' F U' B' L U
D U2 L R2 U B' R'
F2 U' F' B' L U L'
F2 U' F2 B' L U L'
F' U' B' L U L' F'
F2 U' B' L U L' D
F2 U' B' L U L' D'
F2 U' B' L U L' D2
F2 U' B' L U D L'
F2 U' B' L U D' L'
F2 U' B' L U D2 L'
F2 U' B' L D U L'
F2 U' B' L D' U L'
F2 U' B' L D2 U L'
F2 U' B' D L U L'
F2 U' B' D' L U L'
F2 U' B' D2 L U L'
F2 U' B' F L U L'
F2 U' B' F' L U L'
F2 U' B' F2 L U L'
F U' B' L U L' F
D U2 R2 L U B' R'
D U2 R2 D' B' L U
D U2 R2 B' L U B'
D U2 B' L R2 U B'
D U2 B' R2 L U B'
D' F L2 R' F U' B
D' F L2 F R' U' B
D' F R' L2 F U' B
F' U2 B' L U D F'
F' U2 B' L U D' F'
F' U2 B' L U D2 F'
F' U2 B' L U F' D
F' U2 B' L U F' D'
F' U2 B' L U F' D2
F' U2 B' L D U F'
F' U2 B' L D' U F'
F' U2 B' L D2 U F'
F2 U2 B' L R2 U F'
F2 U2 B' L U' B U2
F2 U2 B' R2 L U F'
F' U2 B' D L U F'
F' U2 B' D' L U F'
F' U2 B' D2 L U F'
B' U2 B2 R' B' U' F2
B' D L R2 D F' U
B' D L R2 D' F' U
B' D L R2 D2 F' U
B' D L R2 F' U D
B' D L R2 F' U D'
B' D L R2 F' U D2
B' D L R2 F' D U
B' D L R2 F' D' U
B' D L R2 F' D2 U
B' D L F R2 F' U
B' D L F' R2 F' U
B' D L F2 R2 F' U
B' D L' R2 F' L2 U
L2 F D' R' U' F B
L2 F D' R' U' B F
B' D R2 L D F' U
B' D R2 L D' F' U
B' D R2 L D2 F' U
B' D R2 L F' U D
B' D R2 L F' U D'
B' D R2 L F' U D2
B' D R2 L F' D U
B' D R2 L F' D' U
B' D R2 L F' D2 U
B' D R2 L' F' L2 U
U' F B' L U L' F
B' D R2 D L F' U
B' D R2 D F' L U
B' D R2 D' L F' U
B' D R2 D' F' L U
B' D R2 D2 L F' U
B' D R2 D2 F' L U
B' D R2 F L F2 U
L2 F B R' B' U' F
B' D R2 F' L U D
B' D R2 F' L U D'
B' D R2 F' L U D2
B' D R2 F' L D U
B' D R2 F' L D' U
B' D R2 F' L D2 U
B' D R2 F' D L U
B' D R2 F' D' L U
B' D R2 F' D2 L U
B' D F L R2 F' U
B' D F R2 L F' U
B' D F R2 F' L U
D' F' L2 R' F U' B
B' D F' L R2 F' U
D' F' L2 F R' U' B
B' D F' R2 L F' U
B' D F' R2 F' L U
D2 F' R D L2 F U'
B' D F2 L R2 F' U
B' D F2 R2 L F' U
B' D F2 R2 F' L U
D' F' R' L2 F U' B
B2 D B L R2 U L
B2 D B R2 L U L
U' F' U' B' L U F'
B' D' L U2 L B U'
R' F' U2 B' L U F'
U F' U B' L U F'
D2 F' D L2 R F U'
D2 F' D R L2 F U'
R2 F' U2 B' L U F'
R F' U2 B' L U F'
U' F' B' L U L' F'
D' F2 L2 R' F U' B
D' F2 L2 F R' U' B
U' F2 R U' B' L U
U' F2 R' U' B' L U
D' F2 R' L2 F U' B
U' F2 R2 U' B' L U
U' F2 U' B' L U D
U' F2 U' B' L U D'
U' F2 U' B' L U D2
U' F2 U' B' L D U
U' F2 U' B' L D' U
U' F2 U' B' L D2 U
U' F2 U' B' D L U
U' F2 U' B' D' L U
U' F2 U' B' D2 L U
R' F2 U' B' L U L'
B' D2 L D' R2 F' U
U2 F2 U' F2 B' L U
U2 F2 U' B' L F2 U
U2 F2 U' B' F2 L U
R2 F2 U' B' L U L'
D2 F2 D L2 F R U'
U' F2 D' R' B D' R2
R F2 U' B' L U L'
U' F2 B U' B2 L U
L2 F2 D2 F' R U' F
U2 F2 B' L F2 U F2
U2 B L B2 L U F2
U2 B L' B2 L U F2
U2 B L2 B2 L U F2
L2 B R' F B' U' F
L2 B R' B' F U' F
U' B U' B2 L U F2
U B U B2 L U F2
B' F R2 F' L U F2
L2 B F R' B' U' F
U' B F2 U' B2 L U
U' B' L R U L' F2
U' B' L R' U L' F2
U' B' L R2 U L' F2
U' B' L U L F2 L2
U' B' L U L' F2 D
U' B' L U L' F2 D'
U' B' L U L' F2 D2
U' B' L U L2 F2 L
U' B' L D R2 U L'
R' B' L R2 F' U F'
R' B' L U2 B U' F2
R' B' L D R2 F' U
U2 B' L R U F2 D
U2 B' L R U F2 D'
U2 B' L R U F2 D2
U2 B' L R D R2 U
U2 B' L R' U F2 D
U2 B' L R' U F2 D'
U2 B' L R' U F2 D2
U2 B' L R' D R2 U
U2 B' L R2 U F2 D
U2 B' L R2 U F2 D'
U2 B' L R2 U F2 D2
U2 B' L R2 D R2 U
U2 B' L U L' F2 L
U2 B' L U L2 F2 L2
U2 B' L U R F2 R'
U2 B' L U R2 F2 R2
U2 B' L U F D F
U2 B' L U F D' F
U2 B' L U F D2 F
U2 B' L U F' D F'
U2 B' L U F' D' F'
U2 B' L U F' D2 F'
U2 B' L U' D2 B2 U2
U2 B' L U' B U2 F2
U2 B' L U' B' U2 F2
U2 B' L U' B2 U2 F2
U2 B' L U2 L U' F2
U2 B' L U2 L' U' F2
U2 B' L U2 L2 U' F2
U2 B' L U2 D' L2 U'
U2 B' L D R2 U D
U2 B' L D R2 U D'
U2 B' L D R2 U D2
U2 B' L D R2 D U
U2 B' L D R2 D' U
U2 B' L D R2 D2 U
U2 B' L D' U2 L2 U'
U2 B' L D2 U' B2 U2
R2 B' L R2 F' U F'
D B' L R2 F' U B'
R2 B' L U2 B U' F2
R2 B' L D R2 F' U
U2 B' L' U F2 D' B2
U B' L R' U F2 L'
U B' L U F2 D' L2
U' B' R L U L' F2
R B' L R2 F' U F'
R B' L U2 B U' F2
R B' L D R2 F' U
U2 B' L2 D L' R2 U
U2 B' L2 D R2 L' U
U' B' R' L U L' F2
U2 B' R L U F2 D
U2 B' R L U F2 D'
U2 B' R L U F2 D2
U2 B' R L D R2 U
U2 B' R D L R2 U
U2 B' R D R2 L U
U' B' R2 L U L' F2
U2 B' R' L U F2 D
U2 B' R' L U F2 D'
U2 B' R' L U F2 D2
U2 B' R' L D R2 U
R' B' R2 L F' U F'
B' F' L U2 B U' F'
U2 B' R' D L R2 U
U2 B' R' D R2 L U
R' B' R2 F' L U F'
F' B' L U2 B U' F'
F2 B' L R2 F' U F
U2 B' R2 L U F2 D
U2 B' R2 L U F2 D'
U2 B' R2 L U F2 D2
U2 B' R2 L D R2 U
U B' R' L U F2 L'
U2 B' R2 D L R2 U
U2 B' R2 D R2 L U
R2 B' R2 L F' U F'
D B' R2 L F' U B'
U' B' U' L U F2 R
R2 B' R2 F' L U F'
D B' R2 F' L U B'
U2 B' U F2 U' L U
R B' R2 L F' U F'
R B' R2 F' L U F'
U' B' D L R2 U L'
R' B' D L R2 F' U
U' B' D R2 L U L'
R' B' D R2 L F' U
R' B' D R2 F' L U
U2 B' D L R2 U D
U2 B' D L R2 U D'
U2 B' D L R2 U D2
U2 B' D L R2 D U
U2 B' D L R2 D' U
U2 B' D L R2 D2 U
U2 B' D L U D' F2
U2 B' D L D' U F2
U2 B' D R2 L U D
U2 B' D R2 L U D'
U2 B' D R2 L U D2
U2 B' D R2 L D U
U2 B' D R2 L D' U
U2 B' D R2 L D2 U
U2 B' D R2 D L U
U2 B' D R2 D' L U
U2 B' D R2 D2 L U
R2 B' D L R2 F' U
F2 B' R2 L F' U F
R2 B' D R2 L F' U
R2 B' D R2 F' L U
U2 B' D' L U2 L U'
U' B' F L U L' F
R B' D L R2 F' U
U2 B' D2 L U D2 F2
U2 B' D2 L U' B2 U2
U2 B' D2 L D' R2 U
U2 B' D2 L D2 U F2
R B' D R2 L F' U
R B' D R2 F' L U
U' B' F' L U L' F'
F B' R2 F' L U F2
U2 B' F2 L F2 U F2
U2 B2 L B L U F2
B' F2 L R2 F' U F
U2 B2 L' B L U F2
U2 B2 L2 B L U F2
B' F2 R2 L F' U F
U2 B2 D B L R2 U
U2 B2 D B R2 L U
