U2 B L R' U'
U2 B R' L U'
U2 L B L R' U'
U2 L B R' L U'
U2 L' B L R' U'
U2 L' B R' L U'
U2 L2 B L R' U'
U2 L2 B R' L U'
B R' U2 B' R' U
L' U2 B L R' U'
L' U2 B R' L U'
L2 U2 B L R' U'
L U2 B L R' U'
L2 U2 B R' L U'
L U2 B R' L U'
U2 D B L U' B'
F' U2 L' B R' U'
D U2 B L U' B'
F' U2 B L' R' U'
F' U2 B R' L' U'
U2 B L R' U' D
U2 B L R' U' D'
U2 B L R' U' D2
U2 B L R' D U'
U2 B L R' D' U'
U2 B L R' D2 U'
U2 B L D R' U'
U2 B L D' R' U'
U2 B L D2 R' U'
U2 B L D2 R' U'
U2 B R' L U' D
U2 B R' L U' D'
U2 B R' L U' D2
U2 B R' L D U'
U2 B R' L D' U'
U2 B R' L D2 U'
U2 B R' D L U'
U2 B R' D' L U'
U2 B R' D2 L U'
U2 B D L R' U'
U2 B D R' L U'
U2 B D' L R' U'
U2 B D' R' L U'
U2 B D2 L R' U'
U2 B D2 R' L U'
D U2 B L R2 U' B'
D U2 B L U' D B'
D U2 B L U' D' B'
D U2 B L U' D2 B'
D U2 B L U' B' D
D U2 B L U' B' D'
D U2 B L U' B' D2
D U2 B L D U' B'
D U2 B L D' U' B'
D U2 B L D2 U' B'
U2 D2 B D' L U' B'
D U2 B R L U' B'
D U2 B R' L U' B'
D U2 B R2 L U' B'
D2 F L' R2 F' R' U
R' F R U2 B R' U'
D2 F R D2 L' F U
F' U2 B L' R' U' D
F' U2 B L' R' U' D'
F' U2 B L' R' U' D2
F' U2 B L' R' D U'
F' U2 B L' R' D' U'
F' U2 B L' R' D2 U'
F' U2 B L' D R' U'
F' U2 B L' D' R' U'
F' U2 B L' D2 R' U'
F' U2 B R' L' U' D
F' U2 B R' L' U' D'
F' U2 B R' L' U' D2
F' U2 B R' L' D U'
F' U2 B R' L' D' U'
F' U2 B R' L' D2 U'
F' U2 B R' D L' U'
F' U2 B R' D' L' U'
F' U2 B R' D2 L' U'
D2 F R2 L' F' R' U
F' U2 B D L' R' U'
F' U2 B D R' L' U'
F' U2 B D' L' R' U'
F' U2 B D' R' L' U'
F' U2 B D2 L' R' U'
F' U2 B D2 R' L' U'
F U2 B R' U' D' F2
F U2 B R' U2 R2 U
F U2 B R' D' U' F2
F U2 B R' D2 L2 U'
B U2 B' D' R' U B
U' F U' B L R' U'
U' F U' B R' L U'
B U2 B2 L B R' U
U F U B L R' U'
U F U B R' L U'
U2 F B L F' R' U'
B D R' U2 B' R' U
U' F' U' B L R' U'
U' F' U' B R' L U'
D2 F' U2 L' B R U'
L' F' U2 L' B R' U'
U F' U B L R' U'
U F' U B R' L U'
D2 F' U2 B L' R U'
D2 F' U2 B R L' U'
L2 F' U2 L' B R' U'
L' F' U2 B L' R' U'
L' F' U2 B R' L' U'
L2 F' U2 B L' R' U'
L2 F' U2 B R' L' U'
L F' U2 L' B R' U'
L F' U2 B L' R' U'
L F' U2 B R' L' U'
U2 F' B R' F L U'
B D' R' U2 B' R' U
D2 F2 R2 F' L' R U
D2 F2 R2 F' R L' U
D' F2 R2 F' R U B
B2 D' B' R' U' R' F'
U' F2 U' B L R' U'
U' F2 U' B R' L U'
U F2 U B L R' U'
U F2 U B R' L U'
U2 F2 B L R' F2 U'
U2 F2 B L F2 R' U'
U2 F2 B R' L F2 U'
U2 F2 B R' F2 L U'
B D2 R' U2 B' R' U
U2 B L R U' D B2
U2 B L R D U' B2
U2 B L R2 D R U'
U2 B L R2 D' R U'
U2 B L R2 D2 R U'
U2 B L D R' U' D
U2 B L D R' U' D'
U2 B L D R' U' D2
U2 B L D R' D U'
U2 B L D R' D' U'
U2 B L D R' D2 U'
U2 B L D' R' U' D
U2 B L D' R' U' D'
U2 B L D' R' U' D2
U2 B L D' R' D U'
U2 B L D' R' D' U'
U2 B L D' R' D2 U'
U2 B L D2 R' U' D
U2 B L D2 R' U' D'
U2 B L D2 R' U' D2
U2 B L D2 R' D U'
U2 B L D2 R' D' U'
U2 B L D2 R' D2 U'
U2 B L F' R' F U'
U2 B L F2 R' F2 U'
U2 B L' R' U' D F2
U2 B L' R' D U' F2
U B L R' U' R F
U2 B L' D R' U' F2
U2 B L2 R' D L' U'
U2 B L2 R' D' L' U'
U2 B L2 R' D2 L' U'
U2 B L2 D L' R' U'
U2 B L2 D R' L' U'
U2 B L2 D' L' R' U'
U2 B L2 D' R' L' U'
U2 B L2 D2 L' R' U'
U2 B L2 D2 R' L' U'
U2 B R L U' D B2
U2 B R L D U' B2
U2 B R D L U' B2
L' B R' U2 B' R' U
U2 B R' L' U' D F2
U2 B R' L' D U' F2
U2 B R' L2 D L' U'
U2 B R' L2 D' L' U'
U2 B R' L2 D2 L' U'
U2 B R' D L U' D
U2 B R' D L U' D'
U2 B R' D L U' D2
U2 B R' D L D U'
U2 B R' D L D' U'
U2 B R' D L D2 U'
L2 B R' U2 B' R' U
U2 B R' D' L U' D
U2 B R' D' L U' D'
U2 B R' D' L U' D2
U2 B R' D' L D U'
U2 B R' D' L D' U'
U2 B R' D' L D2 U'
U2 B R' D2 L U' D
U2 B R' D2 L U' D'
U2 B R' D2 L U' D2
U2 B R' D2 L D U'
U2 B R' D2 L D' U'
U2 B R' D2 L D2 U'
U2 B R' F L F' U'
U2 B R' F2 L F2 U'
U2 B R2 L D R U'
U2 B R2 L D' R U'
U2 B R2 L D2 R U'
U B R' L U' R F
U2 B R2 D L R U'
U2 B R2 D R L U'
U2 B R2 D' L R U'
U2 B R2 D' R L U'
U2 B R2 D2 L R U'
U2 B R2 D2 R L U'
L B R' U2 B' R' U
D' B U2 B' R' U B
F' B L2 R' F L U'
U2 B D L R' U' D
U2 B D L R' U' D'
U2 B D L R' U' D2
U2 B D L R' D U'
U2 B D L R' D' U'
U2 B D L R' D2 U'
U2 B D L D R' U'
U2 B D L D' R' U'
U2 B D L D2 R' U'
U2 B D R' L U' D
U2 B D R' L U' D'
U2 B D R' L U' D2
U2 B D R' L D U'
U2 B D R' L D' U'
U2 B D R' L D2 U'
U2 B D R' D L U'
U2 B D R' D' L U'
U2 B D R' D2 L U'
F2 B L2 R' F L' U'
F' B L2 F L R' U'
F' B L2 F R' L U'
F2 B L2 F L' R' U'
F2 B L2 F R' L' U'
U2 B D' L R' U' D
U2 B D' L R' U' D'
U2 B D' L R' U' D2
U2 B D' L R' D U'
U2 B D' L R' D' U'
U2 B D' L R' D2 U'
U2 B D' L D R' U'
U2 B D' L D' R' U'
U2 B D' L D2 R' U'
U2 B D' R' L U' D
U2 B D' R' L U' D'
U2 B D' R' L U' D2
U2 B D' R' L D U'
U2 B D' R' L D' U'
U2 B D' R' L D2 U'
U2 B D' R' D L U'
U2 B D' R' D' L U'
U2 B D' R' D2 L U'
U2 B D2 L R' U' D
U2 B D2 L R' U' D'
U2 B D2 L R' U' D2
U2 B D2 L R' D U'
U2 B D2 L R' D' U'
U2 B D2 L R' D2 U'
U2 B D2 L D R' U'
U2 B D2 L D' R' U'
U2 B D2 L D2 R' U'
F' B R' L2 F L U'
U2 B D2 R' L U' D
U2 B D2 R' L U' D'
U2 B D2 R' L U' D2
U2 B D2 R' L D U'
U2 B D2 R' L D' U'
U2 B D2 R' L D2 U'
U2 B D2 R' D L U'
U2 B D2 R' D' L U'
U2 B D2 R' D2 L U'
F2 B R' L2 F L' U'
U2 B F L F' R' U'
B F R' U2 R2 B' U
B F R' U2 B' R2 U
B F R' D2 L2 F U'
F B R' U2 R2 B' U
F B R' U2 B' R2 U
F B R' D2 L2 F U'
U2 B F' R' F L U'
U2 B F2 L R' F2 U'
U2 B F2 L F2 R' U'
U2 B F2 R' L F2 U'
U2 B F2 R' F2 L U'
B F' L2 R' F L U'
B F' L2 F L R' U'
B F' L2 F R' L U'
B F' R' L2 F L U'
U2 B2 R B' L R' U'
U2 B2 R B' R' L U'
U2 B2 R' B' L R' U'
U2 B2 R' B' R' L U'
B F2 L2 R' F L' U'
B F2 L2 F L' R' U'
B F2 L2 F R' L' U'
U2 B2 R2 B' L R' U'
U2 B2 R2 B' R' L U'
B F2 R' L2 F L' U'
