F' R U' D' L2 F'
F' R U' D' F' L2
F' R U2 F2 U F
F' R D' U' L2 F'
F' R D' U' F' L2
F' R D2 B2 U' F'
F U2 F2 R U' F'
L' F' R U' F' L'
L2 F' R B' U' F'
L2 F' B' R U' F'
F D2 L' B2 U F
F D2 B2 L' U F
L2 B' F' R U' F'
F' R B2 D' U' L2 F'
F' R B2 D' U' F' L2
F' R B2 D2 B2 U' F'
F R' L' U D R2 F'
F R' L' D U R2 F'
L' U' F' R U' L' F'
L2 U' F' R B' U' F'
L2 U' F' B' R U' F'
L2 U' B' F' R U' F'
F R' D L' U R2 F'
R U2 F L' B' U F2
L' U2 F' R B U' F'
L2 U2 F' R B' U' F'
L2 U2 F' B' R U' F'
L2 U2 B' F' R U' F'
F' R2 D' R' U' L2 F'
F' R2 D' R' U' F' L2
F' R2 D2 R' B2 U' F'
F U2 R F2 R U' F
R2 F L' B R' U F'
R F L' R B U F2
R F L' U F R F
F' U2 F2 L' R U F'
F' U2 F2 R L' U F'
F' U2 F2 D2 L' U F
R F R L' B U F2
F U2 F2 L R U' F'
F U2 F2 L' R U' F'
F U2 F2 L2 R U' F'
F U2 F2 R L U' F'
F U2 F2 R L' U' F'
F U2 F2 R L2 U' F'
F U2 F2 R U' D F'
F U2 F2 R U' D' F'
F U2 F2 R U' D2 F'
F U2 F2 R U' F' D
F U2 F2 R U' F' D'
F U2 F2 R U' F' D2
F U2 F2 R D U' F'
F U2 F2 R D' U' F'
F U2 F2 R D2 U' F'
R F R B L' U F2
U' F U2 F2 R U' F'
U2 F U2 F2 R U' F'
U F U2 F2 R U' F'
U' F D2 L' B2 U F
F D L' B R' U R'
U' F D2 B2 L' U F
U2 F D2 L' B2 U F
U2 F D2 B2 L' U F
U F D2 L' B2 U F
R2 F B L' R' U F'
R2 F B R' L' U F'
U F D2 B2 L' U F
L2 F' L R U' F' L'
L' F' L' R B' U' F'
L F' L R B' U' F'
L' F' L' B' R U' F'
L F' L B' R U' F'
U' F' R U' D' L2 F'
U' F' R U' D' F' L2
U' F' R U2 F2 U F
U' F' R D' U' L2 F'
U' F' R D' U' F' L2
L' F' R L' B' U' F'
U' F' R D2 B2 U' F'
L' F' R U' L F' L'
L' F' R U' L' F' L'
L' F' R U' L2 F' L'
L' F' R U' D F' L'
L' F' R U' D' F' L'
L' F' R U' D2 F' L'
L' F' R U' F' L' D
L' F' R U' F' L' D'
L' F' R U' F' L' D2
L' F' R U' F' D L'
L' F' R U' F' D' L'
L' F' R U' F' D2 L'
L' F' R D U' F' L'
L' F' R D' U' F' L'
L' F' R D2 U' F' L'
L2 F' R L U' F' L'
L F' L2 R U' F' L'
L' F' R B U' F' L'
U2 F' R U' D' L2 F'
U2 F' R U' D' F' L2
L' F' R B' U' F' L'
U2 F' R U2 F2 U F
L' F' R B2 U' F' L'
L2 F' R D B' U' F'
U2 F' R D' U' L2 F'
U2 F' R D' U' F' L2
L2 F' R D' B' U' F'
L2 F' R D2 B' U' F'
U2 F' R D2 B2 U' F'
L2 F' R B' L U' F'
L2 F' R B' L' U' F'
L2 F' R B' L2 U' F'
L2 F' R B' U' D F'
L2 F' R B' U' D' F'
L2 F' R B' U' D2 F'
L2 F' R B' U' F' D
L2 F' R B' U' F' D'
L2 F' R B' U' F' D2
L2 F' R B' D U' F'
L2 F' R B' D' U' F'
L2 F' R B' D2 U' F'
L F' R L B' U' F'
L F' R L2 U' F' L'
U F' R U' D' L2 F'
U F' R U' D' F' L2
U F' R U2 F2 U F
U F' R D' U' L2 F'
U F' R D' U' F' L2
U F' R D2 B2 U' F'
F D B L' R' U R'
F D B R' L' U R'
L2 F' D R B' L U'
L2 F' D B' L R U'
L2 F' D B' R L U'
L' F' B R U' F' L'
L2 F' B R B2 U' F'
L' F' B' R U' F' L'
L2 F' B' L R U' F'
L2 F' B' L' R U' F'
L2 F' B' L2 R U' F'
L2 F' B' R L U' F'
L2 F' B' R L' U' F'
L2 F' B' R L2 U' F'
L2 F' B' R U' D F'
L2 F' B' R U' D' F'
L2 F' B' R U' D2 F'
L2 F' B' R U' F' D
L2 F' B' R U' F' D'
L2 F' B' R U' F' D2
L2 F' B' R D U' F'
L2 F' B' R D' U' F'
L2 F' B' R D2 U' F'
L' F' B2 R U' F' L'
F' D2 L' R B2 U' F
F' D2 L' B2 R U' F
F D2 L' R B2 U F
F D2 L' R' B2 U F
F D2 L' R2 B2 U F
F D2 L' U D' R2 F
F D2 L' U D' F R2
F D2 L' U F D' R2
F' D2 R L' B2 U' F
F D2 L' D' U R2 F
F D2 L' D' U F R2
F D2 L' B2 R U F
F D2 L' B2 R' U F
F D2 L' B2 R2 U F
F D2 L' B2 U D F
F D2 L' B2 U D' F
F D2 L' B2 U D2 F
F D2 L' B2 U F D
F D2 L' B2 U F D'
F D2 L' B2 U F D2
F D2 L' B2 D U F
F D2 L' B2 D' U F
F D2 L' B2 D2 U F
F' D2 R B2 L' U' F
F D2 R L' B2 U F
F D2 R B2 L' U F
F D2 R' L' B2 U F
F D2 R' B2 L' U F
F D2 R2 L' B2 U F
F D2 R2 B2 L' U F
R2 B R' F L' U F2
F D2 B L' B U F
F' D2 B2 L' R U' F
F' D2 B2 R L' U' F
F' D2 B2 D2 R U' F'
F D2 B2 L' R U F
F D2 B2 L' R' U F
F D2 B2 L' R2 U F
F D2 B2 L' U D F
F D2 B2 L' U D' F
F D2 B2 L' U D2 F
F D2 B2 L' U F D
F D2 B2 L' U F D'
F D2 B2 L' U F D2
F D2 B2 L' D U F
F D2 B2 L' D' U F
F D2 B2 L' D2 U F
F D2 B2 R L' U F
F D2 B2 R' L' U F
F D2 B2 R2 L' U F
F' B R U' D' L2 F'
F' B R U' D' F' L2
F' B R U2 F2 U F
F' B R D' U' L2 F'
F' B R D' U' F' L2
F' B R D2 B2 U' F'
L' B F' R U' F' L'
R2 B F L' R' U F'
R2 B F R' L' U F'
L2 B F' R B2 U' F'
L2 B' L F' R U' F'
B' F U2 F2 R U' F'
B2 F U2 F2 R U' F'
L2 B' L' F' R U' F'
B F U2 F2 R U' F'
L2 B' L2 F' R U' F'
F B U2 F2 R U' F'
B' F D2 L' B2 U F
B2 F D2 L' B2 U F
B' F D2 B2 L' U F
B2 F D2 B2 L' U F
B F D2 L' B2 U F
F B D2 L' B2 U F
B F D2 B2 L' U F
F B D2 B2 L' U F
B' F' R U' D' L2 F'
B' F' R U' D' F' L2
B' F' R U2 F2 U F
B' F' R D' U' L2 F'
B' F' R D' U' F' L2
B' F' R D2 B2 U' F'
F' B' R U' D' L2 F'
F' B' R U' D' F' L2
F' B' R U2 F2 U F
B2 F' R U' D' L2 F'
B2 F' R U' D' F' L2
F' B' R D' U' L2 F'
F' B' R D' U' F' L2
B2 F' R U2 F2 U F
F' B' R D2 B2 U' F'
B2 F' R D' U' L2 F'
B2 F' R D' U' F' L2
B2 F' R D2 B2 U' F'
B F' R U' D' L2 F'
B F' R U' D' F' L2
B F' R U2 F2 U F
B F' R D' U' L2 F'
B F' R D' U' F' L2
B F' R D2 B2 U' F'
L' B' F' R U' F' L'
L2 B' F' L R U' F'
L2 B' F' L' R U' F'
L2 B' F' L2 R U' F'
L2 B' F' R L U' F'
L2 B' F' R L' U' F'
L2 B' F' R L2 U' F'
L2 B' F' R U' D F'
L2 B' F' R U' D' F'
L2 B' F' R U' D2 F'
L2 B' F' R U' F' D
L2 B' F' R U' F' D'
L2 B' F' R U' F' D2
L2 B' F' R D U' F'
L2 B' F' R D' U' F'
L2 B' F' R D2 U' F'
F B' U2 F2 R U' F'
F B' D2 L' B2 U F
F B' D2 B2 L' U F
F' B2 R U' D' L2 F'
F' B2 R U' D' F' L2
F' B2 R U2 F2 U F
F' B2 R D' U' L2 F'
F' B2 R D' U' F' L2
F' B2 R D2 B2 U' F'
L' B2 F' R U' F' L'
F B2 U2 F2 R U' F'
F B2 D2 L' B2 U F
F B2 D2 B2 L' U F
