L2 U L2 R' F' U
L2 U R' L2 F' U
L2 U R' F' L2 U
B U' L2 U2 L' F
R' D2 B U L R2
R' D2 B U R2 L
R' B U D2 L R2
R' B U D2 R2 L
R' B U' L2 U2 L'
R' B D2 U L R2
R' B D2 U R2 L
R' B' U' L2 R' U2
R' B' U' R' L2 U2
R' B' D' B2 U L
R' F' B' D' B2 U L
B2 D' R2 B2 R' F' U
B' D' B2 R U L F'
B' D' B2 R U F' L
L2 F2 U L2 R' F' U
L2 F2 U R' L2 F' U
L2 F2 U R' F' L2 U
B2 D' B2 R F' R2 U
B2 D' B2 R' U2 B U'
R' F2 D2 B U L R2
R' F2 D2 B U R2 L
R' F2 B U D2 L R2
R' F2 B U D2 R2 L
R' F2 B U' L2 U2 L'
R' F2 B D2 U L R2
R' F2 B D2 U R2 L
B D2 R' U L R' F'
B D2 R' U R' L F'
B D2 R' U R' F' L
R' F2 B' U' L2 R' U2
R' F2 B' U' R' L2 U2
R' F2 B' D' B2 U L
B D2 U L R' F' R'
B D2 U R' L F' R'
B D2 U R' F' L R'
B D2 U R' F' R' L
B D2 U' L F R2 B
D2 B R' U L R' F'
D2 B R' U R' L F'
D2 B R' U R' F' L
R2 B R U D2 L R2
R2 B R U D2 R2 L
R2 B R U' L2 U2 L'
R2 B R D2 U L R2
R2 B R D2 U R2 L
R' B U L U2 L U2
D2 B U L R' F' R'
R' B U L B2 R' B2
R' B U R D2 L R2
R' B U R D2 R2 L
R' B U R' D2 L R2
R' B U R' D2 R2 L
D2 B U R' L F' R'
R' B U R2 D2 L R2
R' B U R2 D2 R2 L
D2 B U R' F' L R'
D2 B U R' F' R' L
R' B U D L D R2
R' B U D' L D' R2
R' B U D2 L R2 D
R' B U D2 L R2 D'
R' B U D2 L R2 D2
R' B U D2 R2 L D
R' B U D2 R2 L D'
R' B U D2 R2 L D2
R' B U D2 R2 D L
R' B U D2 R2 D' L
R' B U D2 R2 D2 L
D2 B U' L F R2 B
R' B U' L2 R U2 L'
R' B U' L2 R' U2 L'
R' B U' L2 R2 U2 L'
R' B U' L2 U2 L' D
R' B U' L2 U2 L' D'
R' B U' L2 U2 L' D2
R' B U' L2 U2 D L'
R' B U' L2 U2 D' L'
R' B U' L2 U2 D2 L'
R' B U' L2 D U2 L'
R' B U' L2 D' U2 L'
R' B U' L2 D2 U2 L'
R' B U' R L2 U2 L'
R' B U' R' L2 U2 L'
R' B U' R2 L2 U2 L'
R B R2 U D2 L R2
R B R2 U D2 R2 L
R B R2 U' L2 U2 L'
R B R2 D2 U L R2
R B R2 D2 U R2 L
R' B U2 D F2 U' L
R' B D U L D R2
R' B D U2 F2 U' L
R' B D' U L D' R2
R' B D' B2 U' R' U2
R' B D2 U L R2 D
R' B D2 U L R2 D'
R' B D2 U L R2 D2
R' B D2 U R2 L D
R' B D2 U R2 L D'
R' B D2 U R2 L D2
R' B D2 U R2 D L
R' B D2 U R2 D' L
R' B D2 U R2 D2 L
R' B D2 F U L R2
R' B D2 F U R2 L
R' B D2 F' U L R2
R' B D2 F' U R2 L
R' B D2 F2 U L R2
R' B D2 F2 U R2 L
R' B F U D2 L R2
R' B F U D2 R2 L
R' B F U' L2 U2 L'
R2 B D2 R U L R
R2 B D2 R U R L
R' B F D2 U L R2
R' B F D2 U R2 L
R' B F' U D2 L R2
R' B F' U D2 R2 L
R' B F' U' L2 U2 L'
R' B F' D2 U L R2
R' B F' D2 U R2 L
R' B F2 U D2 L R2
R' B F2 U D2 R2 L
R' B F2 U' L2 U2 L'
R' B F2 D2 U L R2
R' B F2 D2 U R2 L
F' B U' L2 U2 L' F
F2 B U' L2 U2 L' F
B F U' L2 U2 L' F
F B U' L2 U2 L' F
R2 B' R U D2 L2 R2
R2 B' R U D2 R2 L2
R2 B' R U' L2 R2 U2
R2 B' R U' R2 L2 U2
R2 B' R D' F2 B2 U
R2 B' R D' B2 F2 U
R2 B' R D2 U L2 R2
R2 B' R D2 U R2 L2
R' B' U R D2 L2 R2
R' B' U R D2 R2 L2
R' B' U B2 L B2 R'
R' B' U' L2 R' U2 D
R' B' U' L2 R' U2 D'
R' B' U' L2 R' U2 D2
R' B' U' L2 R' D U2
R' B' U' L2 R' D' U2
R' B' U' L2 R' D2 U2
R' B' U' L2 D R' U2
R' B' U' L2 D' R' U2
R' B' U' L2 D2 R' U2
R' B' U' R' L2 U2 D
R' B' U' R' L2 U2 D'
R' B' U' R' L2 U2 D2
R' B' U' R' L2 D U2
R' B' U' R' L2 D' U2
R' B' U' R' L2 D2 U2
R' B' U' R' U2 D2 R2
R' B' U' R' D2 U2 R2
R' B' U' D2 R' U2 R'
R B' R2 U' L2 R U2
R B' R2 U' R L2 U2
R' B' D' F B2 U L
R' B' D' F' B2 U L
R' B' D' F2 B2 U L
R' B' D' B2 U L D
R' B' D' B2 U L D'
R' B' D' B2 U L D2
R' B' D' B2 U D L
R' B' D' B2 U D' L
R' B' D' B2 U D2 L
R' B' D' B2 D U L
R' B' D' B2 D' U L
R' B' D' B2 D2 U L
R' B' D' B2 F U L
R' B' D' B2 F' U L
R' B' D' B2 F2 U L
L2 B' D' R' B U2 B
R' B' D2 U' R' U2 R'
R' B' D2 B2 U L R2
R' B' D2 B2 U R2 L
R2 B' D' B2 R U L
R' B' F U' L2 R' U2
R' B' F U' R' L2 U2
R' B' F D' B2 U L
R' B' F' U' L2 R' U2
R' B' F' U' R' L2 U2
R' B' F' D' B2 U L
B F' U' L2 U2 L' F
R B' D' B2 U L F2
R B' D' B2 U F2 L
R' B' F2 U' L2 R' U2
R' B' F2 U' R' L2 U2
R' B' F2 D' B2 U L
D' B2 U2 L B' U' L
D' B2 U2 D L B' U'
D' B2 U2 B' U' L F
D' B2 D U2 L B' U'
B F2 U' L2 U2 L' F
R' B2 D2 F U L' R2
R' B2 D2 F U R2 L'
R2 B2 D' R F' B2 U
R2 B2 D' R B2 F' U
R2 B2 D' B2 R F' U
