R U R2 F' B U
R U R2 B F' U
R' U F' B U F
R' U B F' U F
U R' F' B U L'
U R' B F' U L'
R' F' L2 B U B2
U F' R' B U L'
R' F' B L2 U B'
R' F' B U' F U2
R' B F' L2 U B'
R' B F' U' F U2
R U R2 F' B D U
R U R2 F' B D' U
R U R2 F' B D2 U
R' U D F' B U F
R U R2 B D F' U
R U R2 B D' F' U
R U R2 B D2 F' U
R U R2 B F' U D
R U R2 B F' U D'
R U R2 B F' U D2
R U R2 B F' D U
R U R2 B F' D' U
R U R2 B F' D2 U
R' U D B F' U F
R' U D' F' B U F
R' U D' B F' U F
R' U D2 F' B U F
R' U D2 B F' U F
R' U F' R' U F R
L' U F' R' B U L'
R' U F' D B U F
R' U F' D' B U F
L2 U F' R' B U L'
R' U F' D2 B U F
R' U F' B R U F
R' U F' B R' U F
R' U F' B R2 U F
R' U F' B U D F
R' U F' B U D' F
R' U F' B U D2 F
R' U F' B U F D
R' U F' B U F D'
R' U F' B U F D2
R' U F' B D U F
R' U F' B D' U F
R' U F' B D2 U F
D' R U R2 F' U R
L U F' R' B U L'
B2 R U' L F' B U'
B2 R U' L B F' U'
B2 R U' F' L B U'
R' U B D F' U F
R' U B D' F' U F
R' U B D2 F' U F
R' U B F' R U F
R' U B F' R' U F
R' U B F' R2 U F
R' U B F' U D F
R' U B F' U D' F
R' U B F' U D2 F
R' U B F' U F D
R' U B F' U F D'
R' U B F' U F D2
R' U B F' D U F
R' U B F' D' U F
R' U B F' D2 U F
R U' D' F' B U' F'
U2 R' L F B U B'
R U' D' B F' U' F'
U2 R' L B F U B'
R U' D2 L2 F' B U'
R U' D2 L2 B F' U'
R U' D2 F' L2 B U'
R U' D2 F' B L2 U'
R U' D2 B L2 F' U'
R U' D2 B F' L2 U'
F' R' L2 F' B U B2
F' R' L2 B F' U B2
D' R' U F' U R F
B' R' U F' B R' U
B' R' U B F' R' U
R U' F' U2 R2 F' U
R U' F' D' B U' F2
R U' F' D2 L2 B U'
R U' F' D2 B L2 U'
R U' F' B U' D' F2
R U' F' B U2 R2 U
R U' F' B D' U' F2
R U' F' B D2 L2 U'
R U' B U2 R2 B U
R U' B D' F' U' F'
R U' B D2 L2 F' U'
R U' B D2 F' L2 U'
R U' B F' U' D' F2
R U' B F' U2 R2 U
R U' B F' D' U' F2
R U' B F' D2 L2 U'
F2 R' D' L2 F' B U
F2 R' D' L2 B F' U
U R' D F' B U L'
U R' D B F' U L'
F2 R' D' F' L2 B U
F2 R' D' F' B L2 U
F2 R' D' B L2 F' U
F2 R' D' B F' L2 U
U R' D' F' B U L'
U R' D' B F' U L'
F2 R' D2 F' B U B
F2 R' D2 B F' U B
U R' D2 F' B U L'
U R' D2 B F' U L'
D2 R' F' L2 U B' R'
D' R' F' L2 U R B'
D' R' F' L2 U B' R
F' R' F' D' L2 B U
F' R' F' D' B L2 U
U R' F B U' R U2
F' R' F' D2 B U B
F' R' F' B U D2 B2
F' R' F' B U' F2 U2
F' R' F' B D' L2 U
F' R' F' B D2 U B2
U' R' F2 L' B U L
F2 R' F' B U' F' U2
U R' F' D B U L'
U R' F' D' B U L'
U R' F' D2 B U L'
U R' F' B U L' D
U R' F' B U L' D'
U R' F' B U L' D2
U R' F' B U D L'
U R' F' B U D' L'
U R' F' B U D2 L'
U' R' F2 B L' U L2
U R' F' B D U L'
U R' F' B D' U L'
U R' F' B D2 U L'
F' R' B L2 F' U B'
U' R' B U2 R U' L
U2 R' B U B L B2
F' R' B F' U D2 B2
F' R' B F' U' F2 U2
F' R' B F' D' L2 U
F' R' B F' D2 U B2
U' R' B F2 L' U L2
R' U2 R2 F' B U' B'
F2 R' B D' L2 F' U
F2 R' B D' F' L2 U
F2 R' B D2 F' U B2
R' U2 R2 B F' U' B'
F2 R' B F' U' F' U2
U R' B U2 B U' L
U R' B D F' U L'
U R' B D' F' U L'
U R' B D2 F' U L'
U R' B F U' R U2
U R' B F' U L' D
U R' B F' U L' D'
U R' B F' U L' D2
U R' B F' U D L'
U R' B F' U D' L'
U R' B F' U D2 L'
U R' B F' D U L'
U R' B F' D' U L'
U R' B F' D2 U L'
R U2 R2 F' B U B'
R U2 R2 B F' U B'
D' R2 U R F' U R
R' D U F' B U F
R' D U B F' U F
R' D F' L2 B U B2
R' D F' B L2 U B'
R' D F' B U' F U2
D' U R' F' U L' R
D' U R' F' U R L'
R' D B F' L2 U B'
R' D B F' U' F U2
D' U F' R' U L' R2
D' U F' R' U R2 L'
R D B2 U' F' B' U'
R D B2 U' B' F' U'
U' D B U' L R' F
U' D B U' L F R'
U' D B U' R' L F
R' D' U F' B U F
R' D' U B F' U F
R D' U' F' B U' F'
R D' U' B F' U' F'
R' D' F' L2 B U B2
R' D' F' B L2 U B'
R' D' F' B U' F U2
U D' R' F' U L' R
U D' R' F' U R L'
R' D' B F' L2 U B'
R' D' B F' U' F U2
U D' F' R' U L' R2
U D' F' R' U R2 L'
D U' B U' L R' F
D U' B U' L F R'
D U' B U' R' L F
R' D2 U F' B U F
R' D2 U B F' U F
R D2 U' L2 F' B U'
R D2 U' L2 B F' U'
R D2 U' F' L2 B U'
R D2 U' F' B L2 U'
R D2 U' B L2 F' U'
R D2 U' B F' L2 U'
R' D2 F' L2 B U B2
R' D2 F' B L2 U B'
R' D2 F' B U' F U2
R D2 F' L2 B U' B2
R D2 F' B L2 U' B'
R' D2 B F' L2 U B'
R' D2 B F' U' F U2
R D2 B F' L2 U' B'
U F R' D' F2 B U
U F R' D' B F2 U
U F R' D2 B U L2
U F R' B U D2 L2
U F R' B U' R2 U2
U F R' B D' F2 U
U F R' B D2 U L2
R' F' L B L U B'
R' F' L' B L' U B'
R' F' L2 U B' D' R2
R' F' L2 D B U B2
R' F' L2 D' B U B2
R' F' L2 D2 B U B2
R' F' L2 B L U B2
R' F' L2 B L' U B2
R' F' L2 B L2 U B2
R' F' L2 B U B2 D
R' F' L2 B U B2 D'
R' F' L2 B U B2 D2
R' F' L2 B D L2 U
U F' R' D B U L'
U F' R' D' B U L'
U F' R' D2 B U L'
U F' R' B U L' D
U F' R' B U L' D'
U F' R' B U L' D2
U F' R' B U D L'
U F' R' B U D' L'
U F' R' B U D2 L'
U F' R' B D U L'
U F' R' B D' U L'
U F' R' B D2 U L'
R' F' U' F U B U
R' F' D L2 B U B2
R' F' D B L2 U B'
R' F' D B U' F U2
R' F' D' L2 B U B2
F2 D' L2 R' F' U R
R' F' D' B L2 U B'
R' F' D' B U' F U2
R' F' D2 L2 B U B2
R' F' D2 B L2 U B'
R' F' D2 B U' F U2
R' F' B L2 U D B'
R' F' B L2 U D' B'
R' F' B L2 U D2 B'
R' F' B L2 U B' D
R' F' B L2 U B' D'
R' F' B L2 U B' D2
R' F' B L2 D U B'
R' F' B L2 D' U B'
R' F' B L2 D2 U B'
F2 D' R' L2 F' U R
R' F' B U L2 B' L2
R' F' B U' D F U2
R' F' B U' D' F U2
R' F' B U' D2 F U2
R' F' B U' F U2 D
R' F' B U' F U2 D'
R' F' B U' F U2 D2
R' F' B U' F D U2
R' F' B U' F D' U2
R' F' B U' F D2 U2
R' F' B D L2 U B'
R' F' B D U' F U2
R' F' B D' L2 U B'
R' F' B D' U' F U2
R' F' B D2 L2 U B'
R' F' B D2 U' F U2
F2 D' R' F' L2 U R
R' F' B' L2 B2 U B
R F' D2 L2 B U' B2
R F' D2 B L2 U' B'
R F' B D2 L2 U' B'
U F2 R' F B U L'
U F2 R' B F U L'
R' F2 D' F L2 B U
R' F2 D' F B L2 U
R' F2 D' B F L2 U
R' F2 D2 F B U B
R' F2 D2 B F U B
R' F2 B D' F L2 U
R' F2 B D2 F U B2
R' B L F' L2 U B'
R' B L F' U' F U2
R' B L' F' L2 U B'
R' B L' F' U' F U2
R' B L2 F' L2 U B'
R' B L2 F' U' F U2
R' B U2 R2 B U' B'
R' B D F' L2 U B'
R' B D F' U' F U2
R' B D' F' L2 U B'
R' B D' F' U' F U2
R B U2 R2 B U B'
R' B D2 F' L2 U B'
R' B D2 F' U' F U2
R' B F' L2 U D B'
R' B F' L2 U D' B'
R' B F' L2 U D2 B'
R' B F' L2 U B' D
R' B F' L2 U B' D'
R' B F' L2 U B' D2
R' B F' L2 D U B'
R' B F' L2 D' U B'
R' B F' L2 D2 U B'
R' B F' U L2 B' L2
R' B F' U' D F U2
R' B F' U' D' F U2
R' B F' U' D2 F U2
R' B F' U' F U2 D
R' B F' U' F U2 D'
R' B F' U' F U2 D2
R' B F' U' F D U2
R' B F' U' F D' U2
R' B F' U' F D2 U2
R' B F' D L2 U B'
R' B F' D U' F U2
R' B F' D' L2 U B'
R' B F' D' U' F U2
R' B F' D2 L2 U B'
R' B F' D2 U' F U2
R B D2 F' L2 U' B'
R' B F2 D' F L2 U
R' B F2 D2 F U B2
R B F' D2 L2 U' B'
R' B' U F' B2 U F
R' B' U B2 F' U F
R' B' F' L2 B2 U B
R' B2 U F' B' U F
R' B2 U B' F' U F
