B' L B2 R' B U'
B' D2 L R2 B' U'
B' D2 L B' R2 U'
B' D2 R2 L B' U'
R' B U2 L2 R' U
R' B U2 R' L2 U
R' B' L B2 R' U'
L B2 R' B L U'
R' B R D' U' F2 B2
R' B R D' U' B2 F2
R' B R D2 L2 R2 U'
R' B R D2 R2 L2 U'
B2 D2 B L R2 B' U'
B2 D2 B L B' R2 U'
R' B R2 U2 L2 R U
R' B R2 U2 R L2 U
B2 D2 B R2 L B' U'
R2 B R' F' L2 B' U
B D2 B2 L R2 B' U'
B D2 B2 L B' R2 U'
R' B U2 L2 R' U D
R' B U2 L2 R' U D'
R' B U2 L2 R' U D2
R' B U2 L2 R' D U
R' B U2 L2 R' D' U
R' B U2 L2 R' D2 U
R' B U2 L2 D R' U
R' B U2 L2 D' R' U
R' B U2 L2 D2 R' U
R' B U2 R' L2 U D
R' B U2 R' L2 U D'
R' B U2 R' L2 U D2
R' B U2 R' L2 D U
R' B U2 R' L2 D' U
R' B U2 R' L2 D2 U
R' B U2 R' U D' B2
R' B U2 R' D' U B2
B D2 B2 R2 L B' U'
R' B U2 D' R' U B2
R' B D' U2 R' U B2
R B U2 L2 F' R' U
R B U2 F' L2 R' U
R B U2 F' R' L2 U
R' B D2 R2 U2 R U
R' B' L R B2 R' U'
R' B' L R' B2 R' U'
R' B' L R2 B2 R' U'
R' B' L B2 R' U' D
R' B' L B2 R' U' D'
R' B' L B2 R' U' D2
R' B' L B2 R' D U'
R' B' L B2 R' D' U'
R' B' L B2 R' D2 U'
R' B' L B2 D R' U'
R' B' L B2 D' R' U'
R' B' L B2 D2 R' U'
R B F' L2 R' B' U
R B F' R' L2 B' U
R2 B' L U2 L F U
D B' L' U' F L2 B'
R' B' R L B2 R' U'
R B' L U2 L F' U
R B' L U2 F' L U
L B' L B' R' B U'
R' B' R' L B2 R' U'
R' B' R2 L B2 R' U'
D B' U' L' F L2 B'
L B' D2 L B' R' U'
R B' D2 L R2 B U'
R B' D2 R2 L B U'
L B2 L R' B L U'
L B2 L' R' B L U'
L B2 L2 R' B L U'
L B2 R' L B L U'
L B2 R' L' B L U'
L B2 R' L2 B L U'
L B2 R' D B L U'
L B2 R' D' B L U'
L B2 R' D2 B L U'
L B2 R' B L U' D
L B2 R' B L U' D'
L B2 R' B L U' D2
L B2 R' B L D U'
L B2 R' B L D' U'
L B2 R' B L D2 U'
L B2 R' B D L U'
L B2 R' B D' L U'
L B2 R' B D2 L U'
R' B2 U2 L2 F R U
R B2 D2 R2 B L U'
R B2 F' L2 B' R' U
