F' L' F2 B2 U' B
F' L' B2 F2 U' B
B2 F U2 R U B
B2 F' L' F2 U' B'
F' B2 L' F2 U' B'
F B2 U2 R U B
R' F' L' B2 F2 U' B
B2 D F U2 R U B
F D U2 R U L2 B
F D U2 R U B L2
R2 F' L' F2 B2 U' B
B2 D F' L' F2 U' B'
R2 F' L' B2 F2 U' B
R F' L' F2 B2 U' B
R F' L' B2 F2 U' B
R' F' B2 L' F2 U' B'
R2 F' B2 L' F2 U' B'
R F' B2 L' F2 U' B'
B2 D' F U2 R U B
B2 D' F' L' F2 U' B'
B2 D2 F U2 R U B
F D2 U2 R F2 U B
B2 D2 F' L' F2 U' B'
B2 F L' U2 R U B'
F' B L' F2 B U' B2
F' B L' B F2 U' B2
B2 F U2 L R U B
B2 F U2 L' R U B
B2 F U2 L2 R U B
B2 F U2 R L U B
B2 F U2 R L' U B
B2 F U2 R L2 U B
B2 F U2 R U D B
B2 F U2 R U D' B
B2 F U2 R U D2 B
B2 F U2 R U B D
B2 F U2 R U B D'
B2 F U2 R U B D2
B2 F U2 R D U B
B2 F U2 R D' U B
B2 F U2 R D2 U B
B2 F U2 D R U B
B2 F U2 D' R U B
B2 F U2 D2 R U B
B2 F D U2 R U B
B2 F D' U2 R U B
B2 F D2 U2 R U B
B2 F' L' R F2 U' B'
B2 F' L' R' F2 U' B'
B2 F' L' R2 F2 U' B'
B2 F' L' U' D R2 B'
B2 F' L' U' D B' R2
B2 F' L' U' B' D R2
B2 F' L' D U' R2 B'
B2 F' L' D U' B' R2
B2 F' L' F2 R U' B'
B2 F' L' F2 R' U' B'
B2 F' L' F2 R2 U' B'
B2 F' L' F2 U' D B'
B2 F' L' F2 U' D' B'
B2 F' L' F2 U' D2 B'
B2 F' L' F2 U' B' D
B2 F' L' F2 U' B' D'
B2 F' L' F2 U' B' D2
B2 F' L' F2 D U' B'
B2 F' L' F2 D' U' B'
B2 F' L' F2 D2 U' B'
B2 F' L2 F2 L U' B'
B F' L' F2 B U' B2
B F' L' B F2 U' B2
B2 F' R L' F2 U' B'
B2 F' R' L' F2 U' B'
B2 F' R2 L' F2 U' B'
B2 F' D L' U' R2 B'
B2 F' D L' U' B' R2
F' B2 L' R F2 U' B'
F' B2 L' R' F2 U' B'
F' B2 L' R2 F2 U' B'
F' B2 L' U' D R2 B'
F' B2 L' U' D B' R2
F' B2 L' U' B' D R2
F' B2 L' D U' R2 B'
F' B2 L' D U' B' R2
U' B2 R' F R U' F2
F' B2 L' F2 R U' B'
F' B2 L' F2 R' U' B'
F' B2 L' F2 R2 U' B'
F' B2 L' F2 U' D B'
F' B2 L' F2 U' D' B'
F' B2 L' F2 U' D2 B'
F' B2 L' F2 U' B' D
F' B2 L' F2 U' B' D'
F' B2 L' F2 U' B' D2
F' B2 L' F2 D U' B'
F' B2 L' F2 D' U' B'
F' B2 L' F2 D2 U' B'
U' B2 R2 F R U' F'
F' B2 L2 F2 L U' B'
F' B2 R L' F2 U' B'
F B2 L' U2 R U B'
F' B2 R' L' F2 U' B'
F' B2 R2 L' F2 U' B'
U' B2 F R U B U2
F' B2 D L' U' R2 B'
F' B2 D L' U' B' R2
R' B2 F U2 R U B
F B2 U2 L R U B
F B2 U2 L' R U B
F B2 U2 L2 R U B
F B2 U2 L2 R U B
R' B2 F' L' F2 U' B'
F B2 U2 R L U B
F B2 U2 R L' U B
F B2 U2 R L2 U B
F B2 U2 R U D B
F B2 U2 R U D' B
F B2 U2 R U D2 B
F B2 U2 R U B D
F B2 U2 R U B D'
F B2 U2 R U B D2
F B2 U2 R D U B
F B2 U2 R D' U B
F B2 U2 R D2 U B
F B2 U2 D R U B
F B2 U2 D' R U B
F B2 U2 D2 R U B
R2 B2 F U2 R U B
F B2 D U2 R U B
R2 B2 F' L' F2 U' B'
F B2 D' U2 R U B
R B2 F U2 R U B
R B2 F' L' F2 U' B'
F B2 D2 U2 R U B
