D' U L' F R B2
D' U L' F B2 R
D' U L' B2 F R
D' U B2 L' F R
U D' L' F R B2
U D' L' F B2 R
U D' L' B2 F R
U D' B2 L' F R
L2 F2 U L F R
U' B D' B2 L' R' F
U' B D' B2 L' F R'
U' B D' B2 R' L' F
U B D' L' F R B2
U B D' L' F B2 R
U B D' L' B2 F R
R B D' U L' F B2
R B D' U L' B2 F
U B D' B2 L' F R
R B D' U B2 L' F
U' B' R' D' L' F B2
U' B' R' D' L' B2 F
U' B' R' D' B2 L' F
D' B' U B' L' F R
D' B' U' B' L' R' F
D' B' U' B' L' F R'
D' B' U' B' R' L' F
U' B' D' L' R' F B2
U' B' D' L' R' B2 F
U' B' D' L' F R' B2
U' B' D' R' L' F B2
U' B' D' R' L' B2 F
U' B' D' R' B2 L' F
U B' D' L' F R B2
U B' D' L' F B2 R
U B' D' L' B2 F R
R B' D' L' R2 F B2
R B' D' L' R2 B2 F
R B' D' L' F R2 B2
R B' D' L' F B2 R2
R B' D' L' B2 R2 F
R B' D' L' B2 F R2
R B' D' R2 L' F B2
R B' D' R2 L' B2 F
R B' D' R2 B2 L' F
U B' D' B2 L' F R
R B' D' B2 L' R2 F
R B' D' B2 L' F R2
R B' D' B2 R2 L' F
L2 B' F' R B U L
D' B2 L' R' F D R2
D' B2 R' L' F D R2
U B2 D' L' F R B2
U B2 D' L' F B2 R
U B2 D' L' B2 F R
U B2 D' B2 L' F R
