U' B' R' U2 B
L2 R' F' U F2 B
L2 R' F' U B F2
R' L2 F' U F2 B
R' L2 F' U B F2
U' R F' B' R' U2
U' R B' F' R' U2
U' R' B' R' U2 B2
U' R' B' U2 B2 L
U' R2 B' R' F' U2
F' U' B' R' U2 B
F2 U' B' R' U2 B
F U' B' R' U2 B
U' F B' R' U2 B
R' F' L2 U F B
R' F' L2 U B F
R' F' U B D2 F2
R' F' U' B' U2 B2
U' F' B' R' U2 B
U' F2 B' R' U2 B
U' B' R F' R2 U2
U' B' R' U2 D B
U' B' R' U2 D' B
U' B' R' U2 D2 B
U' B' R' U2 B D
U' B' R' U2 B D'
U' B' R' U2 B D2
U' B' R' D U2 B
U' B' R' D' U2 B
U' B' R' D2 U2 B
U' B' R' F U2 B
U' B' R' F' U2 B
U' B' R' F2 U2 B
U' B' F R' U2 B
U' B' F' R' U2 B
U' B' F2 R' U2 B
U D2 L2 F' L' B' F2
F2 U' B' F R' U2 B
F2 U' B' F' R' U2 B
F2 U' B' F2 R' U2 B
F U' B' R F' R2 U2
F U' B' R' U2 D B
F U' B' R' U2 D' B
F U' B' R' U2 D2 B
F U' B' R' U2 B D
F U' B' R' U2 B D'
F U' B' R' U2 B D2
F U' B' R' D U2 B
F U' B' R' D' U2 B
F U' B' R' D2 U2 B
F U' B' R' F U2 B
F U' B' R' F' U2 B
F U' B' R' F2 U2 B
F U' B' F R' U2 B
F U' B' F' R' U2 B
F U' B' F2 R' U2 B
R' D2 F' L2 U F B
R' D2 F' L2 U B F
R' D2 F' U B D2 F2
R' D2 F' U' B' U2 B2
U D2 F2 L2 F L' B'
U' D2 B' U2 B2 L B'
U' D2 B' D2 R' U2 B
D' F L' U F' L' F
R' F L2 F2 U F' B
R' F L2 F2 U B F'
U' F R F' B' R' U2
U' F R B' F' R' U2
U' F R' B' R' U2 B2
U' F R' B' U2 B2 L
L2 F R' F' U F B
L2 F R' F' U B F
U' F R2 B' R' F' U2
R' F U D' L2 F B
R' F U D' L2 B F
U F U2 R F' B' U2
U F U2 R B' F' U2
R' F D' U L2 F B
R' F D' U L2 B F
U F U2 B' R F' U2
U' F B' R F' R2 U2
U' F B' R' U2 D B
U' F B' R' U2 D' B
U' F B' R' U2 D2 B
U' F B' R' U2 B D
U' F B' R' U2 B D'
U' F B' R' U2 B D2
U' F B' R' D U2 B
U' F B' R' D' U2 B
U' F B' R' D2 U2 B
U' F B' R' F U2 B
U' F B' R' F' U2 B
U' F B' R' F2 U2 B
U F B' R F' U2 R'
R' F' L2 U D F B
R' F' L2 U D B F
R' F' L2 U D' F B
R' F' L2 U D' B F
R' F' L2 U D2 F B
R' F' L2 U D2 B F
R' F' L2 U F D B
R' F' L2 U F D' B
R' F' L2 U F D2 B
R' F' L2 U F B D
R' F' L2 U F B D'
R' F' L2 U F B D2
R' F' L2 U B D F
R' F' L2 U B D' F
R' F' L2 U B D2 F
R' F' L2 U B F D
R' F' L2 U B F D'
R' F' L2 U B F D2
R' F' L2 D U F B
R' F' L2 D U B F
R' F' L2 D' U F B
R' F' L2 D' U B F
R' F' L2 D2 U F B
R' F' L2 D2 U B F
U' F' R F' B' R' U2
U' F' R B' F' R' U2
U F' L2 D2 F L B'
U F' L2 F D2 L B'
U' F' R' B' R' U2 B2
U' F' R' B' U2 B2 L
R' F' R2 U' F' B' U2
R' F' R2 U' B' F' U2
L2 F' R' F' U F' B
L2 F' R' F' U B F'
U' F' R2 B' R' F' U2
R' F' U L2 F L2 B
R' F' U L2 F B L2
R' F' U L2 B F L2
R' F' U D B D2 F2
R' F' U D' B D2 F2
R' F' U D2 B D2 F2
R' F' U F B D2 F2
R' F' U F' B D2 F2
R' F' U F2 B D2 F2
R' F' U B U2 B2 U2
R' F' U B D2 F2 D
R' F' U B D2 F2 D'
R' F' U B D2 F2 D2
R' F' U B F D2 F2
R' F' U B F' D2 F2
R' F' U B F2 D2 F2
R' F' U' D B' U2 B2
R' F' U' D' B' U2 B2
R' F' U' D2 B' U2 B2
R' F' U' F B' U2 B2
R' F' U' F' B' U2 B2
R' F' U' F2 B' U2 B2
R' F' U' B' U2 B2 D
R' F' U' B' U2 B2 D'
R' F' U' B' U2 B2 D2
R' F' U' B' D2 F2 U2
R' F' U' B' F U2 B2
R' F' U' B' F' U2 B2
R' F' U' B' F2 U2 B2
R' F' U2 L2 U' F B
R' F' U2 L2 U' B F
R' F' D L2 U F B
R' F' D L2 U B F
R' F' D U B D2 F2
R' F' D U' B' U2 B2
R' F' D' L2 U F B
R' F' D' L2 U B F
R' F' D' U B D2 F2
R' F' D' U' B' U2 B2
R' F' D2 L2 U F B
R' F' D2 L2 U B F
R' F' D2 U B D2 F2
R' F' D2 U' B' U2 B2
U' F' B' R F' R2 U2
U' F' B' R' U2 D B
U' F' B' R' U2 D' B
U' F' B' R' U2 D2 B
U' F' B' R' U2 B D
U' F' B' R' U2 B D'
U' F' B' R' U2 B D2
U' F' B' R' D U2 B
U' F' B' R' D' U2 B
U' F' B' R' D2 U2 B
U' F' B' R' F U2 B
U' F' B' R' F' U2 B
U' F' B' R' F2 U2 B
U' F2 R F' B' R' U2
U' F2 R B' F' R' U2
U' F2 R' B' R' U2 B2
U' F2 R' B' U2 B2 L
U' F2 R2 B' R' F' U2
D' F2 U' B' R' F' U2
U' F2 B' R F' R2 U2
U' F2 B' R' U2 D B
U' F2 B' R' U2 D' B
U' F2 B' R' U2 D2 B
U' F2 B' R' U2 B D
U' F2 B' R' U2 B D'
U' F2 B' R' U2 B D2
U' F2 B' R' D U2 B
U' F2 B' R' D' U2 B
U' F2 B' R' D2 U2 B
U' F2 B' R' F U2 B
U' F2 B' R' F' U2 B
U' F2 B' R' F2 U2 B
U F2 D2 L B' L F
U' B R F' B2 R' U2
U' B R B2 F' R' U2
U' B R' B2 R' U2 B'
U' B R2 B2 R' F' U2
U' B U2 D2 L F2 B'
U' B U2 D2 L B' F2
U' B U2 D2 F2 L B'
U' B D2 L F2 R B'
U' B D2 L F2 B' R
U' B D2 L B' F2 R
U' B D2 U2 L F2 B'
U' B D2 U2 L B' F2
U' B D2 U2 F2 L B'
U' B' R D2 F' U2 L2
U' B' R F R2 F2 U2
U' B' R F' R2 U2 D
U' B' R F' R2 U2 D'
U' B' R F' R2 U2 D2
U' B' R F' R2 D U2
U' B' R F' R2 D' U2
U' B' R F' R2 D2 U2
U' B' R F' U2 D2 L2
U' B' R F' D2 U2 L2
U' B' R F2 R2 F U2
U' B' R' U L U B
U' B' R' U L' U B
U' B' R' U L2 U B
U' B' R' U2 L B L'
U' B' R' U2 L2 B L2
U' B' R' U2 D B D
U' B' R' U2 D B D'
U' B' R' U2 D B D2
U' B' R' U2 D' B D
U' B' R' U2 D' B D'
U' B' R' U2 D' B D2
U' B' R' U2 D2 B D
U' B' R' U2 D2 B D'
U' B' R' U2 D2 B D2
U' B' R' U2 B2 D B'
U' B' R' U2 B2 D' B'
U' B' R' U2 B2 D2 B'
U' B' R' D U2 B D
U' B' R' D U2 B D'
U' B' R' D U2 B D2
U' B' R' D F U2 B
U' B' R' D F' U2 B
U' B' R' D F2 U2 B
U' B' R' D' U2 B D
U' B' R' D' U2 B D'
U' B' R' D' U2 B D2
U' B' R' D' F U2 B
U' B' R' D' F' U2 B
U' B' R' D' F2 U2 B
U' B' R' D2 U2 B D
U' B' R' D2 U2 B D'
U' B' R' D2 U2 B D2
U' B' R' D2 F U2 B
U' B' R' D2 F' U2 B
U' B' R' D2 F2 U2 B
U' B' R' F U2 D B
U' B' R' F U2 D' B
U' B' R' F U2 D2 B
U' B' R' F U2 B D
U' B' R' F U2 B D'
U' B' R' F U2 B D2
U' B' R' F D U2 B
U' B' R' F D' U2 B
U' B' R' F D2 U2 B
U' B' R' F' U2 D B
U' B' R' F' U2 D' B
U' B' R' F' U2 D2 B
U' B' R' F' U2 B D
U' B' R' F' U2 B D'
U' B' R' F' U2 B D2
U' B' R' F' D U2 B
U' B' R' F' D' U2 B
U' B' R' F' D2 U2 B
U' B' R' F2 U2 D B
U' B' R' F2 U2 D' B
U' B' R' F2 U2 D2 B
U' B' R' F2 U2 B D
U' B' R' F2 U2 B D'
U' B' R' F2 U2 B D2
U' B' R' F2 D U2 B
U' B' R' F2 D' U2 B
U' B' R' F2 D2 U2 B
U' B' R2 D R U2 B
U' B' R2 D' R U2 B
U' B' R2 D2 R U2 B
U' B' R2 F2 U2 L' B'
U B' R F' U2 L' R'
U B' R F' U2 R' L'
U B' R' U2 B L R
U B' R' U2 B R L
R' B' U F' B U B
R' B' U B F' U B
U' B' U2 D2 B2 L B'
U' B' U2 B2 D2 L B'
U' B' D2 U2 B2 L B'
U' B' F R F' R2 U2
U' B' F R' U2 D B
U' B' F R' U2 D' B
U' B' F R' U2 D2 B
U' B' F R' U2 B D
U' B' F R' U2 B D'
U' B' F R' U2 B D2
U' B' F R' D U2 B
U' B' F R' D' U2 B
U' B' F R' D2 U2 B
U' B' F R' F U2 B
U' B' F R' F' U2 B
U' B' F R' F2 U2 B
U' B' F' R F' R2 U2
U' B' F' R' U2 D B
U' B' F' R' U2 D' B
U' B' F' R' U2 D2 B
U' B' F' R' U2 B D
U' B' F' R' U2 B D'
U' B' F' R' U2 B D2
U' B' F' R' D U2 B
U' B' F' R' D' U2 B
U' B' F' R' D2 U2 B
U' B' F' R' F U2 B
U' B' F' R' F' U2 B
U' B' F' R' F2 U2 B
U' B' F2 R F' R2 U2
U' B' F2 R' U2 D B
U' B' F2 R' U2 D' B
U' B' F2 R' U2 D2 B
U' B' F2 R' U2 B D
U' B' F2 R' U2 B D'
U' B' F2 R' U2 B D2
U' B' F2 R' D U2 B
U' B' F2 R' D' U2 B
U' B' F2 R' D2 U2 B
U' B' F2 R' F U2 B
U' B' F2 R' F' U2 B
U' B' F2 R' F2 U2 B
U B' F R F' U2 R'
