R' U' D L F' B'
R' U' D L B' F'
R' U' D F' L B'
R' U' F' D L B'
D' R' U' L F' B
D' R' U' L B F'
D' R' U' F' L B
D R' U' L F' B'
D R' U' L B' F'
D R' U' F' L B'
B R' B' U' L F'
B R' B' U' F' L
R' D U' L F' B'
R' D U' L B' F'
R' D U' F' L B'
B D' R' B U' F'
L' B R' U' L2 F'
L' B R' U' F' L2
L2 B R' U' L' F'
D' R' U' D L F' B
D' R' U' D L B F'
D' R' U' D F' L B
D2 R' U' D' L F' B'
D2 R' U' D' L B' F'
D' R' U' D' L F' B
D' R' U' D' L B F'
D2 R' U' D' F' L B'
D' R' U' D' F' L B
D' R' U' D2 L F' B
D' R' U' D2 L B F'
D' R' U' D2 F' L B
B R' U B' U2 L F'
B R' U B' U2 F' L
D' R' U' F L F2 B
D' R' U' F L B F2
D R' U' L D F' B'
D R' U' L D B' F'
D R' U' L D' F' B'
D R' U' L D' B' F'
B R' U B2 U2 F' L'
D R' U' L D2 F' B'
D R' U' L D2 B' F'
D' R' U' F' L D B
D R' U' L F' D B'
D' R' U' F' L D' B
D' R' U' F' L D2 B
D R' U' L F' D' B'
D R' U' L F' D2 B'
D R' U' L F' B' D
D R' U' L F' B' D'
D R' U' L F' B' D2
D' R' U' F' L B D
D' R' U' F' L B D'
D' R' U' F' L B D2
D' R' U' F' L' B L2
D' R' U' F' L2 B L'
D R' U' L B' D F'
D R' U' L B' D' F'
D R' U' L B' D2 F'
D R' U' L B' F' D
D R' U' L B' F' D'
D R' U' L B' F' D2
D' R' U' F' D L B
D' R' U' F' D' L B
D' R' U' F' D2 L B
D R' U' F L F2 B'
D R' U' F L B' F2
B R' U' D2 F L' F2
D R' U' F' L D B'
D R' U' F' L D' B'
D R' U' F' L D2 B'
D R' U' F' L B' D
D R' U' F' L B' D'
D R' U' F' L B' D2
B R' U' F' B' L B
B R' U' F2 D2 F L'
B R' U' B' L F' B
B R' U' B' L B F'
B R' U' B' F' L B
L U' B' L R' U R
F2 R' D L F' R2 B'
F2 R' D L F' B' R2
F2 R' D L B' F' R2
D' R' D U' L F' B
D' R' D U' L B F'
D' R' D U' F' L B
L U' B' R' L U R
B R' D L B' U' F'
B R' D L2 U' F' L'
F2 R' D F' L R2 B'
F2 R' D F' L B' R2
F2 R' D F' R2 L B'
D2 R' D' U' L F' B'
D2 R' D' U' L B' F'
D' R' D' U' L F' B
D' R' D' U' L B F'
D2 R' D' U' F' L B'
D' R' D' U' F' L B
D' R' D2 U' L F' B
D' R' D2 U' L B F'
D' R' D2 U' F' L B
B R' D2 U' F L' F2
D' R' F' L D' B R'
F' R' F' D L R2 B'
F' R' F' D L B' R2
F' R' F' D R2 L B'
B R' B' L' U' L2 F'
B R' B' L' U' F' L2
B R' B' L2 U' L' F'
B R' B' U' L D F'
B R' B' U' L D' F'
B R' B' U' L D2 F'
B R' B' U' L F' D
B R' B' U' L F' D'
B R' B' U' L F' D2
B R' B' U' L' F' L2
B R' B' U' D L F'
B R' B' U' D F' L
B R' B' U' D' L F'
B R' B' U' D' F' L
B R' B' U' D2 L F'
B R' B' U' D2 F' L
B R' B' U' F L F2
B R' B' U' F' L D
B R' B' U' F' L D'
B R' B' U' F' L D2
B R' B' U' F' D L
B R' B' U' F' D' L
B R' B' U' F' D2 L
B R' B' D U' L F'
B R' B' D U' F' L
B R' B' D' U' L F'
B R' B' D' U' F' L
B R' B' D2 U' L F'
B R' B' D2 U' F' L
B2 R2 U R U2 F' B
B2 R2 U R U2 B F'
R' D L' U' L2 F' B'
R' D L' U' L2 B' F'
B R2 B' R U' L F'
B R2 B' R U' F' L
R D R2 U' L F' B'
R D R2 U' L B' F'
R D R2 U' F' L B'
R' D U' L D F' B'
R' D U' L D B' F'
R' D U' L D' F' B'
R' D U' L D' B' F'
R' D U' L D2 F' B'
R' D U' L D2 B' F'
R' D U' L F' D B'
R' D U' L F' D' B'
R' D U' L F' D2 B'
R' D U' L F' B' D
R' D U' L F' B' D'
R' D U' L F' B' D2
R' D U' L B' D F'
R' D U' L B' D' F'
R' D U' L B' D2 F'
R' D U' L B' F' D
R' D U' L B' F' D'
R' D U' L B' F' D2
R' D U' F L F2 B'
R' D U' F L B' F2
R' D U' F' L D B'
R' D U' F' L D' B'
R' D U' F' L D2 B'
R' D U' F' L B' D
R' D U' F' L B' D'
R' D U' F' L B' D2
R D U' L B' D2 F2
U' D L B' U' R' U
U2 D L' U L2 F B'
U2 D L' U L2 B' F
B2 U R' F' U' L' U'
L2 D' R' U' L' F' B
L2 D' R' U' L' B F'
L2 D' R' U' B L' F'
L' D' R' B2 U' F' B'
L' D' R' B2 U' B' F'
D U' L B' U' R' U
R' D' U' F' D2 L B'
L' D' B2 R' U' F' B
L' D' B2 R' U' B F'
D U2 L' U L2 F B'
D U2 L' U L2 B' F
B' U2 L F' U L' F2
D2 U2 F L' U L2 F
U2 D2 F L' U L2 F
F2 U2 D L R2 F B'
F2 U2 D L R2 B' F
F2 U2 D L F R2 B'
F2 U2 D L F B' R2
F2 U2 D L B' R2 F
F2 U2 D L B' F R2
F2 U2 D R2 L F B'
F2 U2 D R2 L B' F
B' U2 F' L U F L2
B' U2 F2 L U F L'
F2 D L R' F' R' B'
F2 D L B' R' F' R'
B D L R' B' U' F'
B D L2 R' U' F' L'
F2 D R' L F' R' B'
F2 D R' F' L R' B'
F2 D R' F' R' L B'
B D R' L B' U' F'
B D R' L2 U' F' L'
R' F' L D' R' B R'
R' F' L D' B R' B
F2 D U2 L R2 F B'
F2 D U2 L R2 B' F
F2 D U2 L F R2 B'
F2 D U2 L F B' R2
F2 D U2 L B' R2 F
F2 D U2 L B' F R2
F2 D U2 R2 L F B'
F2 D U2 R2 L B' F
B D' L R' B U' F'
F2 D' L B2 R' F' B
F2 D' L B2 R' B F'
B D' L' R' B U' F'
B D' L2 R' B U' F'
B D' R' L B U' F'
B D' R' L' B U' F'
B D' R' L2 B U' F'
B D' R' D B U' F'
B D' R' D' B U' F'
B D' R' D2 B U' F'
B D' R' B L U' F'
B D' R' B L' U' F'
B D' R' B L2 U' F'
B D' R' B U' D F'
B D' R' B U' D' F'
B D' R' B U' D2 F'
B D' R' B U' F' D
B D' R' B U' F' D'
B D' R' B U' F' D2
B D' R' B D U' F'
B D' R' B D' U' F'
B D' R' B D2 U' F'
R' F2 D R2 F L B'
R' F2 D F L R2 B'
R' F2 D F L B' R2
R' F2 D F R2 L B'
R F2 D L R2 F' B'
R F2 D L R2 B' F'
R F2 D R2 L F' B'
R F2 D R2 L B' F'
R F2 D R2 F' L B'
B D2 R' U' F L' F2
L' B L R' U' L F'
L' B L R' U' F' L
L2 B L R' U' L2 F'
L2 B L R' U' F' L2
L' B L' R' U' L' F'
L B L R' U' L' F'
L2 B L2 R' U' L F'
L2 B L2 R' U' F' L
L B L' R' U' L F'
L B L' R' U' F' L
L B L2 R' U' L2 F'
L B L2 R' U' F' L2
L' B R' L U' L F'
L' B R' L U' F' L
L' B R' L' U' L' F'
L' B R' U' L F' L
L' B R' U' L2 D F'
L' B R' U' L2 D' F'
L' B R' U' L2 D2 F'
L' B R' U' L2 F' D
L' B R' U' L2 F' D'
L' B R' U' L2 F' D2
L' B R' U' F L2 F2
L' B R' U' F' L2 D
L' B R' U' F' L2 D'
L' B R' U' F' L2 D2
L' B R' D' B2 U' F'
L2 B R' L U' L2 F'
L2 B R' L U' F' L2
L2 B R' L2 U' L F'
L2 B R' L2 U' F' L
L' B R' B U' L2 F'
L' B R' B U' F' L2
L' B R' B' U' L2 F'
L' B R' B' U' F' L2
L2 B R' U' L F' L2
L2 B R' U' L' D F'
L2 B R' U' L' D' F'
L2 B R' U' L' D2 F'
L2 B R' U' L' F' D
L2 B R' U' L' F' D'
L2 B R' U' L' F' D2
L2 B R' U' L2 F' L
L2 B R' U' D L' F'
L2 B R' U' D' L' F'
L2 B R' U' D2 L' F'
L' B R' B2 U' L2 F'
L' B R' B2 U' F' L2
L2 B R' D U' L' F'
L2 B R' D' U' L' F'
L2 B R' D2 U' L' F'
R2 B R' U B R' U2
L2 B R' B U' L' F'
L2 B R' B' U' L' F'
L2 B R' B2 U' L' F'
L B R' L U' L' F'
L B R' L' U' L F'
L B R' L' U' F' L
L B R' L2 U' L2 F'
L B R' L2 U' F' L2
L2 B D R' U' L' F'
L' B D' R' B2 U' F'
L2 B D' R' U' L' F'
L2 B D2 R' U' L' F'
U2 B' L B U F L
U' B' U' L R' F U
U' B' U' L F R' U
U' B' U' R' L F U
L' B' U2 L U F L
L2 B' U2 L U F L2
L' B' D' B2 R' U' F'
L2 B2 R' U' L' F' B'
L2 B2 R' U' L' B' F'
R2 B2 U R' F' B U2
R2 B2 U R' B F' U2
R B2 U R' F' B' U2
R B2 U R' B' F' U2
