U B2 L' R'
U B2 R' L'
U' L U2 L2 B2
U' L U2 B2 L2
U L' B2 D2 R2
U R B2 L' R'
U R B2 R' L'
U R' B2 L' R'
U R' B2 R' L'
U R2 B2 L' R'
U R2 B2 R' L'
B U L' B R'
B U B L' R'
B U B R' L'
U B L' B R'
U B2 L' R' D
U B2 L' R' D'
U B2 L' R' D2
U B2 L' D R'
U B2 L' D' R'
U B2 L' D2 R'
U B2 R' L' D
U B2 R' L' D'
U B2 R' L' D2
U B2 R' D L'
U B2 R' D' L'
U B2 R' D2 L'
U B2 D L' R'
U B2 D R' L'
U B2 D' L' R'
U B2 D' R' L'
U B2 D2 L' R'
U B2 D2 R' L'
U L F U2 L2 F' B2
U L F U2 L2 B2 F'
U' L F D2 R2 F2 U2
U' L F D2 F2 R2 U2
U L F U2 F' L2 B2
U L F U2 F' B2 L2
U L F U2 B2 L2 F'
U L F U2 B2 F' L2
U' L F' R U2 L2 B2
U' L F' R U2 B2 L2
U' L F' R' U2 L2 B2
U' L F' R' U2 B2 L2
U' L F' R2 U2 L2 B2
U' L F' R2 U2 B2 L2
B L F' U L2 B R'
U' L F' U2 L' B2 L'
U' L F' U2 L2 B2 D
U' L F' U2 L2 B2 D'
U' L F' U2 L2 B2 D2
B L F' U B L2 R'
B L F' U B R' L2
U' L F' U2 B L2 B
U' L F' U2 B2 L2 D
U' L F' U2 B2 L2 D'
U' L F' U2 B2 L2 D2
U' L F' D2 R2 F2 U2
U' L F' D2 F2 R2 U2
U L F' U2 F L2 B2
U L F' U2 F B2 L2
U L F' U2 B2 F L2
U' L F2 R U2 L2 B2
U' L F2 R U2 B2 L2
U' L F2 R' U2 L2 B2
U' L F2 R' U2 B2 L2
U' L F2 R' U2 B2 L2
U' L F2 R2 U2 L2 B2
U' L F2 R2 U2 B2 L2
D2 L F2 U2 L2 D F2
U' L F2 U2 L' B2 L'
U' L F2 U2 L2 B2 D
U' L F2 U2 L2 B2 D'
U' L F2 U2 L2 B2 D2
B L F2 U L2 B R'
U' L F2 U2 B L2 B
U' L F2 U2 B2 L2 D
U' L F2 U2 B2 L2 D'
U' L F2 U2 B2 L2 D2
B L F2 U B L2 R'
B L F2 U B R' L2
U' L F2 D2 R2 F2 U2
U L F2 U2 L2 F2 B2
U L F2 U2 L2 B2 F2
U' L F2 D2 F2 R2 U2
U L F2 U2 F2 L2 B2
U L F2 U2 F2 B2 L2
U L F2 U2 B2 L2 F2
U L F2 U2 B2 F2 L2
U L B L2 D2 B R2
U L B L2 B D2 R2
U' L B U2 L2 F B
U' L B U2 L2 B F
L R' U R U L2 B2
L R' U R U B2 L2
U L B U2 B L2 F
B2 L B' U L2 B R'
B2 L B' U B L2 R'
B2 L B' U B R' L2
B L B' U B2 L2 R'
B L B' U B2 R' L2
U' L B2 L2 D2 R2 F2
U' L B2 L2 D2 F2 R2
U L B2 L2 R D2 R2
U L B2 L2 R' D2 R2
U L B2 L2 R2 D2 R2
U L B2 L2 U2 L2 U2
U L B2 L2 D2 R2 D
U L B2 L2 D2 R2 D'
U L B2 L2 D2 R2 D2
U L B2 R L2 D2 R2
U L B2 R' L2 D2 R2
B2 L B2 U B2 L2 R'
B2 L B2 U B2 R' L2
U L B2 R2 L2 D2 R2
B2 L' R U' R' U R'
U L' R U2 L2 U2 B2
U L' R D2 R2 D2 B2
U' L' R B2 D2 R2 F2
U' L' R B2 D2 F2 R2
U L' R B D2 B R2
B2 L' R' U' R U D
B2 L' R' U' R U D'
B2 L' R' U' R U D2
B2 L' R' U' R D U
B2 L' R' U' R D' U
B2 L' R' U' R D2 U
U L' R B' D2 R2 B'
U L' R B' D2 B' R2
B2 L' R' U' D R U
B2 L' R' U' D' R U
B2 L' R' U' D2 R U
U L' R B2 R D2 R2
U L' R B2 R' D2 R2
U L' R B2 R2 D2 R2
U L' R B2 U2 L2 U2
U L' R B2 D2 R2 D
U L' R B2 D2 R2 D'
U L' R B2 D2 R2 D2
B2 L' R' D U' R U
B2 L' R' D' U' R U
U L' R' U2 L2 U2 B2
B2 L' R' D2 U' R U
U L' R' D2 R2 D2 B2
B2 L' R' F2 U L' U'
U' L' R' B2 D2 R2 F2
U' L' R' B2 D2 F2 R2
U L' R' B D2 B R2
B2 L' R2 U' R2 U R'
U L' R' B' D2 R2 B'
U L' R' B' D2 B' R2
U L' R' B2 R D2 R2
U L' R' B2 R' D2 R2
U L' R' B2 R2 D2 R2
U L' R' B2 U2 L2 U2
U L' R' B2 D2 R2 D
U L' R' B2 D2 R2 D'
U L' R' B2 D2 R2 D2
B2 L' R2 D R D2 F2
B2 L' R2 D' R F2 D
B2 L' R2 D' R F2 D'
B2 L' R2 D' R F2 D2
B2 L' R2 D' R' F2 R2
B2 L' R2 D' R2 F2 R'
U L' R2 U2 L2 U2 B2
B2 L' R2 D2 R D F2
U L' R2 D2 R2 D2 B2
B2 L' R2 F2 D' F2 R
U' L' R2 B2 D2 R2 F2
U' L' R2 B2 D2 F2 R2
U2 L' U L U' B2 R'
U L' R2 B D2 B R2
U L' R2 B' D2 R2 B'
U L' R2 B' D2 B' R2
U L' R2 B2 R D2 R2
U L' R2 B2 R' D2 R2
U L' R2 B2 R2 D2 R2
U L' R2 B2 U2 L2 U2
U L' R2 B2 D2 R2 D
U L' R2 B2 D2 R2 D'
U L' R2 B2 D2 R2 D2
B2 L' U F U' F' R'
B2 L' U F' U' R' F
B2 L' U F' U' F R'
B2 L' U F2 U' R' F2
B2 L' U F2 U' F2 R'
F2 L' U' L2 R U2 B2
F2 L' U' R L2 U2 B2
U L' U' L U B2 R'
U L' U2 L U2 B2 R'
U L' U2 L2 U2 B2 D
U L' U2 L2 U2 B2 D'
U L' U2 L2 U2 B2 D2
U L' U2 L2 D2 F2 U2
U L' U2 L2 F U2 B2
U L' U2 L2 F' U2 B2
U L' U2 L2 F2 U2 B2
U L' U2 D2 F2 U2 R2
U L' U2 F L2 U2 B2
U L' U2 F' L2 U2 B2
U L' U2 F2 L2 U2 B2
B2 L' D R' U' R U
B2 L' D R2 D' R F2
D2 L' D' L2 B2 U L2
B2 L' D' R' U' R U
B2 L' D' R2 D' R F2
D2 L' D' B2 L2 U L2
D' L' D2 L2 U L2 R2
D' L' D2 L2 U R2 L2
D L' D' B2 L' U L
D L' D2 L' U L R2
D L' D2 L' U R2 L
D' L' D2 R2 D' F2 B2
D' L' D2 R2 D' B2 F2
D2 L' D2 R2 B2 D' F2
B2 L' D2 R' U' R U
B2 L' D2 R2 D' R F2
U L' D2 R D2 R B2
U L' D2 R D2 B2 R
U L' D2 R' D2 R' B2
U L' D2 R2 U2 F2 U2
U L' D2 R2 D2 B2 D
U L' D2 R2 D2 B2 D'
U L' D2 R2 D2 B2 D2
U L' D2 R2 B D2 B2
U L' D2 R2 B' D2 B2
U L' D2 R2 B2 D2 B2
D2 L' D2 B2 R2 D' F2
U L' D2 U2 F2 U2 R2
U L' D2 F' R2 F B
U L' D2 F' R2 B F
U' L' F L2 U2 L2 B2
U' L' F L2 U2 B2 L2
U L' D2 B R2 D2 B2
U L' D2 B' R2 D2 B2
U L' D2 B2 R2 D2 B2
B2 L' F R' U' R U
B2 L' F R2 D' R F2
R2 L' B2 D' F2 D' R2
R2 L' B2 D2 R2 D F2
U' L' F B2 D2 R2 F2
U' L' F B2 D2 F2 R2
U' L' F' L2 U2 L2 B2
U' L' F' L2 U2 B2 L2
U L' F D2 F' R2 B
U L' F B2 D2 F' R2
B2 L' F' R' U' R U
L R2 U R2 U L2 B2
L R2 U R2 U B2 L2
B2 L' F' R2 D' R F2
U' L' F' B2 D2 R2 F2
U' L' F' B2 D2 F2 R2
U' L' F2 L2 U2 L2 B2
U' L' F2 L2 U2 B2 L2
B2 L' F2 R' U' R U
U L' F' B2 D2 R2 F
U L' F' B2 D2 F R2
B2 L' F2 R2 D' R F2
U' L' F2 B2 D2 R2 F2
U' L' F2 B2 D2 F2 R2
L R2 U2 L2 B2 D' F2
B L' B R' U' R U
B L' B R2 D' R F2
U L' B R2 D2 R2 B
U L' B U2 L2 U2 B
L R2 U2 B2 L2 D' F2
U L' B D B D R2
U L' B D2 B R2 D
U L' B D2 B R2 D'
U L' B D2 B R2 D2
U L' B D2 B' R2 B2
U L' B D2 B2 R2 B'
U L' B' R D2 R2 B'
U L' B' R D2 B' R2
U L' B' R B' D2 R2
U L' B' R' D2 R2 B'
U L' B' R' D2 B' R2
U L' B' R' B' D2 R2
U' L' B' D2 R2 F' B'
U' L' B' D2 R2 B' F'
U L' B' R2 D2 R2 B'
U L' B' R2 D2 B' R2
U L' B' R2 B' D2 R2
U L' B' U2 L2 F U2
U L' B' D B' D R2
U L' B' D2 R B' R
U L' B' D2 R2 D B'
U L' B' D2 R2 D' B'
U L' B' D2 R2 D2 B'
U L' B' D2 R2 B' D
U L' B' D2 R2 B' D'
U L' B' D2 R2 B' D2
U' L' B2 R D2 R2 F2
U' L' B2 R D2 F2 R2
U L' B' D2 B R2 B2
U L' B' D2 B' R2 D
U L' B' D2 B' R2 D'
U L' B' D2 B' R2 D2
U' L' B2 R' D2 R2 F2
U' L' B2 R' D2 F2 R2
U' L' B2 R2 D2 R2 F2
U' L' B2 R2 D2 F2 R2
U' L' B2 U2 L2 B2 U2
U' L' B2 U2 B2 L2 U2
U L' B2 R U2 L2 U2
U L' B2 R D2 R2 D
U L' B2 R D2 R2 D'
U L' B2 R D2 R2 D2
U L' B2 R' U2 L2 U2
U L' B2 R' D2 R2 D
U L' B2 R' D2 R2 D'
U L' B2 R' D2 R2 D2
U' L' B2 D2 R' F2 R'
U' L' B2 D2 R2 F2 D
U' L' B2 D2 R2 F2 D'
U' L' B2 D2 R2 F2 D2
U' L' B2 D2 F R2 F
U' L' B2 D2 F2 R2 D
U' L' B2 D2 F2 R2 D'
U' L' B2 D2 F2 R2 D2
U L' B2 R2 U2 L2 U2
U L' B2 R2 D2 R2 D
U L' B2 R2 D2 R2 D'
U L' B2 R2 D2 R2 D2
U' L' B2 F D2 R2 F2
U' L' B2 F D2 F2 R2
U L' B2 U D F2 U'
U' L' B2 F' D2 R2 F2
U' L' B2 F' D2 F2 R2
U L' B2 U' D' B2 U
U' L' B2 F2 D2 R2 F2
U' L' B2 F2 D2 F2 R2
U L' B2 U2 L2 U2 D
U L' B2 U2 L2 U2 D'
U L' B2 U2 L2 U2 D2
U L' B2 U2 L2 D U2
U L' B2 U2 L2 D' U2
U L' B2 U2 L2 D2 U2
U L' B2 D R D R2
U L' B2 D R' D R2
U L' B2 D R2 D R2
U L' B2 D U F2 U'
U L' B2 D' R D' R2
U L' B2 D' R' D' R2
U L' B2 D' R2 D' R2
U L' B2 D' U' B2 U
U L' B2 D2 R D R
U L' B2 D2 R D' R
U L' B2 D2 R D2 R
U L' B2 D2 R' D R'
U L' B2 D2 R' D' R'
U L' B2 D2 R' D2 R'
U L' B2 D2 F' R2 F
U L' B2 D2 F2 R2 F2
U L' B2 D2 B R2 B'
U L' B2 D2 B2 R2 B2
U L' B2 F D2 F' R2
U L' B2 F' D2 R2 F
U L' B2 F' D2 F R2
B2 L2 R' U' R U L
B2 L2 R' F2 L D F2
B2 L2 R2 D' L R F2
B2 L2 R2 D' R L F2
B2 L2 R2 D' R F2 L
D2 L2 U L D2 R2 B2
D2 L2 U L D2 B2 R2
D L2 U L R D2 R2
D L2 U L R' D2 R2
D L2 U L R2 D2 R2
D L2 U L U2 L2 U2
D L2 U L D2 R2 D
D L2 U L D2 R2 D'
D L2 U L D2 R2 D2
B L2 U L B R' D
B L2 U L B R' D'
B L2 U L B R' D2
B L2 U L B D R'
B L2 U L B D' R'
B L2 U L B D2 R'
B L2 U L' B L2 R'
B L2 U L' B R' L2
D L2 U R L D2 R2
B L2 U L2 B L' R'
B L2 U L2 B R' L'
D L2 U R' L D2 R2
D L2 U R2 L D2 R2
D L2 U D L D2 R2
D L2 U D' L D2 R2
D L2 U D2 L D2 R2
D L2 U F2 L R F2
D L2 U F2 R L F2
D2 L2 U' L' F2 U2 L2
D L2 U F2 R F2 L
F2 L2 U' L' R U2 B2
F2 L2 U' R L' U2 B2
D L2 U' L' R U2 L2
D L2 U' L' R' U2 L2
D L2 U' L' R2 U2 L2
D L2 U' L' U2 L2 D
D L2 U' L' U2 L2 D'
D L2 U' L' U2 L2 D2
D L2 U' L' D2 R2 U2
D L2 U' R L' U2 L2
D L2 U' R' L' U2 L2
D L2 U' R2 L' U2 L2
D2 L2 U' F2 U2 L R
D2 L2 U' F2 U2 R L
D L2 U' D L' U2 L2
D L2 U' D' L' U2 L2
D L2 U' D2 L' U2 L2
U' L2 U2 L B2 D2 R2
U' L2 U2 L2 B2 L' R'
