F' U L' R' U2
F U R' U2 R2
F' U R' L' U2
F U' R D2 L2
B2 F U' L R
B2 F U' R L
F B2 U' L R
F B2 U' R L
F D U' R D2 L2
D2 F' U L' R' U2
D' F' U L' R' U2
D2 F' U R' L' U2
D' F' U R' L' U2
D F' U L' R' U2
D F' U R' L' U2
F D B2 U' L R
F D B2 U' R L
F' D' U L' R' U2
F' D' U R' L' U2
F D' U R' U2 R2
B2 D' F U' L R
B2 D' F U' R L
F D' U' R D2 L2
F D' B2 U' L R
F D' B2 U' R L
F' D2 U L' R' U2
F' D2 U R' L' U2
F D2 U R' U2 R2
B' D2 F U' L' R
B' D2 F U' R L'
B2 D2 F U' L R
B2 D2 F U' R L
F D2 U' R D2 L2
F D2 B2 U' L R
F D2 B2 U' R L
B2 F U' L R D
B2 F U' L R D'
B2 F U' L R D2
B2 F U' L D R
B2 F U' L D' R
B2 F U' L D2 R
B2 F U' R L D
B2 F U' R L D'
B2 F U' R L D2
B2 F U' R D L
B2 F U' R D' L
B2 F U' R D2 L
B2 F U' D L R
B2 F U' D R L
B2 F U' D' L R
B2 F U' D' R L
B2 F U' D2 L R
B2 F U' D2 R L
B2 F D U' L R
B2 F D U' R L
B2 F D' U' L R
B2 F D' U' R L
B2 F D2 U' L R
B2 F D2 U' R L
B2 F' U L' U2 L2
B2 F' U' L D2 R2
F' B2 U L' U2 L2
F' B2 U' L D2 R2
F B2 U' L R D
F B2 U' L R D'
F B2 U' L R D2
F B2 U' L D R
F B2 U' L D' R
F B2 U' L D2 R
F B2 U' R L D
F B2 U' R L D'
F B2 U' R L D2
F B2 U' R D L
F B2 U' R D' L
F B2 U' R D2 L
F B2 U' D L R
F B2 U' D R L
F B2 U' D' L R
F B2 U' D' R L
F B2 U' D2 L R
F B2 U' D2 R L
D2 B2 F U' L R
D2 B2 F U' R L
D' B2 F U' L R
D' B2 F U' R L
F B2 D U' L R
F B2 D U' R L
D B2 F U' L R
D B2 F U' R L
F B2 D' U' L R
F B2 D' U' R L
F B2 D2 U' L R
F B2 D2 U' R L
U L R' U' D F U'
U L R' U' D' F U'
U L R' U' D2 F U'
U L R' U' F U' D
U L R' U' F U' D'
U L R' U' F U' D2
U L R' U' F D U'
U L R' U' F D' U'
U L R' U' F D2 U'
U L R' D U' F U'
U L R' D' U' F U'
U L R' D2 U' F U'
U L U' F U R' U2
U L U' F B2 U' L
U L U' B2 F U' L
U L D R' U' F U'
U L D' R' U' F U'
U L D2 R' U' F U'
F L B2 L' U' L2 R
F L B2 L' U' R L2
F' L' R' U' L R U'
F' L' R' U' R L U'
U L' R' U D B' U
U L' R' U D' B' U
U L' R' U D2 B' U
U L' R' U B' U D
U L' R' U B' U D'
U L' R' U B' U D2
U L' R' U B' D U
U L' R' U B' D' U
U L' R' U B' D2 U
U L' R' D U B' U
U L' R' D' U B' U
U L' R' D2 U B' U
U L' D R' U B' U
U L' D' R' U B' U
U L' D2 R' U B' U
B2 L' F L U' L R
B2 L' F L U' R L
U L2 D2 R' U B U
F' L2 B2 L2 U' L' R'
F' L2 B2 L2 U' R' L'
F L2 B2 L2 U' L' R
F L2 B2 L2 U' R L'
U' R U' D' F2 B U
U' R U' D' B F2 U
U' R U' D2 B U L2
U' R U' B U D2 L2
U' R U' B U' R2 U2
U' R U' B D' F2 U
U' R U' B D2 U L2
U' R U2 R2 U' F' U'
F R D R' B2 U' R
U' R D' U' F2 B U
U' R D' U' B F2 U
U' R D2 L2 U' B U
U' R D2 U' B U L2
F R D2 R' U' L2 R
F R D2 R' U' R L2
B2 R F R' U' L R2
B2 R F R' U' R2 L
R' U' R' F' R2 U' F
F' R' L' U' L R U'
F' R' L' U' R L U'
U R' L U' D F U'
U R' L U' D' F U'
U R' L U' D2 F U'
U R' L U' F U' D
U R' L U' F U' D'
U R' L U' F U' D2
U R' L U' F D U'
U R' L U' F D' U'
U R' L U' F D2 U'
U R' L D U' F U'
U R' L D' U' F U'
U R' L D2 U' F U'
U R' L' U D B' U
U R' L' U D' B' U
U R' L' U D2 B' U
U R' L' U B' U D
U R' L' U B' U D'
U R' L' U B' U D2
U R' L' U B' D U
U R' L' U B' D' U
U R' L' U B' D2 U
U R' L' D U B' U
U R' L' D' U B' U
U R' L' D2 U B' U
U2 R' U R B U B'
U' R' U F' U2 F U
U R' U D B' U R'
U R' U D' B' U R'
U R' U D2 B' U R'
U R' U B U' L U2
U R' U B' U R' D
U R' U B' U R' D'
U R' U B' U R' D2
U R' U B' U D R'
U R' U B' U D' R'
U R' U B' U D2 R'
U R' U B' D U R'
U R' U B' D' U R'
U R' U B' D2 U R'
U R' U' D F U' R
U R' U' D' F U' R
U R' U' D2 F U' R
U R' U' F U' R D
U R' U' F U' R D'
U R' U' F U' R D2
U R' U' F U' D R
U R' U' F U' D' R
U R' U' F U' D2 R
U R' U' F D U' R
U R' U' F D' U' R
U R' U' F D2 U' R
U R' U' F' U L' U2
U R' U2 R U' B U
U R' U2 R' U F' U'
U R' D L U' F U'
U R' D L' U B' U
U R' D U B' U R'
U R' D U' F U' R
U R' D' L U' F U'
U R' D' L' U B' U
U R' D' U B' U R'
U R' D' U' F U' R
U R' D2 L U' F U'
U R' D2 L' U B' U
U R' D2 U B' U R'
U R' D2 U' F U' R
U' R2 U2 R U' F' U'
B2 R2 F R2 U' L R'
B2 R2 F R2 U' R' L
F' R2 F2 R2 U' L' R'
F' R2 F2 R2 U' R' L'
F R2 F2 R2 U' L' R
F R2 F2 R2 U' R L'
R D R' F B2 U' R
R D R' B2 F U' R
D' U L R' U' F U'
D2 U L R' U' F U'
F' U L R' U2 D2 R2
F' U L R' D2 U2 R2
F' U L D2 R' U2 R'
D U L R' U' F U'
D' U L' R' U B' U
D2 U L' R' U B' U
F' U L' R U2 D2 L2
F' U L' R D2 U2 L2
F' U L' R2 D R U2
F' U L' R2 D' R U2
F' U L' R2 D2 R U2
F U L R' U2 R2 D
F U L R' U2 R2 D'
F U L R' U2 R2 D2
F U L R' D2 L2 U2
B' U L' U B' U L
U D L R' U' F U'
F' U L' U' B2 U' L
F' U L' U2 B2 L B2
F' U L' D R' U2 D
F' U L' D R' U2 D'
F' U L' D R' U2 D2
F' U L' D R' D U2
F' U L' D R' D' U2
F' U L' D R' D2 U2
F U L U2 R D2 L2
B2 U L' U B' U L2
F' U L' D' R' U2 D
F' U L' D' R' U2 D'
F' U L' D' R' U2 D2
F' U L' D' R' D U2
F' U L' D' R' D' U2
F' U L' D' R' D2 U2
F U L D R' U2 R2
F' U L' D2 R' U2 D
F' U L' D2 R' U2 D'
F' U L' D2 R' U2 D2
F' U L' D2 R' D U2
F' U L' D2 R' D' U2
F' U L' D2 R' D2 U2
F U L D' R' U2 R2
F U L D2 R' U2 R2
F' U L' F' R' F U2
F' U L' F2 R' F2 U2
D U L' R' U B' U
F' U L2 R' D L U2
F' U L2 R' D' L U2
F' U L2 R' D2 L U2
F U L' R' U2 R2 D
F U L' R' U2 R2 D'
F U L' R' U2 R2 D2
F U L' R' D2 L2 U2
U D L' R' U B' U
F' U L2 D L R' U2
F' U L2 D R' L U2
F' U L2 D' L R' U2
F U L' U2 R D2 L2
F' U L2 D' R' L U2
F' U L2 D2 L R' U2
F U L' D R' U2 R2
F' U L2 D2 R' L U2
F U L' D' R' U2 R2
F U L' D2 R' U2 R2
R D F R' B2 U' R2
F' U R L' U2 D2 L2
F' U R L' D2 U2 L2
F U L2 R' U2 R2 D
F U L2 R' U2 R2 D'
F U L2 R' U2 R2 D2
F U L2 R' D2 L2 U2
F U L2 U2 R D2 L2
F' U R D2 L' U2 L'
F U L2 D R' U2 R2
F U L2 D' R' U2 R2
F U L2 D2 R' U2 R2
D' U R' L U' F U'
D' U R' L' U B' U
D2 U R' L U' F U'
D2 U R' L' U B' U
F' U R' L U2 D2 R2
F' U R' L D2 U2 R2
D' U R' U B' U R'
F' U R' L2 D L U2
F' U R' L2 D' L U2
F' U R' L2 D2 L U2
D' U R' U' F U' R
D2 U R' U B' U R'
D2 U R' U' F U' R
F' U R' U' F2 U' R
F' U R' U2 F2 R F2
F' U R' D L' U2 D
F' U R' D L' U2 D'
F' U R' D L' U2 D2
F' U R' D L' D U2
F' U R' D L' D' U2
F' U R' D L' D2 U2
F' U R' D' L' U2 D
F' U R' D' L' U2 D'
F' U R' D' L' U2 D2
F' U R' D' L' D U2
F' U R' D' L' D' U2
F' U R' D' L' D2 U2
F' U R' D2 L' U2 D
F' U R' D2 L' U2 D'
F' U R' D2 L' U2 D2
F' U R' D2 L' D U2
F' U R' D2 L' D' U2
F' U R' D2 L' D2 U2
F2 U R' U' F' U' R
F2 U R' U2 F' R F
D U R' L U' F U'
F' U R' B' L' B U2
F2 U R' F L' F' U2
D U R' L' U B' U
F' U R' B2 L' B2 U2
F' U R2 L' D R U2
F' U R2 L' D' R U2
D U R' U B' U R'
F' U R2 L' D2 R U2
D U R' U' F U' R
F U R' L U2 R2 D
F U R' L U2 R2 D'
F U R' L U2 R2 D2
F U R' L D2 L2 U2
F U R' L' U2 R2 D
F U R' L' U2 R2 D'
F U R' L' U2 R2 D2
U D R' L U' F U'
F U R' L' D2 L2 U2
F U R' L2 U2 R2 D
F U R' L2 U2 R2 D'
F U R' L2 U2 R2 D2
U D R' L' U B' U
F U R' L2 D2 L2 U2
F' U R2 D L' R U2
F U R' U D B2 U
F' U R2 D R L' U2
F U R' U B U R2
F U R' U B' U R2
F U R' U B2 U R2
F' U R2 D' L' R U2
F' U R2 D' R L' U2
F U R' U' D' F2 U'
F U R' U' F U' R2
F U R' U' F' U' R2
F U R' U' F2 U' R2
U D R' U B' U R'
F U R' U2 R D R
F U R' U2 R D' R
F U R' U2 R D2 R
F U R' U2 R' D R'
F U R' U2 R' D' R'
F U R' U2 R' D2 R'
F' U R2 D2 L' R U2
F' U R2 D2 R L' U2
U D R' U' F U' R
F U R' U2 F' R2 F
F U R' U2 F2 R2 F2
F U R' U2 B R2 B'
F U R' U2 B2 R2 B2
F U R' D U B2 U
F U R' D' U' F2 U'
F U R' D2 L2 U2 D
F U R' D2 L2 U2 D'
F U R' D2 L2 U2 D2
F U R' D2 L2 D U2
F U R' D2 L2 D' U2
F U R' D2 L2 D2 U2
F U R' F U2 R2 B
F' U D L' R' U2 D
F' U D L' R' U2 D'
F' U D L' R' U2 D2
F' U D L' R' D U2
F' U D L' R' D' U2
F' U D L' R' D2 U2
F U R' B' U2 R2 F'
F' U D L' D R' U2
F' U D L' D' R' U2
F' U D L' D2 R' U2
F' U D R' L' U2 D
F' U D R' L' U2 D'
F' U D R' L' U2 D2
F' U D R' L' D U2
F' U D R' L' D' U2
F' U D R' L' D2 U2
F' U D R' D L' U2
F' U D R' D' L' U2
F' U D R' D2 L' U2
F U R2 U2 R' D2 L2
F U R2 D R U2 R2
F2 U D R' U B U
F U R2 D' R U2 R2
F U R2 D2 R U2 R2
F' U D' L' R' U2 D
F' U D' L' R' U2 D'
F' U D' L' R' U2 D2
F' U D' L' R' D U2
F' U D' L' R' D' U2
F' U D' L' R' D2 U2
F' U D' L' D R' U2
F' U D' L' D' R' U2
F' U D' L' D2 R' U2
F' U D' R' L' U2 D
F' U D' R' L' U2 D'
F' U D' R' L' U2 D2
F' U D' R' L' D U2
F' U D' R' L' D' U2
F' U D' R' L' D2 U2
F' U D' R' D L' U2
F' U D' R' D' L' U2
F' U D' R' D2 L' U2
F U D L R' U2 R2
F U D L' R' U2 R2
F U D L2 R' U2 R2
F U D R' L U2 R2
F U D R' L' U2 R2
F U D R' L2 U2 R2
F U D R' U2 R2 D
F U D R' U2 R2 D'
F U D R' U2 R2 D2
F U D R' D2 L2 U2
F' U D2 L' R' U2 D
F' U D2 L' R' U2 D'
F' U D2 L' R' U2 D2
F' U D2 L' R' D U2
F' U D2 L' R' D' U2
F' U D2 L' R' D2 U2
F' U D2 L' D R' U2
F' U D2 L' D' R' U2
F' U D2 L' D2 R' U2
F' U D2 R' L' U2 D
F' U D2 R' L' U2 D'
F' U D2 R' L' U2 D2
F' U D2 R' L' D U2
F' U D2 R' L' D' U2
F' U D2 R' L' D2 U2
F' U D2 R' D L' U2
F' U D2 R' D' L' U2
F' U D2 R' D2 L' U2
F U D' L R' U2 R2
F U D' L' R' U2 R2
F U D' L2 R' U2 R2
F U D' R' L U2 R2
F U D' R' L' U2 R2
F U D' R' L2 U2 R2
F U D' R' U2 R2 D
F U D' R' U2 R2 D'
F U D' R' U2 R2 D2
F U D' R' D2 L2 U2
F U D2 L R' U2 R2
F2 U F L' F' R' U2
F U D2 L' R' U2 R2
F U D2 L2 R' U2 R2
F U D2 R' L U2 R2
F U D2 R' L' U2 R2
F U D2 R' L2 U2 R2
F U D2 R' U2 R2 D
F U D2 R' U2 R2 D'
F U D2 R' U2 R2 D2
F U D2 R' D2 L2 U2
F' U F' R' F L' U2
F2 U F' R' F U2 R2
F' U F2 R' F2 U2 R2
F U F' R' F U2 R
F U F2 L' R' F2 U2
F U F2 L' F2 R' U2
F U F2 R' L' F2 U2
F U F2 R' F2 U2 R
F' U B' L' B R' U2
U D' L R' U' F U'
F' U B2 L' B2 U2 L2
U D' L' R' U B' U
F' U' L R D2 L2 R2
F' U' L R D2 R2 L2
B2 U' L R U' B U
B2 U' L R' U F' U'
F' U' L U2 L2 R' U2
F' U' L U2 R' L2 U2
B2 U' L U F U' R
B2 U' L U' B' U R'
F' U' L B2 L B2 R'
F U' L R U2 R2 U2
F' U' L' U2 R' U2 R
F U' L R D2 L2 D
F U' L R D2 L2 D'
F U' L R D2 L2 D2
F U' L U2 R' U2 R2
F U' L D R D2 L2
F U' L D' R D2 L2
F U' L D2 R D2 L2
F U' L B2 L R B2
F U' L B2 L B2 R
F U' L B2 R L B2
F' U' L2 U2 L R' U2
F' U' L2 U2 R' L U2
F U' L' R U2 R2 U2
F U' L' R D2 L2 D
F U' L' R D2 L2 D'
F U' L' R D2 L2 D2
F U' L' U2 R' U2 R2
F U' L' D R D2 L2
U D' R' L U' F U'
F U' L' D' R D2 L2
U D' R' L' U B' U
F U' L' D2 R D2 L2
F' U' L2 B2 L R' B2
F' U' L2 B2 R' L B2
U D' R' U B' U R'
F' U' R L D2 L2 R2
F' U' R L D2 R2 L2
U D' R' U' F U' R
B2 U' R L U' B U
F U' L' B2 L R B2
F U' L' B2 L B2 R
F U' L' B2 R L B2
F' U' R U2 L' R2 U2
F' U' R U2 R2 L' U2
F U' L2 R U2 R2 U2
F U' L2 R D2 L2 D
F U' L2 R D2 L2 D'
F U' L2 R D2 L2 D2
F U' L2 U2 R' U2 R2
F' U' R F2 R F2 L'
F U' L2 D R D2 L2
F U' L2 D' R D2 L2
F U' L2 D2 R D2 L2
B2 U' R' L U F' U'
F U' L2 B2 L R B2
F U' L2 B2 L B2 R
F U' L2 B2 R L B2
F' U' R' U2 L' U2 L
B2 U' R' U F' U' L
F U' R L U2 R2 U2
F U' R L D2 L2 D
F U' R L D2 L2 D'
F U' R L D2 L2 D2
F U' R L' U2 R2 U2
F U' R L' D2 L2 D
F U' R L' D2 L2 D'
F U' R L' D2 L2 D2
F U' R L2 U2 R2 U2
F U' R L2 D2 L2 D
F U' R L2 D2 L2 D'
F U' R L2 D2 L2 D2
F U' R U D B2 U'
F U' R U' D' F2 U
F U' R U2 R2 U2 D
F U' R U2 R2 U2 D'
F U' R U2 R2 U2 D2
F U' R U2 R2 D U2
F U' R U2 R2 D' U2
F U' R U2 R2 D2 U2
F U' R D L D L2
F U' R D L' D L2
F U' R D L2 D L2
F U' R D U B2 U'
F U' R D' L D' L2
F U' R D' L' D' L2
F U' R D' L2 D' L2
F U' R D' U' F2 U
F U' R D2 L D L
F U' R D2 L D' L
F U' R D2 L D2 L
F U' R D2 L' D L'
F U' R D2 L' D' L'
F U' R D2 L' D2 L'
F U' R D2 F L2 F'
F U' R D2 F2 L2 F2
F U' R D2 B' L2 B
F U' R D2 B2 L2 B2
F U' R F D2 L2 F'
F U' R F D2 F' L2
F U' R F' D2 F L2
F U' R B D2 B' L2
F' U' R2 U2 L' R U2
F' U' R2 U2 R L' U2
F U' R B' D2 L2 B
F U' R B' D2 B L2
F' U' R2 F2 L' R F2
F' U' R2 F2 R L' F2
F U' R2 U2 R U2 R2
F U' R2 D R' D2 L2
F U' R2 D' R' D2 L2
F U' R2 D2 R' D2 L2
F U' R2 F2 L' R' F2
F U' R2 F2 L' F2 R'
F U' R2 F2 R' L' F2
F U' D L R D2 L2
F U' D L' R D2 L2
F U' D L2 R D2 L2
F U' D R L D2 L2
F U' D R L' D2 L2
F U' D R L2 D2 L2
F U' D R U2 R2 U2
F U' D R D2 L2 D
F U' D R D2 L2 D'
F U' D R D2 L2 D2
F U' D B2 L R B2
F U' D B2 L B2 R
F U' D B2 R L B2
F U' D' L R D2 L2
F U' D' L' R D2 L2
F U' D' L2 R D2 L2
F U' D' R L D2 L2
F U' D' R L' D2 L2
F U' D' R L2 D2 L2
F U' D' R U2 R2 U2
F U' D' R D2 L2 D
F U' D' R D2 L2 D'
F U' D' R D2 L2 D2
F U' D' B2 L R B2
F U' D' B2 L B2 R
F U' D' B2 R L B2
F U' D2 L R D2 L2
F U' D2 L' R D2 L2
F U' D2 L2 R D2 L2
F U' D2 R L D2 L2
F U' D2 R L' D2 L2
F U' D2 R L2 D2 L2
F U' D2 R U2 R2 U2
F U' D2 R D2 L2 D
F U' D2 R D2 L2 D'
F U' D2 R D2 L2 D2
F U' D2 B2 L R B2
F U' D2 B2 L B2 R
F U' D2 B2 R L B2
F2 U' F' R D2 F L2
F2 U' F' R F D2 L2
F' U' F2 R F2 D2 L2
F' U' F2 R2 F2 L' R'
F' U' F2 R2 F2 R' L'
U D2 L R' U' F U'
U D2 L' R' U B' U
F U' F2 R2 F2 L' R
F U' F2 R2 F2 R L'
F U' B R B L B2
R D2 R' F U' L2 R
R D2 R' F U' R L2
F' U' B2 L B2 D2 R2
F' U' B2 L2 B2 L' R'
F' U' B2 L2 B2 R' L'
U D2 R' L U' F U'
F U' B2 L R B2 D
F U' B2 L R B2 D'
F U' B2 L R B2 D2
F U' B2 L R' B2 R2
U D2 R' L' U B' U
F U' B2 L B' R B'
F U' B2 L B2 R D
F U' B2 L B2 R D'
F U' B2 L B2 R D2
F U' B2 L B2 D R
F U' B2 L B2 D' R
F U' B2 L B2 D2 R
F U' B2 L' R B2 L2
F U' B2 L' B2 L2 R
F U' B2 L' B2 R L2
F U' B2 L2 R B2 L'
F U' B2 L2 B2 L' R
F U' B2 L2 B2 R L'
F U' B2 R L B2 D
F U' B2 R L B2 D'
F U' B2 R L B2 D2
F U' B2 R L' B2 L2
U D2 R' U B' U R'
F U' B2 R L2 B2 L'
U D2 R' U' F U' R
F U' B2 R' L B2 R2
R D2 F R' U' L2 R2
R D2 F R' U' R2 L2
L' F L U R' U2 R2
L' F L U' R D2 L2
L' F L B2 U' L R
L' F L B2 U' R L
F U2 D B2 U L R
F U2 D B2 U R L
F U2 D' B2 U L R
F U2 D' B2 U R L
B' U2 F B' U L R'
B' U2 F B' U R' L
F2 U2 F U' L' R' U2
F2 U2 F U' R' L' U2
L2 F L2 U R' U2 R2
L2 F L2 U' R D2 L2
F U2 D2 B2 U L R
F U2 D2 B2 U R L
F2 U2 F' U R D2 L2
B' U2 F' B' U L R'
B' U2 F' B' U R' L
F2 U2 F' U' R' U2 R2
L2 F L2 B2 U' L R
L2 F L2 B2 U' R L
F2 U2 F' B2 U L R
F2 U2 F' B2 U R L
F' U2 F2 U R D2 L2
F' U2 F2 U' R' U2 R2
B' U2 F2 B' U L R'
B' U2 F2 B' U R' L
B U2 F' B' U L' R'
B U2 F' B' U R' L'
F' U2 F2 B2 U L R
F' U2 F2 B2 U R L
B' U2 B U' L R' U2
B' U2 B U' R' L U2
F U2 F2 U' L' R' U2
F U2 F2 U' R' L' U2
B' U2 B' U L R' D
B' U2 B' U L R' D'
B' U2 B' U L R' D2
B' U2 B' U L D R'
B' U2 B' U L D' R'
B' U2 B' U L D2 R'
B' U2 B' U R' L D
B' U2 B' U R' L D'
B' U2 B' U R' L D2
B' U2 B' U R' D L
B' U2 B' U R' D' L
B' U2 B' U R' D2 L
B' U2 B' U D L R'
B' U2 B' U D R' L
B' U2 B' U D' L R'
D' F U L R' U2 R2
B' U2 B' U D' R' L
B' U2 B' U D2 L R'
B' U2 B' U D2 R' L
D2 F U L R' U2 R2
D' F U L' R' U2 R2
D2 F U L' R' U2 R2
D' F U L2 R' U2 R2
B' U2 B' D U L R'
B' U2 B' D U R' L
D2 F U L2 R' U2 R2
R F R' U R' U2 R'
B' U2 B' D' U L R'
B' U2 B' D' U R' L
D' F U R' L U2 R2
D' F U R' L' U2 R2
D' F U R' L2 U2 R2
D' F U R' U2 R2 D
D' F U R' U2 R2 D'
D' F U R' U2 R2 D2
D' F U R' D2 L2 U2
B' U2 B' D2 U L R'
B' U2 B' D2 U R' L
D2 F U R' L U2 R2
D2 F U R' L' U2 R2
D2 F U R' L2 U2 R2
D2 F U R' U2 R2 D
D2 F U R' U2 R2 D'
D2 F U R' U2 R2 D2
D2 F U R' D2 L2 U2
B' U2 B' F U L R'
B' U2 B' F U R' L
D' F U D R' U2 R2
B' U2 B' F' U L R'
B' U2 B' F' U R' L
D' F U D' R' U2 R2
D2 F U D R' U2 R2
B' U2 B' F2 U L R'
B' U2 B' F2 U R' L
D' F U D2 R' U2 R2
D2 F U D' R' U2 R2
D2 F U D2 R' U2 R2
R2 F R2 F U' L' R'
R2 F R2 F U' R' L'
D' F U' L R D2 L2
R F R' B2 U' L R2
R F R' B2 U' R2 L
D2 F U' L R D2 L2
D' F U' L' R D2 L2
D2 F U' L' R D2 L2
D' F U' L2 R D2 L2
F' U2 B2 U L D2 R2
D2 F U' L2 R D2 L2
D' F U' R L D2 L2
D' F U' R L' D2 L2
D' F U' R L2 D2 L2
D' F U' R U2 R2 U2
D' F U' R D2 L2 D
D' F U' R D2 L2 D'
D' F U' R D2 L2 D2
F' U2 B2 U' L' U2 L2
D2 F U' R L D2 L2
D2 F U' R L' D2 L2
D2 F U' R L2 D2 L2
D2 F U' R U2 R2 U2
D2 F U' R D2 L2 D
D2 F U' R D2 L2 D'
D2 F U' R D2 L2 D2
D F U L R' U2 R2
D F U L' R' U2 R2
D' F U' D R D2 L2
D' F U' D' R D2 L2
D2 F U' D R D2 L2
D F U L2 R' U2 R2
D' F U' D2 R D2 L2
D2 F U' D' R D2 L2
D2 F U' D2 R D2 L2
D F U R' L U2 R2
D F U R' L' U2 R2
D F U R' L2 U2 R2
D F U R' U2 R2 D
D F U R' U2 R2 D'
D F U R' U2 R2 D2
D F U R' D2 L2 U2
B U2 B' F' U L' R'
B U2 B' F' U R' L'
F' U2 B2 F2 U L R
F' U2 B2 F2 U R L
D F U D R' U2 R2
D F U D' R' U2 R2
D F U D2 R' U2 R2
D' F U' B2 L R B2
D' F U' B2 L B2 R
D' F U' B2 R L B2
F2 U2 B2 F' U L R
F2 U2 B2 F' U R L
D2 F U' B2 L R B2
D2 F U' B2 L B2 R
D2 F U' B2 R L B2
D F U' L R D2 L2
D F U' L' R D2 L2
D F U' L2 R D2 L2
D F U' R L D2 L2
D F U' R L' D2 L2
D F U' R L2 D2 L2
D F U' R U2 R2 U2
D F U' R D2 L2 D
D F U' R D2 L2 D'
D F U' R D2 L2 D2
F U2 B2 U L R D
F U2 B2 U L R D'
F U2 B2 U L R D2
F U2 B2 U L D R
F U2 B2 U L D' R
F U2 B2 U L D2 R
F U2 B2 U R L D
F U2 B2 U R L D'
F U2 B2 U R L D2
F U2 B2 U R D L
F U2 B2 U R D' L
F U2 B2 U R D2 L
F U2 B2 U D L R
F U2 B2 U D R L
F U2 B2 U D' L R
F U2 B2 U D' R L
F U2 B2 U D2 L R
F U2 B2 U D2 R L
D F U' D R D2 L2
F U2 B2 D U L R
F U2 B2 D U R L
D F U' D' R D2 L2
D F U' D2 R D2 L2
F U2 B2 D' U L R
F U2 B2 D' U R L
D' F U2 B2 U L R
D' F U2 B2 U R L
F U2 B2 D2 U L R
F U2 B2 D2 U R L
D2 F U2 B2 U L R
D2 F U2 B2 U R L
D F U' B2 L R B2
D F U' B2 L B2 R
D F U' B2 R L B2
D' F D U R' U2 R2
D2 F D U R' U2 R2
D' F D U' R D2 L2
D2 F D U' R D2 L2
D' F D B2 U' L R
D' F D B2 U' R L
D2 F D B2 U' L R
D2 F D B2 U' R L
D F U2 B2 U L R
D F U2 B2 U R L
D' F D' U R' U2 R2
D2 F D' U R' U2 R2
D' F D' U' R D2 L2
D2 F D' U' R D2 L2
D F D U R' U2 R2
D F D U' R D2 L2
D' F D' B2 U' L R
D' F D' B2 U' R L
D2 F D' B2 U' L R
D2 F D' B2 U' R L
D F D B2 U' L R
D F D B2 U' R L
R F D R' B2 U' R2
D' F D2 U R' U2 R2
D2 F D2 U R' U2 R2
D' F D2 U' R D2 L2
D2 F D2 U' R D2 L2
D F D' U R' U2 R2
D F D' U' R D2 L2
D' F D2 B2 U' L R
D' F D2 B2 U' R L
D2 F D2 B2 U' L R
D2 F D2 B2 U' R L
D F D' B2 U' L R
D F D' B2 U' R L
D F D2 U R' U2 R2
D F D2 U' R D2 L2
D F D2 B2 U' L R
D F D2 B2 U' R L
R F D2 R' U' L2 R2
R F D2 R' U' R2 L2
F' D U L' R' U2 D
F' D U L' R' U2 D'
F' D U L' R' U2 D2
F' D U L' R' D U2
F' D U L' R' D' U2
F' D U L' R' D2 U2
F' D U L' D R' U2
F' D U L' D' R' U2
F' D U L' D2 R' U2
F' D U R' L' U2 D
F' D U R' L' U2 D'
F' D U R' L' U2 D2
F' D U R' L' D U2
F' D U R' L' D' U2
F' D U R' L' D2 U2
F' D U R' D L' U2
F' D U R' D' L' U2
F' D U R' D2 L' U2
