R' L' U' F B R'
L' R' U' F B R'
R' L' U' B R' F
L' R' U' B R' F
R' L' U' B F R'
L' R' U' B F R'
L' U' R' F B R'
L' U' R' B R' F
L' U' R' B F R'
L' U' F R' B R'
L' U' F B R' B
L' U' B R' F B
L' U' B R' B F
L' U' B F R' B
L' R' U' B F D2 R'
L' R' U' B F' R' F2
L R' U' B R' D2 F2
L R' U' B D2 R' F2
L R' U' B D2 F2 R'
F' L' R' U' F B R'
F' L' R' U' B R' F
F' L' R' U' B F R'
U2 L' R' U F B R'
U2 L' R' U B R' F
U2 L' R' U B F R'
F2 L' R' U' F B R'
F2 L' R' U' B R' F
F2 L' R' U' B F R'
F L' R' U' F B R'
F L' R' U' B R' F
F L' R' U' B F R'
U' L' R' F L B R'
B L' R' D F L' B
B L' R' D F B L'
B L' R' D B F L'
B L' R' B D F L'
U2 L' U R' F B R'
U2 L' U R' B R' F
U2 L' U R' B F R'
U2 L' U F R' B R'
U2 L' U F B R' B
U2 L' U B R' F B
U2 L' U B R' B F
U2 L' U B F R' B
F' L' U' R' F B R'
F' L' U' R' B R' F
F' L' U' R' B F R'
F2 L' U' R' F B R'
F2 L' U' R' B R' F
F2 L' U' R' B F R'
F' L' U' F R' B R'
F L' U' R' F B R'
F L' U' R' B R' F
F L' U' R' B F R'
F' L' U' F B R' B
F2 L' U' F R' B R'
F2 L' U' F B R' B
F' L' U' B R' F B
F' L' U' B R' B F
F' L' U' B F R' B
F L' U' F R' B R'
F2 L' U' B R' F B
F2 L' U' B R' B F
F L' U' F B R' B
F2 L' U' B F R' B
F L' U' B R' F B
F L' U' B R' B F
F L' U' B F R' B
R' L' F' U' F2 B R'
R' L' F' U' B R' F2
R' L' F' U' B F2 R'
L' R' F' U' F2 B R'
L' R' F' U' B R' F2
L' R' F' U' B F2 R'
U L' U2 R' F B R'
U L' U2 R' B R' F
U L' U2 R' B F R'
U L' U2 F R' B R'
U L' U2 F B R' B
U L' U2 B R' F B
U L' U2 B R' B F
U L' U2 B F R' B
R' L' F2 U' F' B R'
R' L' F2 U' B F' R'
L' R' F2 U' F' B R'
L' R' F2 U' B F' R'
U' L' F L R' B R'
U' L' F L B R' B
U' L' F R' L B R'
U2 L' B U R' F B
U2 L' B U R' B F
U2 L' B U F R' B
U L' B U2 R' F B
U L' B U2 R' B F
U L' B U2 F R' B
U L2 U2 R' F' B R'
U L2 U2 R' B F' R'
U L2 U2 B R' F' B
U L2 U2 B R' B F'
R' U L B' L U2 B2
R' U L B' U2 B2 R'
R' U L' U2 F B R'
R' U L' U2 B R' F
R' U L' U2 B F R'
R U L F' B' L U2
R U L B' L F' U2
R U L B' F' L U2
R' U L2 U2 B R' F'
U L2 B U2 R' F' B
U L2 B U2 R' B F'
D2 R L U' F' R B'
D2 R L U' F' B' R
D2 R L U' B' F' R
R U D2 F' U2 R F'
R U F' L B' L U2
R U F' B' L B' U2
R' U B R' F2 L' F
L' U B U2 R' F B
L' U B U2 R' B F
L' U B U2 F R' B
R' U B' L B' U2 B'
R U B' L F' B' U2
R U B' L B' F' U2
L U B' U2 B2 R' B
L U B' D2 L U2 B'
R U B' F' L B' U2
U' R D2 R F' R B
R' U' L' F L B R'
D' R F' D' R U' F'
L' U' R' F B R' D
L' U' R' F B R' D'
L' U' R' F B R' D2
L' U' R' F B D R'
L' U' R' F B D' R'
L' U' R' F B D2 R'
L' U' R' F' B R' F2
L' U' R' B R F R2
L' U' R' B R' D F
L' U' R' B R' D' F
L' U' R' B R' D2 F
L' U' R' B R' F D
L' U' R' B R' F D'
L' U' R' B R' F D2
L' U' R' B D R' F
L' U' R' B D F R'
L' U' R' B D' R' F
L' U' R' B D' F R'
L' U' R' B D2 R' F
L' U' R' B D2 F R'
L' U' R' B F R' D
L' U' R' B F R' D'
L' U' R' B F R' D2
L' U' R' B F D R'
L' U' R' B F D' R'
L' U' R' B F D2 R'
L' U' R' B F' R' F2
L U' R' B R' D2 F2
L U' R' B D2 R' F2
L U' R' B D2 F2 R'
L' U' R2 F R B R'
R' U' D2 F' B R F'
R' U' D2 B R F' R
R' U' D2 B F' R F'
F' R' L' U' F B R'
F' R' L' U' B R' F
F' R' L' U' B F R'
U2 R' L' U F B R'
U2 R' L' U B R' F
U2 R' L' U B F R'
L' U' F R' B R' D
L' U' F R' B R' D'
L' U' F R' B R' D2
L' U' F R' B D R'
L' U' F R' B D' R'
L' U' F R' B D2 R'
F2 R' L' U' F B R'
R U' D2 R F' R B
F2 R' L' U' B R' F
F2 R' L' U' B F R'
U' R' L' F L B R'
B R' L' D F L' B
B R' L' D F B L'
B R' L' D B F L'
F R' L' U' F B R'
L' U' F B R' D B
L' U' F B R' D' B
L' U' F B R' D2 B
L' U' F B R' B D
L' U' F B R' B D'
L' U' F B R' B D2
F R' L' U' B R' F
F R' L' U' B F R'
B R' L' B D F L'
L' U' F' R' F2 B R'
L' U' F' R' B R' F2
L' U' F' R' B F2 R'
L' U' F' B R' F2 B
L' U' F' B R' B F2
R' U' B L' R' F L
R' U' B L' F L R'
R' U' B L' F R' L
R' U' B R' L' F L
R' U' B R2 D2 R F'
L' U' B R' D F B
L' U' B R' D B F
L' U' B R' D' F B
L' U' B R' D' B F
L' U' B R' D2 F B
L' U' B R' D2 B F
L' U' B R' F D B
L' U' B R' F D' B
L' U' B R' F D2 B
L' U' B R' F B D
L' U' B R' F B D'
L' U' B R' F B D2
L' U' B R' B D F
L' U' B R' B D' F
L' U' B R' B D2 F
L' U' B R' B F D
L' U' B R' B F D'
L' U' B R' B F D2
R' U' B D2 R F' R2
L' U' B F R' D B
L' U' B F R' D' B
L' U' B F R' D2 B
L' U' B F R' B D
L' U' B F R' B D'
L' U' B F R' B D2
L' U' B F' R' F2 B
L' U' B F' R' B F2
L U' B R' D2 F2 B
L U' B R' D2 B F2
R' U2 L' U F B R'
R' U2 L' U B R' F
R' U2 L' U B F R'
U' R' D2 F' B R F'
U' R' D2 B R F' R
U' R' D2 B F' R F'
L' U2 R' U F B R'
L' U2 R' U B R' F
L' U2 R' U B F R'
U' R' B L' R' F L
U R' F2 L' F B R'
L2 U2 R' U F' B R'
U R' F2 L' B R' F
U R' F2 L' B F R'
L2 U2 R' U B F' R'
U' R' B L' F L R'
U' R' B L' F R' L
U' R' B R' L' F L
U' R' B R2 D2 R F'
B R' B L D L2 F
B R' B L' D F L2
B R' B L' F D L2
U' R' B D2 R F' R2
U R' F2 B L' R' F
U R' F2 B L' F R'
U R' F2 B R' L' F
U R' B F2 L' R' F
U R' B F2 L' F R'
U R' B F2 R' L' F
L' U2 B U R' F B
L' U2 B U R' B F
L' U2 B U F R' B
U' R2 D2 R F' B R
U' R2 D2 R B F' R
U' R2 D2 F' R F' B
U' R2 D2 F' R B F'
R' D L' F L' U' B
R' D F L' F U' B
L' D' R F' R U' F2
L' D' F' R F' U' F'
R2 D2 R U' F' B R
R2 D2 R U' B F' R
R' D2 U' F' B R F'
R' D2 U' B R F' R
R' D2 U' B F' R F'
R D2 U F' U2 R F'
R D2 U' R F' R B
R' D2 F' U' B R F'
R' F L' U' F B R'
R' F L' U' B R' F
R' F L' U' B F R'
L' F B R' B D L2
D2 F' L U' R F' B'
D2 F' L U' R B' F'
D2 F' L U' B' R F'
R' F' L' U' F B R'
R' F' L' U' B R' F
R' F' L' U' B F R'
L' F' R' U' F2 B R'
L' F' R' U' B R' F2
L' F' R' U' B F2 R'
L' F' U' R' F2 B R'
L' F' U' R' B R' F2
L' F' U' R' B F2 R'
L' F' U' F2 R' B R'
L' F' U' F2 B R' B
L' F' U' B R' F2 B
L' F' U' B R' B F2
L' F' U' B F2 R' B
D' F' D' R U' F' R
R' F2 L' U' F B R'
R' F2 L' U' B R' F
R' F2 L' U' B F R'
L' F2 U' F' R' B R'
L' F2 U' F' B R' B
L' F2 U' B F' R' B
U' B L' R' F L B
R' B L' R' D F L'
U' B L' F L R' B
U' B L' F R' L B
R' B L' D R' F L'
R' B L' D F L' R'
R' B L' D F R' L'
U2 B L' U R' F B
U2 B L' U R' B F
U2 B L' U F R' B
U B L' U2 R' F B
U B L' U2 R' B F
U B L' U2 F R' B
U' B R' L' F L B
R' B R' L' D F L'
U B L2 U2 R' F' B
U B L2 U2 R' B F'
U' B R' B L' F L
L' B R' F B D L2
L' B R' B D F L2
L' B R' B F D L2
U' B R2 D2 R F' B
U' B R2 D2 R B F'
U B R' F2 L' F B
U B R' F2 L' B F
U B R' F2 B L' F
U B R' B F2 L' F
L' B F R' B D L2
U B2 L B' U2 R' B
