U L2 R' U R'
U R' L2 U R'
L2 R' U R' D2 L2
L2 R' U' R U2 R2
L2 R' F2 U L' R'
L2 R' F2 U R' L'
R' L2 U R' D2 L2
R' L2 U' R U2 R2
R' L2 U' R U2 R2
U2 L2 R' U L2 R'
U2 L2 R' U R' L2
U L2 R' U R' D
U L2 R' U R' D'
U L2 R' U R' D2
U L2 R' U D R'
U L2 R' U D' R'
U L2 R' U D2 R'
U L2 R' D U R'
U L2 R' D' U R'
U L2 R' D2 U R'
R' L2 F2 U L' R'
R' L2 F2 U R' L'
U L2 D R' B2 U
L' U L' R' U R'
L U L R' U R'
L' U R' L' U R'
L U R' L U R'
U2 R D' R F2 B2
U2 R D' R B2 F2
U2 R D' B2 R F2
U2 R' L2 U L2 R'
U2 R' L2 U R' L2
U R' L2 U R' D
U R' L2 U R' D'
U R' L2 U R' D2
U R' L2 U D R'
U R' L2 U D' R'
U R' L2 U D2 R'
U R' L2 D U R'
U R' L2 D' U R'
U R' L2 D2 U R'
U R' U R' D' B2
U R' U D' R' B2
U R' D' U R' B2
U2 R2 U' L2 R U
U2 R2 U' R L2 U
F' U L2 R' U R'
F2 U L2 R' U R'
F U L2 R' U R'
F' U R' L2 U R'
F2 U R' L2 U R'
F U R' L2 U R'
R D' B2 L R F2
R D' B2 R L F2
R D' B2 R F2 L
R' F2 L2 U L R'
R' F2 L2 U R' L
D F2 U R' B2 U
U L2 D2 R' D' B2 U
U L2 D2 R' D2 U R2
U2 L2 F R' U L2 R'
U2 L2 F R' U R' L2
U2 L2 F' R' U L2 R'
U2 L2 F' R' U R' L2
U L2 F' R' F U R'
L' U R' L' U R' D
L' U R' L' U R' D'
L' U R' L' U R' D2
L' U R' L' U D R'
L' U R' L' U D' R'
L' U R' L' U D2 R'
L' U R' L' D U R'
L' U R' L' D' U R'
L' U R' L' D2 U R'
U2 L2 F2 R' U L2 R'
U2 L2 F2 R' U R' L2
L' U R' D L' U R'
D L2 F2 U R' B2 U
L' U R' D' L' U R'
R' U R' D' B2 D' L2
R' U R' D2 L2 D B2
L' U R' D2 L' U R'
U L2 F2 R' F2 U R'
L U R' L U R' D
L U R' L U R' D'
L U R' L U R' D2
L U R' L U D R'
L U R' L U D' R'
L U R' L U D2 R'
L U R' L D U R'
L U R' L D' U R'
L U R' L D2 U R'
L U R' D L U R'
L U R' D' L U R'
L U R' D2 L U R'
L2 U R' B' U B R'
L2 U R' B2 U B2 R'
R' U R2 D' B2 L R
R' U R2 D' B2 R L
U L2 B R' U R' F'
U L2 B U R' F' R'
L' U D L' R' B2 U
L' U D R' L' B2 U
R' U D R' D2 L2 B2
R' U D R' D2 B2 L2
L' U D R' B2 L' U
L U D L R' B2 U
L2 U D R' B2 U B2
L U D R' L B2 U
D2 L2 B2 U' L R2 U'
D2 L2 B2 U' R2 L U'
R' U D' R' B2 D2 L2
R' U D' R2 B2 L R
R' U D' R2 B2 R L
U L2 B2 U2 L U' R2
U L2 B2 D B2 R' U
R U D' B2 L R F2
R U D' B2 R L F2
R U D' B2 R F2 L
U R L2 U D' R F2
U R L2 D' U R F2
U R L2 B R2 U R'
U R L2 B' R2 U R'
U R L2 B2 R2 U R'
U R U D' R F2 B2
U R U D' R B2 F2
U R U D' B2 R F2
U2 R U' L2 R2 U R'
U' R U' D' R F2 B2
U' R U' D' R B2 F2
U' R U' D' B2 R F2
U2 R U' R2 L2 U R'
U' R U2 L2 R2 U R'
U' R U2 R2 L2 U R'
U2 R D R D2 F2 B2
U2 R D R D2 B2 F2
U' R D' U' R F2 B2
U' R D' U' R B2 F2
U2 R D' R F2 B2 D
U2 R D' R F2 B2 D'
U2 R D' R F2 B2 D2
U2 R D' R B2 F2 D
U2 R D' R B2 F2 D'
U2 R D' R B2 F2 D2
U' R D' U' B2 R F2
U2 R D' R' F2 R2 B2
U2 R D' R' F2 B2 R2
U2 R D' R' B2 R2 F2
U2 R D' R' B2 F2 R2
U2 R D' R2 F2 R' B2
B' R D' B2 L R F'
B' R D' B2 R L F'
B' R D' B2 R F' L
F' R D' B2 L R F2
F' R D' B2 R L F2
F' R D' B2 R F2 L
U2 R D' B' R F2 B'
U2 R D' B' R B' F2
U' R D2 L2 R2 U' R'
F2 R D' B2 L R F2
U2 R D' B2 R F2 D
U2 R D' B2 R F2 D'
U2 R D' B2 R F2 D2
F2 R D' B2 R L F2
U2 R D' B2 R' F2 R2
F2 R D' B2 R F2 L
U2 R D' B2 R2 F2 R'
U R D' U R F2 B2
U R D' U R B2 F2
U R D' U B2 R F2
U' R D2 R2 L2 U' R'
F R D' B2 L R F2
F R D' B2 R L F2
F R D' B2 R F2 L
R2 U' L2 R U' R U2
R2 U' L2 R F2 U L'
R2 U' L2 D' R F2 U
R' U' R U L2 U R2
R2 U' L2 D2 R U L2
R' U' R U2 R2 D' B2
R2 U' R L2 U' R U2
R2 U' R L2 F2 U L'
R2 U' R F2 L2 U L
U2 R F2 D' F2 R B2
U2 R F2 D' F2 B2 R
U2 R F2 D' B2 F2 R
U R B L2 R2 U R'
U2 R B D' R F2 B2
U2 R B D' R B2 F2
U2 R B D' B2 R F2
U R B R2 L2 U R'
R' U' D R F2 U2 R2
R' U' D F2 U2 L' R'
R' U' D F2 U2 R' L'
U R B' L2 R2 U R'
U2 R B' D' R F2 B2
U2 R B' D' R B2 F2
U2 R B' D' B2 R F2
U R B' R2 L2 U R'
R' U' D' R U2 R2 B2
R' U' D' R U2 B2 R2
U R B2 L2 R2 U R'
U2 R B2 D' R F2 B2
U2 R B2 D' R B2 F2
R2 U' D' R F2 U B2
U2 R B2 D' B2 R F2
U R B2 R2 L2 U R'
R U' D' B2 L R F2
R U' D' B2 R L F2
R U' D' B2 R F2 L
U R' L D L U R'
U R' L D' L U R'
U R' L D2 L U R'
F' R' L2 U R' D2 L2
F' R' L2 U' R U2 R2
U R' L' D L' U R'
F2 R' L2 U R' D2 L2
U2 R' L2 U L2 R' D
U2 R' L2 U L2 R' D'
U2 R' L2 U L2 R' D2
U2 R' L2 U L2 D R'
U2 R' L2 U L2 D' R'
U2 R' L2 U L2 D2 R'
U R' L' D' L' U R'
U2 R' L2 U R' L2 D
U2 R' L2 U R' L2 D'
U2 R' L2 U R' L2 D2
F2 R' L2 U' R U2 R2
U R' L' D2 L' U R'
U2 R' L2 D F2 U R'
F' R' L2 F2 U L' R'
F' R' L2 F2 U R' L'
U2 R' L2 F U L2 R'
U2 R' L2 F U R' L2
F R' L2 U R' D2 L2
U2 R' L2 F' U L2 R'
U2 R' L2 F' U R' L2
F2 R' L2 F2 U L' R'
F2 R' L2 F2 U R' L'
F R' L2 U' R U2 R2
U2 R' L2 F2 U L2 R'
U2 R' L2 F2 U R' L2
U R' L2 U R2 D R
U R' L2 U R2 D' R
U R' L2 U R2 D2 R
U R' L2 U D R' D
U R' L2 U D R' D'
U R' L2 U D R' D2
U R' L2 U D' R' D
U R' L2 U D' R' D'
U R' L2 U D' R' D2
U R' L2 U D2 R' D
U R' L2 U D2 R' D'
U R' L2 U D2 R' D2
U R' L2 U F' R' F
U R' L2 U F2 R' F2
U R' L2 U' L U2 R'
U R' L2 U' L' U2 R'
U R' L2 U' L2 U2 R'
U R' L2 U2 F U' R'
U R' L2 U2 F' U' R'
U R' L2 U2 F2 U' R'
U R' L2 D U R' D
U R' L2 D U R' D'
U R' L2 D U R' D2
U R' L2 D' U R' D
U R' L2 D' U R' D'
U R' L2 D' U R' D2
U R' L2 D2 U R' D
U R' L2 D2 U R' D'
U R' L2 D2 U R' D2
F R' L2 F2 U L' R'
F R' L2 F2 U R' L'
U R' L2 B2 U' L U2
U R' U R' U' L2 U
U R' U R' D' B2 D
U R' U R' D' B2 D'
U R' U R' D' B2 D2
U R' U R' B D' B2
U R' U R' B' D' B2
U R' U R' B2 D' B2
U R' U R2 D' R B2
U R' U R2 D' B2 R
U R' U D R' D2 B2
U R' U D' R B2 R2
U R' U D' R' B2 D
U R' U D' R' B2 D'
U R' U D' R' B2 D2
U R' U D' R2 B2 R
U R' U B2 D' B2 R'
U R' U' D F2 U2 R'
D' R' U2 F2 U' L' B2
D' R' U2 F2 U' B2 L'
U R' U2 D2 R2 U' R
U R' D U R' D2 B2
U R' D U' F2 U2 R'
U R' D' L U R' B2
U R' D' L' U R' B2
U R' D' L2 U R' B2
U R' D' U R B2 R2
L U2 L R' U L' R'
L U2 L R' U R' L'
U R' D' U R' B2 D
U R' D' U R' B2 D'
U R' D' U R' B2 D2
U R' D' U R2 B2 R
L' U2 L' R' U L R'
L' U2 L' R' U R' L
U R' D2 U2 R2 U' R
U2 R' F L2 U L2 R'
U2 R' F L2 U R' L2
U R' F L2 F' U R'
U2 R' F' L2 U L2 R'
U2 R' F' L2 U R' L2
F' R' F2 L2 U L R'
F' R' F2 L2 U R' L
D' R' F2 U L' B2 R'
F2 R' F2 L2 U L R'
F2 R' F2 L2 U R' L
U2 R' F2 L2 U L2 R'
U2 R' F2 L2 U R' L2
L' U2 R' L' U L R'
L' U2 R' L' U R' L
F R' F2 L2 U L R'
F R' F2 L2 U R' L
U R' F2 L2 F2 U R'
L U2 R' L U L' R'
L U2 R' L U R' L'
L' U2 R2 U' L' R U
L' U2 R2 U' R L' U
U R' B L2 B' U R'
R2 U2 R2 U L2 R' U
R2 U2 R2 U R' L2 U
L U2 R2 U' L R U
L U2 R2 U' R L U
U R' B' L2 B U R'
D R' B2 U' R F2 U2
D R' B2 U' F2 U2 L'
U R' B2 L2 U' L' U2
U R' B2 U D' B2 R'
U R' B2 D' U B2 R'
R U2 D' B2 L R F2
R U2 D' B2 R L F2
R U2 D' B2 R F2 L
U R2 L2 D R U R'
U R2 L2 D' R U R'
U R2 L2 D2 R U R'
U R2 L2 B R U R'
U R2 L2 B' R U R'
U R2 L2 B2 R U R'
U' R2 U' L2 R U L2
U' R2 U' R L2 U L2
U2 R2 U' L2 R U D
U2 R2 U' L2 R U D'
U2 R2 U' L2 R U D2
U2 R2 U' L2 R D U
U2 R2 U' L2 R D' U
U2 R2 U' L2 R D2 U
U2 R2 U' L2 D R U
U2 R2 U' L2 D' R U
U2 R2 U' L2 D2 R U
U2 R2 U' R L2 U D
U2 R2 U' R L2 U D'
U2 R2 U' R L2 U D2
U2 R2 U' R L2 D U
U2 R2 U' R L2 D' U
U2 R2 U' R L2 D2 U
U2 R2 U' R U D' B2
U2 R2 U' R D' U B2
U2 R2 U' D' R U B2
D2 R2 D F2 L' B2 U'
D2 R2 D F2 B2 L' U'
D2 R2 D B2 F2 L' U'
L2 U2 B2 L U' L' R2
L2 U2 B2 L U' R2 L'
U2 R2 D' U' R U B2
U2 R2 D' B2 U' R U
U R2 D' R U R' B2
L2 D R B2 R2 U L
R D R D2 L2 F2 B2
R D R D2 L2 B2 F2
R D R D2 F2 L2 B2
R D R D2 F2 B2 L2
R D R D2 B2 L2 F2
R D R D2 B2 F2 L2
L2 D R' F2 B2 U L'
U2 R2 B U' L2 R U
U2 R2 B U' R L2 U
L2 D R' B2 U' R U2
L2 D R' B2 F2 U L'
U R2 B L2 R U R'
U R2 B R L2 U R'
R' D U R' D2 L2 B2
R' D U R' D2 B2 L2
R D R' F2 B2 U2 R2
L' D U L' R' B2 U
R D R' B2 F2 U2 R2
L' D U R' L' B2 U
L' D U R' B2 L' U
U2 R2 B' U' L2 R U
U2 R2 B' U' R L2 U
R' D U' R F2 U2 R2
U R2 B' L2 R U R'
L2 D U R' B2 U B2
U R2 B' R L2 U R'
R' D U' F2 U2 L' R'
R' D U' F2 U2 R' L'
L D U L R' B2 U
U2 R2 B2 U' L2 R U
U2 R2 B2 U' R L2 U
L D U R' L B2 U
U R2 B2 L2 R U R'
U R2 B2 R L2 U R'
F' U L2 R' U R' D
F' U L2 R' U R' D'
F' U L2 R' U R' D2
F' U L2 R' U D R'
F' U L2 R' U D' R'
F' U L2 R' U D2 R'
F' U L2 R' D U R'
F' U L2 R' D' U R'
F' U L2 R' D2 U R'
F2 U L2 R' U R' D
F2 U L2 R' U R' D'
F2 U L2 R' U R' D2
F2 U L2 R' U D R'
F2 U L2 R' U D' R'
F2 U L2 R' U D2 R'
F2 U L2 R' D U R'
F2 U L2 R' D' U R'
F2 U L2 R' D2 U R'
F' U L2 D R' B2 U
B2 U L2 U2 L' U' R2
F2 U L2 D R' B2 U
B' U L2 B R' U R'
B U L2 R' U F' R'
F U L2 R' U R' D
F U L2 R' U R' D'
F U L2 R' U R' D2
F U L2 R' U D R'
F U L2 R' U D' R'
F U L2 R' U D2 R'
F U L2 R' D U R'
F U L2 R' D' U R'
F U L2 R' D2 U R'
F U L2 D R' B2 U
F' U R' L2 U R' D
F' U R' L2 U R' D'
F' U R' L2 U R' D2
F' U R' L2 U D R'
F' U R' L2 U D' R'
F' U R' L2 U D2 R'
D' U R' U B2 D R2
F' U R' L2 D U R'
F' U R' L2 D' U R'
F' U R' L2 D2 U R'
F' U R' U R' D' B2
F' U R' U D' R' B2
D' U R' U2 F2 U' B2
D' U R' D L2 U R2
F2 U R' L2 U R' D
F2 U R' L2 U R' D'
F2 U R' L2 U R' D2
F2 U R' L2 U D R'
F2 U R' L2 U D' R'
F2 U R' L2 U D2 R'
D2 U R' D' B2 L U
F2 U R' L2 D U R'
F2 U R' L2 D' U R'
F2 U R' L2 D2 U R'
F' U R' D' U R' B2
R D F2 L' R' B2 U2
F2 U R' U R' D' B2
F2 U R' U D' R' B2
R D F2 L' B2 U2 L
R D F2 R' L' B2 U2
R D F2 R' B2 L' U2
F2 U R' D' U R' B2
B U R' L2 U F' R'
D U R' D' L2 U R2
F U R' L2 U R' D
F U R' L2 U R' D'
F U R' L2 U R' D2
F U R' L2 U D R'
F U R' L2 U D' R'
F U R' L2 U D2 R'
F U R' L2 D U R'
F U R' L2 D' U R'
F U R' L2 D2 U R'
F U R' U R' D' B2
R D F2 B2 L' U2 L2
F U R' U D' R' B2
F U R' D' U R' B2
U D R' D' L2 U R2
D U R' B2 U D2 B2
D U R' B2 U' F2 U2
D U R' B2 D' L2 U
D U R' B2 D2 U B2
U D R' B2 U D2 B2
U D R' B2 U' F2 U2
U D R' B2 D' L2 U
U D R' B2 D2 U B2
L2 D B2 U2 L U' L'
R D B2 F2 L' U2 L2
R D' L B2 L R F2
R D' L B2 R L F2
R D' L B2 R F2 L
R D' L' B2 L R F2
R D' L' B2 R L F2
R D' L' B2 R F2 L
R D' L2 B2 L R F2
R D' L2 B2 R L F2
R D' L2 B2 R F2 L
R2 D' R F2 U R' B2
B' U B L2 R' U R'
B' U B R' L2 U R'
L2 D' R' U2 F2 U' L'
R D' R F2 B2 D2 L2
R D' R B2 F2 D2 L2
R D' R' U2 R2 F2 B2
R D' R' U2 R2 B2 F2
R D' R' U2 F2 R2 B2
R D' R' U2 F2 B2 R2
R D' R' U2 B2 R2 F2
R D' R' U2 B2 F2 R2
R' D' U R' B2 D2 L2
R' D' U R2 B2 L R
R' D' U R2 B2 R L
R' D' U' R U2 R2 B2
R' D' U' R U2 B2 R2
B2 U B2 L2 R' U R'
B2 U B2 R' L2 U R'
R D' R2 F2 L' R' B2
R D' R2 F2 R' L' B2
R D' R2 F2 R' B2 L'
R2 D' U' R F2 U B2
B2 U' L U2 L U R2
R D' U B2 L R F2
R D' U B2 R L F2
R D' U B2 R F2 L
R D' U' B2 L R F2
R D' U' B2 R L F2
R D' U' B2 R F2 L
R D' U2 B2 L R F2
R D' U2 B2 R L F2
R D' U2 B2 R F2 L
D2 U' R2 D F2 L' U'
D' U' R2 F2 L' U' B2
U' D' R2 F2 L' U' B2
U D' R' U B2 D R2
R' D' F2 U L' R' B2
R' D' F2 U R' L' B2
R' D' F2 U R' B2 L'
U D' R' U2 F2 U' B2
U D' R' D L2 U R2
R D' F2 L2 B2 L R'
R D' F2 L2 B2 R' L
R D' F2 B2 L D2 R2
D' U' F2 U2 R' U B2
U' D' F2 U2 R' U B2
R D' B' R F2 B' L
R D' B' R B' L F2
R D' B' R B' F2 L
B2 U' D' L F2 U' B2
R2 D' B2 U' R F2 U
B2 U' D' F2 L U' B2
R D' B2 L R F2 D
R D' B2 L R F2 D'
R D' B2 L R F2 D2
R D' B2 L R' F2 R2
R D' B2 L R2 F2 R'
R D' B2 L' R F2 L2
R D' B2 R L F2 D
R D' B2 R L F2 D'
R D' B2 R L F2 D2
R D' B2 R L' F2 L2
R D' B2 R F' L F'
R D' B2 R F2 L D
R D' B2 R F2 L D'
R D' B2 R F2 L D2
R D' B2 R F2 D L
R D' B2 R F2 D' L
R D' B2 R F2 D2 L
R D' B2 R' L F2 R2
R D' B2 R' F2 L R2
R D' B2 R' F2 R2 L
R D' B2 R2 L F2 R'
R D' B2 R2 F2 L R'
R D' B2 R2 F2 R' L
R D' B2 F2 L D2 R2
L' D2 L2 U L R' U
L' D2 L2 U R' L U
U2 D' B2 U L F2 U'
U2 D' B2 U F2 L U'
L2 D2 L2 U L2 R' U
L2 D2 L2 U R' L2 U
L D2 L2 U L' R' U
L D2 L2 U R' L' U
L2 D2 R' U' L2 R U2
L2 D2 R' U' R L2 U2
U' D2 R2 D F2 L' U'
U D2 R' D' B2 L U
F' U2 L2 R' U L2 R'
F' U2 L2 R' U R' L2
F2 U2 L2 R' U L2 R'
