D2 L2 R' F' B' U
D2 L2 R' B' F' U
D2 R' L2 F' B' U
D2 R' L2 B' F' U
F R2 U2 R F' U
R' F' U2 R' F2 U'
R' F' U2 F2 R' U'
R' F' D2 B2 L U
D2 R' L2 F' B' D U
D2 R' L2 F' B' D' U
D2 R' L2 F' B' D2 U
D2 R' L2 B' D F' U
D2 R' L2 B' D' F' U
D2 R' L2 B' D2 F' U
D2 R' L2 B' F' U D
D2 R' L2 B' F' U D'
D2 R' L2 B' F' U D2
D2 R' L2 B' F' D U
D2 R' L2 B' F' D' U
D2 R' L2 B' F' D2 U
D R' L2 F' B' U B'
D R' L2 B' F' U B'
D R' D L2 F' B' U
D R' D L2 B' F' U
D' R' D' L2 F' B' U
D' R' D' L2 B' F' U
F' R' D2 F' B2 L U
F' R' D2 B2 L F' U
F' R' D2 B2 F' L U
D2 R' F' L2 U D R2
D2 R' F' L2 U2 F2 U'
D2 R' F' L2 D U R2
D2 R' F' L2 D2 B2 U
D' R' F' U D R2 B
D' R' F' D U R2 B
F' R' F' U2 F' R' U'
D R' F' U B2 D R2
D R' F' U2 F2 U' B2
D R' F' D L2 U R2
F R' F' U2 R' F U'
F R' F' U2 F R' U'
R2 U2 R F' U D R2
R' U2 R' D' F U' L'
R2 U2 R F' U2 F2 U'
R2 U2 R F' D U R2
R2 U2 R F' D2 B2 U
D2 R' B L2 F' B' U
D2 R' B L2 B' F' U
R' U2 R2 B R F U'
D2 R' B' L2 F' B' U
D2 R' B' L2 B' F' U
D2 R' B2 L2 F' B' U
D2 R' B2 L2 B' F' U
R' U2 F R' U' D' L2
R' U2 F R' U2 F2 U
R' U2 F R' D' U' L2
R' U2 F R' D2 B2 U'
F R2 L U2 R F' U
R' U2 F D' R' U' L2
R' U2 F D2 R' B2 U'
F R2 L' U2 R F' U
D2 R2 L2 B' R F' U
F R2 L2 U2 R F' U
F2 R2 U2 B R F' U
F R2 U2 R D F' U
F R2 U2 R D' F' U
F R2 U2 R D2 F' U
F R2 U2 R F' U D
F R2 U2 R F' U D'
F R2 U2 R F' U D2
F R2 U2 R F' D U
F R2 U2 R F' D' U
F R2 U2 R F' D2 U
B2 R2 D' F L U' L2
B2 R2 D2 F L B' U'
B2 R2 F D2 L B' U'
U2 R2 F2 L' F' B' U'
U2 R2 F2 L' B' F' U'
L2 D R' F' B' U B'
L2 D R' B' F' U B'
L D R' F' U R B2
L D R' F' U B2 R
F R2 B U2 R F' U
F R2 B' U2 R F' U
F R2 B2 U2 R F' U
R' D F' U2 R' F2 U'
R' D F' U2 F2 R' U'
R' D F' D2 B2 L U
R2 D' F U' D' L' F
R' D' F' U2 R' F2 U'
R' D' F' U2 F2 R' U'
R2 D' F D' U' L' F
R' D' F' D2 B2 L U
R2 D' F2 L' F' U' L'
R D' B R F U' F
L D2 L2 R' F' B U
L D2 L2 R' B F' U
L2 D2 R' F' B' L2 U
L2 D2 R' B' L2 F' U
L2 D2 R' B' F' L2 U
L D2 R' L2 F' B U
L D2 R' L2 B F' U
L D2 R' F' L2 B U
L D2 R' F' B L2 U
L D2 R' B L2 F' U
L D2 R' B F' L2 U
R' D2 F' U2 R' F2 U'
R' D2 F' U2 F2 R' U'
R' D2 F' D2 B2 L U
F' U2 R2 F2 L' B' U'
R D2 B R F L2 U'
R' F R' U2 R F2 U
D2 F R' F' L2 B' U
R2 F U' D' L' F L'
R2 F U' D' F L' F
R2 F U2 R F' R U
R2 F U2 F' R F' U
R2 F D' L' U' F L'
R2 F D' U' L' F L'
R2 F D' U' F L' F
R2 F D2 L B' L U'
U' F B R2 U' L F
F' D R' F' U R' B2
R2 F D2 B' L B' U'
R F D2 L2 B R' U'
R F D2 B L2 R' U'
D F B U' B L F
R F D2 B R' L2 U'
R' F' L U2 R' F2 U'
R' F' L U2 F2 R' U'
R' F' L D2 B2 L U
R' F' L' U2 R' F2 U'
R' F' L' U2 F2 R' U'
R' F' L' D2 B2 L U
R' F' L2 U2 R' F2 U'
R' F' L2 U2 F2 R' U'
R' F' L2 D2 B2 L U
R' F' U R D R2 B2
R' F' U R D B2 R2
U2 F' R2 F2 L' B' U'
F D B U' B L F
R' F' U2 R F2 R2 U'
R' F' U2 R' U' D R2
R' F' U2 R' D U' R2
R' F' U2 R' F2 U' D
R' F' U2 R' F2 U' D'
R' F' U2 R' F2 U' D2
R' F' U2 R' F2 D U'
R' F' U2 R' F2 D' U'
R' F' U2 R' F2 D2 U'
R' F' U2 D R' U' R'
R' F' U2 F R' F U'
R' F' U2 F2 R' U' D
R' F' U2 F2 R' U' D'
R' F' U2 F2 R' U' D2
R' F' U2 F2 R' D U'
R' F' U2 F2 R' D' U'
R' F' U2 F2 R' D2 U'
R' F' U2 F2 D R' U'
R' F' U2 F2 D' R' U'
R' F' U2 F2 D2 R' U'
R' F' D U2 R' U' R'
R' F' D B2 L U R2
R' F' D2 L B2 L U
R' F' D2 L' B2 L U
R' F' D2 L2 B2 L U
R' F' D2 B2 L U D
R' F' D2 B2 L U D'
R' F' D2 B2 L U D2
R' F' D2 B2 L D U
R' F' D2 B2 L D' U
R' F' D2 B2 L D2 U
R' F' D2 B2 D L U
R' F' D2 B2 D' L U
R' F' D2 B2 D2 L U
R' F' B2 L U D R2
R' F' B2 L U2 F2 U'
R' F' B2 L D U R2
R' F' B2 L D2 B2 U
R' F' B2 D L U R2
R' F' B2 D2 L B2 U
R F2 L' R2 F' B U
R F2 L' R2 B F' U
R F2 R2 L' F' B U
R F2 R2 L' B F' U
R F2 R2 B L' F' U
F' D2 L2 R' F' B2 U
F' D2 L2 R' B2 F' U
B D2 L2 B' R' F' U
F' D2 R' L2 F' B2 U
F' D2 R' L2 B2 F' U
F' D2 R' F' L2 B2 U
F' D2 R' F' B2 L2 U
F' D2 R' B2 L2 F' U
F' D2 R' B2 F' L2 U
F D2 R' F' L2 B' U
D2 B L2 B' R' F' U
U' B R2 F U' L F
R B R F2 L' F' U'
B2 F L R B R U'
B2 F R L B R U'
U' B F R2 U' L F
B F R B L R U'
B F R B R L U'
R B D' R F U' F
F B R B L R U'
F B R B R L U'
B2 F R2 D2 L B' U'
R B D2 R F L2 U'
D B F U' B L F
R' B' L2 F' B' L U
R' B' L2 B' L F' U
R' B' L2 B' F' L U
R' B2 L D F' U R
R' B2 L2 B' L' F' U
F B2 L R B R U'
F B2 R L B R U'
F B2 R2 D2 L B' U'
R' B2 F' L U D R2
R' B2 F' L U2 F2 U'
R' B2 F' L D U R2
R' B2 F' L D2 B2 U
R' B2 F' D L U R2
R' B2 F' D2 L B2 U
