D' L R2 F' B U'
D' L R2 B F' U'
R2 L F' B U' B
R2 L B F' U' B
L R2 F' B U' B
L R2 B F' U' B
D' R2 L F' B U'
D' R2 L B F' U'
L U2 F' B U B
L U2 B F' U B
D' R2 F' L B U'
L D' R2 F' B U'
L D' R2 B F' U'
B2 U' F' R' B' U
B2 U' F' R' B' U
R2 F' L B U' B
B2 F' R' B' U B
F' B2 R' B' U B
L B2 U' F' B' U F
U B2 U' F' R' B' U
R B2 U' R' B U L
L B2 U' B' F' U F
B2 F2 U' R' F B' U
B2 F2 U' R' B' F U
F2 B2 U' R' F B' U
F2 B2 U' R' B' F U
B2 F2 U' F R' B' U
F2 B2 U' F R' B' U
F B2 U' R' F2 B' U
F B2 U' R' B' F2 U
F' B2 D R' B' U B
F B2 U' F2 R' B' U
U' B2 F' R' B' U B
F' B2 D' R' B' U B
U2 B2 F' R' B' U B
F' B2 D2 R' B' U B
D B2 F' R' B' L2 U
U B2 F' R' B' U B
