U' R B U' F' U2
R' D' F B R F
R' D' F2 D2 B R'
R' D' B F R F
R2 F R D' F2 B
R2 F R D' B F2
R2 F R B D' F2
R' F D' B R F2
R' F B D' R F2
R' F' D' F2 B R
R' F' D' B F2 R
R' F' B D' F2 R
R' B D' F R F
R' B F D' R F2
R' B F' D' F2 R
R2 B2 U L F R U'
R' B2 D' F R F B'
R' B2 D' F R B' F
R' B2 D' F B' R F
R' B2 D' B' F R F
R' B2 F D' R F2 B'
R' B2 F D' R B' F2
R' B2 F D' B' R F2
R' B2 F' D' F2 R B'
R' B2 F' D' F2 B' R
R' B2 F' D' B' F2 R
