B' L U' R2 B U'
L2 R2 B U' R' F
L2 R2 B U' F R'
R2 L2 B U' R' F
R2 L2 B U' F R'
D2 L2 F' U R F2
D2 F' L2 U R F
R2 B U B2 L U2
R2 B U' R' D2 F2
R2 B U' D2 R' F2
R2 B U' D2 F2 R'
R2 B D L2 U' R'
R2 B D2 U' R' F2
R2 B D2 U' F2 R'
R2 L2 B F2 U' F' R'
D2 L2 F' R' U R2 F2
D2 L2 F' R' U F2 R2
D2 L2 F' R2 U R' F2
D2 L2 F' R2 U F2 R'
D2 L2 F' U R F2 D
D2 L2 F' U R F2 D'
D2 L2 F' U R F2 D2
D2 L2 F' U R' F2 R2
D2 L2 F' U R2 F2 R'
D2 L2 F' D R2 U R'
D2 L2 F' B U R F2
D2 L2 F' B' U R F2
D2 L2 F' B2 U R F2
D2 L2 B F' U R F2
L2 U R2 B U' R' F
L2 U R2 B U' F R'
D2 L2 B' F' U R F2
L U R2 B L U' R'
D2 L2 B2 F' U R F2
R2 U B' L U' B2 U'
R2 U B' L U2 D L2
R2 U B' L D U2 L2
R2 U B' L D' R2 U2
R2 U B' U' B2 U' R'
R2 U B' D L U2 L
R2 U B' D' L R2 U2
R2 U B' D' R2 L U2
L2 U' R2 B U' R' F
L2 U' R2 B U' F R'
L U' R2 B U' R' F'
B' R' L U' R' B U'
L2 U2 R2 B U' R' F
L2 U2 R2 B U' F R'
B' R2 L U' B U' B'
U' R2 L2 B U' R' F
U' R2 L2 B U' F R'
U2 R2 L2 B U' R' F
U2 R2 L2 B U' F R'
F' R2 U B' L U2 L'
U R2 L2 B U' R' F
U R2 L2 B U' F R'
F' R2 U' B' L U2 B
B R2 D L2 B U' R
B R2 D B L2 U' R
B R2 D2 B U' R F2
R2 D L2 B U' F R
U' R2 B U B2 L U2
U' R2 B U' R' D2 F2
B' R2 B U B' L U2
U' R2 B U' D2 R' F2
U' R2 B U' D2 F2 R'
U' R2 B D L2 U' R'
B2 R2 B U L U2 F'
U' R2 B D2 U' R' F2
U' R2 B D2 U' F2 R'
U2 R2 B U B2 L U2
U2 R2 B U' R' D2 F2
U2 R2 B U' D2 R' F2
U2 R2 B U' D2 F2 R'
U2 R2 B D L2 U' R'
U2 R2 B D2 U' R' F2
U2 R2 B D2 U' F2 R'
B R2 B U B U2 R
B R2 B U' R2 F' R'
U R2 B U B2 L U2
U R2 B U' R' D2 F2
U R2 B U' D2 R' F2
U R2 B U' D2 F2 R'
U R2 B D L2 U' R'
U R2 B D2 U' R' F2
U R2 B D2 U' F2 R'
D2 U L2 F' U R F2
B' U D F' U B2 R'
D2 U F' L2 U R F
B' U F' U D B2 R'
B' U F' D U B2 R'
D2 U' L2 F' U R F2
D2 U' F' L2 U R F
L' D2 L2 F' U R F'
B' U' B R2 B U' R'
U' D2 L2 F' U R F2
D2 U2 L2 F' U R F2
F' U' B' L U' R2 U'
F' U' B' L U2 D B2
F' U' B' L D U2 B2
F' U' B' L D' F2 U2
U2 D2 L2 F' U R F2
F' U' B' U2 D B2 R'
F' U' B' D L U2 B2
F' U' B' D U2 B2 R'
F' U' B' D' L F2 U2
F' U' B' D' F2 L U2
U D2 L2 F' U R F2
B' U' B2 R2 B U' R
U' D2 F' L2 U R F
D2 U2 F' L2 U R F
L' D2 F' L2 U R F'
L2 D2 F D' L2 B2 R'
U2 D2 F' L2 U R F
L2 D2 F' L2 U R F2
U D2 F' L2 U R F
F' U2 R2 U B' L U2
R2 F L2 B U' R' F
R2 F L2 B U' F R'
B' D L U F' U B2
D2 F D' L2 F B2 R'
D2 F D' L2 B2 R' F
D2 F D' L2 B2 F R'
L2 F B D R' B2 L
R2 F B U B2 L U2
R2 F B U' R' D2 F2
R2 F B U' D2 R' F2
R2 F B U' D2 F2 R'
R2 F B D L2 U' R'
R2 F B D2 U' R' F2
R2 F B D2 U' F2 R'
B' D U F' U B2 R'
D2 F' L2 R' U R2 F
D2 F' L2 R' U F R2
D2 F' L2 R2 U R' F
D2 F' L2 R2 U F R'
D2 F' L2 U R D F
D2 F' L2 U R D' F
D2 F' L2 U R D2 F
D2 F' L2 U R F D
D2 F' L2 U R F D'
D2 F' L2 U R F D2
D2 F' L2 U R' F R2
D2 F' L2 U R2 F R'
D2 F' L2 U D R F
D2 F' L2 U D' R F
D2 F' L2 U D2 R F
D2 F' L2 D U R F
D2 F' L2 D' U R F
D2 F' L2 D2 U R F
D2 F' L2 B U R F
D2 F' L2 B' U R F
D2 F' L2 B2 U R F
R2 F' L2 B U' R' F
R2 F' L2 B U' F R'
D2 F' R' L2 U R2 F
D2 F' R' L2 U F R2
D2 F' R2 L2 U R' F
D2 F' R2 L2 U F R'
B' D' L F2 U F U
R2 F' B U B2 L U2
R2 F' B U' R' D2 F2
R2 F' B U' D2 R' F2
R2 F' B U' D2 F2 R'
R2 F' B D L2 U' R'
R2 F' B D2 U' R' F2
R2 F' B D2 U' F2 R'
R2 F2 L2 B U' R' F
R2 F2 L2 B U' F R'
B D' F' R2 U B R
B' D2 L U L F' U
B' D2 L U F' L U
F' D2 L2 U F' R F2
B D2 L2 F' U F' R'
R2 F2 B U B2 L U2
R2 F2 B U' R' D2 F2
R2 F2 B U' D2 R' F2
R2 F2 B U' D2 F2 R'
R2 F2 B D L2 U' R'
R2 F2 B D2 U' R' F2
R2 F2 B D2 U' F2 R'
R2 B L U B2 L U2
R2 B L U' R' D2 F2
R2 B L U' D2 R' F2
R2 B L U' D2 F2 R'
R2 B L D L2 U' R'
R2 B L D2 U' R' F2
R2 B L D2 U' F2 R'
R2 B L' U B2 L U2
R2 B L' U' R' D2 F2
R2 B L' U' D2 R' F2
R2 B L' U' D2 F2 R'
R2 B L' D L2 U' R'
R2 B L' D2 U' R' F2
R2 B L' D2 U' F2 R'
R2 B L2 U B2 L U2
R2 B L2 U' R' D2 F2
R2 B L2 U' D2 R' F2
R2 B L2 U' D2 F2 R'
R2 B L2 D L2 U' R'
R2 B L2 D2 U' R' F2
R2 B L2 D2 U' F2 R'
B D2 F' L2 U F' R'
R B R B U' R2 F'
L2 B R2 B U' R F
R2 B U L B2 L U2
R2 B U L' B2 L U2
R2 B U L2 B2 L U2
B' F L D R2 U2 B2
B' F L D' F2 U2 L2
R2 B U B2 L U2 D
R2 B U B2 L U2 D'
R2 B U B2 L U2 D2
R2 B U B2 L D U2
R2 B U B2 L D' U2
R2 B U B2 L D2 U2
R2 B U B2 D L U2
R2 B U B2 D' L U2
R2 B U B2 D2 L U2
R2 B U' R' U2 B2 U2
R2 B U' R' D2 F2 D
R2 B U' R' D2 F2 D'
R2 B U' R' D2 F2 D2
R2 B U' R' F D2 F2
R2 B U' R' F' D2 F2
R2 B U' R' F2 D2 F2
R2 B U' R2 D2 R F2
R2 B U' D R' D F2
R2 B U' D2 R F2 R2
R2 B U' D2 R' F2 D
R2 B U' D2 R' F2 D'
R2 B U' D2 R' F2 D2
R2 B U' D2 F R' F
R2 B U' D2 F2 R' D
R2 B U' D2 F2 R' D'
R2 B U' D2 F2 R' D2
R2 B U' D2 F2 D R'
R2 B U' D2 F2 D' R'
R2 B U' D2 F2 D2 R'
R2 B U' F R' D2 F2
R2 B U' F D2 R' F2
R2 B U' F D2 F2 R'
R2 B U' F' R' D2 F2
R2 B U' F' D2 R' F2
R2 B U' F' D2 F2 R'
R2 B U' F2 R' D2 F2
R2 B U' F2 D2 R' F2
R2 B U' F2 D2 F2 R'
R2 B U2 D' R2 U R
R2 B D L2 U' R' D
R2 B D L2 U' R' D'
R2 B D L2 U' R' D2
R2 B D L2 U' D R'
R2 B D L2 U' D' R'
R2 B D L2 U' D2 R'
R2 B D L2 D U' R'
R2 B D L2 D' U' R'
R2 B D L2 D2 U' R'
R2 B D L2 F U' R'
R2 B D L2 F' U' R'
R2 B D L2 F2 U' R'
R2 B D U' R' D F2
R2 B D F L2 U' R'
R2 B D F' L2 U' R'
R2 B D F2 L2 U' R'
R2 B D' U2 R2 U R
R2 B D2 L U' R' F2
R2 B D2 L U' F2 R'
R2 B D2 L' U' R' F2
R2 B D2 L' U' F2 R'
R2 B D2 L2 U' R' F2
R2 B D2 L2 U' F2 R'
R2 B D2 U' R F2 R2
R2 B D2 U' R' F2 D
R2 B D2 U' R' F2 D'
R2 B D2 U' R' F2 D2
R2 B D2 U' F R' F
R2 B D2 U' F2 R' D
R2 B D2 U' F2 R' D'
R2 B D2 U' F2 R' D2
R2 B D2 U' F2 D R'
R2 B D2 U' F2 D' R'
R2 B D2 U' F2 D2 R'
R2 B D2 F U' R' F
R2 B D2 F U' F R'
R2 B D2 F' U' F' R'
L2 B F D R' B2 L
R2 B F U B2 L U2
R2 B F U' R' D2 F2
R2 B F U' D2 R' F2
R2 B F U' D2 F2 R'
R2 B F D L2 U' R'
R2 B F D2 U' R' F2
R2 B F D2 U' F2 R'
U' B' L U' R2 B U'
R2 B F' U B2 L U2
R2 B F' U' R' D2 F2
R2 B F' U' D2 R' F2
R2 B F' U' D2 F2 R'
R2 B F' D L2 U' R'
R2 B F' D2 U' R' F2
R2 B F' D2 U' F2 R'
R2 B F2 U B2 L U2
R2 B F2 U' R' D2 F2
R2 B F2 U' D2 R' F2
R2 B F2 U' D2 F2 R'
U2 B' L U' R2 B U'
R2 B F2 D L2 U' R'
R2 B F2 D2 U' R' F2
R2 B F2 D2 U' F2 R'
R2 B' L U' B2 U' B2
B' F D L R2 U2 B2
B' F D R2 L U2 B2
B' F D R2 U2 B2 R'
U B' L U' R2 B U'
B' F D' L F2 U2 L
B' F D' F2 L U2 L
F' B D2 L2 U R' F2
F' B D2 L2 U F2 R'
D2 B' U L2 F' U R
D2 B' U F' L2 U R
F B' L D R2 U2 B2
F B' L D' F2 U2 L2
R' B' D L U2 B' L
R2 B' U' B2 U' R' B2
F B' D L R2 U2 B2
F B' D R2 L U2 B2
F B' D R2 U2 B2 R'
F B' D' L F2 U2 L
B F' D2 L2 U R' F2
B F' D2 L2 U F2 R'
F B' D' F2 L U2 L
