U R U L' D B2
U R U D L' B2
F2 R U' L' R2 U'
U R U D B2 L'
F2 R U' R2 L' U'
U R U2 R2 U' L'
U R D U L' B2
U R D U B2 L'
U R D2 L2 U L
U' R' U' L' D' F2
U' R' U' D' L' F2
U' R' U2 R2 U L'
U' R' D' U' L' F2
U' R' D2 L2 U' L
R' U2 R2 U L' R2
R' U2 R2 U R2 L'
R U2 R2 U' L' R2
R U2 R2 U' R2 L'
B2 U L R U L2
B2 U R L U L2
B U R U L' B
B U R U B L'
U R U2 R2 D U' L'
U R U2 R2 D' U' L'
U R U2 R2 D2 U' L'
U R U2 R2 B U' L'
U R U2 R2 B' U' L'
U R U2 R2 B2 U' L'
U' R D U L' B2 R'
U R U2 B R2 U' L'
U R U2 B' R2 U' L'
U2 R D U L' R' B2
U2 R D U R' L' B2
U2 R D U R' B2 L'
U R U2 B2 R2 U' L'
F2 R D U' L' U' B2
U R D L U L2 B2
U R D L U B2 L2
U R D L2 U L B2
U R D U L B2 L2
U R D U L' B2 D
U R D U L' B2 D'
U R D U L' B2 D2
U R D U B L' B
U R D U B2 L' D
U R D U B2 L' D'
U R D U B2 L' D2
U R D U B2 D L'
U R D U B2 D' L'
U R D U B2 D2 L'
F2 R D' F2 U R U
U R D' U L' D2 B2
U R D' U' F2 R U2
U2 R D2 L2 U L R'
U2 R D2 L2 U R' L
R' U' L' U' R2 U R2
R' U' L' D' F2 D R2
U R D2 L2 U L D
U R D2 L2 U L D'
U R D2 L2 U L D2
U R D2 L2 U D L
U R D2 L2 U D' L
U R D2 L2 U D2 L
U R D2 L2 D U L
U R D2 L2 D' U L
U R D2 L2 D2 U L
U R D2 L2 F U L
U R D2 L2 F' U L
U R D2 L2 F2 U L
L' U' R U D B2 R'
L' U' R D U B2 R'
R2 U' R U' L' D' F2
R2 U' R U' D' L' F2
R2 U' R U2 R2 U L'
R2 U' R D' U' L' F2
R2 U' R D2 L2 U' L
F2 R B U' L' R2 U'
F2 R B U' R2 L' U'
F2 R B' U' L' R2 U'
F2 R B' U' R2 L' U'
R' U' D' L' F2 D R2
F2 R B2 U' L' R2 U'
F2 R B2 U' R2 L' U'
U' R' L U' L2 D' F2
U' R' L U2 R2 U L2
U' R' L D' B2 U' F2
F2 R' L' U L R2 U2
F2 R' L' U R2 L U2
U' R' L' D2 L2 U' L2
B2 R' L' D' F2 B2 R'
B2 R' L' D' B2 R' F2
B2 R' L' D' B2 F2 R'
F2 R' L' D B2 U' R'
U' R' L2 U' L D' F2
U' R' L2 U' D' L F2
U' R' L2 U' D' F2 L
U' R' L2 U2 R2 U L
U' R' L2 D' U' L F2
U' R' L2 D' U' F2 L
U' R' L2 D2 L2 U' L'
B2 R' U L R2 U L2
U' R' U D B2 U2 L'
B2 R' U R2 L U L2
U' R' U' L' U' R2 U
U' R' U' L' D' F2 D
U' R' U' L' D' F2 D'
U' R' U' L' D' F2 D2
U' R' U' L' F D' F2
U' R' U' L' F' D' F2
U' R' U' L' F2 D' F2
U' R' U' L2 D' L F2
U' R' U' L2 D' F2 L
U2 R' U' L' D' R F2
U' R' U' D L' D2 F2
U' R' U' D' L F2 L2
U' R' U' D' L' F2 D
U' R' U' D' L' F2 D'
U' R' U' D' L' F2 D2
U' R' U' D' L2 F2 L
U' R' U' F2 D' F2 L'
U2 R' U' D' L' R F2
U2 R' U' D' R L' F2
D2 R' U2 R2 U L' R2
D2 R' U2 R2 U R2 L'
D' R' U2 R2 U L' R2
D' R' U2 R2 U R2 L'
B2 R' U2 L' D' F2 B2
B2 R' U2 L' D' B2 F2
U' R' U2 R2 U L' D
U' R' U2 R2 U L' D'
U' R' U2 R2 U L' D2
U' R' U2 R2 U D L'
U' R' U2 R2 U D' L'
U' R' U2 R2 U D2 L'
U' R' U2 R2 D U L'
U' R' U2 R2 D' U L'
U' R' U2 R2 D2 U L'
U2 R' U2 R2 U L' R'
U2 R' U2 R2 U R' L'
D R' U2 R2 U L' R2
D R' U2 R2 U R2 L'
L' U' B2 L R U R2
F2 R' D L' B2 U' R'
U' R' D U B2 U2 L'
U' R' D U' L' D2 F2
L' U' B2 R L U R2
R U' B' R2 U' L' F'
R2 U' B2 L R U' L2
U' R' D' L U' L2 F2
U' R' D' L U' F2 L2
U' R' D' L2 U' L F2
U' R' D' L2 U' F2 L
R2 U' B2 R L U' L2
U' R' D' U' L F2 L2
U' R' D' U' L' F2 D
U' R' D' U' L' F2 D'
U' R' D' U' L' F2 D2
U' R' D' U' L2 F2 L
U2 R' D' U' L' R F2
U' R' D' B U' L' F2
U2 R' D' U' R L' F2
U' R' D' B' U' L' F2
U' R' D' B2 U' L' F2
U' R' D2 L2 U' L D
U' R' D2 L2 U' L D'
U' R' D2 L2 U' L D2
U' R' D2 L2 U' D L
U' R' D2 L2 U' D' L
U' R' D2 L2 U' D2 L
U' R' D2 L2 D U' L
U' R' D2 L2 D' U' L
U' R' D2 L2 D2 U' L
U2 R' D2 L2 U' L R
U2 R' D2 L2 U' R L
R' U2 L' U' L R2 U
R' U2 L' U' R2 L U
U' R' D2 B L2 U' L
U' R' D2 B' L2 U' L
U' R' D2 B2 L2 U' L
R U2 L' U L R2 U'
R U2 L' U R2 L U'
R' U2 L2 D' L F2 B2
R' U2 L2 D' L B2 F2
R' U2 L2 D' F2 L B2
R U2 L2 D L F2 B2
R U2 L2 D L B2 F2
R U2 L2 D F2 L B2
R' U2 R2 U L' R2 D
R' U2 R2 U L' R2 D'
R' U2 R2 U L' R2 D2
R' U2 R2 U R2 L' D
R' U2 R2 U R2 L' D'
R' U2 R2 U R2 L' D2
R' U2 R2 U R2 D L'
R' U2 R2 U R2 D' L'
R' U2 R2 U R2 D2 L'
U' R' B U' L' D' F2
U' R' B U' D' L' F2
U' R' B U2 R2 U L'
R' U2 R2 D B2 U L'
U' R' B D' U' L' F2
U' R' B D2 L2 U' L
R' U2 R2 B U L' R2
R' U2 R2 B U R2 L'
R' U2 R2 B' U L' R2
R' U2 R2 B' U R2 L'
R' U2 R2 B2 U L' R2
R' U2 R2 B2 U R2 L'
U' R' B' U' L' D' F2
U' R' B' U' D' L' F2
U' R' B' U2 R2 U L'
U' R' B' D' U' L' F2
R U2 R2 U' L' R2 D
R U2 R2 U' L' R2 D'
R U2 R2 U' L' R2 D2
R U2 R2 U' R2 L' D
R U2 R2 U' R2 L' D'
R U2 R2 U' R2 L' D2
R U2 R2 U' R2 D L'
R U2 R2 U' R2 D' L'
R U2 R2 U' R2 D2 L'
U' R' B' D2 L2 U' L
R U2 R2 B U' L' R2
R U2 R2 B U' R2 L'
R U2 R2 B' U' L' R2
R U2 R2 B' U' R2 L'
R U2 R2 B2 U' L' R2
R U2 R2 B2 U' R2 L'
U' R' B2 U' L' D' F2
U' R' B2 U' D' L' F2
U' R' B2 U2 R2 U L'
U' R' B2 D' U' L' F2
U' R' B2 D2 L2 U' L
B2 R2 U L R' U L2
B2 R2 U R' L U L2
R' U2 B R2 U L' R2
R' U2 B R2 U R2 L'
R' U2 B' R2 U L' R2
R' U2 B' R2 U R2 L'
R U2 B R2 U' L' R2
R U2 B R2 U' R2 L'
R' U2 B2 R2 U L' R2
R' U2 B2 R2 U R2 L'
R U2 B' R2 U' L' R2
R U2 B' R2 U' R2 L'
R U2 B2 R2 U' L' R2
R U2 B2 R2 U' R2 L'
R D L U L2 B2 R'
R D L2 U L B2 R'
U' R2 B2 L R U' L2
U' R2 B2 R L U' L2
R D U L' B2 D' R2
B2 U L R U L2 D
B2 U L R U L2 D'
B2 U L R U L2 D2
B2 U L R D F2 U
B2 U L R F U L2
B2 U L R F' U L2
B2 U L R F2 U L2
R D U B2 L' D' R2
B2 U L D R F2 U
R D U B2 D' L' R2
R D U B2 D' R2 L'
B U L R U L2 B
B U L R U B L2
B U L2 R U L B
D' U R U L' D B2
D' U R U D L' B2
D' U R U D B2 L'
D2 U R U L' D B2
D2 U R U D L' B2
D2 U R U D B2 L'
D' U R U2 R2 U' L'
B2 U R L U L2 D
B2 U R L U L2 D'
B2 U R L U L2 D2
B2 U R L D F2 U
B2 U R L F U L2
D2 U R U2 R2 U' L'
B2 U R L F' U L2
B2 U R L F2 U L2
D' U R D U L' B2
D' U R D U B2 L'
D2 U R D U L' B2
D2 U R D U B2 L'
B2 U R U L' D' B2
D' U R D2 L2 U L
D2 U R D2 L2 U L
B2 U R D L U L2
L2 D F2 L' R' U' L2
B2 U R D' L U L2
B2 U R D2 L U L2
B U R L U L2 B
B U R L U B L2
L2 D F2 R' L' U' L2
B U R L2 U L B
B U R U L B L2
B U R U L' D B
B U R U L' D' B
B U R U L' D2 B
B U R U L' B D
B U R U L' B D'
B U R U L' B D2
D U R U L' D B2
B U R U D L' B
B U R U D B L'
B U R U D' L' B
B U R U D' B L'
B U R U D2 L' B
B U R U D2 B L'
D U R U D L' B2
D U R U D B2 L'
B U R U B L' D
B U R U B L' D'
B U R U B L' D2
B U R U B D L'
B U R U B D' L'
B U R U B D2 L'
B U R U B' L' B2
D U R U2 R2 U' L'
U' D R' U' L' D' F2
U' D R' U' D' L' F2
B U R D U L' B
B U R D U B L'
D U R D U L' B2
D U R D U B2 L'
U' D R' U2 R2 U L'
B U R D' U L' B
B U R D' U B L'
D U R D2 L2 U L
B U R D2 U L' B
B U R D2 U B L'
U' D R' D' U' L' F2
U D R U L' D B2
U' D R' D2 L2 U' L
U D R U D L' B2
U D R U D B2 L'
U D R U2 R2 U' L'
U D R D U L' B2
U D R D U B2 L'
U D R D2 L2 U L
B2 U D L R U L2
B2 U D R L U L2
B2 U D' L R U L2
R' D' L U' F2 L2 R
R' D' L U' F2 R L2
B U D R U L' B
B U D R U B L'
B2 U D' R L U L2
B2 U D2 L R U L2
B U D' R U L' B
B U D' R U B L'
B2 U D2 R L U L2
B U D2 R U L' B
B U D2 R U B L'
R' D' U' L' F2 D R2
F2 U' L' R' U R2 U2
F2 U' L' R' U' D2 L2
F2 U' L' R' D B2 U'
F2 U' L' R' D2 U' L2
U' D' R' U' L' D' F2
D' U' R' U' L' D' F2
U' D' R' U' D' L' F2
D' U' R' U' D' L' F2
U' D' R' U2 R2 U L'
D' U' R' U2 R2 U L'
D2 U' R' U' L' D' F2
D2 U' R' U' D' L' F2
D2 U' R' U2 R2 U L'
U' D' R' D' U' L' F2
D' U' R' D' U' L' F2
U' D' R' D2 L2 U' L
D' U' R' D2 L2 U' L
D2 U' R' D' U' L' F2
D2 U' R' D2 L2 U' L
U D' R U L' D B2
U D' R U D L' B2
U D' R U D B2 L'
U D' R U2 R2 U' L'
U D' R D U L' B2
U D' R D U B2 L'
U D' R D2 L2 U L
D U' R' U' L' D' F2
D U' R' U' D' L' F2
D U' R' U2 R2 U L'
D U' R' D' U' L' F2
D U' R' D2 L2 U' L
F' U' R' U' F L' F2
F2 U' R' L' U R2 U2
F2 U' R' L' U' D2 L2
F2 U' R' L' D B2 U'
F2 U' R' L' D2 U' L2
F2 U' R' D L' B2 U'
R D' F2 R U R' U
F2 U' R' D B2 L' U'
F2 U' R' D2 L' U' L'
F U' R' U2 F' R U
F' U' D R' B U' F'
R' D2 L2 U L2 U2 L'
R' D2 L2 U' D2 L R2
R' D2 L2 U' D2 R2 L
R' D2 L2 D F2 U' L
R' D2 L2 D2 U' L R2
R' D2 L2 D2 U' R2 L
R D2 L2 U D2 L R2
R D2 L2 U D2 R2 L
R D2 L2 U' L2 U2 L'
R D2 L2 D2 U L R2
R D2 L2 D2 U R2 L
U' D2 R' U' L' D' F2
U' D2 R' U' D' L' F2
U' D2 R' U2 R2 U L'
U' D2 R' D' U' L' F2
U' D2 R' D2 L2 U' L
U D2 R U L' D B2
U D2 R U D L' B2
U D2 R U D B2 L'
U D2 R U2 R2 U' L'
U D2 R D U L' B2
U D2 R D U B2 L'
U D2 R D2 L2 U L
B2 U2 L R U L2 R'
B2 U2 L R U R' L2
B2 U2 L' U' L2 R U
B2 U2 L' U' R L2 U
B U2 L' U' R U B
B2 U2 R L U L2 R'
B2 U2 R L U R' L2
B U2 R U L' R' B'
B U2 R U R' L' B'
F2 D R U' L' R2 U'
F2 D R U' R2 L' U'
B2 D U L R U L2
B2 D U R L U L2
F' D U' R' B U' F'
B D U R U L' B
B D U R U B L'
F2 D' R U' L' R2 U'
F2 D' R U' R2 L' U'
B2 D' U L R U L2
B2 D' U R L U L2
B D' U R U L' B
B D' U R U B L'
U' F2 L' F2 R' U' L'
L F2 L' R' U' L' R2
L F2 L' R' U' R2 L'
D2 F2 R U' L' R2 U'
D2 F2 R U' R2 L' U'
D' F2 R U' L' R2 U'
D' F2 R U' R2 L' U'
R2 F2 R U L' R2 U
R2 F2 R U R2 L' U
D F2 R U' L' R2 U'
D F2 R U' R2 L' U'
L F2 R' L' U' L' R2
L F2 R' L' U' R2 L'
F2 D2 R U' L' R2 U'
F2 D2 R U' R2 L' U'
B2 D2 U L R U L2
B2 D2 U R L U L2
B D2 U R U L' B
B D2 U R U B L'
D2 B U R U L' B
D2 B U R U B L'
D' B U R U L' B
D' B U R U B L'
D B U R U L' B
D B U R U B L'
U' B U2 R U L' B'
R' B U2 R2 U L' R2
R' B U2 R2 U R2 L'
R B U2 R2 U' L' R2
R B U2 R2 U' R2 L'
F2 B R U' L' U' B'
R' B' U2 R2 U L' R2
R' B' U2 R2 U R2 L'
R B' U2 R2 U' L' R2
R B' U2 R2 U' R2 L'
B2 F' U L U F L'
L' B2 L R U L' R2
L' B2 L R U R2 L'
U2 B2 L R U L2 R'
U2 B2 L R U R' L2
U2 B2 L' U' L2 R U
U2 B2 L' U' R L2 U
U B2 L R B2 U L2
L' B2 R L U L' R2
L' B2 R L U R2 L'
U B2 L B2 R U L2
U B2 L B2 R U L2
U2 B2 R L U L2 R'
U2 B2 R L U R' L2
L' B2 R' U' L R2 U
L' B2 R' U' R2 L U
U B2 R L B2 U L2
D2 B2 U L R U L2
D' B2 U L R U L2
D2 B2 U R L U L2
D' B2 U R L U L2
L' B2 U' L R U R2
B F2 R U' L' U' B'
L' B2 U' R L U R2
U' B2 U2 L R U L2
D B2 U L R U L2
U' B2 U2 R L U L2
D B2 U R L U L2
U2 B2 U' L R U L2
U2 B2 U' R L U L2
R' B2 U2 R2 U L' R2
R' B2 U2 R2 U R2 L'
R2 B2 U' L R U' L2
R2 B2 U' R L U' L2
F' B2 U L U F L'
R B2 U2 R2 U' L' R2
R B2 U2 R2 U' R2 L'
