D L2 F U' B
U' B D' R2 F'
D L2 D F U' B
D L2 D' F U' B
D L2 D2 F U' B
D2 L2 F U' F B
D2 L2 F U' B F
D L2 F U' D B
D L2 F U' D' B
D L2 F U' D2 B
D L2 F U' B D
D L2 F U' B D'
D L2 F U' B D2
D L2 F D U' B
D L2 F D' U' B
D L2 F D2 U' B
L2 D F L2 U' B
D2 U' F2 B D' R2
U' D' B D' R2 F2
U' D' B D' F2 R2
D' U' B D' R2 F2
D2 U' B F2 D' R2
D' U' B D' F2 R2
U2 D' B' R2 U B2
F' U' B D' R2 F'
F2 U' B D' R2 F'
F U' B D' R2 F'
L2 D2 F U' F B
L2 D2 F U' B F
U' D2 F2 B D' R2
U' D2 B F2 D' R2
D' U2 B' R2 U B2
U2 D2 B' U F2 B2
U2 D2 B' U B2 F2
D2 U2 B' U F2 B2
D2 U2 B' U B2 F2
D F L2 F U' B
L2 F U B2 U2 B'
L2 F U' D2 F2 B
L2 F U' D2 B F2
F' D L2 F U' B
L2 F D L2 U' B
F2 D L2 F U' B
F D L2 F U' B
L2 F D2 U' F2 B
L2 F D2 U' B F2
U' F B D' R2 F'
D F' L2 F U' B
U' F' B D' R2 F'
D F2 L2 F U' B
U' F2 B D' R2 F'
U' B R2 D' F' R2
U' B R2 F' D' R2
U' B D' R2 D F'
U' B D' R2 D' F'
U' B D' R2 D2 F'
U' B D' R2 F' D
U' B D' R2 F' D'
U' B D' R2 F' D2
U' B D' F R2 F'
U' B D' F' R2 F'
U' B D' F2 R2 F'
U' B F D' R2 F'
U' B F' D' R2 F'
U' B F2 D' R2 F'
U2 B' L2 U F B2
U2 B' L2 U B2 F
D' B' R2 F' U B2
U2 B' U' B' U2 B'
U2 B' D L2 U F
U B2 U B U B2
U B2 U2 B' D' R2
F2 U' B D' R2 F' D
F2 U' B D' R2 F' D'
F2 U' B D' R2 F' D2
F2 U' B D' F R2 F'
F2 U' B D' F' R2 F'
F2 U' B D' F2 R2 F'
F2 U' B F D' R2 F'
F2 U' B F' D' R2 F'
F2 U' B F2 D' R2 F'
F U' F2 B D' R2 F'
B' U' B' U' B2 U' B
B' U' B' U2 D B' L2
B' U' B' D U2 B' L2
B' U' B' D' R2 U2 B'
F U' B R2 D' F' R2
F U' B R2 F' D' R2
F U' B D' R2 D F'
F U' B D' R2 D' F'
F U' B D' R2 D2 F'
F U' B D' R2 F' D
F U' B D' R2 F' D'
F U' B D' R2 F' D2
F U' B D' F R2 F'
F U' B D' F' R2 F'
F U' B D' F2 R2 F'
F U' B F D' R2 F'
F U' B F' D' R2 F'
F U' B F2 D' R2 F'
B2 U' B2 U' B D' R2
B2 U' B2 U2 B' U B2
L' D2 U' F2 D B R'
D' U2 R2 B' U' F' U2
L D2 U' F B R F
L D2 U' F2 D2 B R'
U' D2 F B D' R2 F
U' D2 F B D' F R2
L D2 U' B F R F
L2 D2 F U' D F B
L2 D2 F U' D B F
L2 D2 F U' D' F B
L2 D2 F U' D' B F
L2 D2 F U' D2 F B
L2 D2 F U' D2 B F
L2 D2 F U' F D B
L2 D2 F U' F D' B
L2 D2 F U' F D2 B
L2 D2 F U' F B D
L2 D2 F U' F B D'
L2 D2 F U' F B D2
L2 D2 F U' B D F
L2 D2 F U' B D' F
L2 D2 F U' B D2 F
L2 D2 F U' B F D
L2 D2 F U' B F D'
L2 D2 F U' B F D2
L2 D2 F D U' F B
L2 D2 F D U' B F
L2 D2 F D' U' F B
L2 D2 F D' U' B F
L2 D2 F D2 U' F B
L2 D2 F D2 U' B F
U' D2 F' B D' F' R2
B' U2 L2 B U' F B
B' U2 L2 B U' B F
L D2 F U' F B R
L D2 F U' B F R
U' D2 F2 U' B' U B2
U' D2 F2 D B D' R2
U' D2 F2 D' B D' R2
U' D2 F2 D2 B D' R2
U' D2 F2 B R D' R2
U' D2 F2 B R' D' R2
U' D2 F2 B R2 D' R2
U' D2 F2 B U' B2 U
U' D2 F2 B D' R2 D
U' D2 F2 B D' R2 D'
U' D2 F2 B D' R2 D2
D2 U2 F2 B D' L2 R2
D2 U2 F2 B D' R2 L2
U' D2 B R F2 D' R2
U' D2 B R' F2 D' R2
U' D2 B R2 F2 D' R2
D' U2 B R2 B2 U B2
U' D2 B U' B2 U F2
U2 D2 F2 B D' L2 R2
U2 D2 F2 B D' R2 L2
U' D2 B D' R2 D F2
U' D2 B F D' R2 F
U' D2 B F D' F R2
U' D2 B F' D' F' R2
U' D2 B F2 R D' R2
U' D2 B F2 R' D' R2
U' D2 B F2 R2 D' R2
U' D2 B F2 U' B2 U
U' D2 B F2 D' R2 D
U' D2 B F2 D' R2 D'
U' D2 B F2 D' R2 D2
D' U2 B' L R2 U B2
D' U2 B' L' R2 U B2
D2 U2 B F2 D' L2 R2
D2 U2 B F2 D' R2 L2
D2 U2 B' L U F2 B2
D2 U2 B' L U B2 F2
D' U2 B' L2 R2 U B2
D2 U2 B' L' U F2 B2
D2 U2 B' L' U B2 F2
D2 U2 B' L2 U F2 B2
D2 U2 B' L2 U B2 F2
D' U2 B' R2 L U B2
D2 U2 B' R U F2 B2
D2 U2 B' R U B2 F2
D' U2 B' R2 L' U B2
D' U2 B' R2 L2 U B2
D' U2 B' R2 U B2 D
D' U2 B' R2 U B2 D'
D' U2 B' R2 U B2 D2
D' U2 B' R2 D L2 U
D2 U2 B' R' U F2 B2
D2 U2 B' R' U B2 F2
D2 U2 B' R2 U F2 B2
D2 U2 B' R2 U B2 F2
D' U2 B' U B2 D' F2
D2 U2 B' U F2 B2 D
D2 U2 B' U F2 B2 D'
D2 U2 B' U F2 B2 D2
D2 U2 B' U B2 F2 D
D2 U2 B' U B2 F2 D'
D2 U2 B' U B2 F2 D2
D2 U2 B' D L2 R2 U
U2 D2 B F2 D' L2 R2
U2 D2 B F2 D' R2 L2
D2 U2 B' D R2 L2 U
U2 D2 B' L U F2 B2
U2 D2 B' L U B2 F2
U2 D2 B' L' U F2 B2
U2 D2 B' L' U B2 F2
U2 D2 B' L2 U F2 B2
U2 D2 B' L2 U B2 F2
U2 D2 B' R U F2 B2
U2 D2 B' R U B2 F2
U2 D2 B' R' U F2 B2
U2 D2 B' R' U B2 F2
U2 D2 B' R2 U F2 B2
U2 D2 B' R2 U B2 F2
U2 D2 B' U F2 B2 D
U2 D2 B' U F2 B2 D'
U2 D2 B' U F2 B2 D2
U2 D2 B' U B2 F2 D
U2 D2 B' U B2 F2 D'
U2 D2 B' U B2 F2 D2
U2 D2 B' D L2 R2 U
U2 D2 B' D R2 L2 U
D U2 B' U B2 D F2
D U2 B' U2 L2 U' B2
D U2 B' D L2 U F2
B2 U2 D B' L2 D' R2
F' U2 D' B' R2 U B2
L2 F L U B2 U2 B'
L2 F L U' D2 F2 B
L2 F L U' D2 B F2
F2 U2 D' B' R2 U B2
L2 F L D L2 U' B
L2 F L D2 U' F2 B
L2 F L D2 U' B F2
F' U2 D2 B' U F2 B2
F' U2 D2 B' U B2 F2
B2 U2 D2 B' D' L2 R2
B2 U2 D2 B' D' R2 L2
F2 U2 D2 B' U F2 B2
F2 U2 D2 B' U B2 F2
L2 F L' U B2 U2 B'
L2 F L' U' D2 F2 B
L2 F L' U' D2 B F2
L2 F L' D L2 U' B
F U2 D' B' R2 U B2
L2 F L' D2 U' F2 B
L2 F L' D2 U' B F2
L2 F L2 U B2 U2 B'
L2 F L2 U' D2 F2 B
L2 F L2 U' D2 B F2
F U2 D2 B' U F2 B2
F U2 D2 B' U B2 F2
L2 F L2 D L2 U' B
L2 F L2 D2 U' F2 B
L2 F L2 D2 U' B F2
D F L2 D F U' B
D F L2 D' F U' B
D F L2 D2 F U' B
D F L2 F U' D B
D F L2 F U' D' B
D F L2 F U' D2 B
D F L2 F U' B D
D F L2 F U' B D'
D F L2 F U' B D2
D F L2 F D U' B
D F L2 F D' U' B
D F L2 F D2 U' B
B' U2 B U B2 U2 B'
B' U2 B U' D2 F2 B
B' U2 B U' D2 B F2
B' U2 B D L2 U' B
B' U2 B D2 U' F2 B
B' U2 B D2 U' B F2
F' U2 B' L2 U F B2
F' U2 B' L2 U B2 F
L2 F R2 U F' B2 U2
L2 F R2 U B2 F' U2
F2 U2 B' L2 U F B2
F2 U2 B' L2 U B2 F
F' U2 B' U' B' U2 B'
F' U2 B' D L2 U F
F2 U2 B' U' B' U2 B'
F2 U2 B' D L2 U F
F U2 B' L2 U F B2
F U2 B' L2 U B2 F
L2 F U F B2 U2 B'
L2 F U F' B2 U2 B'
L2 F U F2 B2 U2 B'
D2 F U' F B D' R2
L2 F U B2 U2 D B'
F U2 B' U' B' U2 B'
L2 F U B2 U2 D' B'
L2 F U B2 U2 D2 B'
L2 F U B2 U2 B' D
L2 F U B2 U2 B' D'
L2 F U B2 U2 B' D2
L2 F U B2 D U2 B'
L2 F U B2 D' U2 B'
L2 F U B2 D2 U2 B'
L2 F U B2 F U2 B'
L2 F U B2 F' U2 B'
L2 F U B2 F2 U2 B'
F U2 B' D L2 U F
D' F U' B D' R2 F2
D' F U' B D' F2 R2
D2 F U' B D' R2 F
D2 F U' B D' F R2
D2 F U' B F D' R2
L2 F U' D B D F2
L2 F U' D' B D' F2
L2 F U' D2 F2 D B
L2 F U' D2 F2 D' B
L2 F U' D2 F2 D2 B
L2 F U' D2 F2 B D
L2 F U' D2 F2 B D'
L2 F U' D2 F2 B D2
L2 F U' D2 B F2 D
L2 F U' D2 B F2 D'
L2 F U' D2 B F2 D2
L2 F U' F D2 F2 B
L2 F U' F D2 B F2
L2 F U' F' D2 F2 B
L2 F U' F' D2 B F2
L2 F U' F2 D2 F2 B
L2 F U' F2 D2 B F2
L2 F U' B R2 F' R2
L2 F U' B U2 B U2
D' F U2 B' R2 U B2
D2 F U2 B' U F B2
D2 F U2 B' U B2 F
B' D L2 R2 F' U F2
B' D L2 U2 B U' F
L2 F D L2 U' D B
L2 F D L2 U' D' B
L2 F D L2 U' D2 B
L2 F D L2 U' B D
L2 F D L2 U' B D'
L2 F D L2 U' B D2
L2 F D L2 D U' B
L2 F D L2 D' U' B
L2 F D L2 D2 U' B
F' D L2 D F U' B
F' D L2 D' F U' B
R2 F D L2 R2 F U'
L2 F D U' B D F2
R2 F D L2 F R2 U'
F' D L2 D2 F U' B
F' D L2 F U' D B
F' D L2 F U' D' B
F' D L2 F U' D2 B
F' D L2 F U' B D
F' D L2 F U' B D'
F' D L2 F U' B D2
F' D L2 F D U' B
F' D L2 F D' U' B
F' D L2 F D2 U' B
F2 D L2 D F U' B
R2 F D R2 L2 F U'
F2 D L2 D' F U' B
F2 D L2 D2 F U' B
F2 D L2 F U' D B
F2 D L2 F U' D' B
F2 D L2 F U' D2 B
F2 D L2 F U' B D
F2 D L2 F U' B D'
F2 D L2 F U' B D2
F2 D L2 F D U' B
F2 D L2 F D' U' B
F2 D L2 F D2 U' B
U F U2 B D' R2 F'
U' F D' B D' R2 F2
U' F D' B D' F2 R2
D' F D2 L2 F U' B
L2 F D' U' B D' F2
U' F D2 F2 B D' R2
F D L2 D F U' B
U' F D2 B F2 D' R2
F D L2 D' F U' B
F D L2 D2 F U' B
L2 F D2 L U' F2 B
L2 F D2 L U' B F2
F D L2 F U' D B
F D L2 F U' D' B
F D L2 F U' D2 B
F D L2 F U' B D
F D L2 F U' B D'
F D L2 F U' B D2
F D L2 F D U' B
L2 F D2 L' U' F2 B
L2 F D2 L' U' B F2
F D L2 F D' U' B
F D L2 F D2 U' B
L2 F D2 L2 U' F2 B
L2 F D2 L2 U' B F2
U' F B R2 D' F' R2
U' F B R2 F' D' R2
L2 F D2 U' F2 D B
L2 F D2 U' F2 D' B
L2 F D2 U' F2 D2 B
L2 F D2 U' F2 B D
L2 F D2 U' F2 B D'
L2 F D2 U' F2 B D2
L2 F D2 U' B F2 D
L2 F D2 U' B F2 D'
L2 F D2 U' B F2 D2
U' F B D' R2 D F'
U' F B D' R2 D' F'
U' F B D' R2 D2 F'
U' F B D' R2 F' D
U' F B D' R2 F' D'
U' F B D' R2 F' D2
U' F B D' F R2 F'
U' F B D' F' R2 F'
U' F B D' F2 R2 F'
B' D R2 L2 F' U F2
B' D R2 F' L2 U F
D' F B' R2 F' U B2
B2 D U B U L2 B2
B2 D U B U B2 L2
U F B2 U B U B2
U F B2 U2 B' D' R2
B2 D U2 B' L2 D' R2
F' D F L2 F U' B
F2 D F L2 F U' B
D2 F' L2 F U' F2 B
D2 F' L2 F U' B F2
F' D F' L2 F U' B
F2 D F' L2 F U' B
F D F L2 F U' B
D F' L2 D F U' B
D F' L2 D' F U' B
F' D F2 L2 F U' B
D F' L2 D2 F U' B
D F' L2 F U' D B
D F' L2 F U' D' B
D F' L2 F U' D2 B
D F' L2 F U' B D
D F' L2 F U' B D'
D F' L2 F U' B D2
D F' L2 F D U' B
D F' L2 F D' U' B
D F' L2 F D2 U' B
F2 D F2 L2 F U' B
F D F' L2 F U' B
B2 D B U L2 F B2
B2 D B U L2 B2 F
F D F2 L2 F U' B
B2 D B' L2 D' R2 F'
D2 F' U' F' B D' R2
D2 F' U' B D' F' R2
D2 F' U' B F' D' R2
D' F' U' B D' R2 F2
D' F' U' B D' F2 R2
L2 F' U' B D R2 F'
D2 F' U2 B' U F' B2
