F2 L D R2 F L'
F2 L D F L' R2
F2 L D F R2 L'
R2 L B U' F B'
R2 L B U' B' F
L R2 B U' F B'
L R2 B U' B' F
U' F R F2 U R'
U' F R F2 U R' D'
U' F R F2 U R' D2
U' F R F2 U D R'
U' F R F2 U D' R'
U' F R F2 U D2 R'
U' F R F2 D U R'
U' F R F2 D' U R'
U' F R F2 D2 U R'
B U2 F' R' U F' B'
B U2 F' R' U B' F'
U' F R2 F2 R' U R'
L F R2 U' F2 B U
L F R2 U' B F2 U
R2 F U F' B L U'
R2 F U B L F' U'
R2 F U B F' L U'
F2 D L R2 D F L'
L F U D' F' U' L2
L F U D2 F' B2 U'
L F U D2 B2 F' U'
L F U F' U2 F' U
L F U' F2 U2 F U'
U' F D' R U L2 R'
U' F D' R U R' L2
L' F D' L2 F D R2
L F D' L2 U F' U'
U' F B R F2 U R'
L F D' U F' U' L2
U' F B' R F2 U R'
F2 D R2 L D F L'
F2 D R2 U' F R U
L F D2 U F' B2 U'
L F D2 U B2 F' U'
U' F B2 R F2 U R'
F2 D U' F R U R
U2 F' L2 R' U F' B'
U2 F' L2 R' U B' F'
U' F' R U2 L' U' R'
L' F' L2 B' U F B
L' F' L2 B' U B F
U2 F' R U' F B U2
U2 F' R U' B F U2
U' F' R' U2 L' U' R
L F' L2 B' U F2 B
L F' L2 B' U B F2
U2 F' R' L2 U F' B'
U2 F' R' L2 U B' F'
U2 F' R' U F' D2 B2
U2 F' R' U' F U2 F2
U' F' R2 U2 L' U' R2
R2 F' U F B L U'
U' F' U2 L' U L U2
R2 F' U B F L U'
B2 D' L R2 B U' F
F D' L F L D R2
F D' L F D L R2
F D' L F D R2 L
B2 D' R2 L B U' F
B2 D' R2 B L U' F
D2 F2 L D R2 F L'
D2 F2 L D F L' R2
D2 F2 L D F R2 L'
D' F2 L D R2 F L'
D' F2 L D F L' R2
D' F2 L D F R2 L'
D F2 L D R2 F L'
D F2 L D F L' R2
D F2 L D F R2 L'
R2 F2 U F2 B L U'
R2 F2 U B L F2 U'
R2 F2 U B F2 L U'
F D2 L F D L2 R2
F D2 L F D R2 L2
U F2 U2 F R U R'
L F2 D F' R2 D' L2
L F2 D2 F' D' L2 R2
L F2 D2 F' D' R2 L2
F2 D2 U' F R B2 U
F2 D2 U' F B2 R U
F2 D2 U' B2 F R U
L B R2 B U' F B2
L B R2 B U' B2 F
R2 B U2 R' U F' B'
R2 B U2 R' U B' F'
L B U' F D' B' L2
L B U' F B' D' L2
L B U' B' F D' L2
L B U2 F' U F2 B'
L B U2 F' U B' F2
U' B F R F2 U R'
R2 B' L B2 U' F B'
R2 B' L B2 U' B' F
R B' L U' F B L
R B' L U' B F L
L' B' U2 F' U F B
L' B' U2 F' U B F
L B' U' F D' L2 B
L B' U' F D' B L2
L B' U' F B D' L2
L B' U' B F D' L2
U B' U2 F' R' U R
L B' U2 F' U F2 B
L B' U2 F' U B F2
U' B' F R F2 U R'
L' B2 R2 B U' F' B
L' B2 R2 B U' B F'
L B2 R2 B U' F B
L B2 R2 B U' B F
L B2 U' F B2 D' L2
L B2 U' B2 F D' L2
L' B2 D' R2 B U' F'
L B2 U2 F' U F2 B2
L B2 U2 F' U B2 F2
U' B2 F R F2 U R'
L B2 D' R2 B U' F
