U R' F' B2 L U2
U' R' B2 L F U2
U R' B2 L F' U2
U R' B2 F' L U2
U' R2 D2 F2 L' B'
B2 U2 R2 D L B'
R' B2 D L U2 B'
B2 R' U2 D R' L B'
B2 R' U2 D' L R' B
B2 R' U2 D' R' L B
B2 R' D U2 L R' B'
B2 R' D U2 R' L B'
B2 R' D' U2 L R' B
B2 R' D' U2 R' L B
U' R' D2 R' F2 L' B'
U R' D2 F' U2 F' R'
U' R' F B2 L F U2
U R' F B2 L F2 U2
U' R' F' B2 L F U2
U R' F' L B2 L U2
U R' F' L' B2 L U2
U R' F' L2 B2 L U2
U R' F' U2 R' D2 F2
U R' F' U2 D2 R' F2
U R' F' U2 D2 F2 R'
U R' F' D2 U2 R' F2
U R' F' D2 U2 F2 R'
U R' F' B2 L U2 D
U R' F' B2 L U2 D'
U R' F' B2 L U2 D2
U R' F' B2 L D U2
U R' F' B2 L D' U2
U R' F' B2 L D2 U2
U' R' F2 B2 L F U2
U R' F' B2 D L U2
U R' F' B2 D' L U2
U R' F' B2 D2 L U2
U' R' B2 L D F U2
U' R' B2 L D' F U2
U' R' B2 L D2 F U2
U' R' B2 L F U2 D
U' R' B2 L F U2 D'
U' R' B2 L F U2 D2
U' R' B2 L F D U2
U' R' B2 L F D' U2
U' R' B2 L F D2 U2
F' R' B2 D L U2 B'
U' R' B2 D L F U2
U' R' B2 D' L F U2
U' R' B2 D2 L F U2
U' R' B2 F L F U2
U' R' B2 F' L F U2
F2 R' B2 D L U2 B'
U' R' B2 F2 L F U2
U R' B2 L D F' U2
U R' B2 L D' F' U2
U R' B2 L D2 F' U2
U R' B2 L F' U2 D
U R' B2 L F' U2 D'
U R' B2 L F' U2 D2
U R' B2 L F' D U2
U R' B2 L F' D' U2
U R' B2 L F' D2 U2
U R' B2 L' F' L2 U2
R' U2 D2 F2 D R' B
F R' B2 D L U2 B'
U R' B2 D L F' U2
U R' B2 D F' L U2
U R' B2 D' L F' U2
U R' B2 D' F' L U2
U R' B2 D2 L F' U2
U R' B2 D2 F' L U2
U R' B2 F L F2 U2
U R' B2 F' L U2 D
U R' B2 F' L U2 D'
U R' B2 F' L U2 D2
U R' B2 F' L D U2
U R' B2 F' L D' U2
U R' B2 F' L D2 U2
U R' B2 F' D L U2
U R' B2 F' D' L U2
U R' B2 F' D2 L U2
U' R2 L' D2 F2 B' L'
U' R2 L' D2 B' F2 L'
B R2 U' L F U F2
U' R2 U2 R B2 U2 B'
U' R2 U2 B2 R U2 B
U R2 U2 R F' B2 U2
U R2 U2 R B2 F' U2
U R2 U2 B2 R F' U2
U' R2 D2 L' F2 B' L'
U' R2 D2 L' B' F2 L'
U' R2 D2 F2 L' D B'
U' R2 D2 F2 L' D' B'
U' R2 D2 F2 L' D2 B'
U' R2 D2 F2 L' B' D
U' R2 D2 F2 L' B' D'
U' R2 D2 F2 L' B' D2
U' R2 D2 F2 D L' B'
U' R2 D2 F2 D' L' B'
U' R2 D2 F2 D2 L' B'
U' R2 D2 F2 B L' B'
U' R2 D2 F2 B' L' B'
U' R2 D2 F2 B2 L' B'
U' R2 D2 B F2 L' B'
U' R2 D2 B' F2 L' B'
U' R2 D2 B2 F2 L' B'
U R2 D2 L F2 B' L'
U R2 D2 L B' F2 L'
U R2 D2 L2 F2 L' B'
U R2 D2 F2 L B' L2
U' R2 F2 L' D2 F2 B'
U' R2 F2 L' D2 B' F2
B R2 F' U' L F U
B R2 F' B D L B'
U' R2 F2 D2 L' F2 B'
U' R2 F2 D2 L' B' F2
B R2 B D L F' B'
B R2 B D L B' F'
B R2 B D F' L B'
B R2 B F' D L B'
U R2 B2 R F' U2 R'
B U L U R2 F' L'
D2 U L2 R' F' U2 F'
D2 U R' L2 F' U2 F'
D2 U R' F' L2 U2 F'
F' U R' F' B2 L U2
F' U R' B2 L F' U2
F' U R' B2 F' L U2
F2 U R' F' B2 L U2
F2 U R' B2 L F' U2
F2 U R' B2 F' L U2
F U R' F' B2 L U2
F U R' B2 L F' U2
F U R' B2 F' L U2
B U' L F U R2 F'
F' U' R' B2 L F U2
F2 U' R' B2 L F U2
F' U' R2 D2 F2 L' B'
F2 U' R2 D2 F2 L' B'
F U' R' B2 L F U2
F U' R2 D2 F2 L' B'
U D2 L2 R' F' U2 F'
B2 U2 L R' D' R' B
R D2 U L2 R F2 B
R D2 U L2 R B F2
R D2 U R L2 F2 B
R D2 U R L2 B F2
R D2 U R F2 L2 B
R D2 U R F2 B L2
R D2 U R B L2 F2
R D2 U R B F2 L2
R' D2 U2 F2 D R' B
U D2 R' L2 F' U2 F'
U D2 R' F' L2 U2 F'
B2 U2 R D L R B'
B2 U2 R D L B' R
B2 U2 R D R L B'
B2 U2 R' L D' R' B
B2 U2 R' D L R' B'
B2 U2 R' D R' L B'
B2 U2 R' D' L R' B
B2 U2 R' D' R' L B
R2 D2 F2 B L' D' B2
B2 U2 R2 D L D B'
B2 U2 R2 D L D' B'
B2 U2 R2 D L D2 B'
B2 U2 R2 D L B' D
B2 U2 R2 D L B' D'
B2 U2 R2 D L B' D2
R2 D2 B F2 L' D' B2
B2 U2 D L D' R2 B'
B2 U2 D L D' B' R2
B U2 R2 F' L' D' B2
U' F R' B2 L F U2
U' F R2 D2 F2 L' B'
U F R' F' B2 L U2
U F R' B2 L F' U2
U F R' B2 F' L U2
B2 D L D' B' R2 F'
R' F B2 D L U2 B'
B2 D U2 L D' R2 B'
B2 D U2 L D' B' R2
U' F' R' B2 L F U2
U' F' R2 D2 F2 L' B'
U F' R' F' B2 L U2
U F' R' B2 L F' U2
U F' R' B2 F' L U2
R' F' B2 D L U2 B'
U' F2 R' B2 L F U2
U' F2 R2 D2 F2 L' B'
U F2 R' F' B2 L U2
U F2 R' B2 L F' U2
U F2 R' B2 F' L U2
R' F2 B2 D L U2 B'
U B R B L R F'
U B R B R L F'
U B R B R F' L
U B U2 R2 F' L' B'
B2 F U2 R2 D L B'
B2 F' U2 R2 D L B'
U' B2 L' U2 R2 B' L2
U' B2 L' U2 B' L2 R2
U' B2 L' U2 B' R2 L2
U' B2 L' B' L2 R2 F'
U' B2 L' B' R2 L2 F'
U' B2 L' B' R2 F' L2
R' B2 L2 D L' F U2
U' B2 R U2 L R B
U' B2 R U2 R L B
U B2 L2 U2 L' R2 B'
U B2 L2 U2 L' B' R2
U B2 L2 U2 R2 L' B'
R2 B2 R U2 D' R' B
R2 B2 R D' U2 R' B
U B2 R U2 L B R
U B2 R' F' U2 L R'
U B2 R' F' U2 R' L
U' B2 U2 L R B R
U' B2 U2 R L B R
U' B2 U2 R2 D2 L B'
D B2 U D L F2 B'
D B2 U D L B' F2
D B2 U D F2 L B'
R B2 R2 U2 D' R' B
R B2 R2 D' U2 R' B
R' B2 U2 D' B2 R' B
L' B2 U2 R2 D L B'
R' B2 D L U2 D B'
R' B2 D L U2 D' B'
R' B2 D L U2 D2 B'
R' B2 D L U2 B' D
R' B2 D L U2 B' D'
R' B2 D L U2 B' D2
R' B2 D L D U2 B'
R' B2 D L D' U2 B'
R' B2 D L D2 U2 B'
R' B2 D L D2 U2 B'
R' B2 D L F U2 B'
R' B2 D L F' U2 B'
R' B2 D L F2 U2 B'
R' B2 D L' F L2 U2
L2 B2 U2 R2 D L B'
R' B2 D F L U2 B'
R' B2 D F' L U2 B'
R' B2 D F2 L U2 B'
U B2 U2 L' R2 B' L2
R' B2 D' U2 B2 R' B
U B2 U2 L' B' L2 R2
U B2 U2 L' B' R2 L2
L B2 U2 R2 D L B'
U B2 U2 R2 L' B' L2
D B2 D U L F2 B'
D B2 D U L B' F2
D B2 D U F2 L B'
F' B2 U2 R2 D L B'
B2 F2 U2 R2 D L B'
F2 B2 U2 R2 D L B'
R2 B2 D' R F' U2 R'
R' B2 F D L U2 B'
F B2 U2 R2 D L B'
R' B2 F' D L U2 B'
U B2 D2 L2 U2 L' B'
R' B2 F2 D L U2 B'
