U2 R B' U' F' B
U2 R B' U' B F'
R U2 B' U' F' B
R U2 B' U' B F'
U2 D B' L U' B
D U2 B' L U' B
R D2 U2 B' U' F' B
R D2 U2 B' U' B F'
D2 U2 B' L' U' F B
D2 U2 B' L' U' B F
U2 D2 B' L' U' F B
U2 D2 B' L' U' B F
D U2 B' L U' D B
D U2 B' L U' D' B
D U2 B' L U' D2 B
D U2 B' L U' B D
D U2 B' L U' B D'
D U2 B' L U' B D2
D U2 B' L D U' B
D U2 B' L D' U' B
D U2 B' L D2 U' B
B' U2 D B R' U B'
D U2 B' D L U' B
F2 U2 D R2 B' L U'
D U2 B' D' L U' B
D U2 B' D2 L U' B
F2 U2 D B' L R2 U'
F2 U2 D B' R2 L U'
B' U2 B R U F' B'
B' U2 B R U B' F'
B' D U2 B R' U B'
F2 D U2 R2 B' L U'
F2 D U2 B' L R2 U'
F2 D U2 B' R2 L U'
D' F' L2 R F U B'
D' F' R L2 F U B'
R F' L2 F U F' B'
R F' L2 F U B' F'
F2 D B' L R2 F' U'
F2 D B' R2 L F' U'
F2 D B' R2 F' L U'
L F' U' F R U2 F'
F2 D' L2 F U2 L' U'
F2 D' L2 F' R F2 U
F2 D' F' L2 R F U
F2 D' F' R L2 F U
F2 D' F2 L2 F R U
D' F2 D' L2 F R U
L2 F2 D' L2 F' R U
L2 F2 D' F' L2 R U
L2 F2 D' F' R L2 U
R' B L2 U' F B2 U'
R' B L2 U' B2 F U'
U2 B R B2 U' F' B
U2 B R B2 U' B F'
R' B U D B' U L2
R' B U D2 F2 B' U
R' B U D2 B' F2 U
R' B U B' U2 B' U'
R' B U' B2 U2 B U
R' B D U B' U L2
R' B D' R2 U B' U
R' B D2 U F2 B' U
R' B D2 U B' F2 U
U' B' L U' F2 R F'
U' B' L F2 U' R F'
D B' L U2 B U B'
U' B' U2 R U F' R'
U2 B' U' R F' R' B
U2 B' U' B R F' R'
R B' U2 B U F' B'
R B' U2 B U B' F'
U2 B' D2 L' U' F B
U2 B' D2 L' U' B F
