U2 L R' F L' U
U2 L F L' R' U
U2 L F R' L' U
U2 R' L F L' U
U2 D R' U B L
R D2 L2 B R' U'
D U2 R' U B L
R D2 B L2 R' U'
R D2 B R' L2 U'
R' F' U2 R F U'
F' R D2 B F L2 U'
B R D2 B L R' U'
B R D2 B R' L U'
F' R F U2 R2 F' U
F' R F D' B U' F2
F' R F D2 L2 B U'
F' R F D2 B L2 U'
F' R F B U' D' F2
F' R F B U2 R2 U
F' R F B D' U' F2
F' R F B D2 L2 U'
D2 R B R' U2 R' U
D2 R B D' R' U' F2
D2 R B D2 L2 R' U'
D2 R B D2 R' L2 U'
F' R B D' F U' F
F' R B D2 F L2 U'
F' R B F U' D' F2
F' R B F U2 R2 U
F' R B F D' U' F2
F' R B F D2 L2 U'
D R B U2 R2 U B
B R B D' L U' B'
U2 R' L F L' U D
U2 R' L F L' U D'
U2 R' L F L' U D2
U2 R' L F L' D U
U2 R' L F L' D' U
U2 R' L F L' D2 U
U2 R' L F D L' U
U2 R' L F D' L' U
U2 R' L F D2 L' U
F R' L' D' F' U R
U2 R' L2 F L' F U
U2 R' U D' B L B'
U2 R' U B D' L B'
F' R' U2 R2 F B U'
F' R' U2 R2 B F U'
F2 R' D F' L' U R2
U2 R' D' L F U B'
U2 R' D' L F U B'
L' U2 L R' F L' U
U2 R' D' U B L B'
L2 U2 L R' F L' U
F R' D' L' F' U R
L' U2 L F L' R' U
L' U2 L F R' L' U
F' R' D2 L2 F' B' U
F' R' D2 L2 B' F' U
L U2 L R' F L' U
L2 U2 L F L' R' U
L2 U2 L F R' L' U
L U2 L F L' R' U
L U2 L F R' L' U
F2 R' D2 F' L' B2 U
F2 R' D2 F' B2 L' U
F2 R' D2 B2 F' L' U
U2 R' F L F L2 U
U2 R' F L' U2 B' U'
D2 R' F' L2 B' L U
F2 R' F' L' U2 F' U'
F' R' F' U D R2 B2
F' R' F' U D B2 R2
F' R' F' U2 R2 F2 U'
F' R' F' U2 F2 R2 U'
F' R' F' D U R2 B2
F' R' F' D U B2 R2
D R' F' L2 B' U B2
F' R' F' D2 L2 B2 U
F' R' F' D2 B2 L2 U
U2 R' F' U2 R B U'
D R' F' U2 F U' B
L' U2 R' L F L' U
R2 U2 R F L' F2 U
R2 U2 R F' U2 R U'
L2 U2 R' L F L' U
L U2 R' L F L' U
L' U2 D R' U B L
R U2 R2 F L' F2 U
L2 U2 D R' U B L
R U2 R2 F' U2 R U'
L U2 D R' U B L
R U2 F L' R2 F' U
R U2 F R2 L' F' U
F R2 L' B R F' U
R U2 F2 R2 F' L' U
F R2 B L' R F' U
F R2 B R L' F' U
L' D U2 R' U B L
U2 D L R' F U B
L2 D U2 R' U B L
U2 D L F R' U B
L D U2 R' U B L
U2 D R' L F U B
U2 D R' U L B L
U2 D R' U L' B L
U2 D R' U L2 B L
U2 D R' U D B L
U2 D R' U D' B L
U2 D R' U D2 B L
U2 D R' U B L D
U2 D R' U B L D'
U2 D R' U B L D2
U2 D R' U B D L
U2 D R' U B D' L
U2 D R' U B D2 L
U2 D R' D U B L
U2 D R' D' U B L
U2 D R' D2 U B L
U2 D R' F U B L
U2 D R' F' U B L
U2 D R' F2 U B L
U2 D F R' U B L
U2 D F' R' U B L
U2 D F2 R' U B L
R D' L B U' F2 B2
R D' L B U' B2 F2
U2 D' L R' F U B'
U2 D' L F R' U B'
U2 D' R' L F U B'
U2 D' R' U B L B'
R D' B L U' F2 B'
R D' B L U' B' F2
B U' D' B L F B'
B U' D' B L B' F
D' U2 L R' F U B'
D' U2 L F R' U B'
R D2 L' B L' R' U'
R D2 L' B R' L' U'
D U2 L R' F U B
D U2 L F R' U B
R D2 L2 B R' U' D
R D2 L2 B R' U' D'
R D2 L2 B R' U' D2
R D2 L2 B R' D U'
R D2 L2 B R' D' U'
R D2 L2 B R' D2 U'
R D2 L2 B D R' U'
R D2 L2 B D' R' U'
R D2 L2 B D2 R' U'
D' U2 R' L F U B'
B U' B D' L F B'
B U' B D' L B' F
D' U2 R' U B L B'
D U2 R' L F U B
D U2 R' U L B L
D U2 R' U L' B L
D U2 R' U L2 B L
D U2 R' U D B L
D U2 R' U D' B L
D U2 R' U D2 B L
D U2 R' U B L D
D U2 R' U B L D'
D U2 R' U B L D2
D U2 R' U B D L
D U2 R' U B D' L
D U2 R' U B D2 L
D U2 R' D U B L
D U2 R' D' U B L
D U2 R' D2 U B L
D U2 R' F U B L
D U2 R' F' U B L
D U2 R' F2 U B L
B U2 L F L' R U
B U2 L F R L' U
R' D2 F' L2 B' L U
D U2 F R' U B L
D U2 F' R' U B L
D U2 F2 R' U B L
R D2 B L2 R' U' D
R D2 B L2 R' U' D'
R D2 B L2 R' U' D2
R D2 B L2 R' D U'
R D2 B L2 R' D' U'
R D2 B L2 R' D2 U'
R D2 B L2 D R' U'
R D2 B L2 D' R' U'
R D2 B L2 D2 R' U'
R D2 B R' L2 U' D
R D2 B R' L2 U' D'
R D2 B R' L2 U' D2
R D2 B R' L2 D U'
R D2 B R' L2 D' U'
R D2 B R' L2 D2 U'
R D2 B R' U' D F2
R D2 B R' D U' F2
R D2 B D R' U' F2
R' F L F2 L2 B' U
U2 F L R' F L2 U
U2 F L F L2 R' U
U2 F L F R' L2 U
R' F L' F2 U2 F U'
U2 F L' R' U2 B' U'
R F L' R2 F' B U
R F L' R2 B F' U
U2 F R' L F L2 U
U2 F R' L' U2 B' U'
U F R U L' R2 U
U F R U R2 L' U
R F R2 L' F' B U
R F R2 L' B F' U
R F R2 B L' F' U
F2 D R' F' L' U R'
R' F' L2 B' U2 R U'
B2 D' L R B U' B2
R' F' U2 R D F U'
R' F' U2 R D' F U'
R' F' U2 R D2 F U'
R' F' U2 R F U' D
R' F' U2 R F U' D'
R' F' U2 R F U' D2
R' F' U2 R F D U'
R' F' U2 R F D' U'
R' F' U2 R F D2 U'
R' F' U2 R' F R2 U'
B2 D' L U' B L B2
R' F' U2 R2 F R' U'
R' F' U2 D R F U'
R' F' U2 D' R F U'
R' F' U2 D2 R F U'
B2 D' L B2 U' B L
R' F' D U2 R F U'
R' F' D' U2 R F U'
B2 D' R L B U' B2
R' F' D2 U2 R F U'
R' F' B U2 R F U'
B D' R B L U' B'
R' F' B' U2 R F U'
R' F' B2 U2 R F U'
B D' U' B L F B'
B D' U' B L B' F
B2 D2 L R B R' U'
B2 D2 R L B R' U'
B D2 R B L R' U'
B D2 R B R' L U'
F2 D2 R' F' L' B2 U
F2 D2 R' F' B2 L' U
F2 D2 R' B2 F' L' U
D2 B R B L R2 U'
D2 B R B R2 L U'
D' B R B L U' B'
D' B U' B L F B'
D' B U' B L B' F
F' B R F B L U'
F' B R B F L U'
R B D' L U' F2 B'
R B D' L U' B' F2
R' B F' U2 R F U'
B2 F' R F L B U'
B F' R F B L U'
B F' R B F L U'
R' B' F' U2 R F U'
D' B2 L R B U' B2
D' B2 L U' B L B2
D' B2 L B2 U' B L
D' B2 R L B U' B2
F' B2 R F L B U'
R' B2 F' U2 R F U'
