F' L2 U L D F2
F' L2 U2 L' U' L2
F' L2 F U L F
F' L2 F2 R U L
F L2 F2 R U L'
L2 U2 L' B U' L
L2 U2 B L' U' L2
L2 F U' R B U2
L2 F' U D' L' F
L2 F' D' U L' F
L2 F2 R F U L'
L2 F2 D R F' U
R' L2 F2 R F U L'
R L2 F' D' U L' F
R' L2 F2 D R F' U
L2 R2 F2 R F U L'
R2 L2 F2 R F U L'
R L2 F2 R F U L'
L2 R2 F2 D R F' U
R2 L2 F2 D R F' U
R L2 F2 D R F' U
F L2 U' R U' L' U'
F' L2 U2 L' U' L2 D
F' L2 U2 L' U' L2 D'
F' L2 U2 L' U' L2 D2
F' L2 U2 L' D' B2 U'
F' L2 U2 L' B U' L2
F' L2 U2 L' B' U' L2
F' L2 U2 L' B2 U' L2
F' L2 U2 D L' U' L2
F' L2 U2 D' L' U' L2
F' L2 U2 D2 L' U' L2
F L2 U2 L' U R U2
F' L2 D U L D F2
F' L2 D U2 L' U' L2
F' L2 D F U L F
F' L2 D F2 R U L
F2 L2 D F2 R F' U
F L2 D F2 R U L'
F' L2 D' U L D F2
F' L2 D' U2 L' U' L2
F' L2 D' F U L F
F' L2 D' F2 R U L
L2 U L U L2 B' U'
F L2 D' F2 R U L'
F' L2 D2 U L D F2
F' L2 D2 U2 L' U' L2
F' L2 D2 F U L F
F' L2 D2 F2 R U L
F L2 D2 F2 R U L'
F' L2 F R U L F
F' L2 F R' U L F
F' L2 F R2 U L F
F' L2 F U L D F
F' L2 F U L D' F
F' L2 F U L D2 F
F' L2 F U L F D
F' L2 F U L F D'
F' L2 F U L F D2
F' L2 F U D L F
F' L2 F U D' L F
F' L2 F U D2 L F
F' L2 F U F L F
F' L2 F U F' L F
F' L2 F U F2 L F
F2 L2 F U L F L2
F' L2 F D U L F
F' L2 F D' U L F
F' L2 F D2 U L F
F L2 F U L F L'
L2 U L2 U L B' U'
B2 L2 F' R' B2 U L'
F' L2 F2 R U L D
F' L2 F2 R U L D'
F' L2 F2 R U L D2
F' L2 F2 R U D L
F' L2 F2 R U D' L
F' L2 F2 R U D2 L
F' L2 F2 R D U L
F' L2 F2 R D' U L
F' L2 F2 R D2 U L
F' L2 F2 R F U L
F' L2 F2 R F' U L
F' L2 F2 R F2 U L
F2 L2 F2 R F' U L'
F' L2 F2 D R U L
F' L2 F2 D' R U L
F L2 F2 R U L' D
F L2 F2 R U L' D'
F L2 F2 R U L' D2
F L2 F2 R U D L'
F L2 F2 R U D' L'
F L2 F2 R U D2 L'
F L2 F2 R D U L'
F L2 F2 R D' U L'
F L2 F2 R D2 U L'
F' L2 F2 D2 R U L
F L2 F2 D R U L'
F L2 F2 D' R U L'
F L2 F2 D2 R U L'
F' R L2 U L D F2
F' R L2 U2 L' U' L2
F' R L2 F U L F
F' R L2 F2 R U L
F R L2 U2 L' U' L
L2 U' R U' L' B U'
L2 U' R U' B L' U'
F' R' L2 U L D F2
F' R' L2 U2 L' U' L2
F' R' L2 F U L F
F' R' L2 F2 R U L
B2 R' L2 F' B2 U L'
B2 R' L2 B2 F' U L'
F R' L2 D' F2 R U
L2 U2 L B L2 U' L'
L2 U2 L' U2 F' U L'
L2 U2 L' D B U' L
L2 U2 L' D' B U' L
L2 U2 L' D2 B U' L
L2 U2 L' B U' L D
L2 U2 L' B U' L D'
L2 U2 L' B U' L D2
L2 U2 L' B U' D L
L2 U2 L' B U' D' L
L2 U2 L' B U' D2 L
L2 U2 L' B D U' L
L2 U2 L' B D' U' L
L2 U2 L' B D2 U' L
L2 U2 L' B' U R' U2
B2 R' F' B2 L2 U L
L2 U2 D L' B U' L
B2 R' B2 L2 F' U L'
L2 U2 D B L' U' L2
L2 U2 D' L' B U' L
B2 R' B2 F' L2 U L
L2 U2 D' B L' U' L2
L2 U2 D2 L' B U' L
L2 U2 D2 B L' U' L2
F' R2 L2 U L D F2
F' R2 L2 U2 L' U' L2
F' R2 L2 F U L F
F' R2 L2 F2 R U L
L2 U2 B L' U' L2 D
L2 U2 B L' U' L2 D'
L2 U2 B L' U' L2 D2
L2 U2 B L' D' B2 U'
L2 U2 B L' B U' L2
L2 U2 B L' B' U' L2
L2 U2 B L' B2 U' L2
L2 U2 B U' L D F2
L2 U2 B D L' U' L2
L2 U2 B D' L' U' L2
L2 U2 B D2 L' U' L2
L2 U2 B' L' U R' U2
L2 U2 B' L' B2 U' L
L2 U2 B2 L' B' U' L
L' D L' F' U L' F'
L2 D U2 L' B U' L
L2 D U2 B L' U' L2
L2 D F U' R B U2
L2 D F' U D' L' F
L2 D F' D' U L' F
L2 D F2 R F U L'
L2 D F2 D R F' U
F' U D' L' B2 D F2
F' U D2 L' D F2 B2
F' U D2 L' D B2 F2
U2 D' L B U' L B
L2 D' U2 L' B U' L
L2 D' U2 B L' U' L2
L2 D' F U' R B U2
B2 U' L2 R' F' B2 U
B2 U' L2 R' B2 F' U
L2 D' F' U D' L' F
L2 D' F' D' U L' F
L2 D' F2 R F U L'
L2 D' F2 D R F' U
B2 U' R' L2 F' B2 U
B2 U' R' L2 B2 F' U
B2 U' R' F' L2 B2 U
B2 U' R' F' B2 L2 U
B2 U' R' B2 L2 F' U
B2 U' R' B2 F' L2 U
L' D2 L' R2 F' U L'
L' D2 L' F' R2 U L'
D2 U2 L R2 B U' L
D' U2 L B U' L B
U2 D2 L R2 B U' L
D2 U2 L B R2 U' L
U2 D2 L B R2 U' L
L' D2 R2 L' F' U L'
D2 U2 R2 L B U' L
F' U2 L U2 L U L
U2 D2 R2 L B U' L
F' U2 L D' B2 R' U'
L2 D2 U2 L' B U' L
F' U2 L B2 R' U' L2
L2 D2 U2 B L' U' L2
L2 D2 F U' R B U2
B' U2 L2 B U L F
L2 D2 F' U D' L' F
L2 D2 F' D' U L' F
L2 D2 F2 R F U L'
L2 D2 F2 D R F' U
F' U2 D' L U' L2 B2
F' U2 D' L U' B2 L2
F2 U2 D' L B' U' B'
F' U2 D2 L R2 U' L2
F' U2 D2 R2 L U' L2
L F L F2 R U L'
R' F L2 F2 R U L'
R2 F L2 F2 R U L'
R F L2 F2 R U L'
L2 F R2 U' R' U2 F'
L' F U D F2 L' B'
L2 F U L F2 L' F'
L2 F U L2 F2 L' F
L2 F U F L F L'
L2 F U F2 L F L2
L2 F U' R D B U2
L2 F U' R D' B U2
L2 F U' R D2 B U2
L2 F U' R B U2 D
L2 F U' R B U2 D'
L2 F U' R B U2 D2
L2 F U' R B D U2
L2 F U' R B D' U2
L2 F U' R B D2 U2
L2 F U' D R B U2
L2 F U' D' R B U2
L2 F U' D2 R B U2
L2 F U' B R B U2
L2 F U' B' R B U2
L2 F U' B2 R B U2
L' F D U F2 L' B'
L2 F D U' R B U2
L2 F D' U' R B U2
L2 F D2 U' R B U2
R' F' L2 U L D F2
R' F' L2 U2 L' U' L2
L F' L U2 L' U' L'
L F' L D F2 R U
R' F' L2 F U L F
R' F' L2 F2 R U L
L F' L F2 R U L2
R2 F' L2 U L D F2
R2 F' L2 U2 L' U' L2
R2 F' L2 F U L F
R2 F' L2 F2 R U L
L2 F' R U D' L' F
L2 F' R D' U L' F
R F' L2 U L D F2
R F' L2 U2 L' U' L2
R F' L2 F U L F
R F' L2 F2 R U L
L2 F' R' U D' L' F
L2 F' R' D' U L' F
L2 F' R2 U D' L' F
D2 F' U L' D F2 B2
D2 F' U L' D B2 F2
D' F' U L' B2 D F2
L2 F' R2 D' U L' F
L2 F' U D' L' D F
L2 F' U D' L' D' F
L2 F' U D' L' D2 F
L2 F' U D' L' F D
L2 F' U D' L' F D'
L2 F' U D' L' F D2
D2 F' U2 L R2 U' L2
D' F' U2 L U' L2 B2
D' F' U2 L U' B2 L2
D2 F' U2 R2 L U' L2
L F' U' L' D' B2 R'
L2 F' D R U L' F'
L2 F' D' R U L' F
L2 F' D' R' U L' F
L2 F' D' R2 U L' F
L2 F' D' U L' D F
L2 F' D' U L' D' F
L2 F' D' U L' D2 F
L2 F' D' U L' F D
L2 F' D' U L' F D'
L2 F' D' U L' F D2
F' D' U L' B2 D F2
F' D' U2 L U' L2 B2
F' D' U2 L U' B2 L2
F2 D' U2 L B' U' B'
L2 F2 R U F L' F'
L2 F2 R F U L' D
L2 F2 R F U L' D'
L2 F2 R F U L' D2
L2 F2 R F U D L'
L2 F2 R F U D' L'
L2 F2 R F U D2 L'
L2 F2 R F D U L'
L2 F2 R F D' U L'
L2 F2 R F D2 U L'
L2 F2 R F' U' R U2
L2 F2 R' F R2 U L'
L2 F2 R2 F R' U L'
L2 F2 U F D' L' F
L2 F2 D R D F' U
L2 F2 D R D' F' U
L2 F2 D R D2 F' U
L2 F2 D R F' U D
L2 F2 D R F' U D'
L2 F2 D R F' U D2
L2 F2 D R F' D U
L2 F2 D R F' D' U
L2 F2 D R F' D2 U
F' D2 U L' D F2 B2
F' D2 U L' D B2 F2
F' D2 U2 L R2 U' L2
F' D2 U2 R2 L U' L2
L B' R2 F' U' L' B'
U2 B' U' D' B2 L F
B2 F' R' B2 L2 U L
U2 B' D' U' B2 L F
D' B2 U' R' F' B2 U
D' B2 U' R' B2 F' U
F' B2 R' B2 L2 U L
