F L2 R2 U R' B'
F R2 L2 U R' B'
F R2 U' F U2 R'
F' R2 F2 U B R
F2 U F' R2 U R'
R2 D' F L2 U R
R2 D2 F U R B2
R2 D2 F U B2 R
R2 F L2 U R B'
R2 F L2 U B' R
F' D' F2 L2 R B'
F' D' F2 L2 B' R
F' D' F2 R L2 B'
R D' R F L2 U R
F2 U B F' R2 U R'
F2 U B' F' R2 U R'
F2 U B2 F' R2 U R'
D2 U' L2 B' U' B' R'
R' D' F L2 R' U R2
R' D' F R' L2 U R2
R2 D' F L2 U R D
R2 D' F L2 U R D'
R2 D' F L2 U R D2
R2 D' F L2 U D R
R2 D' F L2 U D' R
R2 D' F L2 U D2 R
R2 D' F L2 D U R
R2 D' F L2 D' U R
R2 D' F L2 D2 U R
R2 D' F L2 B U R
R2 D' F L2 B' U R
R2 D' F L2 B2 U R
R2 D' F U R D' B2
R2 D' F U D' R B2
R2 D' F U D' B2 R
R2 D' F D' U R B2
R2 D' F D' U B2 R
R2 D' F B L2 U R
R2 D' F B' L2 U R
R2 D' F B2 L2 U R
R2 D' F2 L2 F' U R
R2 D' B F L2 U R
F' U' R2 F2 U B R
R2 D' B' F L2 U R
F' U' D' F2 L2 R B'
F' U' D' F2 L2 B' R
F' U' D' F2 R L2 B'
R2 D' B2 F L2 U R
R' D2 R' F U R B2
R' D2 R' F U B2 R
U' D2 L2 B' U' B' R'
D2 U2 L2 B' U' R' B'
R D2 R F U R B2
R D2 R F U B2 R
U2 D2 L2 B' U' R' B'
R' D2 F R' U R2 B2
R' D2 F R' U B2 R2
R2 D2 F L U R B2
R2 D2 F L U B2 R
R2 D2 F L' U R B2
R2 D2 F L' U B2 R
R2 D2 F L2 U R B2
R2 D2 F L2 U B2 R
R2 D2 F U R B2 D
R2 D2 F U R B2 D'
R2 D2 F U R B2 D2
R2 D2 F U R' B2 R2
R2 D2 F U B' R B'
R2 D2 F U B2 R D
R2 D2 F U B2 R D'
R2 D2 F U B2 R D2
R2 D2 F U B2 D R
R2 D2 F U B2 D' R
R2 D2 F U B2 D2 R
R2 D2 F D L2 U R
R2 D2 F B U B R
R2 D2 F B' U R B'
R2 D2 F B' U B' R
R2 D2 B F U B R
F' U2 R2 F2 U B R
R2 D2 B' F U R B'
R2 D2 B' F U B' R
F' U2 D' F2 L2 R B'
F' U2 D' F2 L2 B' R
F' U2 D' F2 R L2 B'
R' F L2 R' U R2 B'
R' F L2 R' U B' R2
D' F L2 U' B' U2 R
D2 F L2 U' R B2 L
F U2 D2 L2 U' R B'
F U2 D2 L2 U' B' R
F2 U2 F D' F2 L2 R
F2 U2 F D' F2 R L2
R2 F L2 U R D B'
R2 F L2 U R D' B'
R2 F L2 U R D2 B'
R2 F L2 U R B' D
R2 F L2 U R B' D'
R2 F L2 U R B' D2
R2 F L2 U R' B' R2
R2 F L2 U D R B'
R2 F L2 U D B' R
R2 F L2 U D' R B'
R2 F L2 U D' B' R
R2 F L2 U D2 R B'
R2 F L2 U D2 B' R
R2 F L2 U B R B2
R2 F L2 U B' R D
R2 F L2 U B' R D'
R2 F L2 U B' R D2
R2 F L2 U B' D R
R2 F L2 U B' D' R
R2 F L2 U B' D2 R
R2 F L2 D U R B'
R2 F L2 D U B' R
R2 F L2 D' U R B'
R2 F L2 D' U B' R
R2 F L2 D2 U R B'
R2 F L2 D2 U B' R
R2 F L2 B U R B2
R2 F L2 B U B2 R
R2 F L2 B2 U B R
R' F R' L2 U R2 B'
R' F R' L2 U B' R2
R' F R' U' F U2 R2
D' F U R D' F B2
D' F U R D' B2 F
D' F U R F D' B2
D2 F U R B2 D F2
D' F U D' R F B2
D' F U D' R B2 F
D' F U D' B2 R F
D2 F U B2 R D F2
D2 F U B2 D R F2
U F R2 U' F U2 R
R2 F U L2 R B' L2
R2 F U L2 B' L2 R
R2 F U L2 B' R L2
R2 F U R L2 B' L2
R2 F U R U2 F U2
R2 F U' L' U2 R B
D2 F U2 L2 U' R B2
D2 F U2 L2 U' B2 R
R2 F U' L2 U2 R B'
R2 F U' L2 U2 B' R
R2 F U' F2 L' F' U2
F' D L' R2 B2 U2 B'
D2 F D L2 U R F2
F' D L' F' R2 B2 U2
F' D L' F' B2 R2 U2
F' D L' B2 R2 U2 B
F' D L' B2 F' R2 U2
R2 F D L2 U R B'
R2 F D L2 U B' R
D' F D' U R F B2
D' F D' U R B2 F
D' F D' U B2 R F
R2 F D' L2 U R B'
R2 F D' L2 U B' R
R2 F D2 L2 U R B'
R2 F D2 L2 U B' R
D F D2 L2 U R F2
F' D R2 L' B2 U2 B'
R2 F B L2 U R B'
R2 F B L2 U B' R
R2 F B' L2 U R B'
R2 F B' L2 U B' R
R2 F B2 L2 U R B'
R2 F B2 L2 U B' R
F' D B2 L' R2 U2 B
F' D B2 L' F' R2 U2
F' D B2 R2 L' U2 B
D' F' D' L2 F' B2 R'
D' F' D' L2 B2 F' R'
F' D' R F2 L2 R B
F' D' R F2 R L2 B
F' D' R F2 R B L2
U2 F' D' F2 L2 B' R'
F D' L2 U R F2 B'
F D' L2 U R B' F2
F D' L2 U B' R F2
F' D' R2 F2 L2 B R
F' D' R2 F2 B L2 R
F' D' R2 F2 B R L2
F D' R' U F2 R2 B
F' D' R2 B F2 L2 R
F' D' R2 B F2 R L2
F' D' U F2 L2 R B'
F' D' U F2 L2 B' R
F' D' U F2 R L2 B'
F' D' U' F2 L2 R B'
F' D' U' F2 L2 B' R
F' D' U' F2 R L2 B'
F D' U R' F2 R2 B
F' D' U2 F2 L2 R B'
F' D' U2 F2 L2 B' R
F' D' U2 F2 R L2 B'
D' F2 L2 F' U R F
F' D' F' U2 L2 F' R
F' D' F' U2 F' L2 R
F' D' F' U2 F' R L2
F' D' F2 L2 R D B'
F' D' F2 L2 R D' B'
F' D' F2 L2 R D2 B'
F' D' F2 L2 R B' D
F' D' F2 L2 R B' D'
F' D' F2 L2 R B' D2
F' D' F2 L2 R' B' R2
F' D' F2 L2 D R B'
F' D' F2 L2 D B' R
F' D' F2 L2 D' R B'
F' D' F2 L2 D' B' R
F' D' F2 L2 D2 R B'
F' D' F2 L2 D2 B' R
F' D' F2 L2 B R B2
F' D' F2 L2 B' R D
F' D' F2 L2 B' R D'
F' D' F2 L2 B' R D2
F' D' F2 L2 B' D R
F' D' F2 L2 B' D' R
F' D' F2 L2 B' D2 R
F' D' F2 R L2 D B'
F' D' F2 R L2 D' B'
F' D' F2 R L2 D2 B'
F' D' F2 R L2 B' D
F' D' F2 R L2 B' D'
F' D' F2 R L2 B' D2
F' D' F2 R B L2 B'
F' D' F2 R B' L2 B'
F' D' F2 R B2 L2 B'
F' D' F2 R' L2 B' R2
F' D' F2 B L2 R B'
F' D' F2 B L2 B' R
F' D' F2 B R L2 B'
F' D' F2 B' L2 R B'
F' D' F2 B' L2 B' R
F' D' F2 B' R L2 B'
F' D' F2 B2 L2 R B'
F' D' F2 B2 L2 B' R
F' D' F2 B2 R L2 B'
F' D' B F2 L2 R B'
F' D' B F2 L2 B' R
F' D' B F2 R L2 B'
R' F2 U F' R' U R2
F' D' B' F2 L2 R B'
F' D' B' F2 L2 B' R
F' D' B' F2 R L2 B'
D' F2 U' L2 F' U R
D' F2 U' F' L2 U R
F' D' B2 F2 L2 R B'
F' D' B2 F2 L2 B' R
F' D' B2 F2 R L2 B'
R2 F2 U F' U R F
F D2 U2 L2 U' R B'
F D2 U2 L2 U' B' R
B' F L2 R2 U R' B'
B2 F L2 R2 U R' B'
B F L2 R2 U R' B'
F B L2 R2 U R' B'
R2 B D' F L2 U R
B' F R2 L2 U R' B'
B' F R2 U' F U2 R'
R2 B D2 F U R B2
R2 B D2 F U B2 R
B2 F R2 L2 U R' B'
B2 F R2 U' F U2 R'
R2 B F L2 U R B'
R2 B F L2 U B' R
F' B R2 F2 U B R
B F R2 L2 U R' B'
B F R2 U' F U2 R'
F B R2 L2 U R' B'
F B R2 U' F U2 R'
F2 B U F' R2 U R'
F' B D' F2 L2 R B'
F' B D' F2 L2 B' R
F' B D' F2 R L2 B'
F B' L2 R2 U R' B'
B' F' R2 F2 U B R
F' B' R2 F2 U B R
B2 F' R2 F2 U B R
R2 B' D' F L2 U R
F B' R2 L2 U R' B'
B F' R2 F2 U B R
F2 B' U F' R2 U R'
F B' R2 U' F U2 R'
R2 B' D2 F U R B2
R2 B' D2 F U B2 R
R2 B' F L2 U R B'
R2 B' F L2 U B' R
B' F' D' F2 L2 R B'
B' F' D' F2 L2 B' R
B' F' D' F2 R L2 B'
F' B' D' F2 L2 R B'
F' B' D' F2 L2 B' R
F' B' D' F2 R L2 B'
B2 F' D' F2 L2 R B'
B2 F' D' F2 L2 B' R
B2 F' D' F2 R L2 B'
B F' D' F2 L2 R B'
B F' D' F2 L2 B' R
B F' D' F2 R L2 B'
F B2 L2 R2 U R' B'
F' B2 R2 F2 U B R
B' F2 U F' R2 U R'
B2 F2 U F' R2 U R'
F B2 R2 L2 U R' B'
F2 B2 U F' R2 U R'
F B2 R2 U' F U2 R'
B F2 U F' R2 U R'
R2 B2 D' F L2 U R
R2 B2 D2 F U R B2
R2 B2 D2 F U B2 R
F' B2 D' F2 L2 R B'
F' B2 D' F2 L2 B' R
F' B2 D' F2 R L2 B'
R2 B2 F L2 U R B'
R2 B2 F L2 U B' R
