U L U L' R'
U L U R' L'
L R U R2 D' F2
R L U R2 D' F2
U L U L' R' D
U L U L' R' D'
U L U L' R' D2
U L U L' D R'
U L U L' D' R'
U L U L' D2 R'
U L U R' L' D
U L U R' L' D'
U L U R' L' D2
U L U R' D L'
U L U R' D' L'
U L U R' D2 L'
U L U D L' R'
U L U D R' L'
U L U D' L' R'
U L U D' R' L'
U L U D2 L' R'
U L U D2 R' L'
U L D U L' R'
U L D U R' L'
U L D' U L' R'
U L D' U R' L'
U L D2 U L' R'
U L D2 U R' L'
L R B' U R2 F'
R L B' U R2 F'
R2 U L U L' R
R2 U L U R L'
R U L U L' R2
R U L U R2 L'
L' U L2 U L2 R'
L' U L2 U R' L2
L2 U L' U L R'
L2 U L' U R' L
L U R' U' R U
L U R2 D' R F2
U2 R' U' L U L'
U R' U' L R U
U R' U' R L U
L U2 F U' F' R'
L U2 F' U' R' F
L U2 F' U' F R'
L U2 F2 U' R' F2
L U2 F2 U' F2 R'
D2 U L U L' R'
D2 U L U R' L'
D' U L U L' R'
D' U L U R' L'
F2 U L F2 U R'
U D L U L' R'
U D L U R' L'
D U L U L' R'
D U L U R' L'
F U L F' U R'
F' U F L U R'
F2 U F2 L U R'
F U F' L U R'
U D' L U L' R'
U D' L U R' L'
U D2 L U L' R'
U D2 L U R' L'
U F L U L' R'
U F L U R' L'
U F' L U L' R'
U F' L U R' L'
U F2 L U L' R'
U F2 L U R' L'
L B' U' B U2 R'
L B2 U' L B2 U2
L B2 U' B2 U2 R'
R U L B U R2 L'
L2 U L' U L R' D
L2 U L' U L R' D'
L2 U L' U L R' D2
L2 U L' U L D R'
L2 U L' U L D' R'
L2 U L' U L D2 R'
L2 U L' U R' L D
L2 U L' U R' L D'
L2 U L' U R' L D2
L2 U L' U R' D L
L2 U L' U R' D' L
L2 U L' U R' D2 L
L2 U L' U D L R'
L2 U L' U D R' L
L2 U L' U D' L R'
L2 U L' U D' R' L
L2 U L' U D2 L R'
L2 U L' U D2 R' L
R U L B' U L' R2
R U L B' U R2 L'
R U L B2 U L' R2
R U L B2 U R2 L'
L2 U L' D U L R'
L2 U L' D U R' L
L2 U L' D' U L R'
L2 U L' D' U R' L
L2 U L' D2 U L R'
L2 U L' D2 U R' L
L2 U L' F U L R'
L2 U L' F U R' L
L2 U L' F' U L R'
L2 U L' F' U R' L
L2 U L' F2 U L R'
L2 U L' F2 U R' L
L' U L2 U L2 R' D
L' U L2 U L2 R' D'
L' U L2 U L2 R' D2
L' U L2 U L2 D R'
L' U L2 U L2 D' R'
L' U L2 U L2 D2 R'
L' U L2 U R' L2 D
L' U L2 U R' L2 D'
L' U L2 U R' L2 D2
L' U L2 D F2 U R'
L' U L2 F U L2 R'
L' U L2 F U R' L2
L' U L2 F' U L2 R'
L' U L2 F' U R' L2
L' U L2 F2 U L2 R'
L' U L2 F2 U R' L2
R2 U R U' L R' U
R2 U R U' R' L U
L U R U' R' U R'
U2 L2 F2 R U' R2 F2
U2 L2 F2 R U' F2 R2
L' U R' U' L2 R U
L' U R' U' R L2 U
L2 U R' U' L' R U
L2 U R' U' R L' U
L U R' U' R U D
L U R' U' R U D'
L U R' U' R U D2
L U R' U' R D U
L U R' U' R D' U
L U R' U' R D2 U
L U R' U' D R U
L U R' U' D' R U
L U R' U' D2 R U
L U R' D U' R U
L U R' D' U' R U
L U R' D2 U' R U
L U R' F2 U L' U'
L' U R2 D' R F2 B2
L' U R2 D' R B2 F2
L' U R2 D' B2 R F2
L U R2 U' R2 U R'
R U R2 U' L R2 U
R U R2 U' R2 L U
L U R2 D R D2 F2
L U R2 D' R F2 D
L U R2 D' R F2 D'
L U R2 D' R F2 D2
L U R2 D' R' F2 R2
L U R2 D' R2 F2 R'
L U R2 D2 R D F2
L U R2 F2 D' F2 R
L2 U D L' U L R'
L2 U D L' U R' L
R2 U D L U L' R
R2 U D L U R L'
R U D L B2 U L'
L U D R' U' R U
L U D R2 D' R F2
L2 U D' L' U L R'
L2 U D' L' U R' L
R2 U D' L U L' R
R2 U D' L U R L'
D2 R L U R2 D' F2
D' R L U R2 D' F2
L U D' R' U' R U
L U D' R2 D' R F2
D R L U R2 D' F2
L2 U D2 L' U L R'
L2 U D2 L' U R' L
R2 U D2 L U L' R
R2 U D2 L U R L'
D2 R L B' U R2 F'
D' R L B' U R2 F'
L U D2 R' U' R U
L' U F L2 U L2 R'
L' U F L2 U R' L2
L U D2 R2 D' R F2
D R L B' U R2 F'
R U F L U L' R2
R U F L U R2 L'
L U F R' U' R U
L U F R2 D' R F2
L' U F' L2 U L2 R'
L' U F' L2 U R' L2
D2 R U L U L' R2
D2 R U L U R2 L'
D' R U L U L' R2
D' R U L U R2 L'
B' R U R F' B R'
R U F' L U L' R2
B' R U R B F' R'
R U F' L U R2 L'
F2 R U L F2 U R2
D R U L U L' R2
D R U L U R2 L'
L U F' R' U' R U
L U F' R2 D' R F2
F' R U F L U R2
L' U F2 L2 U L2 R'
L' U F2 L2 U R' L2
F2 R U F2 L U R2
R U F2 L U L' R2
U2 R U' L U L' R2
R U F2 L U R2 L'
U2 R U' L U R2 L'
L U F2 R' U' R U
L U F2 R2 D' R F2
U R U' L R' U R'
U R U' R' L U R'
R' U' L U2 L' U' L
B2 R D2 L2 U F2 R
L U' L U' L' U' R'
L U' L' U' L U' R'
L U' L2 U' L2 U' R'
L U' L2 U2 R' D F2
L U' L2 U2 D R' F2
L U' L2 U2 D F2 R'
L U' L2 D U2 R' F2
L U' L2 D U2 F2 R'
L U' L2 D' B2 L U2
U' R B2 R' U' L R'
U' R B2 R' U' R' L
U2 R' L' U' L2 U L2
U2 R' L' D' B2 D L2
U2 R' L2 U' L' U L
B2 R' U L B2 U2 L'
B2 R' U' L B2 U2 B2
F2 R' U' L F2 R U
U2 R' U' L U L' D
U2 R' U' L U L' D'
U2 R' U' L U L' D2
U2 R' U' L U D L'
U2 R' U' L U D' L'
U2 R' U' L U D2 L'
U2 R' U' L D U L'
U2 R' U' L D' U L'
U2 R' U' L D2 U L'
U2 R' U' D L U L'
U2 R' U' D' L U L'
U2 R' U' D2 L U L'
U R' U' L R U D
U R' U' L R U D'
U R' U' L R U D2
U R' U' L R D U
U R' U' L R D' U
U R' U' L R D2 U
U2 R' U' F L U L'
U R' U' L D R U
U R' U' L D' R U
U R' U' L D2 R U
U2 R' U' F' L U L'
U2 R' U' F2 L U L'
U R' U' R L U D
U R' U' R L U D'
U R' U' R L U D2
U R' U' R L D U
U R' U' R L D' U
U R' U' R L D2 U
U R' U' R D L U
U R' U' R D' L U
U R' U' R D2 L U
B2 R' U' B2 U2 R' B2
U R' U' D L R U
U R' U' D R L U
U R' U' D' L R U
U R' U' D' R L U
U R' U' D2 L R U
U R' U' D2 R L U
U2 R' D U' L U L'
L U' B2 L U' L' U'
U R' D U' L R U
U R' D U' R L U
U2 R' D' U' L U L'
U R' D' U' L R U
U R' D' U' R L U
U2 R' D2 U' L U L'
L U2 L F U' F' R'
L U2 L F' U' R' F
L U2 L F' U' F R'
L U2 L F2 U' R' F2
L U2 L F2 U' F2 R'
U R' D2 U' L R U
U R' D2 U' R L U
L U2 L' F U' F' R'
L U2 L' F' U' R' F
L U2 L' F' U' F R'
L U2 L' F2 U' R' F2
L U2 L' F2 U' F2 R'
L U2 L2 F U' F' R'
L U2 L2 F' U' R' F
L U2 L2 F' U' F R'
L U2 L2 F2 U' R' F2
L U2 L2 F2 U' F2 R'
R2 U2 R U' L U L'
L' U2 R' U' L2 U L2
L' U2 R' D' B2 D L2
L2 U2 R' U' L' U L
R U2 R2 U' L U L'
L' U2 D' R' B2 D L2
U2 R' B2 U R' B2 U'
L U2 D F U' F' R'
L U2 D F' U' R' F
L U2 D F' U' F R'
L U2 D F2 U' R' F2
L U2 D F2 U' F2 R'
L U2 D' F U' F' R'
L U2 D' F' U' R' F
L U2 D' F' U' F R'
L U2 D' F2 U' R' F2
L U2 D' F2 U' F2 R'
L U2 D2 F U' F' R'
L U2 D2 F' U' R' F
L U2 D2 F' U' F R'
L U2 D2 F2 U' R' F2
L U2 D2 F2 U' F2 R'
L U2 F L U' F' R'
L U2 F L' U' F' R'
L U2 F L2 U' F' R'
D2 R2 U L U L' R
D2 R2 U L U R L'
D' R2 U L U L' R
D' R2 U L U R L'
L U2 F U' D F' R'
L U2 F U' D' F' R'
L U2 F U' D2 F' R'
L U2 F U' F R' F2
L U2 F U' F' R' D
L U2 F U' F' R' D'
L U2 F U' F' R' D2
L U2 F U' F' D R'
L U2 F U' F' D' R'
L U2 F U' F' D2 R'
L U2 F U' F2 R' F
L U2 F D U' F' R'
L U2 F D' U' F' R'
L U2 F D2 U' F' R'
B' R2 U R B R' F'
B' R2 U D2 F' R B
D R2 U L U L' R
D R2 U L U R L'
B' R2 U F' R B R'
L U2 F' U' R F R2
L U2 F' U' R' D F
L U2 F' U' R' D' F
L U2 F' U' R' D2 F
L U2 F' U' R' F D
L U2 F' U' R' F D'
L U2 F' U' R' F D2
L U2 F' U' D R' F
L U2 F' U' D F R'
L U2 F' U' D' R' F
L U2 F' U' D' F R'
L U2 F' U' D2 R' F
L U2 F' U' D2 F R'
L U2 F' U' F R' D
L U2 F' U' F R' D'
L U2 F' U' F R' D2
L U2 F' U' F D R'
L U2 F' U' F D' R'
L U2 F' U' F D2 R'
L U2 F' U' F' R' F2
L2 U2 F2 R U' R2 F2
L2 U2 F2 R U' F2 R2
L U2 F' D U' R' F
L U2 F' D U' F R'
L U2 F' D' U' R' F
L U2 F' D' U' F R'
L U2 F' D2 U' R' F
L U2 F' D2 U' F R'
U2 R2 U' L U L' R
U2 R2 U' L U R L'
L U2 F2 L U' R' F2
L U2 F2 L U' F2 R'
L U2 F2 L' U' R' F2
L U2 F2 L' U' F2 R'
L U2 F2 L2 U' R' F2
L U2 F2 L2 U' F2 R'
L U2 F2 U' R F2 R2
L U2 F2 U' R' F2 D
L U2 F2 U' R' F2 D'
L U2 F2 U' R' F2 D2
L U2 F2 U' F R' F
L U2 F2 U' F2 R' D
L U2 F2 U' F2 R' D'
L U2 F2 U' F2 R' D2
L U2 F2 U' F2 D R'
L U2 F2 U' F2 D' R'
L U2 F2 U' F2 D2 R'
U R2 U' L R2 U R'
L U2 F2 D' L2 U' R'
U R2 U' R2 L U R'
U' R2 D B2 R' U' R2
R2 U2 B2 R D L2 B2
R2 U2 B2 R D B2 L2
B' R2 D2 U F' R B
R D L B2 U D2 F2
R D L B2 U' B2 U2
R D L B2 D' R2 U
R D L B2 D2 U F2
L D R U R2 D' F2
B' R2 B L U F' R'
L D R B' U R2 F'
L2 D U L' U L R'
L2 D U L' U R' L
R2 D U L U L' R
R2 D U L U R L'
U2 R2 B2 R D L2 B2
U2 R2 B2 R D B2 L2
R D U L B2 U L'
L D U R' U' R U
D' U L U L' R' D
D' U L U L' R' D'
D' U L U L' R' D2
D' U L U L' D R'
D' U L U L' D' R'
D' U L U L' D2 R'
D' U L U R' L' D
D' U L U R' L' D'
D' U L U R' L' D2
D' U L U R' D L'
D' U L U R' D' L'
D' U L U R' D2 L'
D' U L U D L' R'
D' U L U D R' L'
D2 U L U L' R' D
D2 U L U L' R' D'
D2 U L U L' R' D2
D' U L U D' L' R'
D2 U L U L' D R'
D2 U L U L' D' R'
D2 U L U L' D2 R'
D' U L U D' R' L'
D' U L U D2 L' R'
D' U L U D2 R' L'
D2 U L U R' L' D
D2 U L U R' L' D'
D2 U L U R' L' D2
D2 U L U R' D L'
D2 U L U R' D' L'
D2 U L U R' D2 L'
L D U R2 D' R F2
D2 U L U D L' R'
D2 U L U D R' L'
D2 U L U D' L' R'
D2 U L U D' R' L'
D2 U L U D2 L' R'
D2 U L U D2 R' L'
D' U L D U L' R'
D' U L D U R' L'
D2 U L D U L' R'
D2 U L D U R' L'
D' U L D' U L' R'
D' U L D' U R' L'
D2 U L D' U L' R'
D2 U L D' U R' L'
D' U L D2 U L' R'
D' U L D2 U R' L'
D2 U L D2 U L' R'
D2 U L D2 U R' L'
F2 U L U R' D' L2
F2 U L U D' L2 R'
F2 U L U D' R' L2
F2 U L D' U L2 R'
F2 U L D' U R' L2
D U L U L' R' D
D U L U L' R' D'
D U L U L' R' D2
D U L U L' D R'
D U L U L' D' R'
D U L U L' D2 R'
D U L U R' L' D
D U L U R' L' D'
D U L U R' L' D2
D U L U R' D L'
D U L U R' D' L'
D U L U R' D2 L'
D U L U D L' R'
D U L U D R' L'
D U L U D' L' R'
D U L U D' R' L'
D U L U D2 L' R'
D U L U D2 R' L'
F2 U L F2 U R' D
F2 U L F2 U R' D'
F2 U L F2 U R' D2
F2 U L F2 U D R'
F2 U L F2 U D' R'
F2 U L F2 U D2 R'
F2 U L F2 D U R'
F2 U L F2 D' U R'
F2 U L F2 D2 U R'
D U L D U L' R'
D U L D U R' L'
D U L D' U L' R'
D U L D' U R' L'
D U L D2 U L' R'
D U L D2 U R' L'
U D L U L' R' D
U D L U L' R' D'
U D L U L' R' D2
U D L U L' D R'
U D L U L' D' R'
U D L U L' D2 R'
U D L U R' L' D
U D L U R' L' D'
U D L U R' L' D2
U D L U R' D L'
U D L U R' D' L'
U D L U R' D2 L'
U D L U D L' R'
U D L U D R' L'
U D L U D' L' R'
U D L U D' R' L'
U D L U D2 L' R'
U D L U D2 R' L'
F U L D F' U R'
F U L D' F' U R'
U D L D U L' R'
U D L D U R' L'
F U L D2 F' U R'
U D L D' U L' R'
U D L D' U R' L'
U D L D2 U L' R'
U D L D2 U R' L'
F U L F' U R' D
F U L F' U R' D'
F U L F' U R' D2
F U L F' U D R'
F U L F' U D' R'
F U L F' U D2 R'
F U L F' D U R'
F U L F' D' U R'
F U L F' D2 U R'
L D U2 F U' F' R'
L D U2 F' U' R' F
L D U2 F' U' F R'
L D U2 F2 U' R' F2
L D U2 F2 U' F2 R'
F2 U L' F2 L2 U R'
F U L' F' L2 U R'
L' D F2 U F2 U R'
L' D F2 U2 R' D' L2
L' D F2 U2 D' L2 R'
L' D F2 U2 D' R' L2
L' D F2 D R2 U2 R
L' D F2 D' U2 L2 R'
L' D F2 D' U2 R' L2
B' U R B R F' R2
D' U R' U' L R U
D' U R' U' R L U
D2 U R' U' L R U
D2 U R' U' R L U
U2 D R' U' L U L'
D U R' U' L R U
D U R' U' R L U
U D R' U' L R U
U D R' U' R L U
B' U R2 F' R' B R'
B' U R2 F' B R' B
B' U R2 B F' R' B
D' U F L U L' R'
D' U F L U R' L'
D2 U F L U L' R'
D2 U F L U R' L'
F' U D F L U R'
D U F L U L' R'
D U F L U R' L'
D' U F' L U L' R'
D' U F' L U R' L'
L D B' U' B U2 R'
D2 U F' L U L' R'
D2 U F' L U R' L'
F2 U D' L U L R'
F2 U D' L U R' L
F U D L F' U R'
F' U D' F L U R'
U D F L U L' R'
U D F L U R' L'
F U D F' L U R'
L D B2 U' L B2 U2
D' U F2 L U L' R'
D' U F2 L U R' L'
D U F' L U L' R'
D U F' L U R' L'
L D B2 U' B2 U2 R'
D2 U F2 L U L' R'
D2 U F2 L U R' L'
F' U D2 F L U R'
F U D' L F' U R'
U D F' L U L' R'
U D F' L U R' L'
F' U F L U R' D
F' U F L U R' D'
F' U F L U R' D2
F' U F L U D R'
F' U F L U D' R'
F' U F L U D2 R'
F' U F L D U R'
F' U F L D' U R'
F' U F L D2 U R'
F U D' F' L U R'
R D' L U2 F2 U' F2
D U F2 L U L' R'
D U F2 L U R' L'
F U D2 L F' U R'
F' U F D L U R'
F' U F D' L U R'
F' U F D2 L U R'
U D F2 L U L' R'
U D F2 L U R' L'
F U D2 F' L U R'
F' U F' L F2 U R'
F U F L F2 U R'
F2 U F' L F' U R'
F' U F2 L F' U R'
F U F' L U R' D
F U F' L U R' D'
F U F' L U R' D2
F U F' L U D R'
F U F' L U D' R'
F U F' L U D2 R'
F U F' L D U R'
F U F' L D' U R'
