B R' U L2 B2
B R' U B2 L2
B L R' U L B2
B L' R' U L' B2
B L' R' U B2 L'
B' L' D L' F2 R
B R' L U L B2
B R' L' U L' B2
B R' L' U B2 L'
B R' U L' B2 L'
B R' U L2 B2 D
B R' U L2 B2 D'
B R' U L2 B2 D2
B R' U B L2 B
B R' U B2 L2 D
B R' U B2 L2 D'
B R' U B2 L2 D2
B R' D L2 F2 U
B R' D F2 L2 U
B R' F U L2 B2
B R' F U B2 L2
B R' F' U L2 B2
B R' F' U B2 L2
B R' F2 U L2 B2
B R' F2 U B2 L2
B' U' B2 R' U L2
B D L2 R' F2 U
B D L2 F2 R' U
B D R' L2 F2 U
B D R' F2 L2 U
B D F2 L2 R' U
B D F2 R' L2 U
U' B R' U L2 B2
U' B R' U B2 L2
U2 B R' U L2 B2
U2 B R' U B2 L2
U B R' U L2 B2
U B R' U B2 L2
F' B R' U L2 B2
F' B R' U B2 L2
F2 B R' U L2 B2
F2 B R' U B2 L2
B F R' U L2 B2
B F R' U B2 L2
F B R' U L2 B2
F B R' U B2 L2
B F' R' U L2 B2
B F' R' U B2 L2
B F2 R' U L2 B2
B F2 R' U B2 L2
B L' D R' L2 U L
B' L' D' L' R2 D2 F2
B' L' D' R2 L' D2 F2
B' L' D' R2 D2 L' F2
B L2 R B2 D' R2 F2
B L2 R B2 D' F2 R2
B L2 R' U B2 D L2
B L2 R' D L2 U L2
B' L2 U L' U' D' R2
B' L2 U L' U2 B2 U
B' L2 U L' D' U' R2
B' L2 U L' D2 F2 U'
B' L2 U D' L' U' R2
B' L2 U D2 L' F2 U'
B' L2 U' B2 U2 L' U'
B L2 D L2 R' U L2
B L2 D R' L2 U L2
B' L2 D' R2 U L' U'
B' L2 D' U L' U' R2
B' L2 D2 U L' F2 U'
B' L2 F2 R' D' R2 F2
B' L2 F2 R' D' F2 R2
B' L2 F2 U' R B2 U
B' L2 F2 U' B2 R U
B2 L2 B U F L U'
B L2 B2 U' B2 R' U
B' R L' D L' F2 R
B R L2 B2 D' R2 F2
B R L2 B2 D' F2 R2
B R U L2 B2 D' F2
B R U B2 L2 D' F2
B' R U' B2 R' U L2
B R F R2 U L2 B2
B R F R2 U B2 L2
L2 U' L2 B R' U B2
B R F' R2 U L2 B2
B R F' R2 U B2 L2
B R F2 R2 U L2 B2
B R F2 R2 U B2 L2
B2 R B' R' U L2 B
B2 R B' R' U B L2
B' R B2 R' U L2 B2
B' R B2 R' U B2 L2
B R B2 L2 D' R2 F2
B R B2 L2 D' F2 R2
B R' L U L B2 D
B R' L U L B2 D'
B R' L U L B2 D2
B R' L U L' B2 L2
B R' L U L2 B2 L'
B R' L D L2 U L'
B R' L F U L B2
B R' L F' U L B2
B' R' L' D L' F2 R
B R' L F2 U L B2
B R' L' U L B2 L2
B R' L' U L' B2 D
B R' L' U L' B2 D'
B R' L' U L' B2 D2
B R' L' U B L' B
B R' L' U B2 L' D
B R' L' U B2 L' D'
B R' L' U B2 L' D2
B R' L' U B2 D L'
B R' L' U B2 D' L'
B R' L' U B2 D2 L'
B R' L' D L2 U L
B R' L2 U B2 D L2
B R' L2 D L2 U L2
B R' U L' B L' B
B R' U L' B2 L' D
B R' U L' B2 L' D'
B R' U L' B2 L' D2
B R' U L' B2 D L'
B R' U L' B2 D' L'
B R' U L' B2 D2 L'
B R' U L2 R' B2 R
B R' U L2 R2 B2 R2
B R' U L2 B D B
B R' U L2 B D' B
B R' U L2 B D2 B
B R' U L2 B' D B'
B R' U L2 B' D' B'
B R' U L2 B' D2 B'
B R' U R' L2 B2 R
B R' U R' B2 L2 R
B R' U R' B2 R L2
B R' U R2 L2 B2 R2
B R' U R2 B2 L2 R2
B R' U R2 B2 R2 L2
B R' U F L2 F' B2
B R' U F L2 B2 F'
B R' U F B2 L2 F'
B R' U F2 L2 F2 B2
B R' U F2 L2 B2 F2
B R' U F2 B2 L2 F2
B R' U B L' B L'
B R' U B L2 D B
B R' U B L2 D' B
B R' U B L2 D2 B
B R' U B L2 B D
B R' U B L2 B D'
B R' U B L2 B D2
B R' U B2 L D L
B R' U B2 L D' L
B R' U B2 L D2 L
B R' U B2 L' D L'
B R' U B2 L' D' L'
B R' U B2 L' D2 L'
B R' U B2 F L2 F'
B R' U B2 F2 L2 F2
B R' U' R U2 L2 B2
B R' U' R U2 B2 L2
B R' U' R' U2 L2 B2
B R' U' R' U2 B2 L2
L2 U' B L2 R' U B'
B' R' U' B2 R' U L2
B R' U' R2 U2 L2 B2
B R' U' R2 U2 B2 L2
L2 U' B R' L2 U B'
L2 U' B R' U' F U2
B R' U' D2 R2 F2 U2
B R' U' D2 F2 R2 U2
B R' U' F U2 L2 B2
B R' U' F U2 B2 L2
B R' U' F' U2 L2 B2
B R' U' F' U2 B2 L2
B R' U' F2 U2 L2 B2
B R' U' F2 U2 B2 L2
B R' U2 R U' L2 B2
B R' U2 R U' B2 L2
B R' U2 R' U' L2 B2
B R' U2 R' U' B2 L2
B R' U2 R2 U' L2 B2
B R' U2 R2 U' B2 L2
B R' U2 D' R2 B2 U'
B R' U2 D' B2 R2 U'
B R' U2 B U' L2 B
B R' U2 B U' B L2
B R' U2 B' U' B' L2
B R' D L F2 L U
B R' D L2 U D' L2
B R' D L2 D' U L2
B R' D L2 F2 U D
B R' D L2 F2 U D'
B R' D L2 F2 U D2
B R' D L2 F2 D U
B R' D L2 F2 D' U
B R' D L2 F2 D2 U
B R' D F' L2 F' U
B R' D F2 L2 U D
B R' D F2 L2 U D'
B R' D F2 L2 U D2
B R' D F2 L2 D U
B R' D F2 L2 D' U
B R' D F2 L2 D2 U
B R' D F2 U D' B2
B R' D F2 D' U B2
B R' D' U2 R2 B2 U'
B R' D' U2 B2 R2 U'
B R' D2 U' R2 F2 U2
B R' D2 U' F2 R2 U2
B R' F L U L B2
B R' F L' U L' B2
B R' F L' U B2 L'
B R' F U L' B2 L'
B R' F U L2 B2 D
B R' F U L2 B2 D'
B R' F U L2 B2 D2
B R' F U B L2 B
B R' F U B2 L2 D
B R' F U B2 L2 D'
B R' F U B2 L2 D2
B R' F D L2 F2 U
B R' F D F2 L2 U
B R' F' L U L B2
B R' F' L' U L' B2
B R' F' L' U B2 L'
B R' F' U L' B2 L'
B R' F' U L2 B2 D
B R' F' U L2 B2 D'
B R' F' U L2 B2 D2
B R' F' U B L2 B
B R' F' U B2 L2 D
B R' F' U B2 L2 D'
B R' F' U B2 L2 D2
B R' F' D L2 F2 U
B R' F' D F2 L2 U
B R' F2 L U L B2
B R' F2 L' U L' B2
B R' F2 L' U B2 L'
B R' F2 U L' B2 L'
B R' F2 U L2 B2 D
B R' F2 U L2 B2 D'
B R' F2 U L2 B2 D2
B R' F2 U B L2 B
B R' F2 U B2 L2 D
B R' F2 U B2 L2 D'
B R' F2 U B2 L2 D2
B R' F2 D L2 F2 U
B R' F2 D F2 L2 U
B' R' B2 R' U L2 B2
B' R' B2 R' U B2 L2
B' R2 L' D L' F2 R
L2 U2 F U B R' U
B' R2 U' B2 R' U L2
B R2 D L2 R F2 U
B R2 D R L2 F2 U
B R2 D R F2 L2 U
B' R2 B2 R' U L2 B2
B' R2 B2 R' U B2 L2
B' U L U' L D' R2
B' U L U' D' L R2
B' U L U' D' R2 L
B' U L D' U' L R2
B' U L D' U' R2 L
B' U L D2 F2 U' L
B U L' B2 L' D F2
B U L2 U' R' U B2
B U L2 B2 U L U'
B U R' U L2 R B2
B U R' U L2 B2 R
B U R' U R L2 B2
B U R' U R B2 L2
B U R' U B2 L2 R
B U R' U B2 R L2
B' U D' L B2 U' R2
F' U B R' U L2 B2
F' U B R' U B2 L2
F2 U B R' U L2 B2
F2 U B R' U B2 L2
F U B R' U L2 B2
F U B R' U B2 L2
B U B2 L' D L' F2
B U B2 L2 U L' U'
B U B2 U L U' L
B' U' R B2 R' U L2
B' U' R' B2 R' U L2
B' U' R2 B2 R' U L2
B' U' F B2 R' U L2
B' U' F' B2 R' U L2
B' U' F2 B2 R' U L2
F' U' B R' U L2 B2
F' U' B R' U B2 L2
F2 U' B R' U L2 B2
F2 U' B R' U B2 L2
F U' B R' U L2 B2
F U' B R' U B2 L2
B' U' B2 R' U L2 D
B' U' B2 R' U L2 D'
B' U' B2 R' U L2 D2
B' U' B2 R' D F2 U
B' U' B2 R' F U L2
B' U' B2 R' F' U L2
B' U' B2 R' F2 U L2
B' U' B2 D R' F2 U
B' U' B2 D F2 R' U
B' U' B2 F R' U L2
B' U' B2 F' R' U L2
B' U' B2 F2 R' U L2
B U2 D' B2 L R2 U'
B U2 D' B2 R2 L U'
F' U2 B R' U L2 B2
F' U2 B R' U B2 L2
F2 U2 B R' U L2 B2
F2 U2 B R' U B2 L2
F U2 B R' U L2 B2
F U2 B R' U B2 L2
B D L R' F2 L U
B D L F2 L R' U
B D L F2 R' L U
B D L2 R F2 R2 U
B D L2 R' U D' L2
B D L2 R' D' U L2
B D L2 R' F2 U D
B D L2 R' F2 U D'
B D L2 R' F2 U D2
B D L2 R' F2 D U
B D L2 R' F2 D' U
B D L2 R' F2 D2 U
B D L2 D' R' U L2
B D L2 F R' F U
B D L2 F2 R' U D
B D L2 F2 R' U D'
B D L2 F2 R' U D2
B D L2 F2 R' D U
B D L2 F2 R' D' U
B D L2 F2 R' D2 U
B D L2 F2 D R' U
B D L2 F2 D' R' U
B D L2 F2 D2 R' U
B D R L2 F2 R2 U
U' F B R' U L2 B2
U' F B R' U B2 L2
B D R F2 L2 R2 U
B D R F2 R2 L2 U
B D R' L F2 L U
B D R' L2 U D' L2
B D R' L2 D' U L2
B D R' L2 F2 U D
B D R' L2 F2 U D'
B D R' L2 F2 U D2
B D R' L2 F2 D U
B D R' L2 F2 D' U
B D R' L2 F2 D2 U
B D R' U D' L2 B2
B D R' U D' B2 L2
U2 F B R' U L2 B2
U2 F B R' U B2 L2
B D R' D' U L2 B2
B D R' D' U B2 L2
B D R' F' L2 F' U
B D R' F2 L2 U D
B D R' F2 L2 U D'
B D R' F2 L2 U D2
B D R' F2 L2 D U
B D R' F2 L2 D' U
B D R' F2 L2 D2 U
B D R' F2 U D' B2
B D R' F2 D' U B2
U F B R' U L2 B2
U F B R' U B2 L2
B D F R' F L2 U
B D F' L2 F' R' U
B2 D F2 B' R' U B2
B D F2 L2 R' U D
B D F2 L2 R' U D'
B D F2 L2 R' U D2
B D F2 L2 R' D U
B D F2 L2 R' D' U
B D F2 L2 R' D2 U
B D F2 L2 D R' U
B D F2 L2 D' R' U
B D F2 L2 D2 R' U
B D F2 R' L2 U D
B D F2 R' L2 U D'
B D F2 R' L2 U D2
B D F2 R' L2 D U
B D F2 R' L2 D' U
B D F2 R' L2 D2 U
B D F2 R' U D' B2
B D F2 R' D' U B2
B D F2 D' R' U B2
B2 D B' R' F2 U B2
B2 D B' F2 R' U B2
B' D' L B2 U' R2 B2
B' D' L B2 U' B2 R2
B' D' L' R2 D L2 F2
B' D' L' R2 D F2 L2
U' F' B R' U L2 B2
U' F' B R' U B2 L2
B' D' R2 L' D L2 F2
B' D' R2 L' D F2 L2
B' D' R2 U L B2 U'
U2 F' B R' U L2 B2
U2 F' B R' U B2 L2
B D' R' U2 R' B2 U'
B' D' U L B2 U' R2
U F' B R' U L2 B2
U F' B R' U B2 L2
B D' U2 B2 L R2 U'
B D' U2 B2 R2 L U'
U' F2 B R' U L2 B2
U' F2 B R' U B2 L2
D F2 D' B R' U B2
U2 F2 B R' U L2 B2
U2 F2 B R' U B2 L2
B D2 R' U D2 B2 L
B D2 R' U' R' F2 U2
B D2 R' U' F2 R' U2
B D2 R' D2 U B2 L
D F2 B L' U F B2
D F2 B L' U B2 F
U' B L R' U L B2
U F2 B R' U L2 B2
U F2 B R' U B2 L2
L' B L R' U B' L2
U' B L' R' U L' B2
U' B L' R' U B2 L'
U2 B L R' U L B2
U2 B L' R' U L' B2
U2 B L' R' U B2 L'
U B L R' U L B2
L2 B L2 R' U B' L2
L B L' R' U B' L
U B L' R' U L' B2
U B L' R' U B2 L'
D B L' F2 U F' B2
D B L' F2 U B2 F'
U' B R' L U L B2
U' B R' L' U L' B2
U' B R' L' U B2 L'
U' B R' U L' B2 L'
U' B R' U L2 B2 D
U' B R' U L2 B2 D'
U' B R' U L2 B2 D2
U' B R' U B L2 B
U' B R' U B2 L2 D
U' B R' U B2 L2 D'
U' B R' U B2 L2 D2
U' B R' D L2 F2 U
U' B R' D F2 L2 U
L' B R' L U B' L2
U' B R' F U L2 B2
U' B R' F U B2 L2
L' B R' U L B' L2
U' B R' F' U L2 B2
U' B R' F' U B2 L2
U' B R' F2 U L2 B2
U' B R' F2 U B2 L2
U2 B R' L U L B2
U2 B R' L' U L' B2
U2 B R' L' U B2 L'
L2 B R' L2 U B' L2
U2 B R' U L' B2 L'
U2 B R' U L2 B2 D
U2 B R' U L2 B2 D'
U2 B R' U L2 B2 D2
U2 B R' U B L2 B
U2 B R' U B2 L2 D
U2 B R' U B2 L2 D'
U2 B R' U B2 L2 D2
U2 B R' D L2 F2 U
U2 B R' D F2 L2 U
U2 B R' F U L2 B2
U2 B R' F U B2 L2
U2 B R' F' U L2 B2
U2 B R' F' U B2 L2
U2 B R' F2 U L2 B2
U2 B R' F2 U B2 L2
U B R' L U L B2
L B R' L' U B' L
U B R' L' U L' B2
U B R' L' U B2 L'
B2 D2 B' R' U B2 L
U B R' U L' B2 L'
U B R' U L2 B2 D
U B R' U L2 B2 D'
U B R' U L2 B2 D2
U B R' U B L2 B
U B R' U B2 L2 D
U B R' U B2 L2 D'
U B R' U B2 L2 D2
U B R' D L2 F2 U
U B R' D F2 L2 U
U B R' F U L2 B2
U B R' F U B2 L2
U B R' F' U L2 B2
U B R' F' U B2 L2
U B R' F2 U L2 B2
U B R' F2 U B2 L2
R B R' B U L2 B
R B R' B U B L2
F' B L R' U L B2
F2 B L R' U L B2
B' F L' D L' F2 R
F' B L' R' U L' B2
F' B L' R' U B2 L'
U' B D L2 R' F2 U
U' B D L2 F2 R' U
B F L R' U L B2
U' B D R' L2 F2 U
U' B D R' F2 L2 U
F2 B L' R' U L' B2
F2 B L' R' U B2 L'
U' B D F2 L2 R' U
U' B D F2 R' L2 U
F B L R' U L B2
B F L' R' U L' B2
B F L' R' U B2 L'
U2 B D L2 R' F2 U
U2 B D L2 F2 R' U
U2 B D R' L2 F2 U
U2 B D R' F2 L2 U
F B L' R' U L' B2
F B L' R' U B2 L'
U2 B D F2 L2 R' U
U2 B D F2 R' L2 U
U B D L2 R' F2 U
U B D L2 F2 R' U
U B D R' L2 F2 U
U B D R' F2 L2 U
L' B D2 R' U L' B
L' B D2 R' U B L'
F' B R' L U L B2
F' B R' L' U L' B2
F' B R' L' U B2 L'
U B D F2 L2 R' U
U B D F2 R' L2 U
F' B R' U L' B2 L'
F' B R' U L2 B2 D
F' B R' U L2 B2 D'
F' B R' U L2 B2 D2
F' B R' U B L2 B
F' B R' U B2 L2 D
F' B R' U B2 L2 D'
F' B R' U B2 L2 D2
U' B F R' U L2 B2
U' B F R' U B2 L2
F2 B R' L U L B2
F2 B R' L' U L' B2
F2 B R' L' U B2 L'
F' B R' D L2 F2 U
F' B R' D F2 L2 U
F2 B R' U L' B2 L'
F2 B R' U L2 B2 D
F2 B R' U L2 B2 D'
F2 B R' U L2 B2 D2
F2 B R' U B L2 B
F2 B R' U B2 L2 D
F2 B R' U B2 L2 D'
F2 B R' U B2 L2 D2
F' B R' F U L2 B2
F' B R' F U B2 L2
F' B R' F' U L2 B2
F' B R' F' U B2 L2
F2 B R' D L2 F2 U
F' B R' F2 U L2 B2
F' B R' F2 U B2 L2
F2 B R' D F2 L2 U
F2 B R' F U L2 B2
F2 B R' F U B2 L2
F2 B R' F' U L2 B2
F2 B R' F' U B2 L2
U' B F' R' U L2 B2
U' B F' R' U B2 L2
F2 B R' F2 U L2 B2
F2 B R' F2 U B2 L2
B F R' L U L B2
B F R' L' U L' B2
B F R' L' U B2 L'
B F R' U L' B2 L'
B F R' U L2 B2 D
B F R' U L2 B2 D'
B F R' U L2 B2 D2
B F R' U B L2 B
U2 B F R' U L2 B2
B F R' U B2 L2 D
B F R' U B2 L2 D'
B F R' U B2 L2 D2
U2 B F R' U B2 L2
B F R' D L2 F2 U
B F R' D F2 L2 U
F B R' L U L B2
F B R' L' U L' B2
F B R' L' U B2 L'
B F R' F U L2 B2
B F R' F U B2 L2
B F R' F' U L2 B2
F B R' U L' B2 L'
B F R' F' U B2 L2
F B R' U L2 B2 D
F B R' U L2 B2 D'
F B R' U L2 B2 D2
U' B F2 R' U L2 B2
U' B F2 R' U B2 L2
F B R' U B L2 B
F B R' U B2 L2 D
F B R' U B2 L2 D'
F B R' U B2 L2 D2
B F R' F2 U L2 B2
B F R' F2 U B2 L2
F B R' D L2 F2 U
F B R' D F2 L2 U
U2 B F' R' U L2 B2
U2 B F' R' U B2 L2
F B R' F U L2 B2
F B R' F U B2 L2
F B R' F' U L2 B2
F B R' F' U B2 L2
F B R' F2 U L2 B2
F B R' F2 U B2 L2
U B F R' U L2 B2
U B F R' U B2 L2
U2 B F2 R' U L2 B2
U2 B F2 R' U B2 L2
D B F2 L' U F B2
D B F2 L' U B2 F
U B F' R' U L2 B2
U B F' R' U B2 L2
B' F U' B2 R' U L2
U' B' L' D L' F2 R
U B F2 R' U L2 B2
U B F2 R' U B2 L2
D B' L D' L2 R2 F
D B' L D' L2 F R2
D B' L D' R2 L2 F
U2 B' L' D L' F2 R
F' B D L2 R' F2 U
F' B D L2 F2 R' U
F' B D R' L2 F2 U
F' B D R' F2 L2 U
F2 B D L2 R' F2 U
F2 B D L2 F2 R' U
F2 B D R' L2 F2 U
F2 B D R' F2 L2 U
D B' L' D' R2 F L2
F' B D F2 L2 R' U
D B' L' D' F L2 R2
F' B D F2 R' L2 U
D B' L' D' F R2 L2
F2 B D F2 L2 R' U
F2 B D F2 R' L2 U
R2 B' L2 U L' F' U'
B F D L2 R' F2 U
U B' L' D L' F2 R
B F D L2 F2 R' U
B F D R' L2 F2 U
B F D R' F2 L2 U
F B D L2 R' F2 U
F B D L2 F2 R' U
B F D F2 L2 R' U
B F D F2 R' L2 U
F B D R' L2 F2 U
F B D R' F2 L2 U
F B D F2 L2 R' U
F B D F2 R' L2 U
B' F' L' D L' F2 R
B F' L R' U L B2
F' B' L' D L' F2 R
F2 B' L' D L' F2 R
R2 B' U L F' U' L
B F' L' R' U L' B2
B F' L' R' U B2 L'
U' B' U' B2 R' U L2
R2 B' U F' L U' L
F B' L' D L' F2 R
U2 B' U' B2 R' U L2
U B' U' B2 R' U L2
B F' R' L U L B2
B F' R' L' U L' B2
B F' R' L' U B2 L'
B F' R' U L' B2 L'
B F' R' U L2 B2 D
B F' R' U L2 B2 D'
B F' R' U L2 B2 D2
B F' R' U B L2 B
B F' R' U B2 L2 D
B F' R' U B2 L2 D'
B F' R' U B2 L2 D2
B F' R' D L2 F2 U
B F' R' D F2 L2 U
B F' R' F U L2 B2
B F' R' F U B2 L2
B F' R' F' U L2 B2
B F' R' F' U B2 L2
B F' R' F2 U L2 B2
B F' R' F2 U B2 L2
B' F' U' B2 R' U L2
F' B' U' B2 R' U L2
F2 B' U' B2 R' U L2
F B' U' B2 R' U L2
B F' D L2 R' F2 U
B F' D L2 F2 R' U
B F' D R' L2 F2 U
B F' D R' F2 L2 U
B F' D F2 L2 R' U
B F' D F2 R' L2 U
B' F2 L' D L' F2 R
B F2 L R' U L B2
B F2 L' R' U L' B2
B F2 L' R' U B2 L'
B F2 R' L U L B2
B F2 R' L' U L' B2
B F2 R' L' U B2 L'
B F2 R' U L' B2 L'
B F2 R' U L2 B2 D
B F2 R' U L2 B2 D'
B F2 R' U L2 B2 D2
B F2 R' U B L2 B
B F2 R' U B2 L2 D
B F2 R' U B2 L2 D'
B F2 R' U B2 L2 D2
B F2 R' D L2 F2 U
B F2 R' D F2 L2 U
B F2 R' F U L2 B2
B F2 R' F U B2 L2
B F2 R' F' U L2 B2
B F2 R' F' U B2 L2
B F2 R' F2 U L2 B2
B F2 R' F2 U B2 L2
B' F2 U' B2 R' U L2
B F2 D L2 R' F2 U
B F2 D L2 F2 R' U
B F2 D R' L2 F2 U
B F2 D R' F2 L2 U
B F2 D F2 L2 R' U
B F2 D F2 R' L2 U
