D' L2 R' B R' F'
D' R' L2 B R' F'
D' R' B L2 R' F'
D' R' B R' L2 F'
D' R' B R' F' L2
D' B R' B L2 F
D' B U2 L2 R' B
D' B U2 R' L2 B
D' B U2 R' B L2
R2 D' F' R' B R' L2
R2 D' F' B L2 R' B
R2 D' F' B R' L2 B
R2 D' F' B R' B L2
U D' R' B L2 R' F'
U D' R' B R' L2 F'
U D' R' B R' F' L2
R' D' B L2 R' F' B
R' D' B L2 R' B F'
R' D' B R' L2 F' B
R' D' B R' L2 B F'
R' D' B R' F' L2 B
R' D' B R' F' B L2
R' D' B R' B L2 F'
R' D' B R' B F' L2
R2 D' B L2 F' R' B
R2 D' B F' L2 R' B
R2 D' B F' R' L2 B
R2 D' B F' R' B L2
U' D' B R' B L2 F
D' U' B R' B L2 F
D' U' B U2 L2 R' B
U' D' B U2 L2 R' B
D' U' B U2 R' L2 B
U' D' B U2 R' L2 B
D' U' B U2 R' B L2
U' D' B U2 R' B L2
U2 D' B R' B L2 F
U2 D' B U2 L2 R' B
U2 D' B U2 R' L2 B
U2 D' B U2 R' B L2
F2 U' D' B U2 R' B
U D' B R' B L2 F
U D' B U2 L2 R' B
U D' B U2 R' L2 B
U D' B U2 R' B L2
D' U2 L2 R' B R' F'
D' U2 R' L2 B R' F'
D' U2 R' B L2 R' F'
D' U2 R' B R' L2 F'
D' U2 R' B R' F' L2
D' U2 B R' B L2 F
D' U2 B U2 L2 R' B
D' U2 B U2 R' L2 B
D' U2 B U2 R' B L2
D' F L2 R' B R' F'
D F L' R2 F U2 F2
D F L' F R2 U2 F'
D F L' F B R2 U2
D F L' B R2 F U2
D F L' B F R2 U2
D' F R' L2 B R' F'
D' F R' B L2 R' F'
D' F R' B R' L2 F'
D' F R' B R' F' L2
D F R2 L' F U2 F2
D' F B R' B L2 F
D' F B U2 L2 R' B
D' F B U2 R' L2 B
D' F B U2 R' B L2
D F B L' R2 F U2
D F B L' F R2 U2
D F B R2 L' F U2
D' F' L2 R' B R' F'
D' F' R' L2 B R' F'
D' F' R' B L2 R' F'
D' F' R' B R' L2 F'
D' F' R' B R' F' L2
D' F' B R' B L2 F
D' F' B U2 L2 R' B
D' F' B U2 R' L2 B
D' F' B U2 R' B L2
F2 D' U R' B R' F'
F2 D' U' B U2 R' B
D' F2 L2 R' B R' F'
D' F2 R' L2 B R' F'
D' F2 R' B L2 R' F'
D' F2 R' B R' L2 F'
D' F2 R' B R' F' L2
L F2 R2 B' L U F'
D' F2 B R' B L2 F
D' F2 B U2 L2 R' B
D' F2 B U2 R' L2 B
D' F2 B U2 R' B L2
D' B L U2 L R' B
D' B L U2 R' L B
L F2 B' L U D2 F2
L F2 B' L U' B2 U2
L F2 B' L D' R2 U
L F2 B' L D2 U F2
L F2 B' D' L R2 U
L F2 B' D' R2 L U
L F2 B' D2 L U F2
D' B L' U2 L' R' B
D' B L' U2 R' L' B
D' B L' U2 R' B L'
D B L' R2 F L' U2
D B L' F L' R2 U2
D B L' F R2 L' U2
D' B R U2 L2 R2 B
D' B R U2 R2 L2 B
D' B R U2 R2 B L2
D' B R F' U2 L2 R2
D' B R F' U2 R2 L2
D' B R' F B L2 F
D' B R' F' B L2 F
D' B R' F2 B L2 F
D' B R' B L2 D F
D' B R' B L2 D' F
D' B R' B L2 D2 F
D' B R' B L2 F D
D' B R' B L2 F D'
D' B R' B L2 F D2
D' B R' B F L2 F
D' B R' B F' L2 F
D' B R' B F2 L2 F
D B R2 L' F L' U2
D B R2 F L' F U2
D' B U2 L' R' B L'
D' B U2 L2 R' D B
D' B U2 L2 R' D' B
D' B U2 L2 R' D2 B
D' B U2 L2 R' B D
D' B U2 L2 R' B D'
D' B U2 L2 R' B D2
D' B U2 R' L' B L'
D' B U2 R' L2 D B
D' B U2 R' L2 D' B
D' B U2 R' L2 D2 B
D' B U2 R' L2 B D
D' B U2 R' L2 B D'
D' B U2 R' L2 B D2
D' B U2 R' B L2 D
D' B U2 R' B L2 D'
D' B U2 R' B L2 D2
D' B U2 R' B' L2 B2
L B U F2 B2 L U
L B U B2 L F2 U
L B U B2 F2 L U
D' B F R' B L2 F
D' B F U2 L2 R' B
D' B F U2 R' L2 B
D' B F U2 R' B L2
D' B F' R' B L2 F
D' B F' U2 L2 R' B
D' B F' U2 R' L2 B
D' B F' U2 R' B L2
D B F L' R2 F U2
D B F L' F R2 U2
D B F R2 L' F U2
D' B F2 R' B L2 F
D' B F2 U2 L2 R' B
D' B F2 U2 R' L2 B
D' B F2 U2 R' B L2
D' B' L B2 R' U2 B
R2 B' L F2 B' U F
R2 B' L B' F2 U F
L B' L D' R2 U L2
L B' L F2 U D2 F2
L B' L F2 U' B2 U2
L B' L F2 D' R2 U
L B' L F2 D2 U F2
F2 B' L D' R2 B' U
F2 B' L D' B' R2 U
F2 B' L D2 B' U F2
F2 B' L B' U' B' U2
L B' D' L R2 U L
L B' D' R2 L U L
L B' F2 L U D2 F2
L B' F2 L U' B2 U2
L B' F2 L D' R2 U
L B' F2 L D2 U F2
L B' F2 D' L R2 U
L B' F2 D' R2 L U
L B' F2 D2 L U F2
D' B2 L2 F B' R' B
B' F2 L D' R2 B' U
B' F2 L D' B' R2 U
B' F2 L D2 B' U F2
D' B2 L2 B' R' F B
D' B2 L2 B' R' B F
D' B2 L2 B' F R' B
B' F2 L B' U' B' U2
