D' L R2 D' L2 B2
D' L R2 D' B2 L2
L R D' R2 B2 L
R' L D' B2 L R2
R' L D' B2 R2 L
R' L D' B2 R2 L
R L D' R2 B2 L
D2 L D' L B2 R'
L R' D' B2 L R2
L R' D' B2 R2 L
U' L' D' F2 U R2
B2 L' D' F2 U F2
D' L' F2 U R2 F2
D' L' F2 U F2 R2
U' L' B2 U D2 L2
U' L' B2 U' R2 U2
U' L' B2 D' F2 U
U' L' B2 D2 U L2
R2 U L' B2 R' U
R' U' L' B2 U L
R' U' B2 L' U L2
D' R2 L D' L2 B2
D' R2 L D' B2 L2
U2 R2 U L' B2 U
U2 R2 U B2 L' U
D' R2 U' L' F2 U
D2 U F2 R U' L2
U' D' L' F2 U R2
L D' R2 B2 D' L2
D' U' L' F2 U R2
L' D' F2 U R2 F2
L' D' F2 U F2 R2
L D' B2 R2 D' L2
L D2 L2 D R2 B2
L D2 L2 D B2 R2
U D2 F2 R U' L2
B2 D' L' F2 U F2
D2 F2 R U' L2 F2
D2 F2 R U' F2 L2
U' B2 L' U D2 L2
U' B2 L' U' R2 U2
U' B2 L' D' F2 U
U' B2 L' D2 U L2
L' B2 D' F2 U F2
U' B2 D' L' F2 U
U' B2 D2 L' U L'
U' L' B2 F2 U' R2 U2
U' L' B2 F2 D' F2 U
U' L' B2 F2 D2 U L2
U L' B2 D' R' F2 U
L R2 D' B2 R2 D2 L2
U L' B2 D' F2 R' U
U L' B2 D2 R' U L2
D' L2 R2 U' L F2 U
D' L2 R2 U' F2 L U
U2 L2 R2 U L B2 U
D2 L2 U F2 U2 L U
D2 L2 U' L U D R2
D2 L2 U' L U2 F2 U'
D2 L2 U' L D U R2
D2 L2 U' L D2 B2 U
D' L2 U' L F2 U R2
D2 L2 U' D L U R2
D2 L2 U' D2 L B2 U
D' L2 U' F2 L U R2
D2 L2 D R2 U' L U
D2 L2 D U' L U R2
U' L2 D' L F2 U R2
B2 L2 D' L F2 U F2
U' L2 D' F2 L U R2
B2 L2 D' F2 L U F2
D2 L2 D2 U' L B2 U
R2 U L' R B2 R' U
R2 U L' R' B2 R' U
R2 U L' R2 B2 R' U
R' U L' B2 R' U L
R2 U L' B2 R' U D
R2 U L' B2 R' U D'
R2 U L' B2 R' U D2
R2 U L' B2 R' D U
R2 U L' B2 R' D' U
R2 U L' B2 R' D2 U
R2 U L' B2 D R' U
R2 U L' B2 D' R' U
R2 U L' B2 D2 R' U
D' L2 F2 L U R2 F2
D' L2 F2 L U F2 R2
R2 U R L' B2 R' U
R2 U R' L' B2 R' U
R2 U R2 L' B2 R' U
D2 L2 B2 R D R2 B2
D2 L2 B2 R D B2 R2
D2 L2 B2 U R' F2 U'
D2 L2 B2 U F2 R' U'
D2 R L D' L B2 R'
L' U D2 L2 D R2 F2
L' U D2 L2 D F2 R2
D' R L D' L2 R B2
D' R L D' L2 B2 R
D' R L D' R L2 B2
D' R L D' R B2 L2
D' R L D' B2 L2 R
D' R L D' B2 R L2
L U D2 R2 F2 U' L2
L U D2 F2 R2 U' L2
D' R L' F2 U F2 R
R U D2 F2 R U' L'
B2 R L' F2 U L' F2
D2 R U F2 R U' L2
F2 R U' F2 L' D' R2
F2 R U' F2 D' L' R2
F2 R U' F2 D' R2 L'
F2 R U2 B2 U F2 L'
R2 U B2 L' U2 L U'
R' U' L B2 L2 U L'
L2 U' L D' F2 U R2
L2 U' L B2 U D2 L2
L2 U' L B2 U' R2 U2
L2 U' L B2 D' F2 U
L2 U' L B2 D2 U L2
R' U' L' F B2 U L
R' U' L' F' B2 U L
R' U' L' F2 B2 U L
R' U' L' B2 U L D
R' U' L' B2 U L D'
R' U' L' B2 U L D2
R' U' L' B2 U D L
R' U' L' B2 U D' L
R' U' L' B2 U D2 L
R' U' L' B2 D U L
R' U' L' B2 D' U L
R' U' L' B2 D2 U L
R' U' L' B2 F U L
R' U' L' B2 F' U L
R' U' L' B2 F2 U L
U R D2 F2 R U' L'
R2 U' L' B2 U D L2
R2 U' L' B2 U2 B2 U'
R2 U' L' B2 D U L2
R2 U' L' B2 D2 F2 U
R U' L' F2 B2 U L'
R U' L' B2 U' R U2
R U' L' B2 F2 U L'
L U' L2 D' F2 U R2
D2 R F2 R U' L2 F2
L U' L2 B2 U D2 L2
D2 R F2 R U' F2 L2
L U' L2 B2 U' R2 U2
L U' L2 B2 D' F2 U
L U' L2 B2 D2 U L2
L' U' R2 U R2 B2 U
L' U' R2 U B2 R2 U
L' U' R2 U2 D' R2 F2
L' U' R2 U2 D' F2 R2
L' U' R2 D L2 B2 U2
L' U' R2 D B2 L2 U2
L' U' R2 D' U2 R2 F2
L' U' R2 D' U2 F2 R2
L2 U' D' L F2 U R2
L2 U' D' F2 L U R2
D2 R' L D' L B2 R'
D' R' L D' L2 R' B2
D' R' L D' R' L2 B2
D' R' L D' R' B2 L2
L U' D' F2 U R2 B2
L U' D' F2 U B2 R2
D' R' L' F2 U R' F2
D' R' L' F2 U F2 R'
U' R' L' B2 R U L
U R' L' B2 R' U L
U2 R' U L' B2 U L
D2 R' U F2 R U' L2
D' R' U' L' F2 U R'
U2 R' U B2 L' U L2
R' U' B L' B U L
U R' U2 L' B2 U L
R' U' B2 L' U L2 D
R' U' B2 L' U L2 D'
R' U' B2 L' U L2 D2
R' U' B2 L' D F2 U
R' U' B2 L' F U L2
R' U' B2 L' F' U L2
R' U' B2 L' F2 U L2
R' U' B2 U L D' B2
U R' U2 B2 L' U L2
R' U' B2 D L' U L2
R' U' B2 D' L' U L2
R' U' B2 D2 L' U L2
R2 U' B2 L' U D L2
R2 U' B2 L' U2 B2 U'
R2 U' B2 L' D U L2
R2 U' B2 L' D2 F2 U
L U' B2 L2 U D2 L2
L U' B2 L2 U' R2 U2
L U' B2 L2 D' F2 U
L U' B2 L2 D2 U L2
R U' B2 L' U' R U2
R U' B2 L' F2 U L'
R2 U' B2 D L' U L'
R2 U' B2 D2 L' F2 U
L U' B2 D' F2 U B2
D2 R' F2 R U' L2 F2
D2 R' F2 R U' F2 L2
R' U2 R' U L' B2 U
R' U2 R' U B2 L' U
R U2 R U L' B2 U
R U2 R U B2 L' U
L' U2 R2 D L2 U2 B2
L' U2 R2 D' F2 U2 R2
L2 U2 R2 U L B2 U
L U2 R2 U L2 B2 U
L U2 R2 U B2 L2 U
L U2 R2 U2 D' R2 B2
L U2 R2 U2 D' B2 R2
L U2 R2 D L2 F2 U2
L U2 R2 D F2 L2 U2
L U2 R2 D' U2 R2 B2
L U2 R2 D' U2 B2 R2
U' R' B2 L' R U L2
U' R' B2 R L' U L2
B2 R' B2 L D' R2 B2
B2 R' B2 L D' B2 R2
D' R2 L U' L2 F2 U
D' R2 L U' F2 L2 U
D2 R2 L D' L B2 R'
D' R2 L D' L' B2 L'
D' R2 L D' L2 B2 D
D' R2 L D' L2 B2 D'
D' R2 L D' L2 B2 D2
D' R2 L D' B L2 B
D' R2 L D' B2 L2 D
D' R2 L D' B2 L2 D'
D' R2 L D' B2 L2 D2
U2 R2 L U L2 B2 U
U2 R2 L U B2 L2 U
U2 R2 L U2 D' R2 B2
U2 R2 L U2 D' B2 R2
U2 R2 L D L2 F2 U2
D' R2 L B D' L2 B2
D' R2 L B D' B2 L2
U2 R2 L D F2 L2 U2
D' R2 L B' D' L2 B2
D' R2 L B' D' B2 L2
U2 R2 L D' U2 R2 B2
U2 R2 L D' U2 B2 R2
D' R2 L B2 D' L2 B2
D' R2 L B2 D' B2 L2
D' R2 L' D' L2 D' B2
U2 R2 L' U B2 U B2
D' R2 L2 U' L F2 U
D' R2 L2 U' F2 L U
U2 R2 L2 U L B2 U
U' R2 U L' R2 B2 U
U' R2 U L' B2 R2 U
U' R2 U R2 L' B2 U
U' R2 U R2 B2 L' U
U2 R2 U L B2 L2 U
U2 R2 U L' U D' R2
U2 R2 U L' D' U R2
U2 R2 U L' B2 U D
U2 R2 U L' B2 U D'
U2 R2 U L' B2 U D2
U2 R2 U L' B2 D U
U2 R2 U L' B2 D' U
U2 R2 U L' B2 D2 U
D2 R2 U F2 R U' L2
U2 R2 U D' L' U R2
U' R2 U B2 L' R2 U
U' R2 U B2 R2 L' U
D' R2 U' L F2 L2 U
D' R2 U' L' U D' L2
D' R2 U' L' D' U L2
D' R2 U' L' F2 U D
D' R2 U' L' F2 U D'
D' R2 U' L' F2 U D2
D' R2 U' L' F2 D U
D' R2 U' L' F2 D' U
D' R2 U' L' F2 D2 U
D' R2 U' L2 F2 L U
U2 R2 U B L' B U
F2 R2 U B2 L U F2
U2 R2 U B2 L' U D
U2 R2 U B2 L' U D'
U2 R2 U B2 L' U D2
U2 R2 U B2 L' D U
U2 R2 U B2 L' D' U
U2 R2 U B2 L' D2 U
U2 R2 U B2 D L' U
U2 R2 U B2 D' L' U
U2 R2 U B2 D2 L' U
D' R2 U' D' L' U L'
D' R2 U' F2 U2 R U'
U2 R2 U' D2 F2 R U'
U2 R2 D L2 U L U
D' R2 D' L D' L B2
U R2 U2 B2 L' U L
D' R2 D' L2 U' L U
D' R2 D' U' L' U L'
R' D L D' B2 L R'
R' D L D' B2 R' L
U2 R2 D' U L' U R2
U2 R2 D2 U' F2 R U'
D2 R2 F2 R U' L2 F2
D2 R2 F2 R U' F2 L2
D' R2 B L D' L2 B2
D' R2 B L D' B2 L2
D' R2 B U' L' F2 U
D' R2 B' L D' L2 B2
D' R2 B' L D' B2 L2
D' R2 B' U' L' F2 U
D' R2 B2 L D' L2 B2
D' R2 B2 L D' B2 L2
D' R2 B2 U' L' F2 U
U' D L' D2 F2 U R
U2 D L2 U' B2 R' U'
D2 U R F2 R U' L2
D2 U R' F2 R U' L2
D2 U R2 F2 R U' L2
R' D B2 L D' B2 R'
D2 U F2 R U' L2 D
D2 U F2 R U' L2 D'
D2 U F2 R U' L2 D2
D2 U F2 R D' B2 U'
D2 U F2 R B U' L2
D2 U F2 R B' U' L2
D2 U F2 R B2 U' L2
L2 D' L F2 U R2 F2
L2 D' L F2 U F2 R2
L D' L R2 B2 D' L2
R D' L R2 D' B2 L
D2 U F2 D' R B2 U'
D2 U F2 D' B2 R U'
L2 D' L' R2 D' L2 B2
L2 D' L' R2 D' B2 L2
D2 U F2 B R U' L2
D2 U F2 B' R U' L2
D2 U F2 B2 R U' L2
L' D' L2 R2 D' L2 B2
L' D' L2 R2 D' B2 L2
L D' L B2 R2 D' L2
L D' L' R2 B2 D' L2
D2 U B F2 R U' L2
L D' L' B2 R2 D' L2
L D' L2 R2 B2 D' L2
L' D' R F2 U F2 R
D2 U B' F2 R U' L2
L D' L2 B2 R2 D' L2
L' D' R' F2 U R' F2
L' D' R' F2 U F2 R'
D2 U B2 F2 R U' L2
L' D' R2 L2 D' L2 B2
L' D' R2 L2 D' B2 L2
L D' R B2 R D' L2
L D' R B2 D' L2 R
L D' R B2 D' R L2
L' D' R2 D' L2 D' B2
D' U' L F2 L2 U R2
U' D' L F2 L2 U R2
D U B2 D F2 R U'
L2 D' R2 L' D' L2 B2
L2 D' R2 L' D' B2 L2
L2 D' R2 U' L F2 U
L2 D' R2 U' F2 L U
U D B2 D F2 R U'
D' U' L' U R2 D' L2
U' D' L' U R2 D' L2
D2 U' L' U L' D R2
D2 U' L' U D L' R2
D2 U' L' U D R2 L'
D2 U' L' D U L' R2
D2 U' L' D U R2 L'
L D' R2 L B2 D' L2
L D' R2 L' B2 D' L2
R D' R2 L D' B2 L
D2 U' L' D2 B2 U L'
L D' R2 L2 B2 D' L2
D' U' L' F2 U R2 D
D' U' L' F2 U R2 D'
D' U' L' F2 U R2 D2
U' D' L' F2 U R2 D
U' D' L' F2 U R2 D'
U' D' L' F2 U R2 D2
D' U' L' F2 D B2 U
U' D' L' F2 D B2 U
U' D' L' F2 B U R2
D' U' L' F2 B U R2
U' D' L' F2 B' U R2
D' U' L' F2 B' U R2
U' D' L' F2 B2 U R2
D' U' L' F2 B2 U R2
L D' R2 U' F2 U B2
D' U' L' B F2 U R2
U' D' L' B F2 U R2
U' D' L' B' F2 U R2
D' U' L' B' F2 U R2
L D' R2 D' L2 D B2
U' D' L' B2 F2 U R2
D' U' L' B2 F2 U R2
L D' R2 B D' L2 B
L D' R2 B D' B L2
L D' R2 B' D' B' L2
L D' R2 B2 L D' L2
L D' R2 B2 L' D' L2
L D' R2 B2 L2 D' L2
L D' R2 B2 U' F2 U
L D' R2 B2 D' L2 D
L D' R2 B2 D' L2 D'
L D' R2 B2 D' L2 D2
L2 D' U' L F2 U R2
R D' R2 B2 L D' B2
D U' L' D2 F2 U R
U' D' L2 F2 L U R2
D' U' L2 F2 L U R2
L2 D' U' F2 L U R2
L D' U' F2 U R2 B2
L D' U' F2 U B2 R2
B2 U' L' U' L R2 U2
B2 U' L' U' R2 L U2
B U' L' D' F2 B U
B U' L' D' B F2 U
B U' L' D2 B U L2
B U' L' B U D2 L2
B U' L' B U' R2 U2
B U' L' B D' F2 U
B U' L' B D2 U L2
L' D' F2 R U R F2
L' D' F2 R' U R' F2
L' D' F2 R' U F2 R'
L' D' F2 U R' F2 R'
L' D' F2 U R2 F2 D
L' D' F2 U R2 F2 D'
L' D' F2 U R2 F2 D2
L' D' F2 U F R2 F
L' D' F2 U F2 R2 D
L' D' F2 U F2 R2 D'
L' D' F2 U F2 R2 D2
L2 D' F2 L U R2 F2
L2 D' F2 L U F2 R2
L' D' F2 D R2 B2 U
L' D' F2 D B2 R2 U
L' D' F2 B U R2 F2
L' D' F2 B U F2 R2
L' D' F2 B' U R2 F2
L' D' F2 B' U F2 R2
L' D' F2 B2 U R2 F2
L' D' F2 B2 U F2 R2
L D' F2 U R2 F2 B2
L D' F2 U R2 B2 F2
L D' F2 U F2 R2 B2
L D' F2 U F2 B2 R2
L D' F2 U B2 R2 F2
L D' F2 U B2 F2 R2
L' D' B F2 U R2 F2
L' D' B F2 U F2 R2
B2 U' R2 U L' R2 U
B2 U' R2 U R2 L' U
R' D' B2 L R2 D' B2
U' D' F2 U2 R U' R
D' U' F2 U2 R U' R
L' D' B' F2 U R2 F2
L' D' B' F2 U F2 R2
R' D' B2 R2 L D' B2
U' D' B L' F2 U R2
D' U' B L' F2 U R2
L D' B' R2 D' B' L2
L D' B' R2 B' D' L2
L' D' B2 F2 U R2 F2
L' D' B2 F2 U F2 R2
U' D' B' L' F2 U R2
D' U' B' L' F2 U R2
B' U' D' B' L' F2 U
L D' B2 L R2 D' L2
L D' B2 L' R2 D' L2
L D' B2 L2 R2 D' L2
L D' B2 R D' L2 R
L D' B2 R D' R L2
L D' B2 R' D' L2 R'
L D' B2 R' D' R' L2
L D' B2 R2 L D' L2
L D' B2 R2 L' D' L2
L D' B2 R2 L2 D' L2
L D' B2 R2 U' F2 U
L D' B2 R2 D' L2 D
L D' B2 R2 D' L2 D'
L D' B2 R2 D' L2 D2
B U' D' L' F2 B U
B U' D' L' B F2 U
L D' B2 U' F2 U R2
L D' B2 D' L2 D R2
D' U' B2 L' F2 U R2
U' D' B2 L' F2 U R2
B' U' D2 B' L' U L'
B U' D' B L' F2 U
B U' D2 L' B U L'
L D2 L D L R2 B2
L D2 L D L B2 R2
L D2 L D R2 L B2
B U' D2 B L' U L'
L' D2 L2 D R2 D2 B2
L' D2 L2 D' B2 D2 R2
L2 D2 L2 U F2 R U'
L D2 L' D L' R2 B2
L D2 L' D L' B2 R2
L D2 L' D R2 L' B2
L D2 L' D R2 B2 L'
L D2 L' D B2 L' R2
L D2 L' D B2 R2 L'
U' D2 L' U L' D R2
U' D2 L' U D L' R2
U' D2 L' U D R2 L'
U' D2 L' D U L' R2
U' D2 L' D U R2 L'
L D2 L2 U R2 F2 U'
U' D2 L' D2 B2 U L'
L D2 L2 U F2 R2 U'
L D2 L2 D R B2 R
L D2 L2 D R2 B2 D
L D2 L2 D R2 B2 D'
L D2 L2 D R2 B2 D2
L D2 L2 D B' R2 B'
L D2 L2 D B2 R2 D
L D2 L2 D B2 R2 D'
L D2 L2 D B2 R2 D2
L D2 L2 B D R2 B2
L D2 L2 B D B2 R2
L D2 L2 B' D R2 B2
L D2 L2 B' D B2 R2
L D2 L2 B2 D R2 B2
L D2 L2 B2 D B2 R2
B' U' B' L' U D2 L2
B' U' B' L' U' R2 U2
B' U' B' L' D' F2 U
B' U' B' L' D2 U L2
B U' B L' U D2 L2
B U' B L' U' R2 U2
