F2 L2 U L R' F'
F2 L2 U R' L F'
F2 L2 U R' F' L
L2 U R' D2 L2 F'
L2 U R' D2 F' L2
L2 U R' F' D2 L2
L2 U F' R' F' L'
L2 U F2 L' R' F'
L2 U F2 R' L' F'
L2 F2 U L' R' F'
L2 F2 U R' L' F'
L2 F2 U R' L F' L2
L2 F2 U R' L' D F'
L2 F2 U R' L' D' F'
L2 F2 U R' L' D2 F'
L2 F2 U R' L' F' D
L2 F2 U R' L' F' D'
L2 F2 U R' L' F' D2
L2 F2 U R' L2 F' L
L2 F2 U R' D L' F'
L2 F2 U R' D' L' F'
L2 F2 U R' D2 L' F'
L2 F2 U D L' R' F'
L2 F2 U D R' L' F'
L2 F2 U D' L' R' F'
L2 F2 U D' R' L' F'
L2 F2 U D2 L' R' F'
L2 F2 U D2 R' L' F'
L2 F2 U F R' F' L'
L2 F2 D U L' R' F'
L2 F2 D U R' L' F'
U2 F2 D' L' R' F B2
U2 F2 D' L' R' B2 F
U2 F2 D' L' F R' B2
U2 F2 D' R' L' F B2
U2 F2 D' R' L' B2 F
U2 F2 D' R' B2 L' F
L2 F2 D' U L' R' F'
L2 F2 D' U R' L' F'
U F2 D' L' R' F' B2
U F2 D' L' R' B2 F'
L2 F2 D2 U L' R' F'
L2 F2 D2 U R' L' F'
U F2 D' R' L' F' B2
U F2 D' R' L' B2 F'
U F2 D' R' B2 L' F'
R B' U L2 R' U R'
R B' U R' L2 U R'
R2 B2 D' L R F' B2
R2 B2 D' L R B2 F'
R2 B2 D' L B2 R F'
R2 B2 D' R L F' B2
R2 B2 D' R L B2 F'
R2 B2 D' R F' L B2
