B' R D F U B2
B' R D2 F L2 U
B' R F U D B2
B' R F U2 R2 U'
B' R F D U B2
B' R F D2 L2 U
B R F L B2 U
U R F B' U B2
U R B' F U B2
R F B L B2 U
R F B' U2 R' U'
R B F L B2 U
U B' R F U B
R B' F U2 R' U'
D2 B' R F U D B2
D2 B' R F U2 R2 U'
D2 B' R F D U B2
D2 B' R F D2 L2 U
D' B' R D2 F L2 U
D' B' R F U D B2
D' B' R F U2 R2 U'
D' B' R F D U B2
D' B' R F D2 L2 U
U2 B' R F U2 R U'
U2 B' R F' L' F2 U
D B' R D F U B2
R B' L2 U2 R' B' U'
D B' R D2 F L2 U
D B' R F U D B2
D B' R F U2 R2 U'
D B' R F D U B2
D B' R F D2 L2 U
U B' R L' U B L
L2 B' R' D' F U' F
L2 B' R' D2 F L2 U'
L2 B' R' F U' D' F2
L2 B' R' F U2 R2 U
L2 B' R' F D' U' F2
L2 B' R' F D2 L2 U'
U B' R D F U B
R' B' R2 F2 L' F' U
U B' R D' F U B
U B' R D2 F U B
U B' R F L U B
U B' R F L' U B
U B' R F L2 U B
U B' R F U D B
U B' R F U D' B
U B' R F U D2 B
U B' R F U B D
U B' R F U B D'
U B' R F U B D2
U B' R F D U B
U B' R F D' U B
U B' R F D2 U B
U B' R2 F R' U B
R B' U2 R' U2 F U
U B' D R F U B
R' B' F R2 U2 R U'
R B' D F U2 R' U'
U B' D' R F U B
R' B' F' R2 F2 L' U
R B' D' F U2 R' U'
U B' D2 R F U B
R B' D2 F U2 R' U'
L2 B' F2 L' F' R' U'
R B' F L U2 R' U'
R B' F L' U2 R' U'
R B' F L2 U2 R' U'
R B' F U2 R' U' D
R B' F U2 R' U' D'
R B' F U2 R' U' D2
R B' F U2 R' D U'
R B' F U2 R' D' U'
R B' F U2 R' D2 U'
R B' F U2 D R' U'
R B' F U2 D' R' U'
R B' F U2 D2 R' U'
R B' F D U2 R' U'
R B' F D' U2 R' U'
R B' F D2 U2 R' U'
R B2 D2 F L' B U
R B2 D2 F B L' U
R B2 D2 B F L' U
