U L' F' R' U
U L F' L2 R' U
U L F' R' L2 U
U L' D F' R' U
U L' D' F' R' U
U L' D2 F' R' U
U L' F R' F2 U
U2 L' F' R' U R
U L' F' R' U D
U L' F' R' U D'
U L' F' R' U D2
U L' F' R' D U
U L' F' R' D' U
U L' F' R' D2 U
U L' F' D R' U
U L' F' D' R' U
U L' F' D2 R' U
U L' F2 R' F U
U L2 F' L R' U
U L2 F' R' L U
U R' D2 L' F U
D2 U L' F' R' U
D' U L' F' R' U
U D L' F' R' U
D U L' F' R' U
U D' L' F' R' U
U D2 L' F' R' U
L' F' R' U' L U2
L' F' R' B2 U R'
U F' D R' U B
U L2 F' D' R' L U
R2 U R D2 L' F U
U L2 F' D2 L R' U
U L2 F' D2 R' L U
U L2 F2 R' F L U
R2 U R2 L' F' R' U
R U R2 L' F' U L'
R' U D2 L' F U F'
F2 R U F R2 U B
F2 R U2 R2 F U R2
F2 R U2 F R2 U R2
L' U' L U F' R' U
U R' L' D' F U L'
R2 U' B U2 L' R U
R2 U' B U2 R L' U
F' R' U2 F' R U' R'
U R' D' L' F U L'
U R' D' F U L' B'
U R' D2 L' D F U
U R' D2 L' D' F U
U R' D2 L' D2 F U
U R' D2 L' F U D
U R' D2 L' F U D'
U R' D2 L' F U D2
U R' D2 L' F D U
U R' D2 L' F D' U
U R' D2 L' F D2 U
F2 R' F U2 R2 U' R2
U' R2 B U2 L' R U
U' R2 B U2 R L' U
D' U L F' L2 R' U
D' U L F' R' L2 U
D2 U L F' L2 R' U
D2 U L F' R' L2 U
D' U L' D F' R' U
D2 U L' D F' R' U
D' U L' D' F' R' U
D2 U L' D' F' R' U
D' U L' D2 F' R' U
D2 U L' D2 F' R' U
D U L F' L2 R' U
D' U L' F R' F2 U
D U L F' R' L2 U
D2 U L' F R' F2 U
B' U L' D2 F' R U
D' U L' F' R' U D
D' U L' F' R' U D'
D' U L' F' R' U D2
D' U L' F' R' D U
D' U L' F' R' D' U
D' U L' F' R' D2 U
D2 U L' F' R' U D
D2 U L' F' R' U D'
D2 U L' F' R' U D2
D2 U L' F' R' D U
D2 U L' F' R' D' U
D' U L' F' D R' U
D2 U L' F' R' D2 U
D' U L' F' D' R' U
D' U L' F' D2 R' U
D2 U L' F' D R' U
D2 U L' F' D' R' U
D2 U L' F' D2 R' U
D' U L' F2 R' F U
D2 U L' F2 R' F U
B2 U L' D F' U F'
B2 U L' D2 F' R2 U
U D L F' L2 R' U
B2 U L' F' U D F2
U D L F' R' L2 U
B2 U L' F' U2 L2 U'
B2 U L' F' D U F2
B2 U L' F' D2 R2 U
U2 D L' F' R' U R
F U L' R' F2 U B'
D U L' D F' R' U
D U L' D' F' R' U
L' D F' R' U' L U2
D U L' D2 F' R' U
L' D F' R' B2 U R'
D U L' F R' F2 U
B U L' F' R' U F'
D U L' F' R' U D
D U L' F' R' U D'
D U L' F' R' U D2
D U L' F' R' D U
D U L' F' R' D' U
D U L' F' R' D2 U
D U L' F' D R' U
D' U L2 F' L R' U
D U L' F' D' R' U
D U L' F' D2 R' U
D' U L2 F' R' L U
D2 U L2 F' L R' U
D U L' F2 R' F U
D2 U L2 F' R' L U
U D L' D F' R' U
U D L' D' F' R' U
U D L' D2 F' R' U
U D L' F R' F2 U
F U L' F2 R' U B'
U D L' F' R' U D
U D L' F' R' U D'
U D L' F' R' U D2
U D L' F' R' D U
U D L' F' R' D' U
U D L' F' R' D2 U
U D L' F' D R' U
U D L' F' D' R' U
U D L' F' D2 R' U
U D L' F2 R' F U
D U L2 F' L R' U
D U L2 F' R' L U
U D L2 F' L R' U
U D L2 F' R' L U
D' U R' D2 L' F U
D2 U R' D2 L' F U
F' U R' F L' U L
F2 U R' D F U B2
F2 U R' D2 F L2 U
F2 U R' F U D B2
F2 U R' F U2 R2 U'
F2 U R' F D U B2
F2 U R' F D2 L2 U
F U R' L' F2 U B'
D U R' D2 L' F U
U D R' D2 L' F U
F U R' F2 L' U B'
B' U D L' F' U F2
D' U F' D R' U B
D2 U F' D R' U B
B' U D2 L' F' R U
L2 D' L F' R' B2 U
D U F' D R' U B
F' U F L' R' U L
F' U F R' L' U L
U D F' D R' U B
F2 U F D R' U B
F2 U F2 L' F' R' U
F U F2 L' R' U B'
F U F2 R' L' U B'
U D' L F' L2 R' U
U D' L F' R' L2 U
U2 D' L' F' R' U R
U D' L' D F' R' U
U D' L' D' F' R' U
U D' L' D2 F' R' U
U D' L' F R' F2 U
U D' L' F' R' U D
U D' L' F' R' U D'
U D' L' F' R' U D2
U D' L' F' R' D U
U D' L' F' R' D' U
U D' L' F' R' D2 U
U D' L' F' D R' U
U D' L' F' D' R' U
U D' L' F' D2 R' U
U D' L' F2 R' F U
B2 U' L U2 L2 F' U
B2 U' L U2 F' L2 U
B2 U' L D2 R2 B U'
U D' L2 F' L R' U
U D' L2 F' R' L U
L' D' F' R' U' L U2
L' D' F' R' B2 U R'
L2 D' F' L R' B2 U
L2 D' F' R' L B2 U
U D' R' D2 L' F U
F2 U' R U2 R2 F U
F2 U' R U2 F R2 U
F2 U' R D2 L2 B' U'
U D' F' D R' U B
L2 D2 L F' R' U R'
R' D2 L' F U' L U2
R' D2 L' F B2 U R'
R' D2 L' B2 F U R'
D' U2 L' F' R' U R
D2 U2 L' F' R' U R
U D2 L F' L2 R' U
U D2 L F' R' L2 U
U2 D2 L' F' R' U R
D U2 L' F' R' U R
U D2 L' D F' R' U
U D2 L' D' F' R' U
U D2 L' D2 F' R' U
U D2 L' F R' F2 U
U D2 L' F' R' U D
U D2 L' F' R' U D'
U D2 L' F' R' U D2
U D2 L' F' R' D U
U D2 L' F' R' D' U
U D2 L' F' R' D2 U
U D2 L' F' D R' U
U D2 L' F' D' R' U
U D2 L' F' D2 R' U
U D2 L' F2 R' F U
R' D2 U L' F U F'
U D2 L2 F' L R' U
U D2 L2 F' R' L U
U D2 R' D2 L' F U
L' D2 F' R' U' L U2
L' D2 F' R' B2 U R'
L2 D2 F' L R' U R'
L2 D2 F' R' L U R'
U D2 F' D R' U B
L' F R' F2 U' L U2
L' F R' F2 B2 U R'
L' F R' B2 F2 U R'
F U2 F2 R' U R B
U F R' F' L' F' U
B' D U L' F' U F2
L2 F' L R' U' L U2
L2 F' L R' B2 U R'
U F' L D R' U B
U F' L' D R' U B
L' F' R B2 R2 U R
U F' L2 D R' U B
L F' L2 D R' B U
L' F' R' U B2 R' B2
L' F' R' U' L U2 D
L' F' R' U' L U2 D'
L' F' R' U' L U2 D2
L' F' R' U' L D U2
L' F' R' U' L D' U2
L' F' R' U' L D2 U2
L' F' R' U' D L U2
L' F' R' U' D' L U2
L' F' R' U' D2 L U2
L' F' R' D U' L U2
L' F' R' D B2 U R'
L' F' R' D' U' L U2
L' F' R' D' B2 U R'
L' F' R' D2 U' L U2
L2 F' R' L U' L U2
L' F' R' D2 B2 U R'
L2 F' R' L B2 U R'
L' F' R' B2 U R' D
L' F' R' B2 U R' D'
L' F' R' B2 U R' D2
L' F' R' B2 U D R'
L' F' R' B2 U D' R'
L' F' R' B2 U D2 R'
L' F' R' B2 D U R'
L' F' R' B2 D' U R'
L' F' R' B2 D2 U R'
L2 F' R' D' L B2 U
L2 F' R' D2 L U R2
L' F' R2 B2 R U R2
U F' R' D' L U B'
U F' R' F L' F' U
L' F' U' L U R' U
L' F' D R' U' L U2
L' F' D R' B2 U R'
U2 F' D R' U B R
L' F' D' R' U' L U2
L' F' D' R' B2 U R'
L2 F' D' L R' B2 U
U F' D L R' U B
U F' D L' R' U B
U F' D L2 R' U B
L2 F' D' R' L B2 U
U F' D R' L U B
U F' D R' L' U B
U F' D R' L2 U B
U F' D R' U D B
U F' D R' U D' B
U F' D R' U D2 B
U F' D R' U B D
U F' D R' U B D'
U F' D R' U B D2
U F' D R' D U B
U F' D R' D' U B
U F' D R' D2 U B
L' F' D2 R' U' L U2
L' F' D2 R' B2 U R'
L2 F' D2 L R' U R'
U F' D' L R' U B'
L2 F' D2 R' L U R'
U F' D' R' L U B'
L' F' B2 U2 L U' R'
L' F2 R' F U' L U2
L' F2 R' F B2 U R'
L' F2 R' B2 F U R'
U F2 R' D F U B2
U F2 R' D2 F L2 U
U F2 R' F U D B2
L F2 R' F L2 U R2
U F2 R' F U2 R2 U'
U F2 R' F D U B2
U F2 R' F D2 L2 U
R2 F2 U' L' B R U'
R2 F2 U' B L' R U'
R2 F2 U' B R L' U'
B' D2 U L' F' R U
R2 B U2 L' R U R'
R2 B U2 R L' U R'
U B' L' F' B R' U
U B' L' B F' R' U
U' B2 L U2 L2 F' U
U' B2 L U2 F' L2 U
U' B2 L D2 R2 B U'
L' B2 F' U2 L U' R'
