F' L2 U R' F'
L2 F' U R' F'
F' L2 U R' D F'
F' L2 U R' D' F'
F' L2 U R' D2 F'
F' L2 U R' F' D
F' L2 U R' F' D'
F' L2 U R' F' D2
F' L2 U D R' F'
F' L2 U D' R' F'
F' L2 U D2 R' F'
F' L2 U F R' F'
F' L2 U F' R' F'
F' L2 U F2 R' F'
F' L2 D U R' F'
F' L2 D' U R' F'
F' L2 D2 U R' F'
F L2 F2 U R' F'
D2 R2 B L U' R
L2 D F' U R' F'
F' U R' D' F' B2
F' U R' D' B2 F'
F' U R' F' D' B2
F' U D' R' F' B2
F' U D' R' B2 F'
L2 D' F' U R' F'
L2 D2 F' U R' F'
L F' L U R' F'
D' F' U R' F' B2
D' F' U R' B2 F'
L2 F' U R' D F'
L2 F' U R' D' F'
L2 F' U R' D2 F'
L2 F' U R' F' D
L2 F' U R' F' D'
L2 F' U R' F' D2
L2 F' U D R' F'
L2 F' U D' R' F'
L2 F' U D2 R' F'
L2 F' U F R' F'
L2 F' U F' R' F'
L2 F' U F2 R' F'
L2 F' D U R' F'
L2 F' D' U R' F'
L2 F' D2 U R' F'
F' D' U R' F' B2
F' D' U R' B2 F'
F' L2 U R' D2 F' D2
F' L2 U R' F2 D F
F' L2 U R' F2 D' F
F' L2 U R' F2 D2 F
F' L2 U D R' D F'
F' L2 U D R' D' F'
F' L2 U D R' D2 F'
F' L2 U D R' F' D
F' L2 U D R' F' D'
F' L2 U D R' F' D2
F' L2 U D F R' F'
F' L2 U D F' R' F'
F' L2 U D F2 R' F'
F' L2 U D' R' D F'
F' L2 U D' R' D' F'
F' L2 U D' R' D2 F'
F' L2 U D' R' F' D
F' L2 U D' R' F' D'
F' L2 U D' R' F' D2
F' L2 U D' F R' F'
F' L2 U D' F' R' F'
F' L2 U D' F2 R' F'
F' L2 U D2 R' D F'
F' L2 U D2 R' D' F'
F' L2 U D2 R' D2 F'
F' L2 U D2 R' F' D
F' L2 U D2 R' F' D'
F' L2 U D2 R' F' D2
F' L2 U D2 F R' F'
F' L2 U D2 F' R' F'
F' L2 U D2 F2 R' F'
F' L2 U D2 F2 R' F'
F' L2 U F R' D F'
F' L2 U F R' D' F'
F' L2 U F R' D2 F'
F' L2 U F R' F' D
F' L2 U F R' F' D'
F' L2 U F R' F' D2
F' L2 U F D R' F'
F' L2 U F D' R' F'
F' L2 U F D2 R' F'
F' L2 U F' R' D F'
F' L2 U F' R' D' F'
F' L2 U F' R' D2 F'
F' L2 U F' R' F' D
F' L2 U F' R' F' D'
F' L2 U F' R' F' D2
F' L2 U F' D R' F'
F' L2 U F' D' R' F'
F' L2 U F' D2 R' F'
F' L2 U F2 R' D F'
F' L2 U F2 R' D' F'
F' L2 U F2 R' D2 F'
F' L2 U F2 R' F' D
F' L2 U F2 R' F' D'
F' L2 U F2 R' F' D2
F L2 U R' D' L2 F'
F L2 U R' D' F' L2
F' L2 U F2 D R' F'
F' L2 U F2 D' R' F'
F' L2 U F2 D2 R' F'
F L2 U D' L2 R' F'
F L2 U D' R' L2 F'
F L2 U D' R' F' L2
F' L2 U' L U2 R' F
F' L2 U' L U2 F R'
F' L2 U' B2 L U2 F
F' L2 U2 L U' R' F'
F' L2 U2 L' U' R' F'
F' L2 U2 L2 U' R' F'
F' L2 U2 F' L' U' R'
R L2 B' R' F' U R'
F' L2 D U R' D F'
F' L2 D U R' D' F'
F' L2 D U R' D2 F'
F' L2 D U R' F' D
F' L2 D U R' F' D'
F' L2 D U R' F' D2
F' L2 D U F R' F'
F' L2 D U F' R' F'
F' L2 D U F2 R' F'
U' L2 D F' R U R2
F' L2 D' U R' D F'
F' L2 D' U R' D' F'
F' L2 D' U R' D2 F'
F' L2 D' U R' F' D
F' L2 D' U R' F' D'
F' L2 D' U R' F' D2
F' L2 D' U F R' F'
F' L2 D' U F' R' F'
F' L2 D' U F2 R' F'
B' L2 D' F' R' B U
F L2 D' U L2 R' F'
F L2 D' U R' L2 F'
F L2 D' U R' F' L2
F' L2 D2 U R' D F'
F' L2 D2 U R' D' F'
F' L2 D2 U R' D2 F'
F' L2 D2 U R' F' D
F' L2 D2 U R' F' D'
F' L2 D2 U R' F' D2
F' L2 D2 U F R' F'
F' L2 D2 U F' R' F'
F' L2 D2 U F2 R' F'
B' L2 D2 F' R' U R2
U2 L2 F R F2 U R2
B' L2 F' R' B U R'
D' L2 F' U R' F' B2
D' L2 F' U R' B2 F'
B' L2 F' D' R' B U
U2 L2 F' U2 L' U' R'
B' L2 F' B U R' F'
U L2 F' R U R2 F'
U L2 F' R2 U R F'
F L2 F2 U R' D F'
F L2 F2 U R' D' F'
F L2 F2 U R' D2 F'
F L2 F2 U R' F' D
F L2 F2 U R' F' D'
F L2 F2 U R' F' D2
F L2 F2 U D R' F'
F L2 F2 U D' R' F'
F L2 F2 U D2 R' F'
F L2 F2 U F R' F'
F L2 F2 U F' R' F'
F L2 F2 U F2 R' F'
F L2 F2 D U R' F'
F L2 F2 D' U R' F'
L2 U R' D' F L' F2
F L2 F2 D2 U R' F'
L2 U R' F2 D' F L'
B' L2 B F' U R' F'
F' L2 B' R' B U R'
F' L2 B' D' R' B U
L2 U F R' D' L2 F'
L2 U F R' D' F' L2
F' R L2 U R' F' R'
L2 U F D' L2 R' F'
L2 U F D' R' L2 F'
L2 U F D' R' F' L2
F' R L2 B' R' U R'
U R L2 U R2 F' L'
L2 U F2 R' F' D' L2
L U' L F' U R' F2
L U' L F' U F2 R'
F' R B' L2 R' U R'
F' R B' R' L2 U R'
F' R' L2 B' R' U R
D2 R' U R' B U' F'
L U' F' L U R' F
L U' F' L U F R'
U' R' D' L F L' B2
U' R' D' L F B2 L'
U' R' D' L B2 F L'
U' R' D' B2 L F L'
U R' D' F L' F2 B2
U R' D' F L' B2 F2
U R' D' F B2 L' F2
U R' D' B2 F L' F2
U R' F2 D' F L' B2
U R' F2 D' F B2 L'
U R' F2 D' B2 F L'
F' R' B' L2 R' U R
F' R' B' R' L2 U R
D2 R2 L B L U' R
D2 R2 L' B L U' R
F' R2 L2 U R' F' R2
D2 R2 L2 B L U' R
F' R2 L2 B' R' U R2
D2 R2 D B L U' R
D2 R2 D' B L U' R
D2 R2 D2 B L U' R
L' D L' F' U R' F'
L D L F' U R' F'
D' R2 B L U' B R
D2 R2 B L U' R D
D2 R2 B L U' R D'
D2 R2 B L U' R D2
D2 R2 B L U' D R
D2 R2 B L U' D' R
D2 R2 B L U' D2 R
D2 R2 B L D U' R
D2 R2 B L D' U' R
D2 R2 B L D2 U' R
D2 R2 B D L U' R
D2 R2 B D' L U' R
D2 R2 B D2 L U' R
F' R2 B' L2 R' U R2
F' R2 B' R' L2 U R2
L2 D F' U R' D F'
L2 D F' U R' D' F'
L2 D F' U R' D2 F'
L2 D F' U R' F' D
L2 D F' U R' F' D'
L2 D F' U R' F' D2
L2 D F' U D R' F'
L2 D F' U D' R' F'
L2 D F' U D2 R' F'
L2 D F' U F R' F'
L2 D F' U F' R' F'
L2 D F' U F2 R' F'
L2 D F' D U R' F'
L2 D F' D' U R' F'
L D F' L U R' F'
L2 D F' D2 U R' F'
F' U R' U' L2 U F'
F' U R' D' F' B2 D
F' U R' D' F' B2 D'
F' U R' D' F' B2 D2
F' U R' D' B2 D F'
F' U R' D' B2 D' F'
F' U R' D' B2 D2 F'
F' U R' D' B2 F' D
F' U R' D' B2 F' D'
F' U R' D' B2 F' D2
F' U R' D2 F' D B2
F' U R' F' U' L2 U
F' U R' F' D' B2 D
F' U R' F' D' B2 D'
F' U R' F' D' B2 D2
F' U R' F' B D' B2
F' U R' F' B' D' B2
F' U R' F' B2 D' B2
F' U R' F2 D' F B2
F' U R' F2 D' B2 F
F' U R' B D' F' B2
F' U R' B D' B2 F'
F' U R' B F' D' B2
F' U R' B' D' F' B2
F' U R' B' D' B2 F'
F' U R' B' F' D' B2
F' U R' B2 D' F' B2
F' U R' B2 D' B2 F'
F' U R' B2 F' D' B2
F2 U R' F' D' L2 B2
F2 U R' F' D' B2 L2
F U R' D' L2 F' B2
F U R' D' L2 B2 F'
F U R' D' F' L2 B2
F U R' D' F' B2 L2
F U R' D' B2 L2 F'
F U R' D' B2 F' L2
D2 U R2 B U' R F'
F' U D R' D2 F' B2
F' U D R' D2 B2 F'
F' U D' R' F' B2 D
F' U D' R' F' B2 D'
F' U D' R' F' B2 D2
F' U D' R' B2 D F'
F' U D' R' B2 D' F'
F' U D' R' B2 D2 F'
F' U D' R' B2 F' D
F' U D' R' B2 F' D'
F' U D' R' B2 F' D2
F' U D' R2 B2 R F'
F' U D' F R' F' B2
F' U D' F R' B2 F'
F' U D' F' R' F' B2
F' U D' F' R' B2 F'
F' U D' F2 R' F' B2
F' U D' F2 R' B2 F'
F U D' L2 R' F' B2
F U D' L2 R' B2 F'
F U D' R' L2 F' B2
F U D' R' L2 B2 F'
F U D' R' F' L2 B2
F U D' R' F' B2 L2
F U D' R' B2 L2 F'
F U D' R' B2 F' L2
L' D' L' F' U R' F'
F' U F R' D' F' B2
F' U F R' D' B2 F'
F' U F R' F' D' B2
L D' L F' U R' F'
F' U F D' R' F' B2
F' U F D' R' B2 F'
F' U F' R' D' F' B2
F' U F' R' D' B2 F'
F' U F' R' F' D' B2
F' U F' D' R' F' B2
F' U F' D' R' B2 F'
F' U F2 R' D' F' B2
F' U F2 R' D' B2 F'
F' U F2 R' F' D' B2
F' U F2 D' R' F' B2
F' U F2 D' R' B2 F'
F' U B2 D' B2 R' F'
R' D' F B2 D L' F
L2 D' F' U R' D F'
L2 D' F' U R' D' F'
L2 D' F' U R' D2 F'
L2 D' F' U R' F' D
L2 D' F' U R' F' D'
L2 D' F' U R' F' D2
L2 D' F' U D R' F'
L2 D' F' U D' R' F'
L2 D' F' U D2 R' F'
L2 D' F' U F R' F'
L2 D' F' U F' R' F'
L2 D' F' U F2 R' F'
L2 D' F' D U R' F'
L2 D' F' D' U R' F'
L2 D' F' D2 U R' F'
L D' F' L U R' F'
R2 D' B L U' B R
R' D' B2 F D L' F
F' U' D F2 U2 R' F'
L' D2 L' F' U R' F'
L D2 L F' U R' F'
U D2 R2 B U' R F'
L2 D2 F' U R' D F'
L2 D2 F' U R' D' F'
L2 D2 F' U R' D2 F'
L2 D2 F' U R' F' D
L2 D2 F' U R' F' D'
L2 D2 F' U R' F' D2
L2 D2 F' U D R' F'
L2 D2 F' U D' R' F'
L2 D2 F' U D2 R' F'
L2 D2 F' U F R' F'
L2 D2 F' U F' R' F'
L2 D2 F' U F2 R' F'
L2 D2 F' D U R' F'
L2 D2 F' D' U R' F'
L2 D2 F' D2 U R' F'
L D2 F' L U R' F'
R2 D2 B L R2 U' R'
R2 D2 B R2 L U' R'
F2 U2 F L2 R U R2
F2 U2 F R L2 U R2
L F L F2 U R' F'
U2 F L2 R F2 U R2
U2 F R L2 F2 U R2
U2 F R F2 L2 U R2
U2 F R' D' L2 F2 B2
U2 F R' D' L2 B2 F2
U2 F R' D' F2 L2 B2
U2 F R' D' F2 B2 L2
U2 F R' D' B2 L2 F2
U2 F R' D' B2 F2 L2
U F R' D' L2 F' B2
U F R' D' L2 B2 F'
U F R' D' F' L2 B2
U F R' D' F' B2 L2
U F R' D' B2 L2 F'
U F R' D' B2 F' L2
L2 F U R' D' L2 F'
L2 F U R' D' F' L2
L2 F U D' L2 R' F'
L2 F U D' R' L2 F'
L2 F U D' R' F' L2
L2 F D' U L2 R' F'
L2 F D' U R' L2 F'
L2 F D' U R' F' L2
U F D' L2 R' F' B2
U F D' L2 R' B2 F'
U F D' R' L2 F' B2
U F D' R' L2 B2 F'
U F D' R' F' L2 B2
U F D' R' F' B2 L2
U F D' R' B2 L2 F'
U F D' R' B2 F' L2
F' D U R' D2 F' B2
F' D U R' D2 B2 F'
D' F' L U R' F' B2
D' F' L U R' B2 F'
F' D U' F2 U2 R' F'
D' F' L' U R' F' B2
D' F' L' U R' B2 F'
L F' L U R' D F'
L F' L U R' D' F'
L F' L U R' D2 F'
L F' L U R' F' D
L F' L U R' F' D'
L F' L U R' F' D2
L F' L U D R' F'
L F' L U D' R' F'
L F' L U D2 R' F'
L F' L U F R' F'
L F' L U F' R' F'
L F' L U F2 R' F'
D' F' L2 U R' F' B2
D' F' L2 U R' B2 F'
L F' L D U R' F'
L F' L D' U R' F'
L F' L D2 U R' F'
U2 F' L2 U2 L U' R'
U F' L2 R U R2 F'
U F' L2 R2 U R F'
L2 F' R U R' F' R'
L2 F' R B' R' U R'
U F' R L2 U R2 F'
L2 F' R' B' R' U R
L2 F' R2 U R' F' R2
D' F' U R' F' B2 D
D' F' U R' F' B2 D'
D' F' U R' F' B2 D2
D' F' U R' B2 D F'
D' F' U R' B2 D' F'
D' F' U R' B2 D2 F'
D' F' U R' B2 F' D
D' F' U R' B2 F' D'
D' F' U R' B2 F' D2
D' F' U R2 B2 R F'
D2 F' U D R' F' B2
D2 F' U D R' B2 F'
D' F' U F R' F' B2
D' F' U F R' B2 F'
L' F' U D R' F' B
L' F' U D R' B F'
L2 F' R2 B' R' U R2
D' F' U F' R' F' B2
D' F' U F' R' B2 F'
D' F' U F2 R' F' B2
D' F' U F2 R' B2 F'
L2 F' U L' R' F' L
L2 F' U L2 R' F' L2
U F' R2 L2 U R F'
L2 F' U R F R2 F'
L2 F' U R F' R2 F'
L2 F' U R F2 R2 F'
L2 F' U R' L' F' L
L2 F' U R' L2 F' L2
L2 F' U R' D F' D
L2 F' U R' D F' D'
L2 F' U R' D F' D2
L2 F' U R' D' F' D
L2 F' U R' D' F' D'
L2 F' U R' D' F' D2
L2 F' U R' D2 F' D
L2 F' U R' D2 F' D'
L2 F' U R' D2 F' D2
L2 F' U R' F2 D F
L2 F' U R' F2 D' F
L2 F' U R' F2 D2 F
L2 F' U D R' D F'
L2 F' U D R' D' F'
L2 F' U D R' D2 F'
L2 F' U D R' F' D
L2 F' U D R' F' D'
L2 F' U D R' F' D2
L2 F' U D F R' F'
L2 F' U D F' R' F'
L2 F' U D F2 R' F'
L2 F' U D' R' D F'
L2 F' U D' R' D' F'
L2 F' U D' R' D2 F'
L2 F' U D' R' F' D
L2 F' U D' R' F' D'
L2 F' U D' R' F' D2
L2 F' U D' F R' F'
L2 F' U D' F' R' F'
L2 F' U D' F2 R' F'
L2 F' U D2 R' D F'
L2 F' U D2 R' D' F'
L2 F' U D2 R' D2 F'
L2 F' U D2 R' F' D
L2 F' U D2 R' F' D'
L2 F' U D2 R' F' D2
L2 F' U D2 F R' F'
L2 F' U D2 F' R' F'
L2 F' U D2 F2 R' F'
L2 F' U F R' D F'
L2 F' U F R' D' F'
L2 F' U F R' D2 F'
L2 F' U F R' F' D
L2 F' U F R' F' D'
L2 F' U F R' F' D2
L2 F' U F D R' F'
L2 F' U F D' R' F'
L2 F' U F D2 R' F'
L2 F' U F' R' D F'
L2 F' U F' R' D' F'
L2 F' U F' R' D2 F'
L2 F' U F' R' F' D
L2 F' U F' R' F' D'
L2 F' U F' R' F' D2
L2 F' U F' D R' F'
L2 F' U F' D' R' F'
L2 F' U F' D2 R' F'
L2 F' U F2 R' D F'
L2 F' U F2 R' D' F'
L2 F' U F2 R' D2 F'
L2 F' U F2 R' F' D
L2 F' U F2 R' F' D'
L2 F' U F2 R' F' D2
L2 F' U F2 D R' F'
L2 F' U F2 D' R' F'
L2 F' U F2 D2 R' F'
D F' U R2 B R F'
L2 F' U' L U2 R' F
L2 F' U' L U2 F R'
F' D' L U R' F' B2
F' D' L U R' B2 F'
L2 F' U' B2 L U2 F
L2 F' U2 L U' R' F'
L2 F' U2 L' U' R' F'
F' D' L' U R' F' B2
F' D' L' U R' B2 F'
L2 F' U2 L2 U' R' F'
D F' U' F' U2 R' F'
D' F' D L2 U R' F'
D2 F' D U R' F' B2
D2 F' D U R' B2 F'
L2 F' U2 F' L' U' R'
L' F' D U R' F' B
L' F' D U R' B F'
F' D' L2 U R' F' B2
F' D' L2 U R' B2 F'
L2 F' D U R' D F'
L2 F' D U R' D' F'
L2 F' D U R' D2 F'
L2 F' D U R' F' D
L2 F' D U R' F' D'
L2 F' D U R' F' D2
L2 F' D U F R' F'
L2 F' D U F' R' F'
L2 F' D U F2 R' F'
L F' D L U R' F'
D2 F' D2 L2 U R' F'
L2 F' D' U R' D F'
L2 F' D' U R' D' F'
L2 F' D' U R' D2 F'
L2 F' D' U R' F' D
L2 F' D' U R' F' D'
L2 F' D' U R' F' D2
L2 F' D' U F R' F'
L2 F' D' U F' R' F'
L2 F' D' U F2 R' F'
L F' D' L U R' F'
L2 F' D2 U R' D F'
L2 F' D2 U R' D' F'
L2 F' D2 U R' D2 F'
L2 F' D2 U R' F' D
L2 F' D2 U R' F' D'
L2 F' D2 U R' F' D2
L2 F' D2 U F R' F'
L2 F' D2 U F' R' F'
L2 F' D2 U F2 R' F'
L F' D2 L U R' F'
L2 F' B' R' B U R'
F' D' U R' F' B2 D
F' D' U R' F' B2 D'
F' D' U R' F' B2 D2
F' D' U R' B2 D F'
F' D' U R' B2 D' F'
F' D' U R' B2 D2 F'
F' D' U R' B2 F' D
F' D' U R' B2 F' D'
F' D' U R' B2 F' D2
F' D' U R2 B2 R F'
F' D' U F R' F' B2
F' D' U F R' B2 F'
F' D' U F' R' F' B2
F' D' U F' R' B2 F'
F' D' U F2 R' F' B2
F' D' U F2 R' B2 F'
L2 F' B' D' R' B U
F D' U L2 R' F' B2
F D' U L2 R' B2 F'
F D' U R' L2 F' B2
F D' U R' L2 B2 F'
F D' U R' F' L2 B2
F D' U R' F' B2 L2
F D' U R' B2 L2 F'
F D' U R' B2 F' L2
F2 D' F U R' F' B2
F2 D' F U R' B2 F'
B' D' F' R' B U B
U F2 R' F' D' L2 B2
U F2 R' F' D' B2 L2
L2 F2 U R' F' D' L2
L2 F2 D F U R' F'
L2 F2 D' F U R' F'
L2 F2 D2 F U R' F'
R2 B L U2 L U R
R2 B D' L U' R B2
R2 B D' L U' B2 R
R2 B D2 L R2 U' R'
R2 B D2 R2 L U' R'
R B' L2 R' F' U R'
R B' R' L2 F' U R'
B' F' L2 R' B U R'
B' F' L2 D' R' B U
R B' R' F' L2 U R'
F' B' L2 R' B U R'
B' F' L2 B U R' F'
F' B' L2 D' R' B U
F' B' L2 B U R' F'
B' F' R' L2 B U R'
F' B' R' L2 B U R'
B' F' R' B L2 U R'
F' B' R' B L2 U R'
L2 B' D' F' R' B U
L2 B' D2 F' R' U R2
L2 B' F' R' B U R'
L2 B' F' D' R' B U
B' F' D' R' B U B
F' B' D' R' B U B
