U' L F U R
U' L D F U R
U' L D' F U R
U' L D2 F U R
U' L F U R D
U' L F U R D'
U' L F U R D2
U' L F U D R
U' L F U D' R
U' L F U D2 R
U' L F D U R
U' L F D' U R
U' L F D2 U R
U' L F B U R
U' L F B' U R
U' L F B2 U R
U' L B F U R
U' L B' F U R
U' L B2 F U R
R' U' L F U R
R2 U' L F U R
R U' L F U R
U' D L F U R
U' D' L F U R
D2 U' L F U R
D' U' L F U R
D U' L F U R
U' D2 L F U R
L' B D' L R2 B2
L' B D' L B2 R2
L' B D' R2 L B2
U' L B2 F U D2 R
U' L B2 F D U R
U' L B2 F D' U R
U' L B2 F D2 U R
B L' U' B' L U L
R' L' B D' L R2 B2
R' L' B D' L B2 R2
R' L' B D' R2 L B2
L' R' B D' L R2 B2
L' R' B D' L B2 R2
L' R' B D' R2 L B2
R2 L' B D' L R2 B2
R2 L' B D' L B2 R2
R2 L' B D' R2 L B2
R L' B D' L R2 B2
R L' B D' L B2 R2
R L' B D' R2 L B2
D' L' B D' L R2 B2
D' L' B D' L B2 R2
D2 L' B D' L R2 B2
D2 L' B D' L B2 R2
D' L' B D' R2 L B2
D2 L' B D' R2 L B2
D L' B D' L R2 B2
D L' B D' L B2 R2
D L' B D' R2 L B2
L' R2 B D' L R2 B2
L' R2 B D' L B2 R2
L' R2 B D' R2 L B2
B L2 D' L' R' B R'
B L2 D' L' B R' B
B L2 D' R' L' B R'
B L2 D' R' B L' R'
B L2 D' R' B R' L'
B L2 D' B L' R' B
B L2 D' B R' L' B
B L2 D' B R' B L'
L U R F B U' B'
L U R B F U' B'
U' L2 B L' F U R
U' L2 B' L' F U R
U' L2 B2 L' F U R
U' R L F R' U R2
L U F R B U' B'
L U F B' U' B L
U2 R U L F B U
U2 R U L B F U
D2 R U' L F U R
D' R U' L F U R
D R U' L F U R
L U B' F U' B L
R' U' L D F U R
R' U' L D' F U R
R' U' L D2 F U R
R' U' L F U R D
R' U' L F U R D'
R' U' L F U R D2
R' U' L F U D R
R' U' L F U D' R
R' U' L F U D2 R
R' U' L F D U R
R' U' L F D' U R
R' U' L F D2 U R
R' U' L F B U R
R' U' L F B' U R
R' U' L F B2 U R
R' U' L B F U R
R' U' L B' F U R
R' U' L B2 F U R
R2 U' L D F U R
L2 U' L F B' L2 U
R2 U' L D' F U R
R2 U' L D2 F U R
R2 U' L F U R D
R2 U' L F U R D'
R2 U' L F U R D2
R2 U' L F U D R
R2 U' L F U D' R
R2 U' L F U D2 R
R2 U' L F D U R
R2 U' L F D' U R
R2 U' L F D2 U R
R2 U' L F B U R
R2 U' L F B' U R
R2 U' L F B2 U R
R U' L D F U R
L2 U' L B' F L2 U
R U' L D' F U R
R U' L D2 F U R
R2 U' L B F U R
R U' L F U R D
R U' L F U R D'
R U' L F U R D2
R U' L F U D R
R U' L F U D' R
R U' L F U D2 R
R U' L F D U R
R U' L F D' U R
R2 U' L B' F U R
R U' L F D2 U R
R U' L F B U R
R U' L F B' U R
R U' L F B2 U R
R2 U' L B2 F U R
R U' L B F U R
L2 U' L' U2 F B' U'
L2 U' L' U2 B' F U'
R U' L B' F U R
R U' L B2 F U R
R' U' D L F U R
R2 U' D L F U R
R' U' D' L F U R
R U' D L F U R
R2 U' D' L F U R
R' U' D2 L F U R
R U' D' L F U R
R2 U' D2 L F U R
R U' D2 L F U R
D2 R' U' L F U R
D' R' U' L F U R
D R' U' L F U R
L' U' B' L F L U
U' R2 L F R2 U R'
D2 R2 U' L F U R
D' R2 U' L F U R
D R2 U' L F U R
R' D U' L F U R
R2 D U' L F U R
U' D L D F U R
U' D L D' F U R
U' D L D2 F U R
U R2 B2 R' B U' R'
U' D L F U R D
U' D L F U R D'
U' D L F U R D2
U' D L F U D R
U' D L F U D' R
U' D L F U D2 R
U' D L F D U R
U' D L F D' U R
U' D L F D2 U R
U' D L F B U R
U' D L F B' U R
U' D L F B2 U R
R D U' L F U R
U' D L B F U R
U' D L B' F U R
U' D L B2 F U R
B2 U R' B' U' L R'
B2 U R' B' U' R' L
D' U' L D F U R
U' D' L D F U R
D' U' L D' F U R
D2 U' L D F U R
U' D' L D' F U R
D' U' L D2 F U R
D2 U' L D' F U R
U' D' L D2 F U R
D' U' L F U R D
D' U' L F U R D'
D' U' L F U R D2
D' U' L F U D R
D' U' L F U D' R
D' U' L F U D2 R
U' D' L F U R D
U' D' L F U R D'
U' D' L F U R D2
U' D' L F U D R
U' D' L F U D' R
U' D' L F U D2 R
D' U' L F D U R
D' U' L F D' U R
D2 U' L D2 F U R
D' U' L F D2 U R
U' D' L F D U R
D' U' L F B U R
U' D' L F D' U R
D' U' L F B' U R
U' D' L F D2 U R
D' U' L F B2 U R
U' D' L F B U R
U' D' L F B' U R
U' D' L F B2 U R
D2 U' L F U R D
D2 U' L F U R D'
D2 U' L F U R D2
D2 U' L F U D R
D2 U' L F U D' R
D2 U' L F U D2 R
D2 U' L F D U R
D2 U' L F D' U R
D2 U' L F D2 U R
D2 U' L F B U R
D2 U' L F B' U R
D2 U' L F B2 U R
D' U' L B F U R
U' D' L B F U R
D' U' L B' F U R
U' D' L B' F U R
D2 U' L B F U R
D' U' L B2 F U R
U' D' L B2 F U R
D2 U' L B' F U R
D2 U' L B2 F U R
D U' L D F U R
D U' L D' F U R
D U' L D2 F U R
R' D' U' L F U R
D U' L F U R D
D U' L F U R D'
D U' L F U R D2
D U' L F U D R
D U' L F U D' R
D U' L F U D2 R
D U' L F D U R
D U' L F D' U R
D U' L F D2 U R
D U' L F B U R
D U' L F B' U R
D U' L F B2 U R
D U' L B F U R
D U' L B' F U R
D U' L B2 F U R
R2 D' U' L F U R
R D' U' L F U R
F2 U' L F U R F
F U' L F U R F2
L' D' B L D' B R2
L2 D' B L R' D' B2
L2 D' B L D' R' B2
L' D' B D' L B R2
L2 D' B R' L D' B2
U' D2 L D F U R
U' D2 L D' F U R
U' D2 L D2 F U R
U' D2 L F U R D
U' D2 L F U R D'
U' D2 L F U R D2
U' D2 L F U D R
U' D2 L F U D' R
U' D2 L F U D2 R
U' D2 L F D U R
U' D2 L F D' U R
U' D2 L F D2 U R
U' D2 L F B U R
U' D2 L F B' U R
U' D2 L F B2 U R
U' D2 L B F U R
U' D2 L B' F U R
U' D2 L B2 F U R
R' D2 U' L F U R
R2 D2 U' L F U R
R D2 U' L F U R
L' D2 B D L B2 R'
U2 F R U L B U
B D L U F U' B'
B D L B' U F U'
U F U2 L F U R
U' F B' U R B L
U' F' L D' F B2 U
U' F' L D' B2 F U
U' F' L D2 F U R2
U' F' L F U D2 R2
U' F' L F U' L2 U2
U' F' L F D' B2 U
U' F' L F D2 U R2
U F' U2 L F U R
U' F2 L F U' L' U2
L F2 R2 B U L F2
L F2 R2 B U F2 L
U' F2 D' L F B' U
U' F2 D' L B' F U
U F2 U2 L F U R
L F2 U2 F' U' L' F'
L F2 D R2 B U L
L' B L U' L B2 U
L2 B L U' B' L2 U
L2 B L B D' R2 B2
L2 B L B D' B2 R2
L' B R D' L R2 B2
L' B R D' L B2 R2
L' B R D' R2 L B2
L' B R' D' L R2 B2
L' B R' D' L B2 R2
L' B R' D' R2 L B2
L' B R2 D' L R2 B2
L' B R2 D' L B2 R2
L' B R2 D' R2 L B2
L' B U' L2 B2 U L'
L' B D L D2 B2 R'
L' B D' L R B2 R
L' B D' L R2 B2 D
L' B D' L R2 B2 D'
L' B D' L R2 B2 D2
L' B D' L B' R2 B'
L' B D' L B2 R2 D
L' B D' L B2 R2 D'
L' B D' L B2 R2 D2
L' B D' L' R2 B2 L2
L' B D' L' B2 L2 R2
L' B D' L' B2 R2 L2
L' B D' L2 R2 B2 L'
L' B D' L2 B2 L' R2
L' B D' L2 B2 R2 L'
L' B D' R L B2 R
L' B D' R2 L B2 D
L' B D' R2 L B2 D'
L' B D' R2 L B2 D2
L' B D' R2 L' B2 L2
L' B D' R2 L2 B2 L'
L' B D2 L D R2 B2
L' B D2 L D B2 R2
U' B' L F U R B
L' B' D' B2 L D' R2
L' B' D' B2 D' L R2
L' B' D' B2 D' R2 L
U' B' F U R B L
U B2 R B R2 U' R
