R2 U' L' B' R'
U' L' R' B' D' R2
U' L' D B R' B2
U' L' B2 D B R'
R' U' L' B' D' R2
R2 U' L' R B' R'
R2 U' L' R' B' R'
R2 U' L' R2 B' R'
R2 U' L' D B' R'
R2 U' L' D' B' R'
R2 U' L' D2 B' R'
R2 U' L' B' R' D
R2 U' L' B' R' D'
R2 U' L' B' R' D2
R2 U' L' B' D R'
R2 U' L' B' D' R'
R2 U' L' B' D2 R'
R2 U' R L' B' R'
F R F' U' L' B'
R2 U' R' L' B' R'
R2 U' R2 L' B' R'
R2 U' D L' B' R'
R2 U' D' L' B' R'
R2 U' D2 L' B' R'
U' R' L' B' D' R2
B' R' U2 B U L'
R2 U' B' L' R' B'
R2 U' B' R' L' B'
R' U2 B U L' B'
R2 D U' L' B' R'
U' D L' B R' B2
U' D B L' R' B'
U' D B R' L' B'
U' D B2 L' B' R'
R2 D' U' L' B' R'
D U' L' B R' B2
D U' B L' R' B'
D U' B R' L' B'
D U' B2 L' B' R'
R2 D2 U' L' B' R'
R2 U' L' D2 B' R' D2
R2 U' L' D2 B' D R'
R2 U' L' D2 B' D' R'
R2 U' L' D2 B' D2 R'
R2 U' L' F' B' R' F
R2 U' L' F2 B' R' F2
R2 U' L' B R B2 R'
R2 U' L' B R' B2 R'
R2 U' L' B R2 B2 R'
R2 U' L' B' R2 D R
R2 U' L' B' R2 D' R
R2 U' L' B' R2 D2 R
R2 U' L' B' D R' D
R2 U' L' B' D R' D'
R2 U' L' B' D R' D2
R2 U' L' B' D' R' D
R2 U' L' B' D' R' D'
R2 U' L' B' D' R' D2
R2 U' L' B' D2 R' D
R2 U' L' B' D2 R' D'
R2 U' L' B' D2 R' D2
R2 U' L' B' F' R' F
R2 U' L' B' F2 R' F2
R U' L' B' U F' U'
F' R F' U R U2 B
F R F' R U' L' B'
F R F' R' U' L' B'
F R F' R2 U' L' B'
R2 U' R L' D B' R'
R2 U' R L' D' B' R'
R2 U' R L' D2 B' R'
R2 U' R L' B' R' D
R2 U' R L' B' R' D'
R2 U' R L' B' R' D2
R2 U' R L' B' D R'
R2 U' R L' B' D' R'
R2 U' R L' B' D2 R'
F R F' U' L' D B'
F R F' U' L' D' B'
F R F' U' L' D2 B'
F R F' U' L' B' D
F R F' U' L' B' D'
F R F' U' L' B' D2
F R F' U' D L' B'
F R F' U' D' L' B'
F R F' U' D2 L' B'
F R F' U' B L' B'
F R F' U' B' L' B'
F R F' U' B2 L' B'
F R F' D U' L' B'
R2 U' R D L' B' R'
F R F' D' U' L' B'
R2 U' R D' L' B' R'
F R F' D2 U' L' B'
R2 U' R D2 L' B' R'
F R F' B' R' U' L'
R2 U' R B' L' R' B'
R2 U' R B' R' L' B'
R2 U' R' L' D B' R'
R2 U' R' L' D' B' R'
R2 U' R' L' D2 B' R'
R2 U' R' L' B' R' D
R2 U' R' L' B' R' D'
R2 U' R' L' B' R' D2
R2 U' R' L' B' D R'
R2 U' R' L' B' D' R'
R2 U' R' L' B' D2 R'
R2 U' R' D L' B' R'
R2 U' R' D' L' B' R'
R2 U' R' D2 L' B' R'
R2 U' R' B' L' R' B'
R2 U' R' B' R' L' B'
R2 U' R2 L' D B' R'
R2 U' R2 L' D' B' R'
R2 U' R2 L' D2 B' R'
R2 U' R2 L' B' R' D
R2 U' R2 L' B' R' D'
R2 U' R2 L' B' R' D2
R2 U' R2 L' B' D R'
R2 U' R2 L' B' D' R'
R2 U' R2 L' B' D2 R'
R2 U' R2 D L' B' R'
R' U' D L' B' D' R2
R U' R2 L' B' D' R2
R2 U' R2 D' L' B' R'
R2 U' R2 D2 L' B' R'
R2 U' R2 B' L' R' B'
R2 U' R2 B' R' L' B'
R2 U' D L' R B' R'
R2 U' D L' R' B' R'
R2 U' D L' R2 B' R'
R2 U' D L' D B' R'
R2 U' D L' D' B' R'
R2 U' D L' D2 B' R'
R2 U' D L' B' R' D
R2 U' D L' B' R' D'
R2 U' D L' B' R' D2
R2 U' D L' B' D R'
R2 U' D L' B' D' R'
R2 U' D L' B' D2 R'
R2 U' D R L' B' R'
R' U' D' L' B' D' R2
R2 U' D R' L' B' R'
R2 U' D R2 L' B' R'
F R B' F' R' U' L'
R2 U' D B' L' R' B'
R2 U' D B' R' L' B'
R2 U' D' L' R B' R'
R2 U' D' L' R' B' R'
R2 U' D' L' R2 B' R'
R2 U' D' L' D B' R'
R2 U' D' L' D' B' R'
R2 U' D' L' D2 B' R'
R2 U' D' L' B' R' D
R2 U' D' L' B' R' D'
R2 U' D' L' B' R' D2
R2 U' D' L' B' D R'
R2 U' D' L' B' D' R'
R2 U' D' L' B' D2 R'
R2 U' D' R L' B' R'
R' U' D2 L' B' D' R2
R2 U' D' R' L' B' R'
R2 U' D' R2 L' B' R'
R2 U' D' B' L' R' B'
R2 U' D' B' R' L' B'
R2 U' D2 L' R B' R'
R2 U' D2 L' R' B' R'
R2 U' D2 L' R2 B' R'
R2 U' D2 L' D B' R'
R2 U' D2 L' D' B' R'
R2 U' D2 L' D2 B' R'
R2 U' D2 L' B' R' D
R2 U' D2 L' B' R' D'
R2 U' D2 L' B' R' D2
R2 U' D2 L' B' D R'
R2 U' D2 L' B' D' R'
R2 U' D2 L' B' D2 R'
R2 U' D2 R L' B' R'
R2 U' D2 R' L' B' R'
U' R' L' U' B U B2
R2 U' D2 R2 L' B' R'
U' R' L' D B' D' R2
U' R' L' D' B' D' R2
U' R' L' D2 B' D' R2
R2 U' D2 B' L' R' B'
R2 U' D2 B' R' L' B'
U' R' L' B' R D' R2
U' R' L' B' R' D' R2
U' R' L' B' R2 D' R2
U' R' L' B' U' B2 U
U' R' L' B' D' R2 D
U' R' L' B' D' R2 D'
U' R' L' B' D' R2 D2
B' R' U' L' U' B U
D R' U' L' B R' B2
U' R' U' B U L' B'
R2 U' B L' D2 R2 B'
R2 U' B L' D2 B' R2
R2 U' B L' B' D2 R2
D R' U' B L' R' B'
D R' U' B R' L' B'
R' U' B' L' D' R2 B'
R' U' B' L' D' B' R2
B' R' U2 D B U L'
D R' U' B2 L' B' R'
B' R' U2 D' B U L'
B' R' U2 D2 B U L'
B R' U2 L B U L2
B' R' U2 B U L' D
B' R' U2 B U L' D'
B' R' U2 B U L' D2
B' R' U2 B U D L'
B' R' U2 B U D' L'
B' R' U2 B U D2 L'
B' R' U2 B D U L'
B' R' U2 B D' U L'
B' R' U2 B D2 U L'
R' U' B' D' L' R2 B'
R' U' B' D' L' B' R2
R' U' B' D' R2 L' B'
R2 U' B' L' R B' R2
R2 U' B' L' R' D B'
R2 U' B' L' R' D' B'
R2 U' B' L' R' D2 B'
R2 U' B' L' R' B' D
R2 U' B' L' R' B' D'
R2 U' B' L' R' B' D2
R2 U' B' L' R2 B' R
R2 U' B' L' D R' B'
R2 U' B' L' D' R' B'
R2 U' B' L' D2 R' B'
U' R' D L' B' D' R2
R2 U' B' R L' B' R2
R2 U' B' R' L' D B'
R2 U' B' R' L' D' B'
R2 U' B' R' L' D2 B'
R2 U' B' R' L' B' D
R2 U' B' R' L' B' D'
R2 U' B' R' L' B' D2
R2 U' B' R' D L' B'
R2 U' B' R' D' L' B'
R2 U' B' R' D2 L' B'
R2 U' B' R' B L' B'
R2 U' B' R' B' L' B'
R2 U' B' R' B2 L' B'
R2 U' B' R2 L' B' R
B' R' D U2 B U L'
R2 U' B' D L' R' B'
R2 U' B' D R' L' B'
R2 U' B' D' L' R' B'
R2 U' B' D' R' L' B'
R2 U' B' D2 L' R' B'
R2 U' B' D2 R' L' B'
U' R' D' L' B' D' R2
R2 U' B2 L' B R' B2
B' R' D' U2 B U L'
U' R' D2 L' B' D' R2
B' R' D2 U2 B U L'
B' R' F U2 B U L
U2 R' B R U L' B'
U' R' B' L' D' R2 B'
U' R' B' L' D' B' R2
B' R' B' U' L' D' R2
B' R' B' U' D' L' R2
B' R' B' U' D' R2 L'
B' R' B' U2 B2 U L'
U' R' B' D' L' R2 B'
U' R' B' D' L' B' R2
U' R' B' D' R2 L' B'
B' R' B' D' U' L' R2
B' R' B' D' U' R2 L'
R' U2 D B U L' B'
B' R' B2 U2 B' U L'
R' U2 D' B U L' B'
R' U2 D2 B U L' B'
F2 R2 U R' F' L' U2
R' U2 B U L' D B'
R' U2 B U L' D' B'
R' U2 B U L' D2 B'
R' U2 B U L' B' D
R' U2 B U L' B' D'
R' U2 B U L' B' D2
R' U2 B U D L' B'
R' U2 B U D' L' B'
R' U2 B U D2 L' B'
R' U2 B U B L' B'
R' U2 B U B' L' B'
R' U2 B U B2 L' B'
D R2 U' L' B R' B2
R' U2 B D U L' B'
R' U2 B D' U L' B'
R' U2 B D2 U L' B'
D R2 U' B L' R' B'
D R2 U' B R' L' B'
R2 U2 B U L' B' R'
D R2 U' B2 L' B' R'
R2 U2 B' U L' B' R'
R2 U2 B2 U L' B' R'
F' R2 F U' L' B' R'
R' D R' U' L' B' R'
F R2 F' U' L' B' R'
R D R U' L' B' R'
R' D U' L' B' D' R2
B R2 B' U' L' B' R'
F R2 B' R' F' U' L'
B2 R2 B2 U' L' B' R'
R2 D U' L' R B' R'
R2 D U' L' R' B' R'
R2 D U' L' R2 B' R'
R2 D U' L' D B' R'
R2 D U' L' D' B' R'
R2 D U' L' D2 B' R'
R2 D U' L' B' R' D
R2 D U' L' B' R' D'
R2 D U' L' B' R' D2
R2 D U' L' B' D R'
R2 D U' L' B' D' R'
R2 D U' L' B' D2 R'
R2 D U' R L' B' R'
R2 D U' R' L' B' R'
R2 D U' R2 L' B' R'
R' D U2 B U L' B'
R2 D U' B' L' R' B'
R2 D U' B' R' L' B'
U' D L B L2 R' B'
U' D L B R' L2 B'
U' D L B2 L2 B' R'
U' D L' R B R' B2
U' D L' R' B R' B2
U' D L' R2 B R' B2
U' D L' B R B2 R2
U' D L' B R' B2 D
U' D L' B R' B2 D'
U' D L' B R' B2 D2
U' D L' B R2 B2 R
U' D L' B' U2 L U2
U' D R L' B R' B2
F2 U R U' F' U' B
U' D R B L' R' B'
U' D R B R' L' B'
U' D R B2 L' B' R'
U' D R' L' B R' B2
D U R U2 L' B R'
D U R U2 B L' R'
D U R U2 B R' L'
U D R U2 L' B R'
U D R U2 B L' R'
U D R U2 B R' L'
U' D R' B L' R' B'
U' D R' B R' L' B'
U' D R' B2 L' B' R'
U' D R2 L' B R' B2
U' D R2 B L' R' B'
U' D R2 B R' L' B'
U' D R2 B2 L' B' R'
F2 U D R U2 B R'
U' D B L' R B' R2
U' D B L' R' D B'
U' D B L' R' D' B'
U' D B L' R' D2 B'
U' D B L' R' B' D
U' D B L' R' B' D'
U' D B L' R' B' D2
U' D B L' R2 B' R
U' D B L' D R' B'
U' D B L' D' R' B'
U' D B L' D2 R' B'
U' D B R L' B' R2
D U F2 R U2 B R'
U' D B R' L' D B'
U' D B R' L' D' B'
U' D B R' L' D2 B'
U' D B R' L' B' D
U' D B R' L' B' D'
U' D B R' L' B' D2
U' D B R' D L' B'
U' D B R' D' L' B'
U' D B R' D2 L' B'
U' D B R' B L' B'
U' D B R' B' L' B'
U' D B R' B2 L' B'
U' D B R2 L' B' R
U' D B D L' R' B'
U' D B D R' L' B'
U D F2 R U2 B R'
U' D B D' L' R' B'
U' D B D' R' L' B'
U' D B D2 L' R' B'
U' D B D2 R' L' B'
U2 D B U L' R' B'
U2 D B U R' L' B'
U' D B' L' D2 R2 B'
U' D B' L' D2 B' R2
U' D B' L' B' D2 R2
U' D B2 L' R B' R'
U' D B2 L' R' B' R'
U' D B2 L' R2 B' R'
R' D' R' U' L' B' R'
U' D B2 L' D B' R'
U' D B2 L' D' B' R'
U' D B2 L' D2 B' R'
U' D B2 L' B' R' D
U' D B2 L' B' R' D'
U' D B2 L' B' R' D2
U' D B2 L' B' D R'
U' D B2 L' B' D' R'
U' D B2 L' B' D2 R'
U' D B2 R L' B' R'
U' D B2 R' L' B' R'
U' D B2 R2 L' B' R'
U' D B2 D L' B' R'
U' D B2 D' L' B' R'
U' D B2 D2 L' B' R'
R D' R U' L' B' R'
D2 U' L' U F U' B'
U' D' L' D2 B R' B2
D' U' L' D2 B R' B2
U' D' L' F' R F B'
U' D' L' F' R B' F
D' U' L' F' R F B'
D' U' L' F' R B' F
D' U' L' F' B' R F
U' D' L' F' B' R F
R' D' U' L' B' D' R2
U' D' L' B' F' R F
D' U' L' B' F' R F
D U' L B L2 R' B'
D U' L B R' L2 B'
U' D' L' B2 D2 B R'
D' U' L' B2 D2 B R'
D2 U' L' B' U F U'
D U' L B2 L2 B' R'
D U' L' R B R' B2
D U' L' R' B R' B2
D U' L' R2 B R' B2
R2 D' U' L' R B' R'
R2 D' U' L' R' B' R'
R2 D' U' L' R2 B' R'
R2 D' U' L' D B' R'
R2 D' U' L' D' B' R'
R2 D' U' L' D2 B' R'
R2 D' U' L' B' R' D
R2 D' U' L' B' R' D'
R2 D' U' L' B' R' D2
R2 D' U' L' B' D R'
R2 D' U' L' B' D' R'
R2 D' U' L' B' D2 R'
R2 D' U' R L' B' R'
D U' L' B R B2 R2
D U' L' B R' B2 D
D U' L' B R' B2 D'
D U' L' B R' B2 D2
D U' L' B R2 B2 R
R2 D' U' R' L' B' R'
D U' L' B' U2 L U2
R2 D' U' R2 L' B' R'
R' D' U2 B U L' B'
R2 D' U' B' L' R' B'
R2 D' U' B' R' L' B'
D U' R L' B R' B2
D U' R B L' R' B'
D U' R B R' L' B'
D U' R B2 L' B' R'
D U' R' L' B R' B2
D U' R' B L' R' B'
D U' R' B R' L' B'
D U' R' B2 L' B' R'
D U' R2 L' B R' B2
D U' R2 B L' R' B'
D U' R2 B R' L' B'
D U' R2 B2 L' B' R'
U' D' F' R F L' B'
D' U' F' R F L' B'
D U' B L' R B' R2
D U' B L' R' D B'
D U' B L' R' D' B'
D U' B L' R' D2 B'
D U' B L' R' B' D
D U' B L' R' B' D'
D U' B L' R' B' D2
D U' B L' R2 B' R
D U' B L' D R' B'
D U' B L' D' R' B'
D U' B L' D2 R' B'
D U' B R L' B' R2
D U' B R' L' D B'
D U' B R' L' D' B'
D U' B R' L' D2 B'
D U' B R' L' B' D
D U' B R' L' B' D'
D U' B R' L' B' D2
D U' B R' D L' B'
D U' B R' D' L' B'
D U' B R' D2 L' B'
D U' B R' B L' B'
D U' B R' B' L' B'
D U' B R' B2 L' B'
D U' B R2 L' B' R
D U' B D L' R' B'
D U' B D R' L' B'
D U' B D' L' R' B'
D U' B D' R' L' B'
D U' B D2 L' R' B'
D U' B D2 R' L' B'
D U' B' L' D2 R2 B'
D U' B' L' D2 B' R2
D U' B' L' B' D2 R2
D U' B2 L' R B' R'
D U' B2 L' R' B' R'
D U' B2 L' R2 B' R'
D U' B2 L' D B' R'
D U' B2 L' D' B' R'
D U' B2 L' D2 B' R'
D U' B2 L' B' R' D
D U' B2 L' B' R' D'
D U' B2 L' B' R' D2
D U' B2 L' B' D R'
D U' B2 L' B' D' R'
D U' B2 L' B' D2 R'
D U' B2 R L' B' R'
D U' B2 R' L' B' R'
D U' B2 R2 L' B' R'
D U' B2 D L' B' R'
D U' B2 D' L' B' R'
D U' B2 D2 L' B' R'
U' D2 L' U F U' B'
R' D2 R' U' L' B' R'
U' D2 L' B' U F U'
R D2 R U' L' B' R'
R' D2 U' L' B' D' R2
R2 D2 U' L' R B' R'
R2 D2 U' L' R' B' R'
R2 D2 U' L' R2 B' R'
R2 D2 U' L' D B' R'
R2 D2 U' L' D' B' R'
R2 D2 U' L' D2 B' R'
R2 D2 U' L' B' R' D
R2 D2 U' L' B' R' D'
R2 D2 U' L' B' R' D2
R2 D2 U' L' B' D R'
R2 D2 U' L' B' D' R'
R2 D2 U' L' B' D2 R'
R2 D2 U' R L' B' R'
R2 D2 U' R' L' B' R'
R2 D2 U' R2 L' B' R'
R' D2 U2 B U L' B'
R2 D2 U' B' L' R' B'
R2 D2 U' B' R' L' B'
D U2 B U L' R' B'
D U2 B U R' L' B'
B U2 D2 L B' U L2
R' F R2 F' U' L' B'
R2 F R' F' U' L' B'
U' F D' F' L' R B'
U' F D' F' L' B' R
U' F D' F' R L' B'
B' D R' B U' L' R'
B' D R' B U' R' L'
F2 D U R U2 B R'
R2 F B' R' F' U' L'
B' D B U' L' R' B'
B' D B U' R' L' B'
R F' U R' F' R U2
R F' U F U2 L' B'
R F' U F' R U2 B
R F' U' L' D2 B' L
R F' U' D2 L' B' L
R F' U' F L' F' B'
R F' U' F L' B' F'
R F' D B' R' B U'
R F' D2 U' L' B' L
R F' D2 B' R' U' L
R F' B' D R' B U'
F D' F' U' L' R B'
F D' F' U' L' B' R
F D' F' U' R L' B'
U F2 R U' F' U' B
D F2 U R U2 B R'
U F2 D R U2 B R'
R' B L U2 L' U' L'
R' B L D F2 R U
R' B L F2 R U L2
U' B L' R' B' D' R2
U' B L' D B R' B2
U' B L' B2 D B R'
B D2 U2 L B' U L2
U' B R' L' B' D' R2
R' B U' L' D' B2 R'
D2 B U2 L B' U L2
D B U' L' R' D' B2
D B U' L' D' R' B2
D B U' R' L' D' B2
U' B D L' B R' B2
U' B D B L' R' B'
D B U2 L U L2 R'
D B U2 L U R' L2
U' B D B R' L' B'
U' B D B2 L' B' R'
B' F R F' R2 U' L'
B' F R' U2 B U L
U' B' L' R' B' D' R2
U' B' L' D B R' B2
U' B' L' B2 D B R'
U' B' R' L' B' D' R2
R' B' R' U' L' D' R2
R' B' R' U' D' L' R2
R' B' R' U' D' R2 L'
R' B' R' U2 B2 U L'
R' B' R' D' U' L' R2
R' B' R' D' U' R2 L'
D B' R' U L U2 L2
D B' R' U' L' D2 R2
D B' R' B2 U' L' R'
D B' R' B2 U' R' L'
U' B' D L' B R' B2
R' B' U2 B2 L U L2
U' B' D B L' R' B'
U' B' D B R' L' B'
U' B' D B2 L' B' R'
R' B' D' R' U' L' R'
R' B' D' R' U' R' L'
F B' R F' R2 U' L'
F B' R' U2 B U L
R2 B' F R' F' U' L'
B' F' D R' B U' R'
F' B' D R' B U' R'
U' B2 L' R' B' D' R2
U' B2 L' D B R' B2
U' B2 L' B2 D B R'
R B' F' D R' B U'
U' B2 R' L' B' D' R2
U' B2 D L' B R' B2
R' B2 U2 B' L U L2
U' B2 D B L' R' B'
U' B2 D B R' L' B'
U' B2 D B2 L' B' R'
