U' L U' B' R' B2
F' L' U' L2 U' B
F' L' U2 D F2 B
F' L' U2 D B F2
F' L' U2 B D F2
F' L' D U2 F2 B
F' L' D U2 B F2
F' L' D' B2 U2 B'
B2 U R' U B' R'
F U' L U' B R
L' D' B2 U2 B' R'
F U2 B D' R F'
U B2 R' U B' R'
F' L' D' B2 U2 B' D
F' L' D' B2 U2 B' D'
F' L' D' B2 U2 B' D2
F' L' D' B2 D U2 B'
F' L' D' B2 D' U2 B'
F' L' D' B2 D2 U2 B'
F' L' D' B2 F U2 B'
F' L' D' B2 F' U2 B'
F' L' D' B2 F2 U2 B'
D L' D' B2 U2 B' R'
F L' D' B2 U2 R B'
F L' D' B2 U2 B' R
F' L' D2 U2 B D' F2
U L' D2 B' R2 U B2
F' L' F U' L2 U' B
F' L' F U2 D F2 B
F' L' F U2 D B F2
F' L' F U2 B D F2
F' L' F D U2 F2 B
F' L' F D U2 B F2
F' L' F D' B2 U2 B'
F' L' F' U' L2 U' B
F' L' F' U2 D F2 B
F' L' F' U2 D B F2
F' L' F' U2 B D F2
F' L' F' D U2 F2 B
F' L' F' D U2 B F2
F' L' F' D' B2 U2 B'
F' L' F2 U' L2 U' B
F' L' F2 U2 D F2 B
F' L' F2 U2 D B F2
F' L' F2 U2 B D F2
F' L' F2 D U2 F2 B
F' L' F2 D U2 B F2
F' L' F2 D' B2 U2 B'
F' L' B D' B2 U2 B2
F' L' B' U' L2 U' B2
F' L' B' U2 B2 D F2
U L' B' U B2 D F2
U L' B' U2 L2 U' B2
U L' B' D L2 U F2
F' L' B2 U2 D F2 B'
F' L' B2 U2 D B' F2
F' L' B2 U2 B' D F2
F' L' B2 D U2 F2 B'
F' L' B2 D U2 B' F2
F' L' B2 D' B2 U2 B
F L2 U' L' U' B R
U L2 U2 L' F U' B
B2 L2 F U R' U R2
B2 L2 F U2 R D' F2
L2 U' L' U' B' R' B2
L' U' L2 U' B' R' B2
U' R' L F' R U' B
U' R' F' L R U' B
U' R' F' R L U' B
L' U2 D F2 B' R' B2
L' U2 D B' R' F2 B2
L' U2 D B' R' B2 F2
L' U2 D B' F2 R' B2
L' U2 B' R' B2 D F2
U' D L U' B' R' B2
L' D U2 F2 B' R' B2
L' D U2 B' R' F2 B2
L' D U2 B' R' B2 F2
L' D U2 B' F2 R' B2
L' D F U2 B R F
L' D F' L' U2 F' B
L' D F' L' U2 B F'
B2 U R' U R B' R'
B2 U R' U R' B' R'
B2 U R' U R2 B' R'
B2 U R' U D B' R'
B2 U R' U D' B' R'
B2 U R' U D2 B' R'
B2 U R' U B' R' D
B2 U R' U B' R' D'
B2 U R' U B' R' D2
B2 U R' U B' D R'
B2 U R' U B' D' R'
B2 U R' U B' D2 R'
B2 U R' D U B' R'
B2 U R' D' U B' R'
B2 U R' D2 U B' R'
B2 U D R' U B' R'
L' D B2 U2 F2 B' R'
L' D B2 U2 B' R' F2
L' D B2 U2 B' F2 R'
B2 U D' R' U B' R'
L' D' L B2 U2 B' R'
B2 U D2 R' U B' R'
L' D' L' B2 U2 B' R'
L' D' L2 B2 U2 B' R'
D' U B2 R' U B' R'
D2 U B2 R' U B' R'
D' U' L U' B' R' B2
U' D' L U' B' R' B2
D U B2 R' U B' R'
D2 U' L U' B' R' B2
U D B2 R' U B' R'
D U' L U' B' R' B2
F' U' L U L2 U2 B
F' U' L U' D2 B R2
F' U' L U' B D2 R2
F' U' L D F2 U' B
F' U' L D2 U' B R2
F2 U' L U' D2 B R'
F U B2 R' U R2 B'
F U B2 R' U B' R2
F2 U' L D2 U' B R'
F2 U' L F' U' B R
F U' L U' D B R
F U' L U' D' B R
F U' L U' D2 B R
F U' L U' B R D
F U' L U' B R D'
F U' L U' B R D2
F U' L U' B D R
F U' L U' B D' R
F U' L U' B D2 R
F U' L U' B' R B2
F U' L U' B2 R B'
F U' L D U' B R
F U' L D' U' B R
F U' L D2 U' B R
L' D' F B2 U2 R B'
L' D' F B2 U2 B' R
L' D' F' L' B2 U2 B'
L' D' B2 L2 F U2 R
L' D' B2 U2 R B' R'
L' D' B2 U2 R' B' R'
L' D' B2 U2 R2 B' R'
L' D' B2 U2 D B' R'
L' D' B2 U2 D' B' R'
L' D' B2 U2 D2 B' R'
L' D' B2 U2 B' R' D
L' D' B2 U2 B' R' D'
L' D' B2 U2 B' R' D2
L' D' B2 U2 B' D R'
L' D' B2 U2 B' D' R'
L' D' B2 U2 B' D2 R'
L' D' B2 D U2 B' R'
L' D' B2 D' U2 B' R'
L' D' B2 D2 U2 B' R'
L' D' B2 F U2 R B'
L' D' B2 F U2 B' R
F U' D L U' B R
F2 U' D2 L U' B R'
F U' D' L U' B R
F U' D2 L U' B R
U' D2 L U' B' R' B2
F2 U' F' L U' B R
U D' B2 R' U B' R'
F' U' F2 L U' B R
F U2 L U' L' B R
F U2 L U' B L' R
F U2 L U' B R L'
B2 U2 R D' F2 B' R'
B2 U2 R D' B' R' F2
B2 U2 R D' B' F2 R'
B2 U2 R B' D' R' F2
B2 U2 R B' D' F2 R'
B2 U2 R2 B' R' D' F2
U' F L U' B' R' B2
U D2 B2 R' U B' R'
F U2 D B D' R F'
F U2 D' B D' R F'
F U2 D2 B D' R F'
F2 U2 F' B D' R F'
F' U2 F2 B D' R F'
F' U2 B D' F2 R F'
F' U2 B F2 D' R F'
F2 U2 B F' D' R F'
B2 U2 B' R2 D' R F'
B2 U2 B' D' R F' R2
F U2 B D' R D F'
F U2 B D' R D' F'
F U2 B D' R D2 F'
F U2 B D' R F' D
F U2 B D' R F' D'
F U2 B D' R F' D2
D' F U' L U' B R
D2 F U' L U' B R
L' F U' L2 U' B R
D F U' L U' B R
F U2 B2 R D' F2 B'
F U2 B2 R D' B' F2
F U2 B2 R B' D' F2
L' F U2 D B R F2
D' F U2 B D' R F'
D2 F U2 B D' R F'
F' D L' U' L2 U' B
L' F U2 B R D F2
L' F U2 B D R F2
F' D L' U2 D F2 B
F' D L' U2 D B F2
F' D L' U2 B D F2
F' D L' D U2 F2 B
F' D L' D U2 B F2
F' D L' D' B2 U2 B'
L' F D U2 B R F2
D F U2 B D' R F'
L' F D' B2 U2 R B'
L' F D' B2 U2 B' R
B2 D U R' U B' R'
U' F' L U' B' R' B2
D' F' L' U' L2 U' B
D2 F' L' U' L2 U' B
D' F' L' U2 D F2 B
D' F' L' U2 D B F2
D2 F' L' U2 D F2 B
D2 F' L' U2 D B F2
D' F' L' U2 B D F2
D2 F' L' U2 B D F2
D' F' L' D U2 F2 B
D' F' L' D U2 B F2
D2 F' L' D U2 F2 B
D2 F' L' D U2 B F2
L' F' L' U' L' U' B
D' F' L' D' B2 U2 B'
D2 F' L' D' B2 U2 B'
F D U' L U' B R
R2 F' L' R2 U' L2 U'
R2 F' L' R2 U2 D F2
R2 F' L' R2 D U2 F2
R2 F' L' R2 D' B2 U2
D F' L' U' L2 U' B
D F' L' U2 D F2 B
D F' L' U2 D B F2
D F' L' U2 B D F2
D F' L' D U2 F2 B
D F' L' D U2 B F2
D F' L' D' B2 U2 B'
F D U2 B D' R F'
L F' L' U' L U' B
R2 F' R2 L' U' L2 U'
R2 F' R2 L' U2 D F2
R2 F' R2 L' D U2 F2
R2 F' R2 L' D' B2 U2
L' F' U2 D F2 B R
L' F' U2 D B F2 R
F' D' L' U' L2 U' B
L' F' U2 B D F2 R
F' D' L' U2 D F2 B
F' D' L' U2 D B F2
F' D' L' U2 B D F2
F' D' L' D U2 F2 B
F' D' L' D U2 B F2
F' D' L' D' B2 U2 B'
L' F' D L' U2 F2 B
L' F' D L' U2 B F2
L' F' D U2 F2 B R
L' F' D U2 B F2 R
L' F' D' L' B2 U2 B'
L2 F' D' L' U2 F B
L2 F' D' L' U2 B F
B2 D' U R' U B' R'
U' F2 L U' B' R' B2
F D' U' L U' B R
F D' U2 B D' R F'
F' D2 L' U' L2 U' B
F' D2 L' U2 D F2 B
F' D2 L' U2 D B F2
F' D2 L' U2 B D F2
F' D2 L' D U2 F2 B
F' D2 L' D U2 B F2
F' D2 L' D' B2 U2 B'
B2 D2 U R' U B' R'
F2 D2 U' L U' B R'
F D2 U' L U' B R
F D2 U2 B D' R F'
U2 B U' B2 U R' F'
U2 B U2 D L B' U2
U2 B D U2 L B' U2
B2 F U R' U R2 B'
B2 F U R' U B' R2
B2 F U2 R D' F2 B'
B2 F U2 R D' B' F2
B2 F U2 R B' D' F2
B2 F U2 B' D' R F'
U B' L' B' R' U B'
U2 B' R2 B2 D' R F'
U B' U B' R' F' B'
U B' U B' R' B' F'
D2 B2 U R' U B' R'
D' B2 U R' U B' R'
U B2 R' U R B' R'
U B2 R' U R' B' R'
U B2 R' U R2 B' R'
U B2 R' U D B' R'
U B2 R' U D' B' R'
U B2 R' U D2 B' R'
U B2 R' U B' R' D
U B2 R' U B' R' D'
U B2 R' U B' R' D2
U B2 R' U B' D R'
U B2 R' U B' D' R'
U B2 R' U B' D2 R'
U B2 R' D U B' R'
U B2 R' D' U B' R'
U B2 R' D2 U B' R'
D B2 U R' U B' R'
L' B2 U2 D F2 B' R'
L' B2 U2 D B' R' F2
L' B2 U2 D B' F2 R'
L' B2 U2 B' R' D F2
L' B2 U2 B' D R' F2
L' B2 U2 B' D F2 R'
L' B2 D U2 F2 B' R'
L' B2 D U2 B' R' F2
L' B2 D U2 B' F2 R'
F B2 U R' U R2 B'
F B2 U R' U B' R2
U B2 D R' U B' R'
U B2 D' R' U B' R'
F B2 U2 R D' F2 B'
F B2 U2 R D' B' F2
F B2 U2 R B' D' F2
F B2 U2 B' D' R F'
U B2 D2 R' U B' R'
