F' U' F L2
F' U' F L2 D
F' U' F L2 D'
F' U' F L2 D2
F' U' F' L2 F2
F' U' F2 L2 F'
L' F' U' F L'
U F' U' L2 B'
L F' U' F L
D' F' B2 U' F
F' D' B2 U' F
F' B U' F L2
B' F' U' F L2
F' B' U' F L2
B2 F' U' F L2
B F' U' F L2
F' B2 U' F L2
D' B2 F' U' F
L D F' D2 U' F L
F' U R' U2 F L2 D
F' U R' U2 F L2 D'
F' U R' U2 F L2 D2
F' U R' U2 F' L2 F2
F' U R' U2 F2 L2 F'
F' U R' D2 R2 U2 F
R2 D F2 B U F2 B
R2 D F2 B U B F2
F' U R' B U2 F L2
F' U R' B' U2 F L2
F' U R' B2 U2 F L2
L' D B F' U' F L'
F' U R2 U2 F L2 D
F' U R2 U2 F L2 D'
F' U R2 U2 F L2 D2
F' U R2 U2 F' L2 F2
F' U R2 U2 F2 L2 F'
F' U R2 D2 R2 U2 F
R2 D B F2 U F2 B
R2 D B F2 U B F2
F' U R2 B U2 F L2
F' U R2 B' U2 F L2
L' D B' F' U' F L'
F' U R2 B2 U2 F L2
R2 D B' D' R2 B' L2
R2 D B' D' B' L2 R2
R2 D B' D' B' R2 L2
L' D B2 F' U' F L'
R2 D B2 U' F2 B' U
R2 D B2 U' B' F2 U
D' U F' U' D L2 B'
D2 U F' U R2 F U2
D2 U F' U F R2 U2
D2 U F' U' D2 L2 B'
D' U F' D U' L2 B'
L' D' L F' U' F L2
D2 U F' D2 U' L2 B'
D' U F' B2 U F U2
F' U D2 R2 U2 D F
F' U D2 R2 U2 D' F
F' U D2 R2 U2 D2 F
F' U D2 R2 U2 F D
F' U D2 R2 U2 F D'
F' U D2 R2 U2 F D2
F' U D2 R2 D U2 F
F' U D2 R2 D' U2 F
F' U D2 R2 D2 U2 F
F' U D2 R2 B U2 F
F' U D2 R2 B' U2 F
F' U D2 R2 B2 U2 F
U' D F2 L2 B' U B
L2 D' L F' U' F L'
F' U D2 B R2 U2 F
F' U D2 B' R2 U2 F
F' U D2 B2 R2 U2 F
F' U F L2 D2 R2 B
U2 D F2 U2 F U' F'
L2 D' L' F' U' F L
L' D' L2 F' U' F L
B' U F' R U' L2 B'
B' U F' R' U' L2 B'
B' U F' R2 U' L2 B'
B' U F' U F U2 L2
B2 U F' R U' L2 B'
B' U F' U' L2 D B'
B' U F' U' L2 D' B'
B' U F' U' L2 D2 B'
B' U F' U' L2 B' D
B' U F' U' L2 B' D'
B' U F' U' L2 B' D2
B' U F' U' B L2 B'
B2 U F' R' U' L2 B'
B' U F' U' B' L2 B'
B' U F' U' B2 L2 B'
L D' L' F' U' F L2
F' U F' U2 L2 F2 B'
F' U F' U2 L2 B' F2
B2 U F' R2 U' L2 B'
B2 U F' U F U2 L2
B2 U F' U' L2 D B'
B2 U F' U' L2 D' B'
B2 U F' U' L2 D2 B'
B2 U F' U' L2 B' D
B2 U F' U' L2 B' D'
B2 U F' U' L2 B' D2
B2 U F' U' B L2 B'
B2 U F' U' B' L2 B'
B2 U F' U' B2 L2 B'
L2 D' L2 F' U' F L2
B' U F' B U' L2 B'
B' U F' B' U' L2 B'
B' U F' B2 U' L2 B'
B2 U F' B U' L2 B'
B2 U F' B' U' L2 B'
B U F' R U' L2 B'
B2 U F' B2 U' L2 B'
B U F' R' U' L2 B'
B U F' R2 U' L2 B'
B U F' U F U2 L2
B U F' U' L2 D B'
B U F' U' L2 D' B'
B U F' U' L2 D2 B'
B U F' U' L2 B' D
B U F' U' L2 B' D'
B U F' U' L2 B' D2
B U F' U' B L2 B'
B U F' U' B' L2 B'
B U F' U' B2 L2 B'
L D' L2 F' U' F L'
B U F' B U' L2 B'
B U F' B' U' L2 B'
B U F' B2 U' L2 B'
F' U B R U2 F L2
L2 D' R' U R F' U'
D' U B2 F' U F U2
F' U B R' U2 F L2
F' U B R2 U2 F L2
F' U B U2 F L2 D
F' U B U2 F L2 D'
F' U B U2 F L2 D2
F' U B U2 F' L2 F2
F' U B U2 F2 L2 F'
F' U B D2 R2 U2 F
F U F2 U' F L2 B'
B' U B F' U' L2 B'
B2 U B F' U' L2 B'
F' U B' R U2 F L2
L2 D' R2 U R2 F' U'
F' U B' R' U2 F L2
F' U B' R2 U2 F L2
F' U B' U2 F L2 D
F' U B' U2 F L2 D'
F' U B' U2 F L2 D2
F' U B' U2 F' L2 F2
F' U B' U2 F2 L2 F'
R D' R' F' B2 U' F
F' U B' D2 R2 U2 F
B' U B' F' U' L2 B'
B U B F' U' L2 B'
R D' R' B2 F' U' F
B2 U B' F' U' L2 B'
F' U B2 R U2 F L2
F' U B2 R' U2 F L2
F' U B2 R2 U2 F L2
L2 D' U F' U F U2
F' U B2 U2 F L2 D
F' U B2 U2 F L2 D'
F' U B2 U2 F L2 D2
F' U B2 U2 F' L2 F2
F' U B2 U2 F2 L2 F'
F' U B2 D2 R2 U2 F
