B' L2 R' U' R2 U'
B' L2 R' U2 D B2
B' L2 R' D U2 B2
B' L2 R' D' F2 U2
B' R' L2 U' R2 U'
B' R' L2 U2 D B2
B' R' L2 D U2 B2
B' R' L2 D' F2 U2
B' D R' D' F2 L2 U2
B D R F2 L2 U' L'
B' D' R' D L2 U2 B2
B' D' R' D' F2 U2 R2
L2 F2 U L' U F' L'
B' D2 R' U' R2 U' R
B' D2 R' U2 D R' B2
B' D2 R' D U2 R' B2
B' D2 R' D' F2 U2 R'
B D2 R U' L R F2
B D2 R U' R L F2
B D2 R U' R F2 L
B D2 F2 L R2 D' B2
B D2 F2 R2 L D' B2
L2 B U' R U' F L
R B U L2 B2 U2 L'
L2 B U2 F D' L B'
R B U B2 L2 R' U2
R B U B2 R' L2 U2
B' F L2 D R' U2 B
R B U' D2 L R2 F2
R B U' D2 L F2 R2
R B U' D2 R2 L F2
R B U' D2 R2 F2 L
R B U' D2 F2 L R2
R B U' D2 F2 R2 L
R B D F2 L2 U' L'
R B D2 U' L R2 F2
R B D2 U' L F2 R2
R B D2 U' R2 L F2
R B D2 U' R2 F2 L
R B D2 U' F2 L R2
R B D2 U' F2 R2 L
R' B' L2 R' U' R' U'
R' B' L2 U2 D B2 L
R' B' L2 D R' U2 B2
R' B' L2 D U2 B2 L
R' B' L2 D' R' F2 U2
R' B' L2 D' F2 R' U2
U2 B' L2 U' R B U'
R2 B' L2 D' R' U2 B
R' B' R' L2 U' R' U'
D2 B' R' U' R2 U' R
D2 B' R' U2 D R' B2
D2 B' R' D U2 R' B2
D2 B' R' D' F2 U2 R'
R B' L2 R' U' R U'
L2 B' R' U' R2 U' F
L2 B' R' U2 D F B2
L2 B' R' U2 D B2 F
L2 B' R' U2 F D B2
L2 B' R' D U2 F B2
L2 B' R' D U2 B2 F
L2 B' R' D' F2 U2 F'
D B' R' U' R2 F2 U'
D B' R' U' F2 R2 U'
D B' R' U2 D R2 B2
D B' R' U2 D B2 R2
D B' R' D U2 R2 B2
D B' R' D U2 B2 R2
D B' R' D' L2 F2 U2
D B' R' D' F2 L2 U2
R B' R' L2 U' R U'
F2 B' L2 R' U L U
F B' L2 D R' U2 B
F2 B' R' L2 U L U
B' F2 L2 R' U L U
B' F2 R' L2 U L U
R B2 U L2 B R' U2
R B2 U B L2 R' U2
R B2 U B R' L2 U2
