B2 R' U' R' F' B
B2 R' U' R' B F'
F' U' L' B2 U' R2
B2 U' R' F' R' B
F' U' B2 L' U' R2
L' F' U' B2 L' U' R2
L2 F' U' B2 L' U' R2
L F' U' L' B2 U' R2
L F' U' B2 L' U' R2
F' D' R2 U' L' F2 U'
R2 F' B U L' B U'
R2 F' B U B L' U'
U2 B L B U' R2 B
R2 B U L B U' F
R2 B U B L U' F
R2 B U' R' U F' L'
R2 B F' U L' B U'
R2 B F' U B L' U'
F' B U' L' B U' R2
F' B U' B L' U' R2
B2 F' L' U' R2 D B2
B2 F' L' F U' R2 B
B2 F' U' L' U' L R2
B2 F' U' L' U' R2 L
B' F' U' B' L' U' R2
F' B' U' B' L' U' R2
B F' U' L' B U' R2
B F' U' B L' U' R2
U B2 L U' R2 F B
U B2 L U' R2 B F
U' B2 R' U' F' R' B
F' B2 L' U' R2 D B2
F' B2 L' F U' R2 B
L' B2 R' U' R' F' B
L' B2 R' U' R' B F'
R2 B2 R U' R' F' B'
R2 B2 R U' R' B' F'
L2 B2 R' U' R' F' B
L2 B2 R' U' R' B F'
L B2 R' U' R' F' B
L B2 R' U' R' B F'
L' B2 U' R' F' R' B
R' B2 U' B2 R' F' B
R' B2 U' B2 R' B F'
R B2 R2 U' R' F' B
R B2 R2 U' R' B F'
L2 B2 U' R' F' R' B
L B2 U' R' F' R' B
F' B2 U' L' U' L R2
F' B2 U' L' U' R2 L
