U' L U' F B U2
U' L U' B F U2
U' L' R2 U F' B'
U' L' R2 U B' F'
U' L' U B' D2 F2
U' L' U' B U2 B2
U' R2 L' U F' B'
U' R2 L' U B' F'
B' U R' U B2 U2
B' U R' U' D2 F2
B' U R' D L2 U'
B' U R' D2 U' F2
B' U D L2 R' U'
B' U D R' L2 U'
B' U D2 R' U' F2
B U' L U2 L' U'
B2 U2 B' U L U
B' U2 B2 U L U
U2 F B U' R U'
B' D U L2 R' U'
B' D U R' L2 U'
U2 F' B U L' U
B' D2 U R' U' F2
B' D2 F2 U R' U'
U2 B U L' U B'
U2 B U' R U' B
U2 B F U' R U'
U2 B F' U L' U
U' R2 L' U F' D2 B'
U' R2 L' U F' B' D
U' R2 L' U F' B' D'
U' R2 L' U F' B' D2
U' R2 L' U B' D F'
U' R2 L' U B' D' F'
U' R2 L' U B' D2 F'
U' R2 L' U B' F' D
U' R2 L' U B' F' D'
U' R2 L' U B' F' D2
U' R2 L' D U F' B'
U' R2 L' D U B' F'
U' R2 L' D' U F' B'
U' R2 L' D' U B' F'
U' R2 L' D2 U F' B'
U' R2 L' D2 U B' F'
U R2 U' R' B R F'
U R2 U' F' R' B R
U' R2 D L' U F' B'
U' R2 D L' U B' F'
U' R2 D' L' U F' B'
U' R2 D' L' U B' F'
U' R2 D2 L' U F' B'
U' R2 D2 L' U B' F'
U R2 D2 L U' F' B'
U R2 D2 L U' B' F'
B' U L R' U B2 U2
B' U L R' U' D2 F2
B' U L R' D L2 U'
B' U L R' D2 U' F2
U' D L U' F B U2
U' D L U' B F U2
B' U L D L2 R' U'
B' U L D R' L2 U'
B' U L D2 R' U' F2
B' U L' R' U B2 U2
B' U L' R' U' D2 F2
B' U L' R' D L2 U'
U' D L' R2 U F' B'
U' D L' R2 U B' F'
B' U L' R' D2 U' F2
U' D L' U B' D2 F2
U' D L' U' B U2 B2
B' U L' D L2 R' U'
B' U L' D R' L2 U'
B' U L' D2 R' U' F2
B' U L2 R' U B2 U2
B' U L2 R' U' D2 F2
B' U L2 R' D L2 U'
B' U L2 R' D2 U' F2
B' U L2 D L2 R' U'
B' U L2 D R' L2 U'
B' U L2 D2 R' U' F2
B' U R D L2 U' B2
B' U R' L U B2 U2
B' U R' L U' D2 F2
B' U R' L D L2 U'
B' U R' L D2 U' F2
B' U R' L' U B2 U2
B' U R' L' U' D2 F2
B' U R' L' D L2 U'
B' U R' L' D2 U' F2
B' U R' L2 U B2 U2
B' U R' L2 U' D2 F2
B' U R' L2 D L2 U'
B' U R' L2 D2 U' F2
B U R U2 L R' U
B U R U2 R' L U
B' U R' U B2 U2 D
B' U R' U B2 U2 D'
B' U R' U B2 U2 D2
B' U R' U B2 D U2
B' U R' U B2 D' U2
B' U R' U B2 D2 U2
B' U R' U' D2 F2 D
B' U R' U' D2 F2 D'
B' U R' U' D2 F2 D2
B' U R' U' F D2 F2
B' U R' U' F' D2 F2
B' U R' U' F2 D2 F2
B' U R' U2 D' R2 U
B' U R' D L2 U' D
B' U R' D L2 U' D'
B' U R' D L2 U' D2
B' U R' D L2 D U'
B' U R' D L2 D' U'
B' U R' D L2 D2 U'
B' U R' D' U2 R2 U
B' U R' D2 L U' F2
B' U R' D2 L' U' F2
B' U R' D2 L2 U' F2
B' U R' D2 U' F2 D
B' U R' D2 U' F2 D'
B' U R' D2 U' F2 D2
U' D R2 L' U F' B'
U' D R2 L' U B' F'
B U R' U2 L R U
B U R' U2 R L U
B' U R2 D L2 R U'
B' U R2 D R L2 U'
B' U R2 D2 R U' F2
B' U D L2 R' U' D
B' U D L2 R' U' D'
B' U D L2 R' U' D2
B' U D L2 R' D U'
B' U D L2 R' D' U'
B' U D L2 R' D2 U'
B' U D L2 D R' U'
B U R2 U2 L R2 U
B' U D L2 D' R' U'
B' U D L2 D2 R' U'
B U R2 U2 R2 L U
B' U D R' L2 U' D
B' U D R' L2 U' D'
B' U D R' L2 U' D2
B' U D R' L2 D U'
B' U D R' L2 D' U'
B' U D R' L2 D2 U'
B' U D R' U' D F2
B' U D R' D U' F2
B' U D' R' U2 R' U
U2 D F B U' R U'
B' U D2 L R' U' F2
B' U D2 L' R' U' F2
B' U D2 L2 R' U' F2
B' U D2 R' L U' F2
B' U D2 R' L' U' F2
B' U D2 R' L2 U' F2
B' U D2 R' U' F2 D
B' U D2 R' U' F2 D'
B' U D2 R' U' F2 D2
B' U D2 R' D' L2 U'
U2 D F' B U L' U
U2 D B U L' U B'
U2 D B U' R U' B
U2 D B F U' R U'
U2 D B F' U L' U
D' U' L U' F B U2
D' U' L U' B F U2
U' D' L U' F B U2
U' D' L U' B F U2
D2 U' L U' F B U2
D2 U' L U' B F U2
U' D' L' R2 U F' B'
D' U' L' R2 U F' B'
U' D' L' R2 U B' F'
D' U' L' R2 U B' F'
D2 U' L' R2 U F' B'
D2 U' L' R2 U B' F'
U' D' L' U B' D2 F2
D' U' L' U B' D2 F2
U' D' L' U' B U2 B2
D' U' L' U' B U2 B2
D2 U' L' U B' D2 F2
D2 U' L' U' B U2 B2
D U' L U' F B U2
D U' L U' B F U2
D U' L' R2 U F' B'
D U' L' R2 U B' F'
D U' L' U B' D2 F2
D U' L' U' B U2 B2
F' U' L U' F B U2
F' U' L U' B F U2
F2 U' L U' F B U2
F2 U' L U' B F U2
B U' L R U2 L' U'
B U' L R' U2 L' U'
B U' L R2 U2 L' U'
F' U' L' R2 U F' B'
F' U' L' R2 U B' F'
F' U' L' U B' D2 F2
B U' L U2 L' U' D
B U' L U2 L' U' D'
B U' L U2 L' U' D2
B U' L U2 L' D U'
B U' L U2 L' D' U'
B U' L U2 L' D2 U'
B U' L U2 D L' U'
B U' L U2 D' L' U'
B U' L U2 D2 L' U'
F' U' L' U' B U2 B2
B U' L D U2 L' U'
F2 U' L' R2 U F' B'
F2 U' L' R2 U B' F'
B U' L D' U2 L' U'
B U' L D2 U2 L' U'
F2 U' L' U B' D2 F2
F2 U' L' U' B U2 B2
F U' L U' F B U2
F U' L U' B F U2
B U' L F2 R F2 U
U' D' R2 L' U F' B'
U' D' R2 L' U B' F'
D' U' R2 L' U F' B'
D' U' R2 L' U B' F'
D2 U' R2 L' U F' B'
D2 U' R2 L' U B' F'
F U' L' R2 U F' B'
F U' L' R2 U B' F'
F U' L' U B' D2 F2
F U' L' U' B U2 B2
B U' L2 D L' U F2
B' U' R D2 L2 U F2
D U' R2 L' U F' B'
D U' R2 L' U B' F'
B U' L2 D2 L' R2 U
B U' L2 D2 R2 L' U
B U' R L U2 L' U'
B' U' R' U' B2 U2 B2
U2 D' F B U' R U'
B U' R' L U2 L' U'
F' U' R2 L' U F' B'
F' U' R2 L' U B' F'
F2 U' R2 L' U F' B'
F2 U' R2 L' U B' F'
U2 D' F' B U L' U
B U' R2 L U2 L' U'
F U' R2 L' U F' B'
F U' R2 L' U B' F'
B U' D L U2 L' U'
B' U' D' R2 U2 R U'
U2 D' B U L' U B'
U2 D' B U' R U' B
U2 D' B F U' R U'
B U' D' L U2 L' U'
U2 D' B F' U L' U
B U' D2 L U2 L' U'
U' D2 L U' F B U2
U' D2 L U' B F U2
U' D2 L' R2 U F' B'
U' D2 L' R2 U B' F'
U' D2 L' U B' D2 F2
U' D2 L' U' B U2 B2
B U' F2 L F2 R U
U' D2 R2 L' U F' B'
U' D2 R2 L' U B' F'
D' U2 F B U' R U'
D2 U2 F B U' R U'
U2 D2 F B U' R U'
D' U2 F' B U L' U
D2 U2 F' B U L' U
D U2 F B U' R U'
U2 D2 F' B U L' U
D U2 F' B U L' U
D' U2 B U L' U B'
D' U2 B U' R U' B
D2 U2 B U L' U B'
D2 U2 B U' R U' B
D' U2 B F U' R U'
D' U2 B F' U L' U
D2 U2 B F U' R U'
D2 U2 B F' U L' U
U2 D2 B U L' U B'
U2 D2 B U' R U' B
U2 D2 B F U' R U'
U2 D2 B F' U L' U
D U2 B U L' U B'
D U2 B U' R U' B
D U2 B F U' R U'
D U2 B F' U L' U
B' U2 F B2 U L U
F' U2 F B U' R U'
B2 U2 F B' U L U
F2 U2 F B U' R U'
B U2 F U L U F'
B' U2 F' B2 U L U
F' U2 F' B U L' U
B2 U2 F' B' U L U
F2 U2 F' B U L' U
F U2 F B U' R U'
B' U2 F2 B2 U L U
B2 U2 F2 B' U L U
F U2 F' B U L' U
F' U2 B U L' U B'
B U2 F2 U L U F2
F' U2 B U' R U' B
F2 U2 B U L' U B'
F2 U2 B U' R U' B
F' U2 B F U' R U'
F' U2 B F' U L' U
F2 U2 B F U' R U'
F2 U2 B F' U L' U
B2 U2 B' U L U D
B2 U2 B' U L U D'
B2 U2 B' U L U D2
B2 U2 B' U L D U
B2 U2 B' U L D' U
B2 U2 B' U L D2 U
B2 U2 B' U D L U
B2 U2 B' U D' L U
B2 U2 B' U D2 L U
B2 U2 B' D U L U
B2 U2 B' D' U L U
F U2 B U L' U B'
B2 U2 B' D2 U L U
F U2 B U' R U' B
B2 U2 B' F U L U
B2 U2 B' F' U L U
B2 U2 B' F2 U L U
B' U2 B2 U L U D
B' U2 B2 U L U D'
B' U2 B2 U L U D2
B' U2 B2 U L D U
B' U2 B2 U L D' U
B' U2 B2 U L D2 U
B' U2 B2 U D L U
B' U2 B2 U D' L U
B' U2 B2 U D2 L U
F U2 B F U' R U'
F U2 B F' U L' U
B' U2 B2 D U L U
B' U2 B2 D' U L U
B' U2 B2 D2 U L U
B' U2 B2 F U L U
B' U2 B2 F' U L U
B' U2 B2 F2 U L U
B2 D L B' L F L2
B' D L2 R' U' L2 R
B' D L2 R' U' R L2
B2 D L2 F L' B' L'
U2 F D B U' R U'
B' D R D R' F2 B2
B' D R D R' B2 F2
B' D R D F2 R' B2
U2 F D' B U' R U'
B' D R' L2 U' L2 R
B' D R' L2 U' R L2
U2 F D2 B U' R U'
U2 F B U' R U' D
U2 F B U' R U' D'
U2 F B U' R U' D2
U2 F B U' R D U'
U2 F B U' R D' U'
U2 F B U' R D2 U'
U2 F B U' D R U'
U2 F B U' D' R U'
U2 F B U' D2 R U'
U2 F B D U' R U'
U2 F B D' U' R U'
U2 F B D2 U' R U'
B' D U L2 R' U' D
B' D U L2 R' U' D'
B' D U L2 R' U' D2
B' D U L2 R' D U'
B' D U L2 R' D' U'
B' D U L2 R' D2 U'
B' D U L2 D R' U'
B' D U L2 D' R' U'
B' D U L2 D2 R' U'
B' D U R' L2 U' D
B' D U R' L2 U' D'
B' D U R' L2 U' D2
B' D U R' L2 D U'
B' D U R' L2 D' U'
B' D U R' L2 D2 U'
B' D U R' U' D F2
B' D U R' D U' F2
B D U' L U2 L' U'
B' D F U L2 R' U'
B' D F U R' L2 U'
B' D F' U L2 R' U'
B' D F' U R' L2 U'
B' D F2 U L2 R' U'
B' D F2 U R' L2 U'
R2 F' R B' R D B2
R2 F' R2 U R U' B
R2 F' R2 U' L' U B'
U2 F' U L' R2 U F'
U2 F' U L' U' B U2
R2 F' R2 B U' L U
R2 F' R2 B' U R' U'
U2 F' U R2 L' U F'
R2 F' U R U' B R
R2 F' U' L' U R2 B'
R2 F' U' L' U B' R2
U2 F' D B U L' U
U2 F' D' B U L' U
U2 F' D2 B U L' U
B2 D' R' B R D2 F2
B2 D' R' B D2 R F2
U2 F' B U L' U D
U2 F' B U L' U D'
U2 F' B U L' U D2
U2 F' B U L' D U
U2 F' B U L' D' U
U2 F' B U L' D2 U
U2 F' B U D L' U
U2 F' B U D' L' U
U2 F' B U D2 L' U
U2 F' B D U L' U
U2 F' B D' U L' U
R2 F' B R2 U' L U
U2 F' B D2 U L' U
R2 F' B U' L U R2
B' D' U R' U2 R' U
R2 F' B' R D R B2
R2 F' B' R D B2 R
R2 F' B' R2 U R U'
R2 F' B' U R' U' R'
B' D' U' R2 U2 R U'
R2 F' B2 R' D' R' B
B D' U' L U2 L' U'
B' D' B2 U' L R2 U
B' D' B2 U' R2 L U
B' D2 R F2 D R' B2
U2 F2 D2 B U' R' U'
B' D2 U L R' U' F2
B' D2 U L' R' U' F2
B' D2 U L2 R' U' F2
B' D2 U R' L U' F2
B' D2 U R' L' U' F2
B' D2 U R' L2 U' F2
B' D2 U R' U' F2 D
B' D2 U R' U' F2 D'
B' D2 U R' U' F2 D2
B' D2 U R' D' L2 U'
B D2 U' L U2 L' U'
R2 B L U L' F' R2
B' D2 F U R' U' F
L B L' D' B2 D2 F2
B' D2 F2 R D R' B2
B' D2 F2 U R' U' D
B' D2 F2 U R' U' D'
B' D2 F2 U R' U' D2
B' D2 F2 U R' D U'
B' D2 F2 U R' D' U'
B' D2 F2 U R' D2 U'
B' D2 F2 U D R' U'
B' D2 F2 U D' R' U'
B' D2 F2 U D2 R' U'
B' D2 F2 D U R' U'
B' D2 F2 D' U R' U'
B' D2 F2 D2 U R' U'
B' D2 F2 B2 U' L U
B' D2 B2 U' L U F2
U2 B U L U' F U2
U2 B U L' U D B'
U2 B U L' U D' B'
U2 B U L' U D2 B'
U2 B U L' U B' D
U2 B U L' U B' D'
U2 B U L' U B' D2
U2 B U L' D U B'
U2 B U L' D' U B'
U2 B U L' D2 U B'
D2 B U' L U2 L' U'
D' B U' L U2 L' U'
U2 B U D L' U B'
B' D2 B2 F2 U' L U
U2 B U D' L' U B'
U2 B U D2 L' U B'
U2 B U' R U' D B
U2 B U' R U' D' B
U2 B U' R U' D2 B
U2 B U' R U' B D
U2 B U' R U' B D'
U2 B U' R U' B D2
U2 B U' R D U' B
U2 B U' R D' U' B
U2 B U' R D2 U' B
U2 B U' R' U F' U2
U2 B U' D R U' B
R2 B U' L U F' R2
U2 B U' D' R U' B
U2 B U' D2 R U' B
D B U' L U2 L' U'
U2 B U2 B U' L U
U2 B U2 B' U R' U'
U B U' B' R' U' R
L B U2 L' D' B2 R'
U2 B D U L' U B'
U2 B D U' R U' B
U2 B D F U' R U'
U2 B D F' U L' U
U2 B D' U L' U B'
U2 B D' U' R U' B
U2 B D' F U' R U'
U2 B D' F' U L' U
U2 B D2 U L' U B'
U2 B D2 U' R U' B
U2 B D2 F U' R U'
U2 B D2 F' U L' U
U2 B F U' R U' D
U2 B F U' R U' D'
U2 B F U' R U' D2
U2 B F U' R D U'
U2 B F U' R D' U'
U2 B F U' R D2 U'
U2 B F U' D R U'
U2 B F U' D' R U'
U2 B F U' D2 R U'
U2 B F D U' R U'
U2 B F D' U' R U'
U2 B F D2 U' R U'
B' F U R' U B2 U2
B' F U R' U' D2 F2
B' F U R' D L2 U'
B' F U R' D2 U' F2
B' F U D L2 R' U'
B' F U D R' L2 U'
B' F U D2 R' U' F2
U2 B F' U L' U D
U2 B F' U L' U D'
U2 B F' U L' U D2
U2 B F' U L' D U
U2 B F' U L' D' U
U2 B F' U L' D2 U
U2 B F' U D L' U
U2 B F' U D' L' U
U2 B F' U D2 L' U
U2 B F' D U L' U
U2 B F' D' U L' U
U2 B F' D2 U L' U
R2 B F' R2 U' L U
R2 B F' U' L U R2
F' B U' L U2 L' U'
F2 B U' L U2 L' U'
B F U' L U2 L' U'
B' F U2 B2 U L U
F B U' L U2 L' U'
B' F D U L2 R' U'
B' F D U R' L2 U'
B2 F U2 B' U L U
R' B' R U R2 U' F'
B' F D2 U R' U' F2
R' B' R' F' R2 D B2
B' F D2 F2 U R' U'
D2 B' U R' U B2 U2
D2 B' U R' U' D2 F2
D2 B' U R' D L2 U'
D2 B' U R' D2 U' F2
D2 B' U D L2 R' U'
D2 B' U D R' L2 U'
D' B' U R' U B2 U2
D' B' U R' U' D2 F2
D' B' U R' D L2 U'
D' B' U R' D2 U' F2
D2 B' U D2 R' U' F2
D' B' U D L2 R' U'
D' B' U D R' L2 U'
D' B' U D2 R' U' F2
D B' U R' U B2 U2
D B' U R' U' D2 F2
D B' U R' D L2 U'
D B' U R' D2 U' F2
D B' U D L2 R' U'
D B' U D R' L2 U'
D B' U D2 R' U' F2
D2 B' U2 B2 U L U
D' B' U2 B2 U L U
D2 B' D U L2 R' U'
D2 B' D U R' L2 U'
D' B' D U L2 R' U'
D' B' D U R' L2 U'
D B' U2 B2 U L U
D B' D U L2 R' U'
D B' D U R' L2 U'
B' F' U R' U B2 U2
B' F' U R' U' D2 F2
B' F' U R' D L2 U'
B' F' U R' D2 U' F2
B' F' U D L2 R' U'
B' F' U D R' L2 U'
D2 B' D2 U R' U' F2
B' F' U D2 R' U' F2
D' B' D2 U R' U' F2
F' B' U R' U B2 U2
F' B' U R' U' D2 F2
F' B' U R' D L2 U'
F' B' U R' D2 U' F2
D2 B' D2 F2 U R' U'
F' B' U D L2 R' U'
F' B' U D R' L2 U'
D' B' D2 F2 U R' U'
F' B' U D2 R' U' F2
F2 B' U R' U B2 U2
F2 B' U R' U' D2 F2
F2 B' U R' D L2 U'
F2 B' U R' D2 U' F2
F2 B' U D L2 R' U'
F2 B' U D R' L2 U'
F2 B' U D2 R' U' F2
D B' D2 U R' U' F2
D B' D2 F2 U R' U'
F B' U R' U B2 U2
F B' U R' U' D2 F2
F B' U R' D L2 U'
F B' U R' D2 U' F2
F B' U D L2 R' U'
F B' U D R' L2 U'
B F' U' L U2 L' U'
F B' U D2 R' U' F2
B' F' U2 B2 U L U
F' B' U2 B2 U L U
B' F' D U L2 R' U'
B' F' D U R' L2 U'
B2 F' U2 B' U L U
R2 B' F' R D R B2
R2 B' F' R D B2 R
F2 B' U2 B2 U L U
R2 B' F' R2 U R U'
R2 B' F' U R' U' R'
F' B' D U L2 R' U'
F' B' D U R' L2 U'
F2 B' D U L2 R' U'
F2 B' D U R' L2 U'
L2 B2 L D L F B'
L2 B2 L D L B' F
F B' U2 B2 U L U
B' F' D2 U R' U' F2
F B' D U L2 R' U'
F B' D U R' L2 U'
B' F' D2 F2 U R' U'
F' B' D2 U R' U' F2
F' B' D2 F2 U R' U'
F2 B' D2 U R' U' F2
F2 B' D2 F2 U R' U'
F B' D2 U R' U' F2
F B' D2 F2 U R' U'
L B2 L2 D F L B'
L B2 L2 F D L B'
B' F2 U R' U B2 U2
B' F2 U R' U' D2 F2
B' F2 U R' D L2 U'
B' F2 U R' D2 U' F2
B' F2 U D L2 R' U'
B' F2 U D R' L2 U'
D2 B2 U2 B' U L U
B' F2 U D2 R' U' F2
D' B2 U2 B' U L U
R' B2 D' R' F' B R2
R' B2 D' R' B F' R2
D B2 U2 B' U L U
B F2 U' L U2 L' U'
B' F2 U2 B2 U L U
B' F2 D U L2 R' U'
F' B2 U2 B' U L U
B' F2 D U R' L2 U'
B2 F2 U2 B' U L U
F2 B2 U2 B' U L U
F B2 U2 B' U L U
B' F2 D2 U R' U' F2
B' F2 D2 F2 U R' U'
R2 B2 F' R' D' R' B
