R' U L2 B U2 B2
R U L2 U2 F' B'
R U L2 U2 B' F'
R' U F L2 B U2
R' U F B L2 U2
R U F L2 U2 F2
R' U B L2 U2 B'
R' U B F L2 U2
U' R F' D2 R2 B2
U' R F' D2 B2 R2
R U' F' D2 R2 B2
R U' F' D2 B2 R2
D2 U F L' U2 F R2
F' U' R D2 F' R2 B2
F' U' R D2 F' B2 R2
F' U' R D2 B2 F' R2
F' U' R F' D2 R2 B
F' U' R' D2 R2 F' B2
F' U' R' D2 R2 B2 F'
R' D2 L2 U' R2 F' B'
R' D2 L2 U' R2 B' F'
R D2 L2 U' F' R2 B'
R D2 L2 U' F' B' R2
R D2 L2 U' B' F' R2
R' D2 U F U2 R2 F'
R' D2 U F B U2 R2
R' D2 U B F U2 R2
R' D2 U' R2 F' D2 B2
R' D2 U' F2 R2 F' B
R' D2 U' F2 R2 B F'
R D2 U F U2 R2 F2
R D2 U F U2 F2 R2
R D2 U' F' R2 D2 B2
R D2 U' F2 R2 F B
R D2 U' F2 R2 B F
U D2 F L B' U2 R2
U D2 F L' U2 R2 F
U D2 F L' U2 F R2
R' D2 F2 U' R2 F' B
R' D2 F2 U' R2 B F'
R D2 F2 U' R2 F B
R D2 F2 U' R2 B F
D' F L' U2 B2 U B2
U' F L2 R U2 L2 F'
U' F L2 R U2 F' L2
U' F L2 R' B U2 L2
U F L D2 L B' U2
R' F L2 B U' B' U'
U' F R L2 U2 L2 F'
U' F R L2 U2 F' L2
U F L' U2 F2 R F'
U F L' D2 L' U2 F
U F L2 R' B R U2
U F L2 U R U F'
U' F R' L2 B U2 L2
U F L2 U2 R F' R'
R F L2 U2 F2 D' L2
U' F R' B L2 U2 L2
U F R' L2 B R U2
U F R' B L2 R U2
U F R' B R L2 U2
U F U2 R D2 F' R2
U F U2 R F' D2 R2
U F U2 R' D2 R2 F'
R' F B L2 U F U
U F D2 L B' U2 R2
U F D2 L' U2 R2 F
U F D2 L' U2 F R2
U' F' R D2 F' R2 B2
U' F' R D2 F' B2 R2
U' F' R D2 B2 F' R2
U' F' R F' D2 R2 B
U F' L' F2 U2 R F'
U' F' R' D2 R2 F' B2
U' F' R' D2 R2 B2 F'
R' F' U L2 F2 B U2
R' F' U L2 B F2 U2
R' F' U F2 L2 B U2
R' F' U F2 B L2 U2
R' F' U B L2 F2 U2
R' F' U B F2 L2 U2
R' F' U' D2 R2 F' B2
R' F' U' D2 R2 B2 F'
R' F' D R2 F2 U' F
R' F' D F2 R2 U' F'
R' F' D2 U' R2 F' B2
R' F' D2 U' R2 B2 F'
R F' D R2 F2 U' F2
D' F' D2 F2 L' U' B2
R F' D F2 R2 U' F2
R F' D2 R2 B2 D L2
R F' D2 B2 R2 D L2
D2 F2 L' U' R2 F B
D2 F2 L' U' R2 B F
L' F2 L' U' R F' B'
L' F2 L' U' R B' F'
L' F2 L' U' B' R F'
R' F2 U L2 F' B U2
R' F2 U L2 B F' U2
R' F2 U F' L2 B U2
R' F2 U F' B L2 U2
R' F2 U B L2 F' U2
R' F2 U B F' L2 U2
R' F2 U' D2 R2 F' B
R' F2 U' D2 R2 B F'
F' D2 L U' B2 R2 F'
R F2 U L2 F' B' U2
R F2 U L2 B' F' U2
F' D2 L' U' R2 F B2
F' D2 L' U' R2 B2 F
F' D2 L' U' F R2 B2
F' D2 L' U' F B2 R2
F' D2 L' U' B2 R2 F
F' D2 L' U' B2 F R2
R F2 U F' L2 U2 F2
F2 D2 L' U' R2 F B
F2 D2 L' U' R2 B F
R F2 U' D2 R2 F B
R F2 U' D2 R2 B F
R F2 U' F D2 R2 B2
R F2 U' F D2 B2 R2
R' F2 D2 U' R2 F' B
R' F2 D2 U' R2 B F'
R F2 D2 U' R2 F B
R F2 D2 U' R2 B F
R' B L2 U F U B'
U' B R F' D2 R2 B2
U' B R F' D2 B2 R2
R' B F L2 U F U
U' B' R F' D2 R2 B2
U' B' R F' D2 B2 R2
U' B2 R F' D2 R2 B2
U' B2 R F' D2 B2 R2
