B L' R' D' F L'
F' L' U F B R'
F' L' U B R' F
F' L' U B F R'
B L' F R' D' L2
B L' F D' L2 R'
B L' F D' R' L2
B R' L' D' F L'
L' F B R' D' L2
L' F B D' L2 R'
L' F B D' R' L2
L' F' U F2 B R'
L' F' U B R' F2
L' F' U B F2 R'
D2 F' U B R F'
L' B R' D' F L'
L' B F R' D' L2
L' B F D' L2 R'
L' B F D' R' L2
L' U' B F D' L2 R'
L' U' B F D' R' L2
B R' D' F D L' F
B R' F L' D' F L'
B R' F' L' D' F L'
B R' F2 L' D' F L'
L' U2 F B R' D' L2
L' U2 F B D' L2 R'
L' U2 F B D' R' L2
L' U2 F' U F2 B R'
L' U2 F' U B R' F2
L' U2 F' U B F2 R'
L' U2 B R' D' F L'
L' U2 B F R' D' L2
L' U2 B F D' L2 R'
L' U2 B F D' R' L2
F' U L' F L B R'
L' D F D' L2 B R'
L' D F D' B L2 R'
L' D F D' B R' L2
D2 U F' U B R F'
F' U D2 F' B R F'
F' U D2 B R F' R
F' U D2 B F' R F'
F' U B L' R' F L
F' U B L' F L R'
F' U B L' F R' L
F' U B R' L' F L
F' U B R2 D2 R F'
F' U B D2 R F' R2
F' U' L B' L U2 B2
F' U' L B' U2 B2 R'
F' U' L' U2 F B R'
F' U' L' U2 B R' F
F' U' L' U2 B F R'
F' U' L2 U2 B R' F'
D2 U' F' U B R F'
B U' D F' R U R2
F' U' B R' F2 L' F
F' U' B' L B' U2 B'
F' U2 L' U' F B R'
F' U2 L' U' B R' F
F' U2 L' U' B F R'
U' D2 F' U B R F'
D2 U2 F' U B R F'
L' D2 F' U B R F2
U2 D2 F' U B R F'
U D2 F' U B R F'
L' F L B R' D' L2
L' F L B D' L2 R'
L' F L B D' R' L2
L' F L' B R' D' L2
L' F L' B D' L2 R'
L' F L' B D' R' L2
L' F L2 B R' D' L2
L' F L2 B D' L2 R'
L' F L2 B D' R' L2
L' F U' F2 U B R'
L' F D' L2 D B R'
L' F B L R' D' L2
L' F B L D' L2 R'
L' F B L D' R' L2
L' F B L' R' D' L2
L' F B L' D' L2 R'
L' F B L' D' R' L2
L' F B L2 R' D' L2
L' F B L2 D' L2 R'
L' F B L2 D' R' L2
L' F B R' L D' L2
L' F B R' L' D' L2
L' F B R' L2 D' L2
L' F B R' U' F2 U
L' F B R' D' L2 D
L' F B R' D' L2 D'
L' F B R' D' L2 D2
L' F B R2 D' L2 R
L' F B R2 D' R L2
L' F B U' F2 U R'
L' F B D' L2 R' D
L' F B D' L2 R' D'
L' F B D' L2 R' D2
L' F B D' L2 D R'
L' F B D' L2 D' R'
L' F B D' L2 D2 R'
L' F B D' R' L2 D
L' F B D' R' L2 D'
L' F B D' R' L2 D2
L' F B D2 R' D L2
B D R' D' L' F L'
B D R' D' F L' F
L' F B2 D' B' L2 R'
L' F B2 D' B' R' L2
D2 F' L U B R F'
L' F' L U F2 B R'
L' F' L U B R' F2
L' F' L U B F2 R'
L2 F' L U F B R'
U' F' L' U F B R'
L2 F' L U B R' F
L2 F' L U B F R'
U' F' L' U B R' F
U' F' L' U B F R'
D2 F' L' U B R F'
L' F' L' U F2 B R'
L' F' L' U B R' F2
L' F' L' U B F2 R'
B D U' F' R U R2
U2 F' L' U F B R'
U2 F' L' U B R' F
U2 F' L' U B F R'
D2 F' L2 U B R F'
D F' L B' R U B2
L' F' L2 U F2 B R'
L' F' L2 U B R' F2
L' F' L2 U B F2 R'
U F' L' U F B R'
U F' L' U B R' F
U F' L' U B F R'
L F' L2 U F B R'
L F' L2 U B R' F
L F' L2 U B F R'
D2 F' U B R D F'
D2 F' U B R D' F'
D2 F' U B R D2 F'
D2 F' U B R F' D
D2 F' U B R F' D'
D2 F' U B R F' D2
L' F' U F B R' F
D2 F' U B' R F' B2
D2 F' U B' R B2 F'
D2 F' U B2 R F' B'
D2 F' U B2 R B' F'
L' F' U F2 B R' D
L' F' U F2 B R' D'
L' F' U F2 B R' D2
L' F' U F2 B D R'
L' F' U F2 B D' R'
L' F' U F2 B D2 R'
L' F' U B R F2 R2
L' F' U B R' F2 D
L' F' U B R' F2 D'
L' F' U B R' F2 D2
L' F' U B F R' F
L' F' U B F2 R' D
L' F' U B F2 R' D'
L' F' U B F2 R' D2
L' F' U B F2 D R'
L' F' U B F2 D' R'
L' F' U B F2 D2 R'
L' F' U' B R' F2 L'
L F' U B R' D2 F2
L F' U B D2 R' F2
L F' U B D2 F2 R'
L F' U' B' L U2 B2
L F' U' B' U2 B2 R'
D' F' B R' B U B'
L' F' B R' F2 D' L2
D2 F' B' U R F' B2
D2 F' B' U R B2 F'
D2 F' B' U B2 R F'
L' F' B' U F2 B2 R'
L' F' B' U B2 R' F2
L' F' B' U B2 F2 R'
D2 F' B2 U R F' B'
D2 F' B2 U R B' F'
D2 F' B2 U B' R F'
F' D' B R' B U B'
F' D2 U F' B R F'
F' D2 U B R F' R
F' D2 U B F' R F'
U' B L' R' D' F L'
L2 B L R' D' F L'
U' B L' F R' D' L2
U' B L' F D' L2 R'
U' B L' F D' R' L2
L2 B L F R' D' L2
L2 B L F D' L2 R'
L2 B L F D' R' L2
U2 B L' R' D' F L'
U2 B L' F R' D' L2
U2 B L' F D' L2 R'
U2 B L' F D' R' L2
U B L' R' D' F L'
U B L' F R' D' L2
U B L' F D' L2 R'
U B L' F D' R' L2
U' B R' L' D' F L'
L' B R' D' F L' D
L' B R' D' F L' D'
L' B R' D' F L' D2
L' B R' D' F D L'
L' B R' D' F D' L'
L' B R' D' F D2 L'
L2 B R' L D' F L'
U2 B R' L' D' F L'
L2 B R' D' L F L'
U B R' L' D' F L'
D2 B U' F' U R F'
D' B U' F' R' B U
L' B U' F' U R' F2
L' B U' F' U F2 R'
B F L R' D' L2 F
B F L D' L2 R' F
B F L D' L2 F R'
B F L D' R' L2 F
F B L R' D' L2 F
L' B D R' D' F L'
L' B D F R' D' L2
L' B D F D' L2 R'
L' B D F D' R' L2
F B L D' L2 R' F
F B L D' L2 F R'
F B L D' R' L2 F
B F L' R' D' F L2
B F L' D' R' F L2
B F L' D' F L2 R'
B F L' D' F R' L2
F B L' R' D' F L2
L' B D' R' D' F L'
L' B D' F R' D' L2
L' B D' F D' L2 R'
L' B D' F D' R' L2
F B L' D' R' F L2
F B L' D' F L2 R'
F B L' D' F R' L2
L' B D2 R' D' F L'
L' B D2 F R' D' L2
L' B D2 F D' L2 R'
L' B D2 F D' R' L2
L' B F L R' D' L2
L' B F L D' L2 R'
L' B F L D' R' L2
L' B F L' R' D' L2
L' B F L' D' L2 R'
L' B F L' D' R' L2
L' B F L2 R' D' L2
L' B F L2 D' L2 R'
L' B F L2 D' R' L2
L' B F R' L D' L2
L' B F R' L' D' L2
L' B F R' L2 D' L2
L' B F R' U' F2 U
L' B F R' D' L2 D
L' B F R' D' L2 D'
L' B F R' D' L2 D2
L' B F R2 D' L2 R
L' B F R2 D' R L2
L' B F U' F2 U R'
L' B F D' L2 R' D
L' B F D' L2 R' D'
L' B F D' L2 R' D2
L' B F D' L2 D R'
L' B F D' L2 D' R'
L' B F D' L2 D2 R'
L' B F D' R' L2 D
L' B F D' R' L2 D'
L' B F D' R' L2 D2
B F R' L D' L2 F
L' B F D2 R' D L2
B F R' L' D' F L2
D' B F' R' B U B'
L' B F' R' F2 D' L2
F B R' L D' L2 F
F B R' L' D' F L2
L B' L U F' U B2
L B' U F' U B2 R'
B' F' U' L B' U2 B'
F' B' U' L B' U2 B'
D2 B' F' U R F' B2
D2 B' F' U R B2 F'
D2 B' F' U B2 R F'
L' B' F' U F2 B2 R'
L' B' F' U B2 R' F2
L' B' F' U B2 F2 R'
L' B2 F D' B' L2 R'
L' B2 F D' B' R' L2
D2 B2 F' U R F' B'
D2 B2 F' U R B' F'
D2 B2 F' U B' R F'
