L' U' B R2 U2 R
B R2 U L' U R
B R2 L D' U2 R B2
B R2 L D' U2 B2 R
D' R2 L' F2 U F R
B R2 L2 U L U R
B R2 U L' U R D
B R2 U L' U R D'
B R2 U L' U R D2
B R2 U L' U D R
B R2 U L' U D' R
B R2 U L' U D2 R
B R2 U L' D U R
B R2 U L' D' U R
B R2 U L' D2 U R
B R2 U L' B U R
B R2 U L' B' U R
B R2 U L' B2 U R
R2 U2 F' B D R' B
B R2 U D L' U R
B R2 U D' L' U R
B R2 U D2 L' U R
B R2 U B L' U R
B R2 U B' L' U R
B R2 U B2 L' U R
B R2 U2 R U' L' U
R2 U2 B F' D R' B
B R2 D U L' U R
B R2 D' U L' U R
B R2 D2 U L' U R
B R2 F2 L' U' R U'
B2 R2 B' U L' U R'
B' R2 B2 U L' U R'
B U L' U D2 L2 R'
B U L' U D2 R' L2
B U L' U' R2 U2 R
B U L' D' F2 U R'
B U L' D2 U L2 R'
B U L' D2 U R' L2
B U D' L' F2 U R'
B U D2 L' U L' R'
B U D2 L' U R' L'
L' D' R2 F2 U F R
F U B R2 U2 R B
L' D2 R2 U L2 F' R
L' D2 R2 U F' L2 R
L' D2 R2 U F' R L2
L' D2 U L2 R2 F' R
L' D2 U R2 L2 F' R
L' D2 U R2 F' L2 R
L' D2 U R2 F' R L2
L D2 R2 U' L2 F' R
L D2 R2 U' F' L2 R
L D2 R2 U' F' R L2
R2 D2 U L' U F' R
B U2 L R' D' B2 L
B U2 R' L D' B2 L
B U2 R' B2 L D' B2
L' F U' B R2 U2 R
L' F' U' B R2 U2 R
B D' U L' F2 U R'
L' F2 U' B R2 U2 R
B' D2 L' U L' F2 R
B D2 U L' U L' R'
B D2 U L' U R' L'
U' B R2 U L' U R
U2 B R2 U L' U R
L B R2 U L2 U R
U B R2 U L' U R
R2 B U L' U F' R'
L B R2 U2 R D' B2
L B R2 U2 D' R B2
L B R2 U2 D' B2 R
L B R2 D F2 L' U2
L B R2 D' U2 R B2
L B R2 D' U2 B2 R
R2 B U2 F' D R' B
L B U2 R' D' B2 L
F2 B R2 U' R' U' R2
F2 B R2 U2 R D B2
R2 B' L U L2 U F'
R2 B' L U2 D' F' B2
R2 B' L U2 D' B2 F'
R2 B' L U2 F' D' B2
R2 B' L D F2 U2 F
R2 B' L D' U2 F' B2
R2 B' L D' U2 B2 F'
F2 B U2 R' D B2 L
L' B' U D2 L2 F2 R
L' B' U' L R2 B2 U2
L' B' U' L B2 R2 U2
L' B' U' R2 L B2 U2
L' B' U' R2 B2 U2 R'
L' B' U' B2 R2 U2 R
L' B' D2 U L2 F2 R
B F2 R2 U' R' U' R2
B F2 R2 U2 R D B2
B F2 U2 R' D B2 L
